WReturnMean,ReturnStepMaxmin,StdIW,LearnableVariance,OptimizationReturnMax,MinTargetPdf,Bound,EpisodesSoFar,MaxIW,TimestepsSoFar,MeanD2-0,ESSRenyiArithmetic,MeanEntropy,DivergenceHarmonic,InitialReturnStd,MeanIW,InitialReturnMin,OptimizationReturnMean,MinIW,EpLenMean,ReturnMeanIW,ReturnStepMax,OptimizationReturnMin,Penalization,Epsilon,EmpiricalD2Harmonic,EpThisIter,InitialBound,Iteration,InitialReturnMax,MinBehavPdf,ESSRenyiHarmonic,VarianceInitializer,EmpiricalD2Arithmetic,StdWReturnMean,TimeElapsed,Weights,EpRewMean,Inner Iteration,InitialReturnMean
2955.5486,0.8618121,10015042.0,,83.57832,-79.79746,-9070532000000000.0,3800,71582760.0,743301,1.0,100.0,0.4189424,1.517515e+27,14.800206,1526783.5,-133.66566,52.311592,0.044733495,115.44,4203420000.0,0.8618121,,True,2.0,1.0,100,-3188.3928,38,-50.087345,-79.79746,100.0,-1.0,1.0,,345.82681155204773,[-0.391  1.2  ],-81.35407362684607,1,-81.35407
3719.5044,0.8641999,247.9105,,88.52991,-84.83646,-3872878.2,3900,2045.4695,754565,1.0,100.0,0.4189424,192908370.0,16.037098,80.99887,-137.80666,58.841446,0.008304779,112.64,244318.36,0.8641999,,True,2.0,1.0,100,-3980.7546,39,-49.276752,-84.83646,100.0,-1.0,1.0,,356.1782536506653,[-0.457  1.307],-78.96520791590214,1,-78.9652
4178.7417,0.8636763,15482889.0,,96.2133,-92.61792,-1.1123394e+17,4000,127417430.0,766577,1.0,100.0,0.4189424,1.2995007e+29,20.24638,3175931.0,-146.52176,61.39076,0.6078092,120.12,9576738000.0,0.8636763,,True,2.0,1.0,100,-4487.3076,40,-50.308456,-92.61792,100.0,-1.0,1.0,,366.7880380153656,[-0.456  1.244],-85.13099686890841,1,-85.131
4407.212,0.8548001,3195547.0,,92.70935,-94.80971,-3.6025867e+18,4100,30321380.0,779134,1.0,100.0,0.4189424,1.581165e+32,18.2805,638141.2,-152.65335,63.820343,0.32080162,125.57,2834159400.0,0.8548001,,True,2.0,1.0,100,-4693.713,41,-59.944,-94.80971,100.0,-1.0,1.0,,375.99948024749756,[-0.406  1.13 ],-88.83301032602787,1,-88.83301
4145.845,0.86114526,190.76361,,93.66757,-100.93019,-13773476.0,4200,1223.4761,792282,1.0,100.0,0.4189424,2141949400.0,21.96315,74.25789,-153.57898,60.526566,0.014189773,131.48,238362.86,0.86114526,,True,2.0,1.0,100,-4438.3,42,-59.91141,-100.93019,100.0,-1.0,1.0,,385.21045899391174,[-0.175  1.033],-93.05241353839637,1,-93.052414
10746.439,0.8628748,1093.0546,,140.76785,-120.7469,-234288140.0,4300,9516.059,806337,1.0,100.0,0.4189424,123306210000.0,24.918947,280.51935,-200.76431,100.62548,0.0036946826,140.55,2346777.0,0.8628748,,True,2.0,1.0,100,-11406.959,43,-59.996468,-120.7469,100.0,-1.0,1.0,,396.0047752857208,[-0.18  0.97],-100.1388404136896,1,-100.13885
18572.305,0.85883397,190.70024,,171.05199,-141.8678,-19320186.0,4400,978.9068,820018,1.0,100.0,0.4189424,338581060.0,26.12076,73.3483,-231.55582,133.75354,0.037471883,136.81,1374241.6,0.85883397,,True,2.0,1.0,100,-19547.598,44,-60.50383,-141.8678,100.0,-1.0,1.0,,406.4062075614929,[-0.169  1.032],-97.80227482870221,1,-97.80228
4262.217,0.8601482,1241.6243,,98.56328,-101.82393,-15784215.0,4500,9241.735,834000,1.0,100.0,0.4189424,2055049600.0,21.318598,290.91324,-160.85667,61.706837,0.0072014583,139.82,1104413.8,0.8601482,,True,2.0,1.0,100,-4586.042,45,-62.293396,-101.82393,100.0,-1.0,1.0,,418.4967815876007,[-0.159  0.97 ],-99.14983727052808,1,-99.14983
5069.427,0.8636892,769.9983,,100.899864,-94.99477,-10197427.0,4600,4577.574,847289,1.0,100.0,0.4189424,792158800.0,22.118357,215.45898,-161.89896,67.677216,0.009810539,132.89,646048.8,0.8636892,,True,2.0,1.0,100,-5408.786,46,-60.999092,-94.99477,100.0,-1.0,1.0,,429.8209376335144,[-0.161  1.033],-94.22174371540547,1,-94.22174
12937.051,0.8604343,1714.4445,,140.95566,-99.371826,-110841300.0,4700,16866.902,860016,1.0,100.0,0.4189424,26588658000.0,22.660946,276.0564,-201.7549,111.46091,0.08272754,127.27,2849194.8,0.8604343,,True,2.0,1.0,100,-13599.334,47,-60.799248,-99.371826,100.0,-1.0,1.0,,440.3577411174774,[-0.16   1.095],-90.29399451702834,1,-90.29399
