VarRet,VarVanillaIw,MinVanillaIw,AvgVanillaIw,VarJ,eRenyi2,MaxVanillaIw,BatchSize,VanillaAvgRet,EpsThisIter,ESSClassic,VarDiscRet,MaxNormIw,AvgEpLen,ESSRenyi,AvgNormIw,Bound,MinNormIw,IterType,Delta,AvgDiscRet,J,VarNormIw,AvgRet
1381.45954211,0.0192927,0.683239,1.00453,45.4459,1.01832,1.42538,200,-66.3111226813,100,196.266371632,1381.45954211,0.00709474,95.63,196.402337599,0.005,-114.903,0.00340077,1,0.3,-66.3111226813,-69.4359,4.77972e-07,-66.3111226813
6153.311874,,1.0,1.0,78.0499,1.0,1.0,200,-79.5824103911,100,100.0,6153.311874,0.01,110.08,200.0,0.01,-143.302,0.01,2,0.3,-79.5824103911,-79.5824,3.50449e-18,-79.5824103911
3798.4762196,0.0195819,0.889934,0.996422,65.6695,1.01675,2.02083,200,-72.871484756,100,196.150658823,3798.4762196,0.0101404,102.79,196.705561348,0.005,-120.855,0.00446565,1,0.3,-72.871484756,-75.4222,4.93069e-07,-72.871484756
2643.96812944,,1.0,1.0,51.1618,1.0,1.0,200,-69.9135416503,100,100.0,2643.96812944,0.01,99.41,200.0,0.01,-133.633,0.01,2,0.3,-69.9135416503,-69.9135,3.50449e-18,-69.9135416503
1382.78713216,0.047464,0.178351,0.993036,35.2993,1.04277,1.60169,200,-66.571188872,100,190.859466793,1382.78713216,0.0080646,95.28,191.796273528,0.005,-112.394,0.000898007,1,0.3,-66.571188872,-66.3844,1.2033e-06,-66.571188872
2599.60116979,,1.0,1.0,50.7307,1.0,1.0,200,-68.1823183927,100,100.0,2599.60116979,0.01,97.14,200.0,0.01,-131.902,0.01,2,0.3,-68.1823183927,-68.1823,3.50449e-18,-68.1823183927
3833.22019158,0.0670526,0.202424,0.989647,41.57,1.0612,1.58884,200,-70.8621534774,100,187.244768003,3833.22019158,0.00802732,99.78,188.466391754,0.005,-113.094,0.00102271,1,0.3,-70.8621534774,-66.679,1.71157e-06,-70.8621534774
3788.27144905,,1.0,1.0,61.2404,1.0,1.0,200,-73.9929202898,100,100.0,3788.27144905,0.01,104.16,200.0,0.01,-137.712,0.01,2,0.3,-73.9929202898,-73.9929,3.50449e-18,-73.9929202898
4995.321463,0.00645552,0.776112,1.0024,64.9085,1.00714,1.44133,200,-76.2374065474,100,198.729656639,4995.321463,0.00718938,106.63,198.582303712,0.005,-120.015,0.00387127,1,0.3,-76.2374065474,-74.7984,1.60616e-07,-76.2374065474
3778.588442,,1.0,1.0,61.1621,1.0,1.0,200,-74.4383394261,100,100.0,3778.588442,0.01,105.33,200.0,0.01,-138.157,0.01,2,0.3,-74.4383394261,-74.4383,3.50449e-18,-74.4383394261
2592.83068379,0.0429039,0.292121,0.974229,46.7635,1.03627,1.58213,200,-70.5463158035,100,191.391612316,2592.83068379,0.00811989,100.72,192.999379032,0.005,-116.418,0.00149925,1,0.3,-70.5463158035,-70.5518,1.13009e-06,-70.5463158035
119.15489182,,1.0,1.0,10.8611,1.0,1.0,200,-63.4902871688,100,100.0,119.15489182,0.01,92.59,200.0,0.01,-76.7305,0.01,2,0.3,-63.4902871688,-63.4903,3.50449e-18,-63.4902871688
