MaxNormIw,ESSRenyi,eRenyi2,AvgEpLen,VarRet,AvgDiscRet,MinNormIw,EpsThisIter,Delta,AvgNormIw,J,VarJ,AvgRet,VarVanillaIw,BatchSize,MaxVanillaIw,IterType,VanillaAvgRet,AvgVanillaIw,Bound,VarNormIw,VarDiscRet,ESSClassic,MinVanillaIw
0.005,500.0,1.0,125.64,127845.920276,1157.30457114,0.005,100,0.8,0.005,1145.7,362.934,1157.30457114,,500,1.0,2,1157.30457114,1.0,1079.34,2.1793e-19,127845.920276,200.000000102,1.0
0.00333333,500.0,1.0,128.91,111335.328299,1185.37024349,0.00333333,100,0.8,0.00333333,1158.92,353.418,1185.37024349,,500,1.0,2,1185.37024349,1.0,1102.92,5.43914e-20,111335.328299,299.999969474,1.0
0.0025,500.0,1.0,128.34,141404.251414,1183.27517991,0.0025,100,0.8,0.0025,1165.01,358.869,1183.27517991,,500,1.0,2,1183.27517991,1.0,1116.51,5.4346e-20,141404.251414,400.0,1.0
0.0303525,153.380672379,3.25986,133.5,110775.422496,1230.58407141,1.51529e-05,100,0.8,0.002,1293.34,626.223,1230.58407141,2.149,500,16.6921,1,1230.58407141,1.09988,1215.01,7.10569e-06,110775.422496,180.318654814,0.0083332
0.01,500.0,1.0,134.34,118037.075947,1236.09832983,0.01,100,0.8,0.01,1236.1,341.843,1236.09832983,,500,1.0,2,1236.09832983,1.0,1140.24,3.50449e-18,118037.075947,100.0,1.0
0.005,500.0,1.0,136.25,81773.0329194,1254.17362461,0.005,100,0.8,0.005,1245.14,314.623,1254.17362461,,500,1.0,2,1254.17362461,1.0,1177.35,2.1793e-19,81773.0329194,200.000000102,1.0
0.00333333,500.0,1.0,130.42,117353.214298,1201.17567811,0.00333333,100,0.8,0.00333333,1230.48,324.265,1201.17567811,,500,1.0,2,1201.17567811,1.0,1175.14,5.43914e-20,117353.214298,299.999969474,1.0
0.0025,500.0,1.0,127.47,120094.5781,1173.56232573,0.0025,100,0.8,0.0025,1216.25,330.442,1173.56232573,,500,1.0,2,1173.56232573,1.0,1168.32,5.4346e-20,120094.5781,400.0,1.0
0.0224326,229.877578509,2.17507,134.92,114689.822382,1245.430444,4.83687e-05,100,0.8,0.002,1272.84,530.889,1245.430444,0.971501,500,11.3504,1,1245.430444,1.01196,1209.61,3.79471e-06,114689.822382,256.834393202,0.0244736
0.01,500.0,1.0,132.73,113918.927392,1220.95772308,0.01,100,0.8,0.01,1220.96,335.827,1220.95772308,,500,1.0,2,1220.95772308,1.0,1124.75,3.50449e-18,113918.927392,100.0,1.0
0.005,500.0,1.0,132.85,155881.202245,1224.57591987,0.005,100,0.8,0.005,1222.77,365.451,1224.57591987,,500,1.0,2,1224.57591987,1.0,1154.73,2.1793e-19,155881.202245,200.000000102,1.0
0.00333333,500.0,1.0,130.44,116733.865231,1202.42716518,0.00333333,100,0.8,0.00333333,1215.99,357.282,1202.42716518,,500,1.0,2,1202.42716518,1.0,1160.44,5.43914e-20,116733.865231,299.999969474,1.0
0.0025,500.0,1.0,130.56,120606.03586,1201.15565914,0.0025,100,0.8,0.0025,1212.28,354.442,1201.15565914,,500,1.0,2,1201.15565914,1.0,1164.17,5.4346e-20,120606.03586,400.0,1.0
0.002,500.0,1.0,127.86,117920.444657,1177.60497986,0.002,100,0.8,0.002,1205.34,352.199,1177.60497986,,500,1.0,1,1177.60497986,1.0,1162.32,5.43187e-20,117920.444657,500.000006643,1.0
0.01,500.0,1.0,132.75,109399.560702,1224.87131981,0.01,100,0.8,0.01,1224.87,329.098,1224.87131981,,500,1.0,2,1224.87131981,1.0,1135.49,3.50449e-18,109399.560702,100.0,1.0
0.005,500.0,1.0,136.13,115038.965097,1253.57489934,0.005,100,0.8,0.005,1239.22,333.621,1253.57489934,,500,1.0,2,1253.57489934,1.0,1170.16,2.1793e-19,115038.965097,200.000000102,1.0
0.00333333,500.0,1.0,126.89,147800.687292,1168.78901806,0.00333333,100,0.8,0.00333333,1215.74,352.248,1168.78901806,,500,1.0,2,1168.78901806,1.0,1159.35,5.43914e-20,147800.687292,299.999969474,1.0
0.0025,500.0,1.0,127.24,112242.204028,1169.84326976,0.0025,100,0.8,0.0025,1204.27,348.187,1169.84326976,,500,1.0,2,1169.84326976,1.0,1155.43,5.4346e-20,112242.204028,400.0,1.0
0.002,500.0,1.0,123.77,122625.268147,1136.64910068,0.002,100,0.8,0.002,1190.75,349.283,1136.64910068,,500,1.0,1,1136.64910068,1.0,1147.06,5.43187e-20,122625.268147,500.000006643,1.0
0.01,500.0,1.0,124.74,150349.135061,1149.56440598,0.01,100,0.8,0.01,1149.56,385.805,1149.56440598,,500,1.0,2,1149.56440598,1.0,1055.44,3.50449e-18,150349.135061,100.0,1.0
0.005,500.0,1.0,130.15,121597.575725,1199.66137602,0.005,100,0.8,0.005,1174.61,367.751,1199.66137602,,500,1.0,2,1199.66137602,1.0,1108.06,2.1793e-19,121597.575725,200.000000102,1.0
0.00333333,500.0,1.0,128.32,101390.797697,1183.25519025,0.00333333,100,0.8,0.00333333,1177.49,351.619,1183.25519025,,500,1.0,2,1183.25519025,1.0,1123.15,5.43914e-20,101390.797697,299.999969474,1.0
0.0025,500.0,1.0,127.62,144715.81272,1175.08805725,0.0025,100,0.8,0.0025,1176.89,358.532,1175.08805725,,500,1.0,2,1175.08805725,1.0,1129.83,5.4346e-20,144715.81272,400.0,1.0
0.002,500.0,1.0,129.17,133107.64656,1188.42156171,0.002,100,0.8,0.002,1179.2,359.462,1188.42156171,,500,1.0,1,1188.42156171,1.0,1137.11,5.43187e-20,133107.64656,500.000006643,1.0
0.01,500.0,1.0,133.4,115414.115718,1230.45906664,0.01,100,0.8,0.01,1230.46,338.024,1230.45906664,,500,1.0,2,1230.45906664,1.0,1140.04,3.50449e-18,115414.115718,100.0,1.0
0.005,500.0,1.0,128.3,146201.500501,1182.96119596,0.005,100,0.8,0.005,1206.71,360.644,1182.96119596,,500,1.0,2,1182.96119596,1.0,1138.81,2.1793e-19,146201.500501,200.000000102,1.0
0.00333333,500.0,1.0,130.85,118780.823293,1204.28852316,0.00333333,100,0.8,0.00333333,1205.9,354.835,1204.28852316,,500,1.0,2,1204.28852316,1.0,1150.46,5.43914e-20,118780.823293,299.999969474,1.0
0.0025,500.0,1.0,132.67,97307.2103226,1222.58420188,0.0025,100,0.8,0.0025,1210.07,344.335,1222.58420188,,500,1.0,2,1222.58420188,1.0,1162.06,5.4346e-20,97307.2103226,400.0,1.0
0.002,500.0,1.0,134.94,112608.056931,1242.55137722,0.002,100,0.8,0.002,1216.57,342.518,1242.55137722,,500,1.0,1,1242.55137722,1.0,1173.62,5.43187e-20,112608.056931,500.000006643,1.0
0.01,500.0,1.0,130.27,129797.915445,1200.81543155,0.01,100,0.8,0.01,1200.82,358.469,1200.81543155,,500,1.0,2,1200.81543155,1.0,1105.17,3.50449e-18,129797.915445,100.0,1.0
0.005,500.0,1.0,128.61,123946.821502,1185.00212978,0.005,100,0.8,0.005,1192.91,354.494,1185.00212978,,500,1.0,2,1185.00212978,1.0,1125.28,2.1793e-19,123946.821502,200.000000102,1.0
0.00333333,500.0,1.0,128.3,131760.382741,1182.28300631,0.00333333,100,0.8,0.00333333,1189.37,356.768,1182.28300631,,500,1.0,2,1182.28300631,1.0,1134.15,5.43914e-20,131760.382741,299.999969474,1.0
0.0025,500.0,1.0,131.82,122745.926807,1213.03388784,0.0025,100,0.8,0.0025,1195.28,354.89,1213.03388784,,500,1.0,2,1213.03388784,1.0,1147.46,5.4346e-20,122745.926807,400.0,1.0
0.002,500.0,1.0,128.25,138999.950295,1182.69185981,0.002,100,0.8,0.002,1192.77,358.197,1182.69185981,,500,1.0,1,1182.69185981,1.0,1148.86,5.43187e-20,138999.950295,500.000006643,1.0
0.01,500.0,1.0,130.39,120407.027128,1198.32386238,0.01,100,0.8,0.01,1198.32,345.258,1198.32386238,,500,1.0,2,1198.32386238,1.0,1106.89,3.50449e-18,120407.027128,100.0,1.0
0.005,500.0,1.0,127.85,129911.006167,1176.73739669,0.005,100,0.8,0.005,1187.53,352.17,1176.73739669,,500,1.0,2,1176.73739669,1.0,1122.87,2.1793e-19,129911.006167,200.000000102,1.0
0.00333333,500.0,1.0,134.22,126143.048387,1238.4603429,0.00333333,100,0.8,0.00333333,1204.51,353.392,1238.4603429,,500,1.0,2,1238.4603429,1.0,1147.7,5.43914e-20,126143.048387,299.999969474,1.0
0.0025,500.0,1.0,128.61,131977.452536,1183.31261017,0.0025,100,0.8,0.0025,1199.21,355.546,1183.31261017,,500,1.0,2,1183.31261017,1.0,1150.01,5.4346e-20,131977.452536,400.0,1.0
0.002,500.0,1.0,130.2,103816.665161,1201.66497386,0.002,100,0.8,0.002,1199.7,348.837,1201.66497386,,500,1.0,1,1201.66497386,1.0,1155.7,5.43187e-20,103816.665161,500.000006643,1.0
0.01,500.0,1.0,132.26,111504.844017,1216.51595226,0.01,100,0.8,0.01,1216.52,332.25,1216.51595226,,500,1.0,2,1216.51595226,1.0,1127.7,3.50449e-18,111504.844017,100.0,1.0
0.005,500.0,1.0,123.65,143709.90496,1138.09767567,0.005,100,0.8,0.005,1177.31,357.587,1138.09767567,,500,1.0,2,1138.09767567,1.0,1114.5,2.1793e-19,143709.90496,200.000000102,1.0
0.00333333,500.0,1.0,136.61,95977.3940305,1259.87580833,0.00333333,100,0.8,0.00333333,1204.83,344.141,1259.87580833,,500,1.0,2,1259.87580833,1.0,1151.25,5.43914e-20,95977.3940305,299.999969474,1.0
0.0025,500.0,1.0,124.93,170812.636278,1149.73814724,0.0025,100,0.8,0.0025,1191.06,362.864,1149.73814724,,500,1.0,2,1149.73814724,1.0,1142.99,5.4346e-20,170812.636278,400.0,1.0
0.002,500.0,1.0,124.28,130656.29221,1143.09119467,0.002,100,0.8,0.002,1181.46,362.732,1143.09119467,,500,1.0,1,1143.09119467,1.0,1138.47,5.43187e-20,130656.29221,500.000006643,1.0
0.01,500.0,1.0,134.52,109763.606299,1240.20004478,0.01,100,0.8,0.01,1240.2,329.645,1240.20004478,,500,1.0,2,1240.20004478,1.0,1151.75,3.50449e-18,109763.606299,100.0,1.0
0.005,500.0,1.0,132.54,116566.395167,1221.01929469,0.005,100,0.8,0.005,1230.61,334.851,1221.01929469,,500,1.0,2,1221.01929469,1.0,1163.54,2.1793e-19,116566.395167,200.000000102,1.0
0.00333333,500.0,1.0,128.6,103336.31461,1182.41367561,0.00333333,100,0.8,0.00333333,1214.54,330.707,1182.41367561,,500,1.0,2,1182.41367561,1.0,1159.78,5.43914e-20,103336.31461,299.999969474,1.0
0.0025,500.0,1.0,132.88,92249.2312691,1225.13244312,0.0025,100,0.8,0.0025,1217.19,323.849,1225.13244312,,500,1.0,2,1225.13244312,1.0,1169.77,5.4346e-20,92249.2312691,400.0,1.0
0.002,500.0,1.0,128.94,129961.966901,1187.27524746,0.002,100,0.8,0.002,1211.21,331.328,1187.27524746,,500,1.0,1,1187.27524746,1.0,1168.79,5.43187e-20,129961.966901,500.000006643,1.0
0.01,500.0,1.0,137.64,114059.79154,1268.5656765,0.01,100,0.8,0.01,1268.57,336.034,1268.5656765,,500,1.0,2,1268.5656765,1.0,1171.71,3.50449e-18,114059.79154,100.0,1.0
0.005,500.0,1.0,132.43,141042.849323,1219.29783587,0.005,100,0.8,0.005,1243.93,356.206,1219.29783587,,500,1.0,2,1219.29783587,1.0,1175.44,2.1793e-19,141042.849323,200.000000102,1.0
0.00333333,500.0,1.0,128.75,132839.397479,1187.21784325,0.00333333,100,0.8,0.00333333,1225.03,359.361,1187.21784325,,500,1.0,2,1187.21784325,1.0,1169.11,5.43914e-20,132839.397479,299.999969474,1.0
0.0025,500.0,1.0,130.85,112451.193139,1201.94440538,0.0025,100,0.8,0.0025,1219.26,353.252,1201.94440538,,500,1.0,2,1201.94440538,1.0,1170.83,5.4346e-20,112451.193139,400.0,1.0
0.002,500.0,1.0,121.16,146025.324757,1114.76394356,0.002,100,0.8,0.002,1198.36,361.233,1114.76394356,,500,1.0,1,1114.76394356,1.0,1155.04,5.43187e-20,146025.324757,500.000006643,1.0
0.01,500.0,1.0,136.12,79227.4777933,1251.06756116,0.01,100,0.8,0.01,1251.07,280.063,1251.06756116,,500,1.0,2,1251.06756116,1.0,1161.99,3.50449e-18,79227.4777933,100.0,1.0
0.005,500.0,1.0,128.19,146754.538735,1179.81878449,0.005,100,0.8,0.005,1215.44,336.348,1179.81878449,,500,1.0,2,1179.81878449,1.0,1151.53,2.1793e-19,146754.538735,200.000000102,1.0
0.00333333,500.0,1.0,131.93,131895.173674,1216.1032794,0.00333333,100,0.8,0.00333333,1215.66,344.885,1216.1032794,,500,1.0,2,1216.1032794,1.0,1163.48,5.43914e-20,131895.173674,299.999969474,1.0
0.0025,500.0,1.0,130.0,117357.671367,1198.09575602,0.0025,100,0.8,0.0025,1211.27,343.967,1198.09575602,,500,1.0,2,1198.09575602,1.0,1165.69,5.4346e-20,117357.671367,400.0,1.0
0.002,500.0,1.0,125.25,139161.070543,1153.55831424,0.002,100,0.8,0.002,1199.73,350.339,1153.55831424,,500,1.0,1,1153.55831424,1.0,1158.16,5.43187e-20,139161.070543,500.000006643,1.0
0.01,500.0,1.0,129.14,140408.457292,1190.58179006,0.01,100,0.8,0.01,1190.58,372.833,1190.58179006,,500,1.0,2,1190.58179006,1.0,1094.48,3.50449e-18,140408.457292,100.0,1.0
0.005,500.0,1.0,130.5,126126.061945,1201.59953164,0.005,100,0.8,0.005,1196.09,363.27,1201.59953164,,500,1.0,2,1201.59953164,1.0,1128.13,2.1793e-19,126126.061945,200.000000102,1.0
0.00333333,500.0,1.0,124.99,126669.90572,1149.08896395,0.00333333,100,0.8,0.00333333,1180.42,360.927,1149.08896395,,500,1.0,2,1149.08896395,1.0,1124.94,5.43914e-20,126669.90572,299.999969474,1.0
0.0025,500.0,1.0,131.06,105255.885173,1207.28591226,0.0025,100,0.8,0.0025,1187.14,351.977,1207.28591226,,500,1.0,2,1207.28591226,1.0,1139.09,5.4346e-20,105255.885173,400.0,1.0
0.002,500.0,1.0,131.76,126783.555137,1217.11041582,0.002,100,0.8,0.002,1193.13,352.643,1217.11041582,,500,1.0,1,1217.11041582,1.0,1150.15,5.43187e-20,126783.555137,500.000006643,1.0
0.01,500.0,1.0,134.61,123361.117443,1241.28815053,0.01,100,0.8,0.01,1241.29,349.467,1241.28815053,,500,1.0,2,1241.28815053,1.0,1146.65,3.50449e-18,123361.117443,100.0,1.0
0.005,500.0,1.0,126.27,128023.592881,1160.31757201,0.005,100,0.8,0.005,1200.8,355.07,1160.31757201,,500,1.0,2,1160.31757201,1.0,1133.88,2.1793e-19,128023.592881,200.000000102,1.0
0.00333333,500.0,1.0,131.78,140074.799118,1213.34076568,0.00333333,100,0.8,0.00333333,1204.98,360.984,1213.34076568,,500,1.0,2,1213.34076568,1.0,1150.34,5.43914e-20,140074.799118,299.999969474,1.0
0.0025,500.0,1.0,133.87,129280.747601,1232.13034197,0.0025,100,0.8,0.0025,1211.77,360.371,1232.13034197,,500,1.0,2,1232.13034197,1.0,1164.45,5.4346e-20,129280.747601,400.0,1.0
0.002,500.0,1.0,130.29,119656.864238,1198.50825886,0.002,100,0.8,0.002,1209.12,357.231,1198.50825886,,500,1.0,1,1198.50825886,1.0,1166.79,5.43187e-20,119656.864238,500.000006643,1.0
0.01,500.0,1.0,127.74,121546.263286,1174.23483083,0.01,100,0.8,0.01,1174.23,346.887,1174.23483083,,500,1.0,2,1174.23483083,1.0,1084.74,3.50449e-18,121546.263286,100.0,1.0
0.005,500.0,1.0,126.48,128574.32389,1167.33743706,0.005,100,0.8,0.005,1170.79,351.883,1167.33743706,,500,1.0,2,1167.33743706,1.0,1107.5,2.1793e-19,128574.32389,200.000000102,1.0
0.00333333,500.0,1.0,134.99,92369.4498909,1242.29795351,0.00333333,100,0.8,0.00333333,1194.62,337.885,1242.29795351,,500,1.0,2,1242.29795351,1.0,1142.95,5.43914e-20,92369.4498909,299.999969474,1.0
0.0025,500.0,1.0,127.55,143785.533703,1170.95277648,0.0025,100,0.8,0.0025,1188.71,348.305,1170.95277648,,500,1.0,2,1170.95277648,1.0,1143.96,5.4346e-20,143785.533703,400.0,1.0
0.016378,314.860929236,1.588,132.93,105966.117672,1224.10038028,2.46457e-05,100,0.8,0.002,1232.09,378.208,1224.10038028,0.620285,500,7.99603,1,1224.10038028,0.976436,1180.72,2.60234e-06,105966.117672,303.161952259,0.0120325
0.01,500.0,1.0,123.55,132238.88766,1138.2128004,0.01,100,0.8,0.01,1138.21,361.824,1138.2128004,,500,1.0,2,1138.2128004,1.0,1046.65,3.50449e-18,132238.88766,100.0,1.0
0.005,500.0,1.0,133.49,110534.747148,1229.6121621,0.005,100,0.8,0.005,1183.91,349.659,1229.6121621,,500,1.0,2,1229.6121621,1.0,1119.17,2.1793e-19,110534.747148,200.000000102,1.0
0.00333333,500.0,1.0,136.04,107703.139952,1252.99128576,0.00333333,100,0.8,0.00333333,1206.94,343.671,1252.99128576,,500,1.0,2,1252.99128576,1.0,1154.08,5.43914e-20,107703.139952,299.999969474,1.0
0.0025,500.0,1.0,131.57,124343.453952,1209.80455463,0.0025,100,0.8,0.0025,1207.66,345.484,1209.80455463,,500,1.0,2,1209.80455463,1.0,1159.35,5.4346e-20,124343.453952,400.0,1.0
0.002,500.0,1.0,135.41,91109.8731194,1246.2310752,0.002,100,0.8,0.002,1215.37,337.291,1246.2310752,,500,1.0,1,1246.2310752,1.0,1172.17,5.43187e-20,91109.8731194,500.000006643,1.0
0.01,500.0,1.0,132.25,111990.816489,1220.09804025,0.01,100,0.8,0.01,1220.1,332.973,1220.09804025,,500,1.0,2,1220.09804025,1.0,1136.21,3.50449e-18,111990.816489,100.0,1.0
0.005,500.0,1.0,131.03,121197.298783,1208.66227515,0.005,100,0.8,0.005,1214.38,339.795,1208.66227515,,500,1.0,2,1208.66227515,1.0,1151.65,2.1793e-19,121197.298783,200.000000102,1.0
0.00333333,500.0,1.0,123.25,144693.458675,1134.0879271,0.00333333,100,0.8,0.00333333,1187.62,355.184,1134.0879271,,500,1.0,2,1134.0879271,1.0,1136.39,5.43914e-20,144693.458675,299.999969474,1.0
0.0025,500.0,1.0,131.52,101591.66102,1211.69428055,0.0025,100,0.8,0.0025,1193.64,346.221,1211.69428055,,500,1.0,2,1211.69428055,1.0,1148.78,5.4346e-20,101591.66102,400.0,1.0
0.002,500.0,1.0,130.82,111988.928331,1203.48330318,0.002,100,0.8,0.002,1195.61,343.634,1203.48330318,,500,1.0,1,1203.48330318,1.0,1155.48,5.43187e-20,111988.928331,500.000006643,1.0
0.01,500.0,1.0,127.63,123419.076279,1173.74515689,0.01,100,0.8,0.01,1173.75,349.55,1173.74515689,,500,1.0,2,1173.74515689,1.0,1081.48,3.50449e-18,123419.076279,100.0,1.0
0.005,500.0,1.0,125.43,132144.507339,1153.66334875,0.005,100,0.8,0.005,1163.7,355.816,1153.66334875,,500,1.0,2,1153.66334875,1.0,1095.05,2.1793e-19,132144.507339,200.000000102,1.0
0.00333333,500.0,1.0,131.41,134289.500603,1211.87853199,0.00333333,100,0.8,0.00333333,1179.76,359.492,1211.87853199,,500,1.0,2,1211.87853199,1.0,1123.7,5.43914e-20,134289.500603,299.999969474,1.0
0.0025,500.0,1.0,126.83,138427.963631,1168.00285565,0.0025,100,0.8,0.0025,1176.82,362.233,1168.00285565,,500,1.0,2,1168.00285565,1.0,1128.27,5.4346e-20,138427.963631,400.0,1.0
0.002,500.0,1.0,127.27,128406.219326,1175.12034759,0.002,100,0.8,0.002,1176.48,361.103,1175.12034759,,500,1.0,1,1175.12034759,1.0,1133.06,5.43187e-20,128406.219326,500.000006643,1.0
0.01,500.0,1.0,122.69,147998.64004,1128.22198184,0.01,100,0.8,0.01,1128.22,382.778,1128.22198184,,500,1.0,2,1128.22198184,1.0,1035.98,3.50449e-18,147998.64004,100.0,1.0
0.005,500.0,1.0,136.72,90991.6308323,1261.92738061,0.005,100,0.8,0.005,1195.07,350.385,1261.92738061,,500,1.0,2,1261.92738061,1.0,1129.85,2.1793e-19,90991.6308323,200.000000102,1.0
0.00333333,500.0,1.0,128.22,117676.659622,1179.97052382,0.00333333,100,0.8,0.00333333,1190.04,347.463,1179.97052382,,500,1.0,2,1179.97052382,1.0,1136.78,5.43914e-20,117676.659622,299.999969474,1.0
0.0025,500.0,1.0,131.21,114236.406607,1208.4563066,0.0025,100,0.8,0.0025,1194.64,344.797,1208.4563066,,500,1.0,2,1208.4563066,1.0,1148.52,5.4346e-20,114236.406607,400.0,1.0
0.002,500.0,1.0,130.64,125168.641362,1203.05065604,0.002,100,0.8,0.002,1196.33,346.27,1203.05065604,,500,1.0,1,1203.05065604,1.0,1154.73,5.43187e-20,125168.641362,500.000006643,1.0
0.01,500.0,1.0,133.67,110994.846889,1230.16254895,0.01,100,0.8,0.01,1230.16,331.489,1230.16254895,,500,1.0,2,1230.16254895,1.0,1145.01,3.50449e-18,110994.846889,100.0,1.0
0.005,500.0,1.0,126.09,110497.927578,1159.46172105,0.005,100,0.8,0.005,1194.81,332.999,1159.46172105,,500,1.0,2,1159.46172105,1.0,1131.37,2.1793e-19,110497.927578,200.000000102,1.0
0.00333333,500.0,1.0,123.83,156898.387773,1142.09956461,0.00333333,100,0.8,0.00333333,1177.24,355.415,1142.09956461,,500,1.0,2,1142.09956461,1.0,1123.41,5.43914e-20,156898.387773,299.999969474,1.0
0.0025,500.0,1.0,126.94,131283.833037,1167.99436144,0.0025,100,0.8,0.0025,1174.93,356.719,1167.99436144,,500,1.0,2,1167.99436144,1.0,1128.31,5.4346e-20,131283.833037,400.0,1.0
0.002,500.0,1.0,132.51,120273.721484,1220.97580212,0.002,100,0.8,0.002,1184.14,354.898,1220.97580212,,500,1.0,1,1220.97580212,1.0,1140.48,5.43187e-20,120273.721484,500.000006643,1.0
0.01,500.0,1.0,128.17,125010.607143,1181.58691551,0.01,100,0.8,0.01,1181.59,351.796,1181.58691551,,500,1.0,2,1181.58691551,1.0,1094.95,3.50449e-18,125010.607143,100.0,1.0
0.005,500.0,1.0,130.97,113443.603601,1205.83542984,0.005,100,0.8,0.005,1193.71,343.776,1205.83542984,,500,1.0,2,1205.83542984,1.0,1126.53,2.1793e-19,113443.603601,200.000000102,1.0
0.00333333,500.0,1.0,126.9,137368.055594,1168.8866336,0.00333333,100,0.8,0.00333333,1185.44,352.5,1168.8866336,,500,1.0,2,1168.8866336,1.0,1130.58,5.43914e-20,137368.055594,299.999969474,1.0
0.0025,500.0,1.0,132.51,115866.518447,1218.70567447,0.0025,100,0.8,0.0025,1193.75,349.395,1218.70567447,,500,1.0,2,1218.70567447,1.0,1146.25,5.4346e-20,115866.518447,400.0,1.0
0.002,500.0,1.0,127.7,130607.18004,1175.55153273,0.002,100,0.8,0.002,1190.11,351.532,1175.55153273,,500,1.0,1,1175.55153273,1.0,1147.62,5.43187e-20,130607.18004,500.000006643,1.0
0.01,500.0,1.0,137.22,120341.416388,1262.79912591,0.01,100,0.8,0.01,1262.8,345.164,1262.79912591,,500,1.0,2,1262.79912591,1.0,1167.14,3.50449e-18,120341.416388,100.0,1.0
0.005,500.0,1.0,123.88,131961.463788,1140.01900337,0.005,100,0.8,0.005,1201.41,358.69,1140.01900337,,500,1.0,2,1140.01900337,1.0,1133.77,2.1793e-19,131961.463788,200.000000102,1.0
0.00333333,500.0,1.0,127.92,133138.337335,1176.98143439,0.00333333,100,0.8,0.00333333,1193.27,360.334,1176.98143439,,500,1.0,2,1176.98143439,1.0,1138.04,5.43914e-20,133138.337335,299.999969474,1.0
0.0025,500.0,1.0,133.86,137799.841316,1235.24577282,0.0025,100,0.8,0.0025,1203.76,363.065,1235.24577282,,500,1.0,2,1235.24577282,1.0,1155.93,5.4346e-20,137799.841316,400.0,1.0
0.002,500.0,1.0,127.85,117462.108369,1178.4760989,0.002,100,0.8,0.002,1198.7,358.905,1178.4760989,,500,1.0,1,1178.4760989,1.0,1155.92,5.43187e-20,117462.108369,500.000006643,1.0
0.01,500.0,1.0,128.77,118922.28498,1187.10601662,0.01,100,0.8,0.01,1187.11,343.122,1187.10601662,,500,1.0,2,1187.10601662,1.0,1102.44,3.50449e-18,118922.28498,100.0,1.0
0.005,500.0,1.0,124.99,139680.629608,1150.10736473,0.005,100,0.8,0.005,1168.61,358.261,1150.10736473,,500,1.0,2,1150.10736473,1.0,1101.9,2.1793e-19,139680.629608,200.000000102,1.0
0.00333333,500.0,1.0,132.09,121198.810057,1215.8449861,0.00333333,100,0.8,0.00333333,1184.35,355.047,1215.8449861,,500,1.0,2,1215.8449861,1.0,1129.89,5.43914e-20,121198.810057,299.999969474,1.0
0.0025,500.0,1.0,124.98,119488.39692,1149.43813368,0.0025,100,0.8,0.0025,1175.62,352.627,1149.43813368,,500,1.0,2,1149.43813368,1.0,1128.26,5.4346e-20,119488.39692,400.0,1.0
0.002,500.0,1.0,133.81,117231.850156,1233.99043517,0.002,100,0.8,0.002,1187.3,351.047,1233.99043517,,500,1.0,1,1233.99043517,1.0,1144.86,5.43187e-20,117231.850156,500.000006643,1.0
0.01,500.0,1.0,124.35,119484.826298,1143.6801531,0.01,100,0.8,0.01,1143.68,343.933,1143.6801531,,500,1.0,2,1143.6801531,1.0,1055.43,3.50449e-18,119484.826298,100.0,1.0
0.005,500.0,1.0,132.78,105736.785624,1222.78991963,0.005,100,0.8,0.005,1183.24,336.228,1222.78991963,,500,1.0,2,1222.78991963,1.0,1119.41,2.1793e-19,105736.785624,200.000000102,1.0
0.00333333,500.0,1.0,127.6,114561.117336,1173.25898387,0.00333333,100,0.8,0.00333333,1179.91,336.442,1173.25898387,,500,1.0,2,1173.25898387,1.0,1125.12,5.43914e-20,114561.117336,299.999969474,1.0
0.0025,500.0,1.0,138.17,107538.70477,1274.98349402,0.0025,100,0.8,0.0025,1203.68,336.461,1274.98349402,,500,1.0,2,1274.98349402,1.0,1156.23,5.4346e-20,107538.70477,400.0,1.0
0.002,500.0,1.0,134.11,99053.8585457,1232.64669325,0.002,100,0.8,0.002,1209.47,332.132,1232.64669325,,500,1.0,1,1232.64669325,1.0,1167.03,5.43187e-20,99053.8585457,500.000006643,1.0
0.01,500.0,1.0,130.56,137628.769402,1201.04293039,0.01,100,0.8,0.01,1201.04,369.124,1201.04293039,,500,1.0,2,1201.04293039,1.0,1104.68,3.50449e-18,137628.769402,100.0,1.0
0.005,500.0,1.0,129.78,115358.197457,1196.14727915,0.005,100,0.8,0.005,1198.6,353.885,1196.14727915,,500,1.0,2,1196.14727915,1.0,1130.45,2.1793e-19,115358.197457,200.000000102,1.0
0.00333333,500.0,1.0,128.01,141366.847479,1177.9763827,0.00333333,100,0.8,0.00333333,1191.72,360.881,1177.9763827,,500,1.0,2,1177.9763827,1.0,1136.08,5.43914e-20,141366.847479,299.999969474,1.0
0.0025,500.0,1.0,135.5,89023.5634276,1248.42679427,0.0025,100,0.8,0.0025,1205.9,346.861,1248.42679427,,500,1.0,2,1248.42679427,1.0,1157.71,5.4346e-20,89023.5634276,400.0,1.0
0.002,500.0,1.0,133.81,107909.298082,1235.02109777,0.002,100,0.8,0.002,1211.72,343.15,1235.02109777,,500,1.0,1,1235.02109777,1.0,1168.63,5.43187e-20,107909.298082,500.000006643,1.0
0.01,500.0,1.0,128.47,107959.046216,1182.44472357,0.01,100,0.8,0.01,1182.44,326.924,1182.44472357,,500,1.0,2,1182.44472357,1.0,1092.45,3.50449e-18,107959.046216,100.0,1.0
0.005,500.0,1.0,127.47,129155.768578,1173.71842337,0.005,100,0.8,0.005,1178.08,342.624,1173.71842337,,500,1.0,2,1173.71842337,1.0,1114.45,2.1793e-19,129155.768578,200.000000102,1.0
