ESSRenyi,IterType,MaxNormIw,EpsThisIter,MinNormIw,VarJ,VanillaAvgRet,J,VarVanillaIw,eRenyi2,VarRet,AvgDiscRet,AvgRet,Delta,MinVanillaIw,AvgEpLen,BatchSize,MaxVanillaIw,AvgNormIw,AvgVanillaIw,VarNormIw,VarDiscRet,Bound,ESSClassic
500.0,2,0.01,100,0.01,341.813,1447.92604502,1447.93,,1.0,118016.374316,1447.92604502,1447.92604502,0.6,1.0,158.16,500,1.0,0.01,1.0,3.50449e-18,118016.374316,1248.1,100.0
500.0,2,0.005,100,0.005,346.898,1519.19217409,1483.56,,1.0,122525.789175,1519.19217409,1519.19217409,0.6,1.0,165.62,500,1.0,0.005,1.0,2.1793e-19,122525.789175,1342.26,200.000000102
500.0,2,0.00333333,100,0.00333333,390.272,1663.69929004,1543.61,,1.0,196592.322331,1663.69929004,1663.69929004,0.6,1.0,181.11,500,1.0,0.00333333,1.0,5.43914e-20,196592.322331,1389.89,299.999969474
500.0,2,0.0025,100,0.0025,388.961,1532.39504998,1540.8,,1.0,149627.130849,1532.39504998,1532.39504998,0.6,1.0,166.83,500,1.0,0.0025,1.0,5.4346e-20,149627.130849,1407.68,400.0
39.2765252777,1,0.662979,100,7.83364e-08,5573.12,1458.68359398,2281.43,1174.44,12.7303,129152.761492,1458.68359398,1458.68359398,0.6,9.05096e-05,158.8,500,766.003,0.002,2.31079,0.000879772,129152.761492,1856.61,2.26754473102
500.0,2,0.01,100,0.01,440.14,1568.61621742,1568.62,,1.0,195679.600631,1568.61621742,1568.61621742,0.6,1.0,170.76,500,1.0,0.01,1.0,3.50449e-18,195679.600631,1344.73,100.0
500.0,2,0.005,100,0.005,418.238,1532.74374631,1550.68,,1.0,157051.036607,1532.74374631,1532.74374631,0.6,1.0,166.97,500,1.0,0.005,1.0,2.1793e-19,157051.036607,1392.37,200.000000102
500.0,2,0.00333333,100,0.00333333,406.29,1582.04008995,1561.13,,1.0,146173.379453,1582.04008995,1582.04008995,0.6,1.0,172.17,500,1.0,0.00333333,1.0,5.43914e-20,146173.379453,1431.87,299.999969474
500.0,2,0.0025,100,0.0025,411.556,1587.37640887,1567.69,,1.0,183619.78835,1587.37640887,1587.37640887,0.6,1.0,172.82,500,1.0,0.0025,1.0,5.4346e-20,183619.78835,1450.54,400.0
14.9205173278,1,0.73556,100,8.00363e-14,4432.13,1510.82441614,2604.25,2120.59,33.5109,136632.754116,1510.82441614,1510.82441614,0.6,1.11634e-10,164.45,500,1025.95,0.002,2.78958,0.00109003,136632.754116,1997.68,1.83175731363
