VarRet,J,AvgNormIw,AvgRet,MaxNormIw,AvgVanillaIw,MaxVanillaIw,VarNormIw,BatchSize,VarDiscRet,ESSRenyi,ESSClassic,AvgDiscRet,MinNormIw,MinVanillaIw,Bound,VarVanillaIw,AvgEpLen,VarJ,eRenyi2
53457.518956055006,850.0606,0.009999998,1923.7240948882886,0.01,1.0,1.0,3.5044917e-18,100,2890.3395912163614,inf,100.0,850.0606563194416,0.01,1.0,850.0606,,192.58,53.49239,
30124.952878271506,855.07355,0.009999998,1940.9283409157208,0.01,1.0,1.0,3.5044917e-18,100,1290.339697004078,inf,100.0,855.0736384429193,0.01,1.0,855.07355,,194.29,35.741238,
43801.626994048245,852.17316,0.009999998,1931.1408427043445,0.01,1.0,1.0,3.5044917e-18,100,2244.649215723308,inf,100.0,852.1731384768057,0.01,1.0,852.17316,,193.32,47.140247,
40568.323042212774,853.50684,0.009999998,1937.9215627915225,0.01,1.0,1.0,3.5044917e-18,100,2013.057124796493,inf,100.0,853.5068719376972,0.01,1.0,853.50684,,193.99,44.64221,
44085.67275741382,853.36285,0.009999998,1940.7153125239163,0.01,1.0,1.0,3.5044917e-18,100,2550.9378684319477,inf,100.0,853.3628283046189,0.01,1.0,853.36285,,194.24,50.253643,
39762.029880129616,855.43665,0.009999998,1951.6613204617797,0.01,1.0,1.0,3.5044917e-18,100,2141.4036830710193,inf,100.0,855.4366401920697,0.01,1.0,855.43665,,195.29,46.043343,
35264.609848232394,855.47614,0.009999998,1948.233535861261,0.01,1.0,1.0,3.5044917e-18,100,1755.8093345088148,inf,100.0,855.4761264157778,0.01,1.0,855.47614,,195.0,41.69234,
20421.539295904127,856.97675,0.009999998,1947.233446188718,0.01,1.0,1.0,3.5044917e-18,100,698.7858229387664,inf,100.0,856.9767734556325,0.01,1.0,856.97675,,194.94,26.30205,
18079.909113469137,857.7562,0.009999998,1951.5288938399963,0.01,1.0,1.0,3.5044917e-18,100,660.0165943829691,inf,100.0,857.7562294888468,0.01,1.0,857.7562,,195.35,25.562014,
20904.86917398882,857.9173,0.009999998,1955.004014017582,0.01,1.0,1.0,3.5044917e-18,100,883.115975579801,inf,100.0,857.91734053323,0.01,1.0,857.9173,,195.69,29.568308,
42272.08356717799,852.52905,0.009999998,1932.6335327311047,0.01,1.0,1.0,3.5044917e-18,100,2207.4336792194654,inf,100.0,852.5290776995412,0.01,1.0,852.52905,,193.48,46.747826,
31690.09280633197,855.79767,0.009999998,1947.826251774151,0.01,1.0,1.0,3.5044917e-18,100,1541.155586062051,inf,100.0,855.7976946860533,0.01,1.0,855.79767,,194.95,39.060772,
