VanillaAvgRet,MinNormIw,IterType,VarJ,VarRet,Delta,Bound,VarVanillaIw,AvgDiscRet,ESSRenyi,AvgNormIw,EpsThisIter,MaxVanillaIw,VarDiscRet,AvgVanillaIw,MinVanillaIw,MaxNormIw,eRenyi2,J,AvgRet,VarNormIw,BatchSize,AvgEpLen,ESSClassic
4568.29478262,0.005,2,344.784,89435.3494303,0.2,3897.53,,4568.29478262,500.0,0.005,100,1.0,89435.3494303,1.0,1.0,0.005,1.0,4559.32,4568.29478262,2.1793e-19,500,492.53,200.000000102
4525.78038264,0.00333333,2,381.665,200507.282198,0.2,4007.79,,4525.78038264,500.0,0.00333333,100,1.0,200507.282198,1.0,1.0,0.00333333,1.0,4548.14,4525.78038264,5.43914e-20,500,487.53,299.999969474
4541.29719973,0.0025,2,392.355,180535.555285,0.2,4078.43,,4541.29719973,500.0,0.0025,100,1.0,180535.555285,1.0,1.0,0.0025,1.0,4546.43,4541.29719973,5.4346e-20,500,489.45,400.0
4542.62071105,0.000190246,1,215.424,165749.812093,0.2,4157.75,0.109794,4542.62071105,453.498132024,0.002,100,1.78615,165749.812093,0.992152,0.0943764,0.00360056,1.10254,4597.28,4542.62071105,4.46152e-07,500,490.18,449.917541789
4562.5998389,0.01,2,454.647,208791.51981,0.2,3626.83,,4562.5998389,500.0,0.01,100,1.0,208791.51981,1.0,1.0,0.01,1.0,4562.6,4562.5998389,3.50449e-18,500,491.31,100.0
4622.53153927,0.005,2,370.122,66142.1060581,0.2,3930.87,,4622.53153927,500.0,0.005,100,1.0,66142.1060581,1.0,1.0,0.005,1.0,4592.57,4622.53153927,2.1793e-19,500,497.26,200.000000102
4583.25309209,0.00333333,2,365.828,128739.678863,0.2,4049.19,,4583.25309209,500.0,0.00333333,100,1.0,128739.678863,1.0,1.0,0.00333333,1.0,4589.46,4583.25309209,5.43914e-20,500,493.71,299.999969474
4500.16826002,0.0025,2,402.956,244467.08052,0.2,4099.18,,4500.16826002,500.0,0.0025,100,1.0,244467.08052,1.0,1.0,0.0025,1.0,4567.14,4500.16826002,5.4346e-20,500,485.22,400.0
4537.55962673,0.000356171,1,191.815,248139.953298,0.2,4174.07,0.0920224,4537.55962673,460.65051351,0.002,100,1.79719,248139.953298,0.980301,0.174577,0.00366661,1.08542,4610.15,4537.55962673,3.83032e-07,500,488.53,456.385006726
4634.32516162,0.01,2,174.991,30931.2625664,0.2,3698.37,,4634.32516162,500.0,0.01,100,1.0,30931.2625664,1.0,1.0,0.01,1.0,4634.33,4634.32516162,3.50449e-18,500,498.17,100.0
4580.11144915,0.005,2,283.453,129898.567296,0.2,3945.4,,4580.11144915,500.0,0.005,100,1.0,129898.567296,1.0,1.0,0.005,1.0,4607.22,4580.11144915,2.1793e-19,500,492.71,200.000000102
4631.23620926,0.00333333,2,239.933,11745.1127575,0.2,4074.83,,4631.23620926,500.0,0.00333333,100,1.0,11745.1127575,1.0,1.0,0.00333333,1.0,4615.22,4631.23620926,5.43914e-20,500,498.37,299.999969474
4590.49201068,0.0025,2,270.545,120825.578738,0.2,4141.04,,4590.49201068,500.0,0.0025,100,1.0,120825.578738,1.0,1.0,0.0025,1.0,4609.04,4590.49201068,5.4346e-20,500,493.98,400.0
4642.96458648,0.000801771,1,174.203,1503.76597388,0.2,4203.42,0.0253763,4642.96458648,488.302998806,0.002,100,1.31264,1503.76597388,1.00197,0.401674,0.00262013,1.02395,4627.0,4642.96458648,1.01107e-07,500,500.0,487.697218034
4645.77493521,0.01,2,61.465,3816.10705418,0.2,3709.81,,4645.77493521,500.0,0.01,100,1.0,3816.10705418,1.0,1.0,0.01,1.0,4645.77,4645.77493521,3.50449e-18,500,499.44,100.0
4580.78875891,0.005,2,210.544,83603.7154626,0.2,3951.44,,4580.78875891,500.0,0.005,100,1.0,83603.7154626,1.0,1.0,0.005,1.0,4613.28,4580.78875891,2.1793e-19,500,493.19,200.000000102
4620.17557317,0.00333333,2,201.516,33472.1106944,0.2,4075.19,,4620.17557317,500.0,0.00333333,100,1.0,33472.1106944,1.0,1.0,0.00333333,1.0,4615.58,4620.17557317,5.43914e-20,500,497.38,299.999969474
4636.36093013,0.0025,2,181.055,9063.4084691,0.2,4152.78,,4636.36093013,500.0,0.0025,100,1.0,9063.4084691,1.0,1.0,0.0025,1.0,4620.77,4636.36093013,5.4346e-20,500,498.89,400.0
4624.57911535,0.00094472,1,125.201,53825.8930451,0.2,4208.89,0.025673,4624.57911535,488.547569716,0.002,100,1.27351,53825.8930451,0.992499,0.468817,0.00256626,1.02344,4632.35,4624.57911535,1.0425e-07,500,497.15,487.324421018
4634.10278327,0.01,2,120.531,14674.418427,0.2,3698.12,,4634.10278327,500.0,0.01,100,1.0,14674.418427,1.0,1.0,0.01,1.0,4634.1,4634.10278327,3.50449e-18,500,497.88,100.0
4653.80216199,0.005,2,87.5359,609.455680698,0.2,3982.11,,4653.80216199,500.0,0.005,100,1.0,609.455680698,1.0,1.0,0.005,1.0,4643.95,4653.80216199,2.1793e-19,500,500.0,200.000000102
4628.82965627,0.00333333,2,123.494,30580.8601643,0.2,4098.52,,4628.82965627,500.0,0.00333333,100,1.0,30580.8601643,1.0,1.0,0.00333333,1.0,4638.91,4628.82965627,5.43914e-20,500,497.68,299.999969474
4625.01713729,0.0025,2,158.133,54673.8387022,0.2,4167.45,,4625.01713729,500.0,0.0025,100,1.0,54673.8387022,1.0,1.0,0.0025,1.0,4635.44,4625.01713729,5.4346e-20,500,497.47,400.0
4651.05169162,0.00101585,1,88.8634,739.60721071,0.2,4223.35,0.0122361,4651.05169162,494.13548227,0.002,100,1.24251,739.60721071,1.00834,0.512159,0.00246448,1.01187,4644.41,4651.05169162,4.81383e-08,500,500.0,494.065835052
4646.04772421,0.01,2,64.5062,4203.07486225,0.2,3710.1,,4646.04772421,500.0,0.01,100,1.0,4203.07486225,1.0,1.0,0.01,1.0,4646.05,4646.04772421,3.50449e-18,500,499.31,100.0
4627.5024645,0.005,2,137.107,33599.6102018,0.2,3974.96,,4627.5024645,500.0,0.005,100,1.0,33599.6102018,1.0,1.0,0.005,1.0,4636.78,4627.5024645,2.1793e-19,500,497.29,200.000000102
4614.86219976,0.00333333,2,174.253,53712.2856546,0.2,4089.08,,4614.86219976,500.0,0.00333333,100,1.0,53712.2856546,1.0,1.0,0.00333333,1.0,4629.47,4614.86219976,5.43914e-20,500,496.71,299.999969474
4651.38360645,0.0025,2,151.763,683.187883214,0.2,4166.95,,4651.38360645,500.0,0.0025,100,1.0,683.187883214,1.0,1.0,0.0025,1.0,4634.95,4651.38360645,5.4346e-20,500,500.0,400.0
4626.32896323,0.00102402,1,113.053,28987.2939056,0.2,4217.86,0.0147947,4626.32896323,493.401846206,0.002,100,1.25148,28987.2939056,0.998078,0.511028,0.00250778,1.01337,4639.24,4626.32896323,5.94069e-08,500,497.58,492.697106052
4635.48680084,0.01,2,182.448,33623.3380268,0.2,3699.5,,4635.48680084,500.0,0.01,100,1.0,33623.3380268,1.0,1.0,0.01,1.0,4635.49,4635.48680084,3.50449e-18,500,498.07,100.0
4624.02080607,0.005,2,227.257,70644.8229353,0.2,3967.91,,4624.02080607,500.0,0.005,100,1.0,70644.8229353,1.0,1.0,0.005,1.0,4629.75,4624.02080607,2.1793e-19,500,497.02,200.000000102
4642.0463352,0.00333333,2,191.864,7115.0722405,0.2,4093.46,,4642.0463352,500.0,0.00333333,100,1.0,7115.0722405,1.0,1.0,0.00333333,1.0,4633.85,4642.0463352,5.43914e-20,500,498.81,299.999969474
4644.79407493,0.0025,2,171.351,6988.50361994,0.2,4168.6,,4644.79407493,500.0,0.0025,100,1.0,6988.50361994,1.0,1.0,0.0025,1.0,4636.59,4644.79407493,5.4346e-20,500,499.14,400.0
4629.81673164,0.000999068,1,108.513,46630.1195543,0.2,4220.77,0.015243,4629.81673164,492.949708201,0.002,100,1.22031,46630.1195543,1.00251,0.500786,0.00243451,1.0143,4642.34,4629.81673164,6.06674e-08,500,497.71,492.544427383
4637.05792801,0.01,2,140.323,19889.533513,0.2,3701.06,,4637.05792801,500.0,0.01,100,1.0,19889.533513,1.0,1.0,0.01,1.0,4637.06,4637.05792801,3.50449e-18,500,497.99,100.0
4653.60979733,0.005,2,101.682,859.223899063,0.2,3983.48,,4653.60979733,500.0,0.005,100,1.0,859.223899063,1.0,1.0,0.005,1.0,4645.33,4653.60979733,2.1793e-19,500,500.0,200.000000102
4632.96317695,0.00333333,2,140.773,39061.5345421,0.2,4100.81,,4632.96317695,500.0,0.00333333,100,1.0,39061.5345421,1.0,1.0,0.00333333,1.0,4641.21,4632.96317695,5.43914e-20,500,498.0,299.999969474
4632.6889534,0.0025,2,161.219,44910.079703,0.2,4171.08,,4632.6889534,500.0,0.0025,100,1.0,44910.079703,1.0,1.0,0.0025,1.0,4639.08,4632.6889534,5.4346e-20,500,497.74,400.0
4625.68500725,0.000716661,1,88.8527,80619.2333779,0.2,4224.61,0.0227674,4625.68500725,490.441756136,0.002,100,1.28801,80619.2333779,0.992736,0.355728,0.00259486,1.01949,4647.26,4625.68500725,9.24073e-08,500,497.02,488.731896438
4651.79164064,0.01,2,22.105,493.564660422,0.2,3715.94,,4651.79164064,500.0,0.01,100,1.0,493.564660422,1.0,1.0,0.01,1.0,4651.79,4651.79164064,3.50449e-18,500,500.0,100.0
4636.07008383,0.005,2,151.662,45848.8460069,0.2,3982.18,,4636.07008383,500.0,0.005,100,1.0,45848.8460069,1.0,1.0,0.005,1.0,4643.93,4636.07008383,2.1793e-19,500,497.73,200.000000102
4618.33331096,0.00333333,2,180.412,51723.7413288,0.2,4095.0,,4618.33331096,500.0,0.00333333,100,1.0,51723.7413288,1.0,1.0,0.00333333,1.0,4635.4,4618.33331096,5.43914e-20,500,496.69,299.999969474
4644.25441067,0.0025,2,165.532,12018.7234246,0.2,4169.62,,4644.25441067,500.0,0.0025,100,1.0,12018.7234246,1.0,1.0,0.0025,1.0,4637.61,4644.25441067,5.4346e-20,500,498.84,400.0
4648.98497394,0.000942179,1,90.521,1292.8282354,0.2,4224.7,0.0127416,4648.98497394,494.055624699,0.002,100,1.23018,1292.8282354,0.993153,0.467864,0.00247732,1.01203,4645.8,4648.98497394,5.16714e-08,500,499.85,493.636066957
4644.08376977,0.01,2,90.6649,8303.15707018,0.2,3708.1,,4644.08376977,500.0,0.01,100,1.0,8303.15707018,1.0,1.0,0.01,1.0,4644.08,4644.08376977,3.50449e-18,500,499.09,100.0
4650.01538754,0.005,2,67.0886,771.766539805,0.2,3985.2,,4650.01538754,500.0,0.005,100,1.0,771.766539805,1.0,1.0,0.005,1.0,4647.05,4650.01538754,2.1793e-19,500,500.0,200.000000102
4657.78430421,0.00333333,2,56.1014,367.188281916,0.2,4110.23,,4657.78430421,500.0,0.00333333,100,1.0,367.188281916,1.0,1.0,0.00333333,1.0,4650.63,4657.78430421,5.43914e-20,500,500.0,299.999969474
4644.28256859,0.0025,2,59.5402,4755.38363995,0.2,4181.04,,4644.28256859,500.0,0.0025,100,1.0,4755.38363995,1.0,1.0,0.0025,1.0,4649.04,4644.28256859,5.4346e-20,500,499.16,400.0
4650.14049729,0.00136974,1,52.4796,4361.46350943,0.2,4231.32,0.00287633,4650.14049729,498.587437981,0.002,100,1.09222,4361.46350943,0.99867,0.683959,0.00218734,1.00283,4650.5,4650.14049729,1.1536e-08,500,499.32,498.564974282
4658.69295468,0.01,2,17.1687,297.743698091,0.2,3722.74,,4658.69295468,500.0,0.01,100,1.0,297.743698091,1.0,1.0,0.01,1.0,4658.69,4658.69295468,3.50449e-18,500,500.0,100.0
4655.30216288,0.005,2,18.5944,394.936365714,0.2,3995.18,,4655.30216288,500.0,0.005,100,1.0,394.936365714,1.0,1.0,0.005,1.0,4657.0,4655.30216288,2.1793e-19,500,500.0,200.000000102
4655.50808155,0.00333333,2,18.6882,358.354822787,0.2,4116.13,,4655.50808155,500.0,0.00333333,100,1.0,358.354822787,1.0,1.0,0.00333333,1.0,4656.5,4655.50808155,5.43914e-20,500,500.0,299.999969474
4652.7718926,0.0025,2,21.3425,771.542362638,0.2,4187.59,,4652.7718926,500.0,0.0025,100,1.0,771.542362638,1.0,1.0,0.0025,1.0,4655.57,4652.7718926,5.4346e-20,500,500.0,400.0
4653.83815737,0.00155443,1,24.4946,1942.94266163,0.2,4236.98,0.00165667,4653.83815737,499.248681622,0.002,100,1.06313,1942.94266163,0.999829,0.777082,0.00212662,1.0015,4655.87,4653.83815737,6.62897e-09,500,499.78,499.17434419
4646.72616826,0.01,2,78.5909,6238.90984865,0.2,3710.76,,4646.72616826,500.0,0.01,100,1.0,6238.90984865,1.0,1.0,0.01,1.0,4646.73,4646.72616826,3.50449e-18,500,499.35,100.0
4644.67427729,0.005,2,91.5201,10680.0292177,0.2,3983.86,,4644.67427729,500.0,0.005,100,1.0,10680.0292177,1.0,1.0,0.005,1.0,4645.7,4644.67427729,2.1793e-19,500,498.7,200.000000102
4654.81052719,0.00333333,2,75.531,310.704135481,0.2,4108.35,,4654.81052719,500.0,0.00333333,100,1.0,310.704135481,1.0,1.0,0.00333333,1.0,4648.74,4654.81052719,5.43914e-20,500,500.0,299.999969474
4653.74888731,0.0025,2,66.6517,642.592980126,0.2,4182.0,,4653.74888731,500.0,0.0025,100,1.0,642.592980126,1.0,1.0,0.0025,1.0,4649.99,4653.74888731,5.4346e-20,500,500.0,400.0
4645.27951962,0.00127736,1,59.0523,14966.3347088,0.2,4231.8,0.00602756,4645.27951962,497.352625201,0.002,100,1.12741,14966.3347088,1.00075,0.639156,0.00225312,1.00532,4651.5,4645.27951962,2.40742e-08,500,498.71,497.014651585
4642.87942168,0.01,2,152.72,23559.1406177,0.2,3706.99,,4642.87942168,500.0,0.01,100,1.0,23559.1406177,1.0,1.0,0.01,1.0,4642.88,4642.87942168,3.50449e-18,500,498.41,100.0
4658.5596515,0.005,2,109.025,329.50984874,0.2,3988.91,,4658.5596515,500.0,0.005,100,1.0,329.50984874,1.0,1.0,0.005,1.0,4650.72,4658.5596515,2.1793e-19,500,500.0,200.000000102
4650.22742899,0.00333333,2,91.4248,1315.76950842,0.2,4110.19,,4650.22742899,500.0,0.00333333,100,1.0,1315.76950842,1.0,1.0,0.00333333,1.0,4650.56,4650.22742899,5.43914e-20,500,499.73,299.999969474
4656.19071874,0.0025,2,80.0479,536.739425545,0.2,4183.99,,4656.19071874,500.0,0.0025,100,1.0,536.739425545,1.0,1.0,0.0025,1.0,4651.96,4656.19071874,5.4346e-20,500,500.0,400.0
4640.42594712,0.00131577,1,65.3931,19945.8332975,0.2,4232.51,0.00609213,4640.42594712,497.309459151,0.002,100,1.14017,19945.8332975,0.997449,0.656205,0.00228617,1.00541,4652.21,4640.42594712,2.44934e-08,500,498.52,496.962901766
4661.55241815,0.01,2,16.338,269.628120293,0.2,3725.62,,4661.55241815,500.0,0.01,100,1.0,269.628120293,1.0,1.0,0.01,1.0,4661.55,4661.55241815,3.50449e-18,500,500.0,100.0
4653.29654474,0.005,2,20.003,504.268386331,0.2,3995.62,,4653.29654474,500.0,0.005,100,1.0,504.268386331,1.0,1.0,0.005,1.0,4657.42,4653.29654474,2.1793e-19,500,500.0,200.000000102
