J,MinNormIw,VarDiscRet,MaxNormIw,VarJ,AvgEpLen,BatchSize,ESSRenyi,MaxVanillaIw,delta,Bound,ESSClassic,EpsThisIter,MinVanillaIw,AvgNormIw,AvgRet,IterType,AvgDiscRet,VanillaAvgRet,VarNormIw,VarVanillaIw,VarRet,AvgVanillaIw,renyi2,SamplesThisIter
-9253.4,1.27448e-24,1042.09141219,0.000194712,503.167,91.2408759124,100,nan,23.728,0.7,-58.3421,2.84919824683,548,1.55312e-19,1.01379e-05,-62.1154090901,1,-62.1154090901,-62.1154090901,2.51715e-10,3.73808,1042.09141219,1.23543,nan,50000
-6825.53,,118.239444718,0.097517,335.948,89.928057554,100,nan,9.5458e+17,0.7,-35.6907,9.99701412165,556,,9.99201e-06,-60.8453590682,1,-60.8453590682,-60.8453590682,9.50389e-07,9.10679e+31,118.239444718,9.78103e+13,nan,50000
-10620.1,3.53674e-09,246.07707056,5.98158e-05,170.337,92.4214417745,100,,6.34953,0.7,-66.842,4.90034261954,541,0.00037543,1.0269e-05,-63.1195730745,1,-63.1195730745,-63.1195730745,5.44015e-11,0.613002,246.07707056,1.09007,inf,50000
-10847.6,8.60093e-14,423.047609354,0.000143854,235.229,95.4198473282,100,nan,13.3442,0.7,-68.4171,4.13801095683,524,7.97837e-09,1.06022e-05,-65.2132505292,1,-65.2132505292,-65.2132505292,4.40764e-11,0.379266,423.047609354,0.983478,nan,50000
-10223.7,1.79895e-15,834.368977922,9.33454e-05,344.902,90.7441016334,100,nan,10.3829,0.7,-66.6431,4.90978679811,551,2.001e-10,1.00827e-05,-62.4750604132,1,-62.4750604132,-62.4750604132,5.45604e-11,0.675045,834.368977922,1.12151,nan,50000
-10547.3,,286.357104837,0.000170499,140.896,94.8766603416,100,nan,21.1761,0.7,-61.2567,5.49192482928,527,,1.05419e-05,-65.0054379176,1,-65.0054379176,-65.0054379176,2.2163e-10,3.41881,286.357104837,1.3093,nan,50000
-10346.5,1.65048e-39,3899.42553668,0.000167675,502.941,107.52688172,100,nan,16.2154,0.7,-65.4648,6.94243470846,465,1.59614e-34,1.19474e-05,-73.908154152,1,-73.908154152,-73.908154152,1.74937e-10,1.63607,3899.42553668,1.15541,nan,50000
-9127.69,,59.8459642664,0.202508,752.31,86.6551126516,100,nan,341162.0,0.7,-49.9162,8.26886372495,577,,9.62834e-06,-59.0697324404,1,-59.0697324404,-59.0697324404,6.50996e-07,1.84762e+06,59.8459642664,16.2207,nan,50000
-10455.9,3.34087e-14,533.706599214,6.80059e-05,258.824,92.5925925926,100,,7.0565,0.7,-68.085,4.83014160036,540,3.46659e-09,1.02881e-05,-62.884257861,1,-62.884257861,-62.884257861,4.34536e-11,0.467855,533.706599214,1.06752,inf,50000
-10515.3,1.57831e-09,245.892086953,6.52994e-05,158.762,90.4159132007,100,,6.63099,0.7,-66.866,4.66209622949,553,0.000160273,1.00462e-05,-61.7558771497,1,-61.7558771497,-61.7558771497,3.33436e-11,0.343835,245.892086953,1.02017,inf,50000
-7292.83,,84.34061956,0.0998007,295.652,87.8734622144,100,nan,2.17577e+21,0.7,-39.5429,9.99996295259,569,,9.76372e-06,-59.5895718015,1,-59.5895718015,-59.5895718015,9.72402e-07,inf,84.34061956,2.1286e+17,nan,50000
-10096.1,,5820.50451618,0.000450575,674.293,112.359550562,100,nan,43.5524,0.7,-64.4295,3.20726536506,445,,1.24844e-05,-77.8324053551,1,-77.8324053551,-77.8324053551,2.84605e-10,2.6591,5820.50451618,1.20674,nan,50000
-10065.9,1.84947e-08,312.176544864,7.80485e-05,266.509,85.910652921,100,,8.69608,0.7,-65.548,4.61913297808,582,0.00206065,9.54563e-06,-58.8681697192,1,-58.8681697192,-58.8681697192,3.14214e-11,0.390071,312.176544864,1.06356,inf,50000
-9846.62,,63.2410907562,0.000785861,370.742,87.1080139373,100,nan,136.077,0.7,-55.2085,5.44015050565,574,,9.67867e-06,-59.490283516,1,-59.490283516,-59.490283516,3.86248e-10,11.581,63.2410907562,1.67593,nan,50000
-10078.8,,100.189573467,0.00132105,433.194,93.4579439252,100,nan,292.184,0.7,-55.8562,8.0449059849,535,,1.03842e-05,-63.3117703351,1,-63.3117703351,-63.3117703351,7.83765e-10,38.3408,100.189573467,2.29674,nan,50000
nan,,144.829369459,0.099999,nan,88.1834215168,100,nan,2.32882e+16,0.7,nan,10.0000031074,567,,9.79816e-06,-60.3529449041,1,-60.3529449041,-60.3529449041,9.79711e-07,5.31345e+28,144.829369459,2.28183e+12,nan,50000
-10702.9,8.66857e-17,2339.4736414,5.73129e-05,301.042,98.0392156863,100,nan,5.78687,0.7,-68.242,5.14867318643,510,8.75264e-12,1.08932e-05,-68.1225040544,1,-68.1225040544,-68.1225040544,6.18064e-11,0.630109,2339.4736414,1.09989,nan,50000
-10684.0,1.98796e-24,5257.13895553,0.000163526,666.076,110.13215859,100,nan,15.9406,0.7,-67.3428,4.02993390429,454,1.93788e-19,1.22369e-05,-77.2278500648,1,-77.2278500648,-77.2278500648,2.07373e-10,1.97055,5257.13895553,1.19286,nan,50000
-10630.1,4.43514e-08,372.826158235,3.76673e-05,183.16,91.2408759124,100,,3.99004,0.7,-68.6418,5.25812943727,548,0.00469807,1.01379e-05,-62.1444462318,1,-62.1444462318,-62.1444462318,2.45361e-11,0.275315,372.826158235,1.07389,inf,50000
-10295.3,3.10667e-15,2301.9142946,6.7619e-05,316.233,94.3396226415,100,nan,7.14431,0.7,-66.3377,4.93270209194,530,3.28237e-10,1.04822e-05,-65.2908757198,1,-65.2908757198,-65.2908757198,5.72985e-11,0.639627,2301.9142946,1.1075,nan,50000
