Bound,EpsThisIter,MaxNormIw,VarDiscRet,VarNormIw,BatchSize,AvgEpLen,VarJ,ESSRenyi,AvgRet,IterType,MinVanillaIw,MinNormIw,AvgNormIw,eRenyi2,J,MaxVanillaIw,Delta,VarVanillaIw,AvgDiscRet,ESSClassic,AvgVanillaIw,VanillaAvgRet,VarRet
3266.98,100,0.0101084,83.9690909669,3.212e-09,100,500.0,9.04866,99.9976635525,4670.95747153,1,0.976239,0.00977017,0.01,1.00002,4670.99,1.01003,0.1,3.20688e-05,4670.95747153,99.9967855413,0.999203,4670.95747153,83.9690909669
3268.24,100,0.010131,42.2018073095,2.78014e-09,100,500.0,6.44065,99.9984383827,4672.23596298,1,0.980763,0.00981236,0.01,1.00002,4672.25,1.01262,0.1,2.77745e-05,4672.23596298,99.9972712326,0.999518,4672.23596298,42.2018073095
3268.12,100,0.0100484,47.2915960903,1.00379e-09,100,500.0,6.81249,99.9991774627,4672.05907199,1,0.988618,0.00988519,0.01,1.00001,4672.07,1.00494,0.1,1.00399e-05,4672.05907199,99.9989815852,1.0001,4672.05907199,47.2915960903
3267.24,100,0.0101208,59.6872856896,4.02421e-09,100,500.0,7.6112,99.99758011,4671.20810556,1,0.961515,0.00961569,0.01,1.00002,4671.24,1.01203,0.1,4.02376e-05,4671.20810556,99.9960173514,0.999944,4671.20810556,59.6872856896
3266.85,100,0.0100965,83.1160850738,2.03849e-09,100,500.0,9.0274,99.9978781197,4670.78024399,1,0.985497,0.00985589,0.01,1.00002,4670.8,1.00955,0.1,2.03811e-05,4670.78024399,99.9979780521,0.999907,4670.78024399,83.1160850738
3265.93,100,0.0101906,348.732510608,1.60641e-08,100,499.9,18.0319,99.9911077778,4669.80667604,1,0.947274,0.00948133,0.01,1.00009,4669.93,1.01814,0.1,0.00016035,4669.80667604,99.9840534703,0.999094,4669.80667604,348.732510608
3269.26,100,0.0101168,34.5344557753,1.70189e-09,100,500.0,5.82215,99.9989032866,4673.23853252,1,0.983641,0.0098349,0.01,1.00001,4673.25,1.01183,0.1,1.70241e-05,4673.23853252,99.9983446957,1.00015,4673.23853252,34.5344557753
3259.69,100,0.0107345,5520.9781386,1.59842e-07,100,499.17,62.4104,99.9078646611,4662.9254343,1,0.826994,0.00831273,0.01,1.00092,4664.33,1.06793,0.1,0.00158201,4662.9254343,99.8420209179,0.994853,4662.9254343,5520.9781386
3258.08,100,0.0108457,13417.9622403,1.85926e-07,100,498.8,96.8789,99.8736192622,4660.98063002,1,0.838094,0.00838767,0.01,1.00127,4662.85,1.0837,0.1,0.00185628,4660.98063002,99.8162679674,0.999197,4660.98063002,13417.9622403
3255.06,100,0.0108854,20374.7976781,4.32461e-07,100,498.5,102.525,99.7411294139,4656.66728264,1,0.715097,0.00717175,0.01,1.0026,4660.82,1.08538,0.1,0.00429959,4656.66728264,99.5736990691,0.997103,4656.66728264,20374.7976781
3268.77,100,0.0100625,69.7806204323,1.2517e-09,100,500.0,8.22969,99.9989628899,4672.70283102,1,0.986553,0.0098638,0.01,1.00001,4672.72,1.00643,0.1,1.25214e-05,4672.70283102,99.9987909634,1.00017,4672.70283102,69.7806204323
