MinVanillaIw,ESSRenyi,VarJ,J,MinNormIw,AvgNormIw,MaxVanillaIw,ESSClassic,MaxNormIw,eRenyi2,EpsThisIter,BatchSize,AvgVanillaIw,IterType,AvgRet,VarDiscRet,VarRet,VarNormIw,Delta,VarVanillaIw,AvgEpLen,AvgDiscRet,VanillaAvgRet,Bound
1.0,200.0,47.423,-479.239,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-479.239471635,2271.65549943,2271.65549943,3.50449e-18,0.2,,500.0,-479.239471635,-479.239471635,-602.938
0.488117,191.14350583,43.6584,-472.721,0.00242635,0.005,1.7139,190.48697491,0.00851955,1.04633,100,200,1.00586,1,-474.145282101,1952.24813235,1952.24813235,1.25478e-06,0.2,0.0507816,500.0,-474.145282101,-474.145282101,-562.192
1.0,200.0,50.171,-476.655,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-476.654982428,2542.55457774,2542.55457774,3.50449e-18,0.2,,500.0,-476.654982428,-476.654982428,-603.6
0.456021,186.809651355,46.509,-469.006,0.0022269,0.005,1.67638,187.511742403,0.00818629,1.07061,100,200,1.02389,1,-472.973398871,1674.19162904,1674.19162904,1.67336e-06,0.2,0.070171,500.0,-472.973398871,-472.973398871,-561.885
1.0,200.0,46.3285,-483.653,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-483.652806011,2168.01269296,2168.01269296,3.50449e-18,0.2,,500.0,-483.652806011,-483.652806011,-600.176
0.382504,188.928570222,46.6106,-475.828,0.00189485,0.005,1.82024,186.715830191,0.00901707,1.0586,100,200,1.00933,1,-477.572071115,2110.05023022,2110.05023022,1.78761e-06,0.2,0.0728443,500.0,-477.572071115,-477.572071115,-568.274
1.0,200.0,52.9166,-478.457,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-478.457400558,2828.44670611,2828.44670611,3.50449e-18,0.2,,500.0,-478.457400558,-478.457400558,-603.467
0.392424,189.079724304,50.922,-476.542,0.00193675,0.005,1.65265,188.098250077,0.00815638,1.05775,100,200,1.0131,1,-484.565245312,2192.68146197,2192.68146197,1.58979e-06,0.2,0.0652686,500.0,-484.565245312,-484.565245312,-567.453
1.0,200.0,44.3332,-472.13,0.01,0.01,1.0,100.0,0.01,1.0,100,200,1.0,2,-472.130412511,1985.28608912,1985.28608912,3.50449e-18,0.2,,500.0,-472.130412511,-472.130412511,-595.029
0.396099,190.771581916,43.4389,-469.85,0.00197451,0.005,1.57868,190.337579089,0.00786952,1.04837,100,200,1.00303,1,-475.76103773,2046.24362391,2046.24362391,1.27548e-06,0.2,0.0513294,500.0,-475.76103773,-475.76103773,-558.83
