MinVanillaIw,IterType,AvgDiscRet,AvgNormIw,VarVanillaIw,MaxVanillaIw,AvgEpLen,MinNormIw,SamplesThisIter,BatchSize,J,MaxNormIw,AvgRet,ESSRenyi,VarNormIw,EpsThisIter,VanillaAvgRet,delta,VarJ,AvgVanillaIw,Bound,ESSClassic,VarRet,renyi2,VarDiscRet
,1,286.58176718,3.29511e-06,inf,1.29146e+22,29.6559905101,,50000,100,428058.0,0.0447284,286.58176718,nan,1.17403e-07,1686,286.58176718,0.8,33229.2,9.51408e+17,3889.01,14.373332453,478634.325233,nan,478634.325233
,1,460.970124832,5.2263e-06,1.24014e+17,2.72189e+10,47.0366886171,,50000,100,546206.0,0.0260999,460.970124832,nan,1.14028e-07,1063,460.970124832,0.8,32944.5,5.45035e+06,4655.41,31.9094994959,1297118.04909,nan,1297118.04909
,1,510.470068864,5.78102e-06,inf,7.75051e+21,52.0291363163,,50000,100,548301.0,0.0492508,510.470068864,nan,2.40554e-07,961,510.470068864,0.8,27391.8,9.09749e+17,4374.11,14.9210820679,919145.334224,nan,919145.334224
,1,298.609645382,3.42724e-06,inf,9.09346e+18,30.8451573103,,50000,100,464095.0,0.0335249,298.609645382,nan,9.02136e-08,1621,298.609645382,0.8,33681.4,9.2962e+14,4453.23,10.929334353,415312.829142,nan,415312.829142
,1,261.903400315,3.01932e-06,inf,7.58143e+19,27.1739130435,,50000,100,505147.0,0.0623434,261.903400315,nan,1.87755e-07,1840,261.903400315,0.8,41131.8,3.67173e+15,4374.37,15.9999777239,455904.341388,nan,455904.341388
,1,119.53015522,1.43926e-06,8.57383e+27,3.40382e+16,12.9533678756,,50000,100,162119.0,0.162466,119.53015522,nan,1.95329e-07,3860,119.53015522,0.8,18527.4,3.01539e+11,2258.94,4.86222268585,53261.0183615,nan,53261.0183615
,1,124.405953121,1.49343e-06,2.39343e+26,5.40585e+15,13.4408602151,,50000,100,172292.0,0.126079,124.405953121,nan,1.3019e-07,3720,124.405953121,0.8,13305.7,6.40332e+10,2080.3,4.99733846617,59726.738445,nan,59726.738445
,1,131.534027074,1.57248e-06,inf,2.24055e+20,14.1522785168,,50000,100,211471.0,0.199996,131.534027074,nan,3.14482e-07,3533,131.534027074,0.8,45771.7,1.76163e+15,3881.34,5.00000013039,79361.5210045,nan,79361.5210045
,1,210.951223897,2.45495e-06,5.18327e+21,1.14833e+13,22.0945647371,,50000,100,171501.0,0.0597834,210.951223897,nan,1.40486e-07,2263,210.951223897,0.8,10993.6,4.71551e+08,1526.04,15.9978525313,74441.6764754,nan,74441.6764754
,1,249.604669213,2.88451e-06,inf,1.05916e+19,25.9605399792,,50000,100,149375.0,0.194931,249.604669213,nan,5.48122e-07,1926,249.604669213,0.8,8526.86,1.5673e+14,1451.62,4.99999104185,52881.3112602,nan,52881.3112602
