EpsThisIter,VarNormIw,VarVanillaIw,MinVanillaIw,VarJ,ESSClassic,BatchSize,J,IterType,AvgDiscRet,ESSRenyi,VanillaAvgRet,delta,AvgRet,MinNormIw,AvgEpLen,MaxVanillaIw,AvgVanillaIw,VarDiscRet,AvgNormIw,MaxNormIw,VarRet,Bound,renyi2,SamplesThisIter
108,7.67988e-10,0.257065,1.05125e-10,5175.23,1.30096135295,100,890317.0,1,4628.25651401,nan,4628.25651401,0.6,4628.25651401,5.74597e-15,462.962962963,3.34507,0.941127,1700366.19705,5.14403e-05,0.000182836,1700366.19705,4587.25,nan,50000
104,5.51731e-10,0.187127,4.53244e-05,3012.81,1.24385716372,100,893450.0,1,4806.62787763,nan,4806.62787763,0.6,4806.62787763,2.46109e-09,480.769230769,2.40769,0.983781,578087.163491,5.34188e-05,0.000130737,578087.163491,4582.43,nan,50000
104,4.02663e-10,0.137653,3.9492e-05,2922.96,0.965235129973,100,895588.0,1,4806.659051,nan,4806.659051,0.6,4806.659051,2.13593e-09,480.769230769,2.21553,0.98768,913970.812626,5.34188e-05,0.000119827,913970.812626,4588.78,nan,50000
112,1.25886e-09,0.491201,5.35244e-12,5079.28,1.80021977122,100,887897.0,1,4462.59375175,nan,4462.59375175,0.6,4462.59375175,2.70964e-16,446.428571429,4.29139,0.979827,2053402.5859,4.96032e-05,0.000217249,2053402.5859,4581.86,nan,50000
112,1.34881e-09,0.53462,1.65439e-10,5844.32,1.6367729793,100,884869.0,1,4462.21993835,nan,4462.21993835,0.6,4462.21993835,8.30981e-15,446.428571429,5.02704,0.987543,1992077.09088,4.96032e-05,0.000252503,1992077.09088,4573.01,nan,50000
100,9.94171e-16,3.22114e-07,0.994431,0.680426,0.555985293756,100,899878.0,1,4999.32037525,,4999.32037525,0.6,4999.32037525,5.52459e-05,500.0,1.01654,1.0,0.00259933642259,5.55556e-05,5.64741e-05,0.00259933642259,4591.13,inf,50000
100,1.08193e-16,3.50546e-08,0.997166,0.653096,0.555606346646,100,899876.0,1,4999.30930552,,4999.30930552,0.6,4999.30930552,5.53981e-05,500.0,1.00494,1.0,0.00238846648283,5.55556e-05,5.583e-05,0.00238846648283,4591.12,inf,50000
112,1.08184e-09,0.3906,4.45223e-08,5618.38,1.82524287361,100,888452.0,1,4462.59370791,nan,4462.59370791,0.6,4462.59370791,2.34311e-12,446.428571429,3.75436,0.942528,2407733.39159,4.96032e-05,0.000197584,2407733.39159,4589.09,nan,50000
108,8.05124e-10,0.279865,1.70452e-06,4852.0,1.30957812424,100,890005.0,1,4628.26085911,nan,4628.26085911,0.6,4628.26085911,9.1424e-11,462.962962963,4.20478,0.959062,1671737.85558,5.14403e-05,0.000225528,1671737.85558,4584.89,nan,50000
116,1.42647e-09,0.572288,1.53661e-15,7004.3,2.10518746477,100,881327.0,1,4308.37362288,nan,4308.37362288,0.6,4308.37362288,7.67165e-20,431.034482759,6.02891,0.95928,2575469.48469,4.78927e-05,0.000300997,2575469.48469,4581.08,nan,50000
116,1.378e-09,0.495687,1.76236e-17,6802.83,1.94788340958,100,883618.0,1,4308.38551873,nan,4308.38551873,0.6,4308.38551873,9.29211e-22,431.034482759,5.31328,0.908342,2961610.6596,4.78927e-05,0.000280145,2961610.6596,4585.52,nan,50000
108,9.10062e-10,0.318619,8.10129e-08,4868.52,1.32912562117,100,888560.0,1,4628.22940047,nan,4628.22940047,0.6,4628.22940047,4.32966e-12,462.962962963,3.07299,0.962508,1317917.93107,5.14403e-05,0.000164233,1317917.93107,4581.59,nan,50000
116,1.49408e-09,0.619434,2.91893e-13,6168.74,1.61866478465,100,884133.0,1,4308.35579774,nan,4308.35579774,0.6,4308.35579774,1.43355e-17,431.034482759,4.52284,0.975169,2594581.76798,4.78927e-05,0.000222127,2594581.76798,4581.14,nan,50000
104,4.32556e-10,0.143582,0.000315689,3600.3,1.28863510202,100,894682.0,1,4806.65666045,nan,4806.65666045,0.6,4806.65666045,1.73273e-08,480.769230769,2.40198,0.973247,929274.621926,5.34188e-05,0.000131838,929274.621926,4590.12,nan,50000
116,1.37909e-09,0.540852,5.14106e-17,6500.25,2.2995852308,100,884435.0,1,4308.33954338,nan,4308.33954338,0.6,4308.33954338,2.59603e-21,431.034482759,4.62493,0.948446,2948151.44042,4.78927e-05,0.00023354,2948151.44042,4584.39,nan,50000
104,4.35984e-10,0.141423,2.04135e-06,2998.41,1.10324609798,100,895624.0,1,4806.62739358,nan,4806.62739358,0.6,4806.62739358,1.13342e-10,480.769230769,2.29494,0.962096,933122.725146,5.34188e-05,0.000127423,933122.725146,4590.54,nan,50000
100,1.23618e-16,4.00522e-08,0.992998,0.959469,0.55576967972,100,899876.0,1,4999.30856015,,4999.30856015,0.6,4999.30856015,5.51665e-05,500.0,1.00613,1.0,0.00516171620896,5.55555e-05,5.5896e-05,0.00516171620896,4591.11,inf,50000
104,5.59027e-10,0.19551,5.02088e-06,2482.06,1.13020673775,100,894581.0,1,4806.6208092,nan,4806.6208092,0.6,4806.6208092,2.6848e-10,480.769230769,2.48666,0.998993,582017.385827,5.34188e-05,0.000132968,582017.385827,4582.48,nan,50000
108,9.10955e-10,0.308076,1.46249e-06,4669.24,1.49764280437,100,889057.0,1,4628.22454952,nan,4628.22454952,0.6,4628.22454952,7.95263e-11,462.962962963,2.87602,0.945985,1269657.66774,5.14403e-05,0.000156391,1269657.66774,4582.2,nan,50000
116,1.56638e-09,0.635801,1.80902e-14,6140.17,2.58630947708,100,884117.0,1,4308.36459688,nan,4308.36459688,0.6,4308.36459688,8.97905e-19,431.034482759,5.63538,0.964899,2587813.22277,4.78927e-05,0.000279712,2587813.22277,4580.88,nan,50000
112,1.20178e-09,0.49609,1.00672e-12,6036.46,1.78821515416,100,883936.0,1,4462.58997112,nan,4462.58997112,0.6,4462.58997112,4.95495e-17,446.428571429,4.54905,1.00781,1934720.44955,4.96032e-05,0.000223899,1934720.44955,4578.32,nan,50000
112,1.20435e-09,0.422142,1.52489e-17,5422.17,1.71211870477,100,887966.0,1,4462.59484912,nan,4462.59484912,0.6,4462.59484912,8.14488e-22,446.428571429,4.38461,0.928671,2375985.92703,4.96032e-05,0.000234195,2375985.92703,4586.11,nan,50000
