#{"t_start": 1518538551.8952036, "env_id": "LQG1D-v0"}
r,l,t
-118.680227,10,4.289442
-21.70542,10,4.292532
-38.38667,10,4.295528
-40.728423,10,4.298529
-81.96804,10,4.301527
-32.247747,10,4.304464
-29.710323,10,4.307403
-33.438875,10,4.310384
-36.335687,10,4.314268
-16.398985,10,4.317651
-21.203185,10,4.322747
-52.218895,10,4.326346
-13.18989,10,4.329676
-72.643133,10,4.332848
-21.381131,10,4.33599
-18.200414,10,4.339131
-21.46482,10,4.342247
-18.565986,10,4.345355
-70.059141,10,4.348391
-39.574435,10,4.351422
-54.787329,10,4.354441
-69.045594,10,4.358187
-40.897195,10,4.362097
-15.496258,10,4.365097
-30.950959,10,4.368574
-43.020027,10,4.371628
-69.246525,10,4.374436
-58.112987,10,4.377578
-35.850879,10,4.380483
-79.998772,10,4.383363
-33.127048,10,4.386275
-76.642081,10,4.389369
-14.417443,10,4.392459
-111.016022,10,4.395474
-35.061387,10,4.398463
-25.290061,10,4.401437
-110.906165,10,4.404488
-78.180235,10,4.40751
-26.672372,10,4.410515
-14.421258,10,4.413521
-57.444075,10,4.416463
-17.146078,10,4.419469
-8.905987,10,4.422371
-18.962328,10,4.425325
-25.074135,10,4.428344
-10.854835,10,4.431383
-25.494059,10,4.434359
-32.32,10,4.437479
-80.563596,10,4.440488
-110.434368,10,4.443457
-66.699163,10,4.446363
-7.578713,10,4.449309
-16.54549,10,4.452255
-43.3986,10,4.45519
-65.754695,10,4.4582
-8.086337,10,4.461255
-30.664008,10,4.464259
-33.669718,10,4.467395
-25.207317,10,4.470383
-50.469976,10,4.473383
-39.25225,10,4.476371
-30.923273,10,4.479396
-49.939636,10,4.482324
-57.244214,10,4.48528
-27.928924,10,4.488214
-44.770471,10,4.491179
-37.285391,10,4.49408
-77.305559,10,4.497046
-30.337749,10,4.499998
-45.229967,10,4.502988
-47.15432,10,4.506026
-81.496875,10,4.509198
-23.120162,10,4.512138
-63.341145,10,4.515116
-104.498208,10,4.517992
-52.921361,10,4.521139
-58.95521,10,4.524128
-24.498376,10,4.527103
-119.802842,10,4.530255
-60.191793,10,4.533186
-99.551788,10,4.536128
-94.90689,10,4.539056
-17.945262,10,4.541991
-33.380169,10,4.544923
-79.594442,10,4.547857
-42.386461,10,4.550929
-17.421117,10,4.553952
-93.496675,10,4.557167
-27.759245,10,4.560153
-88.442971,10,4.563083
-53.930945,10,4.566122
-19.449453,10,4.569149
-44.224295,10,4.57211
