Bound,EpLenMean,MaxIWNorm,OptimizationReturnMean,InitialReturnMean,ReturnStepMaxmin,InitialReturnStd,StdIW,InitialBound,MeanIWNorm,TimestepsSoFar,EpThisIter,InitialReturnMax,StdIWNorm,MinIW,ReturnStepMax,MeanEntropy,Iteration,InitialReturnMin,MinIWNorm,MeanIW,J_sample_variance,VarianceInit,ReturnMeanIW,OptimizationReturnMax,TimeElapsed,EpisodesSoFar,ESSClassic,MaxIW,OptimizationReturnMin,EpRewMean,LearnableVariance,EmpiricalD2,ESSRenyi
891.3154,500.0,38.469406,8.614569,32.48281,0.029165,3.5464091,383.84912,30.437002,0.42315805,1850000,100,40.91616,3.838491,1.149667e-05,0.2829742,2.3423107,37,23.868244,1.14966696e-07,42.315807,12268194.0,-1,1363.4232,17.047916,8323.383383750916,3700,1.2007097,3846.9407,,32.482812263516166,True,53254.05,0.0018777915
2863.22,500.0,107.86779,10.508747,30.948967,0.029177979,3.801863,1073.2072,28.942791,1.0856509,1900000,100,40.12353,10.732073,7.872887e-08,0.25093094,2.2967534,38,20.44022,7.872887e-10,108.56511,252943760.0,-1,3798.0193,19.683311,8526.198371171951,3800,1.0129588,10786.779,,30.948967651876913,True,217119.28,0.00046057632
8450.214,500.0,270.9172,7.381732,30.45661,0.096602365,3.2190695,2695.4932,28.540974,2.719711,1950000,100,38.31267,26.954931,4.734721e-06,0.29646733,2.296727,39,23.074877,4.734721e-08,271.97113,780239500.0,-1,9007.479,15.237795,8832.98406457901,3900,1.0077904,27091.723,,30.456609447181894,True,84625.03,0.0011816835
2471.0942,500.0,94.0723,7.7584987,32.04312,0.1397614,3.310053,935.94946,30.035212,0.9468758,2000000,100,40.15821,9.359493,1.1536972e-06,0.37424234,2.2629395,40,24.284622,1.1536972e-08,94.68758,78654870.0,-1,3160.587,15.873589,9108.33941411972,4000,1.0131154,9407.23,,32.04312137418079,True,117915.48,0.0008480651
2713.2612,500.0,92.78402,7.8685646,33.183895,0.013412729,2.9291024,924.46716,31.188053,0.9990929,2050000,100,39.916847,9.24467,3.9791453e-06,0.23772371,2.3608065,41,25.31533,3.9791452e-08,99.90929,51289464.0,-1,3266.251,14.601517,9369.836523294449,4100,1.1544783,9278.402,,33.18389478551731,True,76768.234,0.0013026221
49925.004,500.0,1538.3633,6.956554,33.163727,0.02395612,3.3730457,15306.382,30.992813,15.397874,2100000,100,43.41826,153.0638,2.5175726e-09,0.25451726,2.2696247,42,26.207172,2.5175726e-11,1539.7872,19016638000.0,-1,53541.75,17.211086,9636.35286283493,4200,1.0018518,153836.33,,33.1637269294976,True,2775564.8,3.6028705e-05
2540.7097,500.0,121.827446,6.650622,35.713634,0.056706116,3.1113956,1212.1362,33.53845,1.2216403,2150000,100,43.50372,12.121362,8.3135905e-07,0.24401936,2.3016634,43,29.063015,8.313591e-09,122.164024,24311860.0,-1,3892.175,14.440704,9852.390435218811,4300,1.0055293,12182.745,,35.713636247453664,True,386026.47,0.0002590496
5134.864,500.0,208.01501,6.224561,33.821922,0.068814024,3.2297046,2069.4004,31.745487,2.1313372,2200000,100,41.52869,20.694004,2.6128157e-07,0.23572576,2.2701437,44,27.59736,2.6128157e-09,213.13373,61431628.0,-1,6438.066,13.93133,10069.21996498108,4400,1.0496215,20801.502,,33.82192190612343,True,393901.1,0.00025387085
18638.809,500.0,837.02155,9.539678,33.140522,0.053437963,3.2980714,8328.255,30.980375,8.370803,2250000,100,43.20295,83.28253,1.8596055e-09,0.27563,2.197883,45,23.600847,1.8596054e-11,837.08026,2315802600.0,-1,24139.814,19.602102,10278.289876937866,4500,1.0001402,83702.16,,33.14052461543332,True,6485110.5,1.5419937e-05
24425.977,500.0,815.1009,6.998596,32.62041,0.050046414,3.054671,8109.9634,30.68516,8.1714945,2300000,100,38.70502,81.09963,3.7111295e-08,0.25199032,2.140128,46,25.621815,3.7111295e-10,817.14954,3506163200.0,-1,26494.357,13.083206,10540.870007514954,4600,1.0050285,81510.09,,32.620410974877245,True,1142316.1,8.754144e-05
3307.6743,500.0,130.44003,7.458682,33.373444,0.14870939,3.0664768,1297.8345,31.27609,1.3071954,2350000,100,41.94705,12.978346,4.4217218e-06,0.3753832,2.1578016,47,25.91476,4.4217217e-08,130.71953,77633016.0,-1,4202.481,16.032288,10816.683053970337,4700,1.004289,13044.003,,33.373443466697694,True,182018.6,0.0005493944
1332.9338,500.0,51.743835,8.479685,34.343353,0.07799904,3.5625117,515.0762,32.073986,0.54337364,2400000,100,45.38733,5.1507616,3.03417e-07,0.26636928,2.123199,48,25.863672,3.03417e-09,54.337368,27588104.0,-1,1939.2135,19.523657,11049.262655496597,4800,1.1006461,5174.384,,34.34335696005738,True,71373.48,0.0014010807
600.1592,500.0,18.339098,11.798352,36.867443,0.018163815,3.197805,182.64503,34.70802,0.20371433,2450000,100,43.188477,1.8264505,5.0468738e-05,0.2228254,2.137825,49,25.069088,5.0468736e-07,20.371431,6149676.5,-1,780.2341,18.119389,11265.881799459457,4900,1.2287341,1833.9098,,36.86744090455747,True,6953.933,0.014380351
2628409.5,500.0,82951.61,8.64397,37.34508,0.029311672,3.46502,825358.1,35.081535,829.5161,2500000,100,45.271027,8253.581,1.8851142e-13,0.26106688,2.049195,50,28.701117,1.8851142e-15,82951.61,160409200000000.0,-1,3624522.8,16.56991,11500.943432092667,5000,1.0,8295161.0,,37.34508555429765,True,193658630000.0,5.1637256e-10
5165.468,500.0,148.40157,9.081405,40.371544,0.050182194,3.1931016,1476.4562,37.76727,1.5106173,2550000,100,52.085438,14.764562,7.4523356e-08,0.285194,2.0131755,51,31.290142,7.4523354e-10,151.0617,254792580.0,-1,6278.65,20.795296,11825.233521223068,5100,1.0359648,14840.156,,40.37154677958259,True,182708.88,0.0005473188
19293.77,500.0,850.59607,8.15485,41.247456,0.0917552,3.6212811,8463.312,38.796017,8.507262,2600000,100,49.028793,84.63311,4.5378304e-08,0.27229416,2.014412,52,33.092606,4.5378304e-10,850.7262,10310610000.0,-1,37905.492,15.936188,12154.876490354538,5200,1.0003059,85059.61,,41.24745509059084,True,57640892.0,1.7348794e-06
6557.4604,500.0,178.05724,11.286726,38.95772,0.007352069,3.8407495,1771.6227,36.52009,1.7830396,2650000,100,48.752655,17.716227,3.5365726e-09,0.23870182,1.9354347,53,27.670996,3.5365724e-11,178.304,977696600.0,-1,8024.1606,21.08166,12480.176800012589,5300,1.0027732,17805.725,,38.957722062963136,True,362031.3,0.0002762192
3203.6624,500.0,78.345,8.104338,40.21934,0.07122691,3.338211,779.4606,37.797016,0.7904342,2700000,100,48.446495,7.7946053,1.9842444e-05,0.30571106,1.9432682,54,32.115005,1.9842443e-07,79.04342,114508620.0,-1,3583.1218,16.33149,12812.553962945938,5400,1.0178876,7834.5005,,40.219342963399036,True,24539.506,0.0040750615
2645.3416,500.0,86.30839,8.746174,41.293095,0.009378374,3.8083394,858.7059,38.824154,0.8685798,2750000,100,49.37883,8.58706,6.3060506e-06,0.26412165,1.9168291,55,32.54692,6.3060504e-08,86.85797,26731526.0,-1,3262.2332,16.83191,13145.228685855865,5500,1.012767,8630.839,,41.29309472491732,True,62430.414,0.0016017834
5930.741,500.0,167.52681,11.3570385,41.035133,0.0046920776,3.73714,1666.8229,38.56962,1.6801931,2800000,100,49.310226,16.66823,2.1829114e-06,0.2851298,1.9216281,56,29.678093,2.1829115e-08,168.0193,633369400.0,-1,7456.715,19.632133,13444.53925538063,5600,1.005886,16752.682,,41.03513225922811,True,383071.72,0.0002610477
81938.734,500.0,2593.1265,8.90209,40.00056,0.067825496,3.3149772,25801.28,37.678528,25.931623,2850000,100,46.44066,258.0128,5.9967236e-09,0.24804239,1.9332355,57,31.098473,5.996723e-11,2593.1626,38582944000.0,-1,98536.055,15.342186,13664.54895567894,5700,1.0000279,259312.66,,40.00056242319822,True,51090376.0,1.9573158e-06
363.19788,500.0,13.08286,8.61831,38.029522,0.08083339,3.2620897,130.12602,35.67595,0.13672149,2900000,100,47.07127,1.3012602,0.000115335744,0.2827598,1.9820935,58,29.41121,1.1533574e-06,13.672151,2794013.8,-1,568.964,17.66006,13885.706097126007,5800,1.0918859,1308.286,,38.02951961877236,True,7643.5625,0.013082905
1126.3657,500.0,43.716988,7.087685,37.791622,0.022677392,3.0916054,434.91318,35.559673,0.44737586,2950000,100,44.638966,4.3491316,6.7271117e-06,0.2513254,1.9978406,59,30.703936,6.727112e-08,44.737595,4212148.5,-1,1530.8185,13.93503,14101.443632364273,5900,1.0470533,4371.6987,,37.79162147154343,True,32837.29,0.0030453184
25164.904,500.0,780.24646,7.155193,38.03756,0.0058576167,2.98907,7763.3125,35.773113,7.8068233,3000000,100,45.288994,77.63312,4.2993236e-08,0.23859334,1.984495,60,30.88237,4.2993234e-10,780.68225,2272305700.0,-1,28215.37,14.406624,14340.390706300735,6000,1.0011171,78024.65,,38.037562656476084,True,1814707.0,5.5105316e-05
3322.164,500.0,93.98389,9.024479,40.299976,0.0019836128,3.6015282,935.0806,37.89593,0.94521415,3050000,100,48.08091,9.350806,4.468814e-07,0.29256848,1.9701744,61,31.2755,4.4688138e-09,94.521416,139005840.0,-1,4102.471,16.80541,14605.314688682556,6100,1.0114565,9398.389,,40.299977637005995,True,105352.73,0.0009491923
40113.03,500.0,1231.119,8.234997,40.671978,0.01593268,3.2683408,12249.367,38.213024,12.322753,3100000,100,49.178997,122.49367,1.8611997e-08,0.23062505,1.9719337,62,32.43698,1.8611997e-10,1232.2753,16281891000.0,-1,52088.605,16.742016,14809.896831989288,6200,1.0018789,123111.91,,40.67197695182571,True,23718824.0,4.2160605e-06
21220.258,500.0,852.0152,8.235964,38.588062,0.058862925,3.3461175,8477.399,36.296833,8.524664,3150000,100,45.824585,84.774,8.44383e-08,0.29440948,2.0070424,63,30.352102,8.4438295e-10,852.46643,5271663000.0,-1,32657.488,15.472483,15022.178915262222,6300,1.0010592,85201.52,,38.58806509086408,True,24917514.0,4.0132413e-06
7312.863,500.0,202.7991,9.001411,39.029076,0.010134831,3.1469,2017.7272,36.790333,2.038194,3200000,100,44.77485,20.177269,2.5689997e-06,0.19214576,2.0373635,64,30.027664,2.5689996e-08,203.81941,583204500.0,-1,8466.865,14.747185,15271.900943279266,6400,1.0100831,20279.91,,39.02907563793326,True,265708.25,0.00037635263
18946.309,500.0,671.0243,7.890246,40.771656,0.05109118,3.2464142,6676.563,38.35899,6.7146716,3250000,100,48.25333,66.76563,1.5733001e-06,0.29425532,2.0919173,65,32.881413,1.5733e-08,671.4671,1147855100.0,-1,24642.146,15.371918,15551.886354207993,6500,1.0013202,67102.43,,40.77165848664561,True,5573403.0,1.7942359e-05
2898.16,500.0,101.01613,6.8885126,41.229935,0.025920346,3.156587,1005.0536,38.815483,1.0148382,3300000,100,48.28902,10.050535,1.8620929e-06,0.21488525,2.137301,66,34.341423,1.8620929e-08,101.483826,57962936.0,-1,4165.038,13.9475975,15831.727249622345,6600,1.0092756,10101.613,,41.22993595571584,True,275316.94,0.00036321775
18149.818,500.0,538.32306,13.12012,40.646362,0.07393111,3.3304873,5356.1934,38.312183,5.388725,3350000,100,46.68361,53.56193,1.4136809e-08,0.281495,2.146719,67,27.526241,1.4136808e-10,538.87256,7157108000.0,-1,23167.26,19.157368,16160.612742900848,6700,1.0020419,53832.31,,40.646361350721875,True,4620572.5,2.164234e-05
29110.691,500.0,890.10284,11.085224,38.632576,0.013614193,3.7216427,8856.358,36.28861,8.906368,3400000,100,46.879364,88.56358,3.7526073e-07,0.2355971,2.1251128,68,27.54735,3.752607e-09,890.6368,4331180500.0,-1,30644.123,19.332014,16440.508247613907,6800,1.0011998,89010.29,,38.63257575212759,True,427982.3,0.00023365451
5035.4326,500.0,182.26793,10.3915,38.0209,0.014898881,3.377289,1813.4332,35.810257,1.8362482,3450000,100,44.212852,18.134329,1.4409015e-07,0.19612224,2.0712888,69,27.629404,1.4409015e-09,183.6248,315032200.0,-1,6785.1494,16.583448,16706.30619430542,6900,1.0149145,18226.793,,38.02090364288921,True,626467.25,0.00015962527
17764.566,500.0,511.26495,9.182848,36.253796,0.019607127,3.5641983,5086.753,33.954227,5.158038,3500000,100,45.991352,50.86754,5.310587e-06,0.24115211,2.1353753,70,27.07095,5.3105868e-08,515.80383,2893040600.0,-1,19193.012,18.920403,16970.157604455948,7000,1.017759,51126.496,,36.25379729065382,True,385864.47,0.00025915835
3205.4382,500.0,81.792015,9.937704,37.336708,0.053865686,3.5311387,814.14655,35.106518,0.85923386,3550000,100,44.603886,8.141465,1.0440469e-07,0.2490908,2.049775,71,27.399008,1.0440468e-09,85.9234,103395750.0,-1,3391.8599,17.204878,17308.213670253754,7100,1.1015576,8179.2017,,37.336711747577766,True,6987.264,0.014311753
32735.795,500.0,888.26184,8.228628,38.362907,0.076131195,3.387938,8837.8545,36.00692,8.910102,3600000,100,47.11974,88.378525,1.4355865e-07,0.25922656,2.0426002,72,30.13428,1.4355864e-09,891.0101,12946419000.0,-1,37933.82,16.98546,17616.826377630234,7200,1.0061892,88826.19,,38.362907386106,True,4867780.0,2.0543246e-05
