InitialReturnMax,TimeElapsed,OptimizationReturnMean,InitialReturnMean,ReturnStepMaxmin,InitialReturnMin,MinIW,MaxIWNorm,MeanIWNorm,LearnableVariance,ReturnMeanIW,InitialReturnStd,ESSRenyi,TimestepsSoFar,EpThisIter,OptimizationReturnMin,J_sample_variance,Bound,MinIWNorm,MeanIW,StdIWNorm,Iteration,StdIW,ReturnStepMax,EpisodesSoFar,EmpiricalD2,VarianceInit,MeanEntropy,ESSClassic,EpLenMean,InitialBound,MaxIW,EpRewMean,OptimizationReturnMax
44.954693,10331.980815410614,11.16995,37.180206,0.035124406,26.010256,9.4426e-08,28.632154,0.28863972,True,1114.8162,3.7925568,0.0043734247,2250000,100,,13664322.0,774.92944,9.4426e-10,28.86397,2.8486457,45,284.86456,0.27072683,4500,22865.377,-1,2.2223256,1.0162467,500.0,34.932472,2863.2156,37.180205604304476,18.944437
44.698757,10582.811051607132,8.811899,35.84331,0.06128542,27.031414,7.260048e-06,143.8002,1.4403633,True,5666.9233,3.363664,0.00083389744,2300000,100,,329146880.0,4892.98,7.260048e-08,144.03633,14.307703,46,1430.7706,0.25987467,4600,119918.82,-1,2.2759926,1.0032865,500.0,33.60837,14380.0205,35.84331278854819,17.667343
43.04458,10866.505824804306,9.492039,35.043076,0.0053482205,25.551037,4.0248005e-07,99.82697,1.0064862,True,3377.706,3.780467,0.000783593,2350000,100,,70188310.0,2608.8533,4.0248005e-09,100.648605,9.931977,47,993.19775,0.23731744,4700,127617.27,-1,2.2793314,1.0164988,500.0,32.890846,9982.697,35.04307644619577,17.493542
41.06205,11096.606386423111,10.853946,32.46605,0.09564331,21.612103,1.5502006e-05,12.239895,0.13597357,True,536.2768,3.9319766,0.025966898,2400000,100,,5318468.0,408.86765,1.5502006e-07,13.597359,1.2179755,48,121.79755,0.30189735,4800,3851.057,-1,2.2789307,1.230985,500.0,30.412947,1223.9895,32.4660478875584,19.449947
45.662235,11310.562003135681,11.440464,34.130238,0.027724609,22.689772,7.427549e-07,32.69349,0.33371568,True,1092.8347,3.7811112,0.0054500094,2450000,100,,11375281.0,783.5713,7.427549e-09,33.371574,3.2524312,49,325.24323,0.2304628,4900,18348.592,-1,2.2085838,1.0418104,500.0,31.847122,3269.349,34.13023682386594,22.972464
42.335365,11541.72111940384,11.943988,33.37271,0.0038429499,21.428722,1.0823971e-07,119.7629,1.1996927,True,4417.6484,4.023254,0.0011199265,2500000,100,,346737250.0,3785.122,1.0823971e-09,119.96928,11.916054,50,1191.6055,0.22234845,5000,89291.58,-1,2.1343904,1.0034488,500.0,31.25594,11976.29,33.37271038353271,20.906643
46.370594,11855.255014419556,13.585422,35.13881,0.011706859,21.55339,1.1678289e-06,254.15585,2.5592895,True,8746.931,4.3693657,0.0002603384,2550000,100,,1058914050.0,7309.9746,1.16782894e-08,255.92897,25.286922,51,2528.6917,0.2659235,5100,384115.44,-1,2.1646721,1.0139602,500.0,32.82028,25415.586,35.13881221156301,24.817204
45.992485,12192.887644052505,12.182284,34.626293,0.005264312,22.444008,6.4941656e-09,250.56418,2.5094888,True,8264.86,4.3838153,0.00035581822,2600000,100,,722594370.0,7045.7505,6.4941656e-11,250.94887,24.930437,52,2493.044,0.31699896,5200,281042.38,-1,2.154905,1.0030726,500.0,32.326668,25056.418,34.626291004352964,23.548477
43.83173,12519.479155540466,11.62177,33.584587,0.024521694,21.962816,5.1911948e-06,135.34467,1.3552191,True,4826.131,4.2360106,0.0005403463,2650000,100,,350315360.0,3883.3245,5.1911947e-08,135.52193,13.466447,53,1346.6449,0.2743133,5300,185066.5,-1,2.1781352,1.0026208,500.0,31.392998,13534.467,33.5845861211537,21.868914
45.45866,12845.778930187225,10.686288,36.23804,0.021584228,25.55175,8.0427145e-07,280.17117,2.8094745,True,11769.981,4.4658074,0.00011998728,2700000,100,,2153591600.0,9694.977,8.042714e-09,280.94745,27.875925,54,2787.5928,0.22206989,5400,833421.7,-1,2.240445,1.0055468,500.0,33.965103,28017.12,36.238038480176876,19.90691
