Bound,AvgDiscRet,AvgVanillaIw,VarRet,ESSClassic,VarNormIw,AvgNormIw,AvgEpLen,VarVanillaIw,MinNormIw,J,VanillaAvgRet,VarDiscRet,VarJ,BatchSize,eRenyi2,MaxNormIw,AvgRet,ESSRenyi,MaxVanillaIw,MinVanillaIw,EpsThisIter,IterType
10.016441,23.70476659537825,1.0,1179.6111972881579,299.999969473632,5.4391416e-20,0.0033333336,100.15,,0.0033333334,20.003325,23.70476659537825,1179.6111972881579,35.3671,500,1.0,0.0033333334,23.70476659537825,500.0,1.0,1.0,100,2
12.543856,24.76103787605083,1.0,1117.2618296931269,400.0,5.434597e-20,0.0024999997,103.76,,0.0025,21.19275,24.76103787605083,1117.2618296931269,34.91261,500,1.0,0.0025,24.76103787605083,500.0,1.0,1.0,100,2
197.18459,18.691283008622264,17450.668,1517.1714164547707,1.000120808612971,0.0019997577,0.0020000003,111.01,152244400000.0,2.5513486e-08,205.51889,18.691283008622264,1517.1714164547707,0.23534663,500,1.1607208,0.9999396,18.691283008622264,430.7668038228451,8724807.0,0.22261369,100,1
14.45464,24.355351702606796,1.0,1654.1089504319393,100.0,3.5044917e-18,0.009999998,108.78,,0.01,24.35535,24.355351702606796,1654.1089504319393,40.466873,500,1.0,0.01,24.355351702606796,500.0,1.0,1.0,100,2
14.901377,22.221770744680757,1.0,1018.4537133181128,200.00000010221265,2.179301e-19,0.0049999994,100.86,,0.005,23.28856,22.221770744680757,1018.4537133181128,36.38759,500,1.0,0.005,22.221770744680757,500.0,1.0,1.0,100,2
17.675629,26.99408844381201,1.0,1552.3922855653145,299.999969473632,5.4391416e-20,0.0033333336,108.06,,0.0033333334,24.523735,26.99408844381201,1552.3922855653145,37.39044,500,1.0,0.0033333334,26.99408844381201,500.0,1.0,1.0,100,2
18.28053,23.27345255102457,1.0,1311.4758314974642,400.0,5.434597e-20,0.0024999997,110.22,,0.0025,24.211166,23.27345255102457,1311.4758314974642,37.059643,500,1.0,0.0025,23.27345255102457,500.0,1.0,1.0,100,2
132.85774,13.585627052277253,20641.72,1208.1787099189735,1.0000961229505005,0.0019998073,0.0020000006,99.26,213019800000.0,1.6765227e-08,138.62096,13.585627052277253,1208.1787099189735,0.111012794,500,1.1804218,0.99995196,13.585627052277253,423.57739209961204,10320364.0,0.17303157,100,1
1.2562599,17.554733430187376,1.0,1603.1674135645897,100.0,3.5044917e-18,0.009999998,105.02,,0.01,17.554733,17.554733430187376,1603.1674135645897,39.83887,500,1.0,0.01,17.554733430187376,500.0,1.0,1.0,100,2
11.793095,29.08098109913141,1.0,1111.605109085028,200.00000010221265,2.179301e-19,0.0049999994,104.77,,0.005,23.317856,29.08098109913141,1111.605109085028,37.1083,500,1.0,0.005,29.08098109913141,500.0,1.0,1.0,100,2
14.367564,24.69676688289303,1.0,1434.7400795058632,299.999969473632,5.4391416e-20,0.0033333336,101.44,,0.0033333334,23.777493,24.69676688289303,1434.7400795058632,37.30823,500,1.0,0.0033333334,24.69676688289303,500.0,1.0,1.0,100,2
13.382776,14.795565135466807,1.0,1693.6355892208082,400.0,5.434597e-20,0.0024999997,108.75,,0.0025,21.532013,14.795565135466807,1693.6355892208082,38.44775,500,1.0,0.0025,14.795565135466807,500.0,1.0,1.0,100,2
185.73184,19.92748381173499,28832.24,980.3807645316772,1.0000751978434879,0.0019998492,0.0019999999,108.15,415617940000.0,1.0497281e-08,193.6497,19.92748381173499,980.3807645316772,0.13424559,500,1.1800265,0.9999624,19.92748381173499,423.7192866191591,14415578.0,0.15133007,100,1
13.6876745,23.774151695114497,1.0,1460.6610054997857,100.0,3.5044917e-18,0.009999998,108.89,,0.01,23.77415,23.774151695114497,1460.6610054997857,38.02702,500,1.0,0.01,23.774151695114497,500.0,1.0,1.0,100,2
15.169739,24.421600395978157,1.0,1492.8272658620263,200.00000010221265,2.179301e-19,0.0049999994,106.3,,0.005,24.097878,24.421600395978157,1492.8272658620263,38.237175,500,1.0,0.005,24.421600395978157,500.0,1.0,1.0,100,2
