StdD2w0t,Weights,InitialReturnStd,InitialReturnMean,MeanIW,EpThisIter,InitialReturnMax,MeanD2w0t,ReturnMeanIW,J_sample_variance,EmpiricalD2,MaxIW,InitialReturnMin,StdIW,EpisodesSoFar,TimeElapsed,MinD2w0t,EpLenMean,Iteration,EpRewMean,MeanEntropy,MinIW,ReturnStepMaxmin,Bound,TimestepsSoFar,MaxD2w0t,ReturnStepMax,InitialBound
4.386542,[-0.951 -0.898 -0.112 -0.932 -0.627],14.499346,-56.15527,0.6291894,100,-12.604908,0.6606345,-35.525784,1634.8992,13.152226,9.52807,-71.9577,0.7754501,5300,1018.790032863617,,68.51,53,-101.12574795154471,0.7596044,0.0025418694,99.0,-45.191086,271965,205.43271,100.0,-60.113773
2.0392861,[-0.998 -0.889 -0.131 -0.904 -0.659],16.245579,-54.771683,0.8326918,100,-4.7906427,0.49413884,-44.51418,1523.9637,6.419074,13.359738,-71.81224,0.8335426,5400,1042.4273629188538,,72.03,54,-101.5060645252468,0.7738868,0.016954567,99.0,-52.568172,279168,39.751392,100.0,-58.74633
1.3905221,[-1.004 -0.859 -0.131 -0.903 -0.645],15.5483675,-57.016037,0.72562623,100,-1.0205564,0.3025091,-43.182846,984.74274,3.0580873,5.206188,-74.027756,0.5202208,5500,1063.887063741684,,66.18,55,-100.5858666514113,0.75249135,0.0052724066,99.0,-50.05936,285786,47.487656,100.0,-60.99489
5.3632216,[-1.039 -0.862 -0.133 -0.919 -0.666],14.394333,-59.240135,0.74411416,100,-9.960953,0.58949095,-44.391468,3709.629,20.458424,15.0944605,-74.73993,1.02572,5600,1084.8654954433441,,61.85,56,-100.78506663002034,0.74430454,0.0024693757,99.0,-53.891205,291971,364.38275,100.0,-63.195618
1.8752551,[-1.025 -0.882 -0.154 -0.939 -0.675],12.730431,-61.02968,0.74758846,100,-15.182468,0.3652403,-47.716953,1867.5568,4.6283355,7.4168158,-82.09058,0.7142567,5700,1104.284161567688,,59.38,57,-102.13951914129495,0.75850165,0.010404455,99.0,-55.964867,297909,65.28367,100.0,-64.97237
1.144791,[-1.019 -0.881 -0.175 -0.929 -0.66 ],12.654919,-60.11159,0.7839499,100,-22.134556,0.2880816,-48.12589,2017.729,3.591806,4.4063926,-78.6381,0.69463825,5800,1127.180141210556,,60.3,58,-101.36371903226357,0.75932986,0.0056277206,99.0,-54.974674,303939,22.282587,100.0,-64.02673
2.9139154,[-0.995 -0.886 -0.188 -0.923 -0.66 ],16.673,-57.293568,0.76957977,100,-5.4066396,0.5658001,-43.687515,1928.8577,8.343996,8.1948595,-76.38242,0.73854333,5900,1148.6347501277924,,65.44,59,-100.12252872624646,0.75785226,0.026977478,99.0,-52.839363,310483,98.98939,100.0,-61.234043
3.8830957,[-1.003 -0.896 -0.167 -0.934 -0.661],14.814405,-57.166325,0.7950186,100,2.500237,0.72265345,-38.01071,6676.569,13.1410055,32.55457,-73.775085,1.5526682,6000,1170.216426372528,,66.54,60,-100.59886095671713,0.72384024,0.0008683482,99.0,-48.758053,317137,139.94978,100.0,-61.135387
1.4119664,[-1.015 -0.87  -0.174 -0.892 -0.695],12.024326,-58.234756,0.8151642,100,-16.724972,0.27887222,-45.877457,2495.0444,4.6420946,17.203285,-72.77516,1.1308223,6100,1193.1652224063873,,63.64,61,-101.36597941083171,0.71163726,0.008700596,99.0,-52.866566,323501,72.54779,100.0,-62.201378
3.6518588,[-1.018 -0.857 -0.157 -0.877 -0.707],13.963403,-57.88904,0.6338324,100,-19.384274,0.6648127,-37.060963,1877.2644,19.130028,8.978439,-74.898224,0.7949723,6200,1217.538028717041,,64.95,62,-101.40066343197894,0.7114713,0.0057646264,99.0,-47.242958,329996,196.38884,100.0,-61.824997
4.916474,[-1.028 -0.868 -0.147 -0.865 -0.707],17.110895,-55.41807,0.75016123,100,-3.3550653,0.8427493,-41.639057,2337.1953,16.191368,33.51971,-71.88781,1.1113774,6300,1240.8774366378784,,75.17,63,-103.34724723214566,0.7185717,0.013094328,99.0,-51.806854,337513,210.9505,100.0,-59.49618
3.6780167,[-1.051 -0.86  -0.13  -0.861 -0.7  ],14.853616,-56.89068,0.6106023,100,-11.0716505,0.6676969,-33.585266,1610.8094,19.87046,9.204107,-75.975044,0.7177459,6400,1262.7341377735138,,69.99,64,-102.63434013486255,0.7040988,8.5956475e-05,99.0,-43.1426,344512,158.4702,100.0,-60.93
2.9989657,[-1.03  -0.865 -0.141 -0.879 -0.715],16.499664,-56.01519,0.74905956,100,3.9577923,0.6126134,-45.37751,4503.7095,15.491929,13.730183,-70.455215,1.1173017,6500,1288.0442082881927,,71.12,65,-102.43317524652068,0.6672864,0.0013688819,99.0,-54.39248,351624,142.13435,100.0,-60.055363
