MaxD2w0t,MeanD2w0t,EmpiricalD2,ReturnMeanIW,InitialReturnMin,StdD2w0t,Weights,MeanIW,TimeElapsed,MinD2w0t,EpisodesSoFar,MinIW,ReturnStepMaxmin,EpRewMean,MaxIW,InitialReturnStd,EpLenMean,StdIW,Bound,InitialBound,J_sample_variance,InitialReturnMax,TimestepsSoFar,InitialReturnMean,Iteration,ReturnStepMax,MeanEntropy,EpThisIter
1.0001763,0.09438385,1.0000749,-81.15575,-99.3411,0.29237282,[-3.682e-01 -6.762e-01 -4.807e-01 -2.519e-01  2.249e-04],0.9990602,485.1173219680786,,4000,0.960435,99.04698,-121.47046815022027,1.0254825,8.528669,47.19,0.008947967,-1827.7721,-1827.819,71.29111,-57.67382,183050,-81.2421,40,100.0,1.4190369,100
1.0003424,0.08976816,1.0002007,-82.72873,-99.514915,0.28586107,[-3.686e-01 -6.770e-01 -4.811e-01 -2.522e-01  1.888e-04],0.99753064,497.97597432136536,,4100,0.9550897,99.16991,-121.65875702328012,1.0390313,8.051424,44.88,0.014658768,-1871.9543,-1872.0631,62.970486,-58.094307,187538,-82.942986,41,100.0,1.4179742,100
1.0001751,0.089943126,1.0000873,-82.498566,-98.28198,0.286103,[-0.369 -0.677 -0.481 -0.252 -0.001],0.9987778,509.4274787902832,,4200,0.97737926,99.272,-121.23628785477844,1.0298334,7.9935703,44.97,0.009445414,-1875.8751,-1875.9414,62.4739,-64.74873,192035,-82.61108,42,100.0,1.4183336,100
1.000226,0.09160525,1.0000865,-82.489845,-97.49227,0.28847712,[-3.703e-01 -6.776e-01 -4.817e-01 -2.520e-01 -6.333e-04],0.99820155,521.8976051807404,,4300,0.97477233,99.16141,-122.04176298009835,1.041577,8.406683,45.8,0.009277526,-1928.9557,-1929.0385,70.11033,-56.159508,196615,-82.646,43,100.0,1.418951,100
1.0004154,0.093589924,1.0002542,-81.85001,-98.29925,0.29127562,[-3.700e-01 -6.768e-01 -4.810e-01 -2.520e-01  4.972e-05],0.9962541,532.9758245944977,,4400,0.94582653,99.070755,-122.1296662147499,1.0516099,9.192767,46.79,0.015229459,-1866.7794,-1866.8978,92.058304,-53.808243,201294,-82.0845,44,100.0,1.4193734,100
1.0006722,0.094417304,1.0003458,-80.27696,-98.923065,0.29243344,[-3.698e-01 -6.765e-01 -4.813e-01 -2.523e-01  4.093e-04],0.995202,544.3721480369568,,4500,0.95076424,99.16104,-120.78318447962701,1.040023,8.537212,47.2,0.015657144,-1810.7681,-1810.9556,71.516846,-60.209106,206014,-80.64168,45,100.0,1.4193892,100
1.000358,0.09697084,1.0002133,-79.3887,-98.9747,0.29593247,[-3.700e-01 -6.757e-01 -4.809e-01 -2.530e-01  4.411e-04],0.9962394,556.6971762180328,,4600,0.962815,99.05448,-120.25795180301975,1.0476964,9.640836,48.48,0.01357119,-1872.8369,-1872.9562,98.124435,-54.349457,210862,-79.62583,46,100.0,1.4204494,100
1.0002452,0.08808496,1.0001116,-82.49517,-99.27101,0.28341815,[-0.37  -0.676 -0.481 -0.253  0.001],0.99752885,569.5931167602539,,4700,0.9679081,99.00002,-120.29575724481312,1.0246263,9.805402,44.04,0.0093968725,-1891.8223,-1891.917,98.84339,-34.342632,215266,-82.66231,47,100.0,1.42099,100
1.0006992,0.09345404,1.0004728,-80.288315,-96.05998,0.29108533,[-0.37  -0.677 -0.482 -0.253  0.002],0.9947583,580.5018560886383,,4800,0.91816515,99.1172,-120.16427005246285,1.036576,9.0838175,46.72,0.021651901,-1793.3038,-1793.5171,85.43448,-56.99721,219938,-80.65356,48,100.0,1.420367,100
1.0002362,0.090466544,1.0001353,-82.857834,-97.75511,0.28685406,[-0.368 -0.677 -0.481 -0.254  0.001],0.99774885,592.9959533214569,,4900,0.9726461,99.09344,-121.97622154910206,1.0359231,8.679645,45.23,0.010765389,-1829.5096,-1829.587,78.38725,-62.773438,224461,-83.010124,49,100.0,1.4214314,100
