EmpiricalD2,MeanEntropy,EpRewMean,MeanIW,InitialReturnMin,EntropyCoefficient,InitialReturnMax,MeanD2w0t,StdIW,MaxD2w0t,Iteration,EpThisIter,Bound,TimeElapsed,EpLenMean,InitialBound,MinD2w0t,Weights,StdD2w0t,InitialReturnStd,ReturnStepMaxmin,ReturnStepMax,J_sample_variance,ReturnMeanIW,EpisodesSoFar,TimestepsSoFar,MaxIW,MinIW,InitialReturnMean
1.013324,1.4146781,-119.82034888624521,1.0154217,-18.00296,10.0,24.958027,0.09819101,0.10761977,1.0203543,41,100,-118.10169,491.3645966053009,48.79,-119.14529,,[-0.431 -0.659 -0.482 -0.246  0.002],0.2986096,8.657184,94.204575,100.0,223.33533,167.00958,4100,193704,1.2814704,0.6739793,5.722046e-07
1.0394496,1.419305,-120.05186416094654,1.0535831,-19.21164,10.0,29.417717,0.099751554,0.2276404,1.0992348,42,100,-114.3726,502.86401629447937,48.99,-118.38978,,[-0.428 -0.655 -0.482 -0.246 -0.004],0.30271286,10.649969,94.12108,100.0,766.65814,171.31253,4200,198603,1.8822963,0.64928234,-5.340576e-07
1.0267934,1.4091811,-119.96085772273746,1.043264,-17.052505,10.0,23.41853,0.09769289,0.15709376,1.0616686,43,100,-112.559204,515.2200748920441,48.16,-115.49131,,[-4.382e-01 -6.382e-01 -4.809e-01 -2.395e-01  3.269e-04],0.2992588,9.236487,94.22164,100.0,568.43317,173.40334,4300,203419,1.5757151,0.6654763,-2.632141e-06
1.0308237,1.3969353,-120.30536496490144,1.0458415,-16.236061,10.0,23.57051,0.0955545,0.18620777,1.0586268,44,100,-109.11863,527.132782459259,46.95,-112.329636,,[-0.444 -0.623 -0.476 -0.238 -0.01 ],0.29685006,8.5575285,93.97161,100.0,856.92914,180.39502,4400,208114,1.5663959,0.50111854,-1.3732911e-06
1.0365565,1.3949828,-120.96897704811455,1.0461345,-19.498894,10.0,21.964584,0.10015171,0.19848175,1.0830314,45,100,-118.6857,540.2201645374298,49.5,-121.83897,,[-0.446 -0.625 -0.473 -0.243 -0.022],0.30217063,9.122628,94.2292,100.0,628.33453,168.59418,4500,213064,2.000301,0.64713705,1.9836425e-06
1.0263594,1.3877819,-119.54115584854998,1.0379684,-20.99218,10.0,22.732586,0.10390372,0.16022041,1.0446675,46,100,-123.846634,553.452712059021,51.15,-126.546646,,[-0.466 -0.624 -0.479 -0.238 -0.024],0.30781758,9.150668,94.45755,100.0,554.15186,159.9053,4600,218179,1.5247893,0.63568676,-2.670288e-07
1.0067267,1.3883032,-118.98906946409768,1.0132225,-21.707329,10.0,33.84006,0.10237057,0.07018311,1.0170884,47,100,-137.88913,565.4310920238495,51.03,-138.94727,,[-0.46  -0.63  -0.474 -0.243 -0.031],0.3036471,9.944761,94.3572,100.0,202.7711,156.1312,4700,223282,1.2609339,0.84852815,-2.784729e-06
1.0174074,1.3852217,-120.58268298016084,1.020169,-18.226341,10.0,31.899334,0.10226786,0.12927788,1.0380906,48,100,-125.446594,576.9946637153625,50.62,-126.96291,,[-0.469 -0.627 -0.476 -0.242 -0.031],0.304719,9.994124,94.368454,100.0,418.63226,161.16762,4800,228344,1.4177289,0.69281274,-1.8310546e-06
1.0179211,1.3847439,-121.1066770749935,1.0279443,-18.082428,10.0,31.325024,0.0986709,0.13647644,1.0464891,49,100,-123.67685,589.3230147361755,48.85,-125.74855,,[-0.467 -0.637 -0.475 -0.245 -0.034],0.29987434,8.946817,94.15231,100.0,377.83585,169.95609,4900,233229,1.6546686,0.7651327,-2.2125244e-06
1.0144141,1.3951406,-121.69525656524928,1.0159724,-17.869003,10.0,27.413162,0.09827916,0.1343659,1.0254282,50,100,-112.77862,601.2522170543671,48.76,-114.12462,,[-0.462 -0.625 -0.47  -0.24  -0.034],0.29896495,8.678231,94.15699,100.0,405.1845,169.78633,5000,238105,1.5208669,0.71286815,-4.15802e-06
