ReturnStepMax,TimestepsSoFar,MeanD2w0t,StdD2w0t,Weights,EpLenMean,MeanEntropy,InitialReturnMean,EmpiricalD2,J_sample_variance,TimeElapsed,EpThisIter,EpisodesSoFar,EpRewMean,Iteration,MeanIW,InitialReturnStd,MaxIW,MinD2w0t,ReturnStepMaxmin,MinIW,MaxD2w0t,Bound,InitialBound,InitialReturnMax,StdIW,InitialReturnMin,ReturnMeanIW
100.0,71786,0.03451173,0.18273456,[-0.707  0.91  -0.682  0.294 -0.006],17.22,1.4106082,-93.53724,1.005869,53.879646,320.08944511413574,100,4200,-109.03481991160383,42,0.9823754,2.6531982,1.188911,,99.39752,0.7882334,1.0084702,-750.9741,-751.79816,-84.78191,0.07635429,-97.91458,-91.97744
100.0,73454,0.033374514,0.17965303,[-0.704  0.912 -0.683  0.293 -0.008],16.68,1.4059033,-93.32443,1.0008073,16.152796,326.18049693107605,100,4300,-108.28574964196821,43,0.99518466,3.0256932,1.0611289,,99.36938,0.8985306,1.0013224,-619.4907,-619.7656,-82.96095,0.031408183,-97.5507,-92.88724
100.0,75128,0.033506483,0.18003398,[-0.702  0.911 -0.683  0.292 -0.013],16.74,1.4097236,-93.05576,1.0016934,25.730858,333.57461404800415,100,4400,-108.04469625710348,44,0.9906073,3.025476,1.143389,,99.37097,0.8904208,1.0036813,-639.9143,-640.42694,-84.713165,0.046410263,-97.67644,-92.20258
100.0,76791,0.033310656,0.17958933,[-0.707  0.912 -0.682  0.29  -0.009],16.63,1.404667,-93.62354,1.0025268,25.517698,341.49917459487915,100,4500,-108.57410864966474,45,0.98446345,2.724377,1.089656,,99.39757,0.786997,1.005827,-692.43475,-693.1395,-84.64401,0.049043782,-97.47152,-92.21575
100.0,78511,0.03441325,0.18232846,[-0.705  0.91  -0.684  0.294 -0.014],17.2,1.4042753,-93.33459,1.0014538,16.431187,349.53352403640747,100,4600,-108.80424461944837,46,0.992706,2.7554936,1.1063093,,99.35166,0.8808745,1.0033313,-711.6179,-711.9646,-85.68435,0.03767667,-97.571594,-92.655045
100.0,80193,0.033688985,0.18055993,[-0.702  0.911 -0.684  0.295 -0.015],16.82,1.4023706,-93.019196,1.0024931,32.776188,357.9143805503845,100,4700,-108.07026095403916,47,0.9874423,2.995318,1.1913224,,99.35217,0.8130711,1.0062977,-611.4292,-612.0001,-82.66341,0.05349023,-97.62997,-91.92208
100.0,81894,0.03402095,0.18128921,[-0.706  0.913 -0.684  0.292 -0.016],17.01,1.4023492,-93.20055,1.0000459,9.654701,365.8278501033783,100,4800,-108.44657309179567,48,0.9995939,2.9854133,1.0255843,,99.35229,0.9847687,1.0001451,-682.2959,-682.3123,-83.20883,0.006754625,-97.793884,-93.16808
100.0,83576,0.033660304,0.18040897,[-0.707  0.914 -0.683  0.291 -0.017],16.82,1.4058805,-93.31248,1.0015332,17.697906,372.95303297042847,100,4900,-108.38752386205852,49,0.9897702,2.6404245,1.1270316,,99.3602,0.9253567,1.0044671,-720.237,-720.7343,-84.38812,0.036493886,-97.385376,-92.41198
100.0,85269,0.03386936,0.18091398,[-0.703  0.913 -0.684  0.293 -0.013],16.93,1.4049103,-93.238556,1.0004292,14.423071,380.18744254112244,100,5000,-108.42138401637204,50,0.995531,3.1078885,1.0531796,,99.387665,0.9021639,1.0016376,-659.30896,-659.6034,-82.54402,0.021811688,-97.5266,-92.84396
100.0,86974,0.0341061,0.18151233,[-0.696  0.911 -0.683  0.291 -0.014],17.05,1.4042985,-92.8666,1.0005962,11.381751,387.32785630226135,100,5100,-108.10656653943899,51,0.99748313,2.991901,1.0450981,,99.355736,0.9284133,1.00108,-659.0763,-659.2314,-84.217415,0.024395872,-97.88067,-92.62636
100.0,88578,0.032126717,0.17647313,[-0.693  0.911 -0.684  0.292 -0.015],16.04,1.4131724,-93.28143,1.0026556,18.273478,394.7059955596924,100,5200,-107.61416718745724,52,0.9893428,2.731998,1.108809,,99.36457,0.9137851,1.0040877,-596.06177,-596.5332,-83.49465,0.038848422,-97.63494,-92.32754
