Weights,EpThisIter,MinIW,MeanEntropy,MeanIW,Iteration,Bound,InitialBound,ReturnStepMaxmin,EpRewMean,MinD2w0t,StdIW,EntropyCoefficient,EpisodesSoFar,EpLenMean,ReturnMeanIW,TimestepsSoFar,MaxD2w0t,InitialReturnMin,ReturnStepMax,J_sample_variance,TimeElapsed,EmpiricalD2,MeanD2w0t,InitialReturnStd,InitialReturnMax,MaxIW,InitialReturnMean,StdD2w0t
[ 0.987  1.201  0.39   1.28  -0.404],100,0.06876258,1.0021938,1.158101,81,403.2239,375.10306,87.4188,-112.42259769094852,,1.3928639,100.0,8100,17.9,605.73926,153000,2.9729927,-2.142311,100.0,440101.75,1013.8527617454529,1.9654999,0.047288697,1.122369,2.7640762,12.522689,1.4495849e-06,0.2546978
[ 0.967  1.18   0.365  1.281 -0.417],100,0.62958753,1.023363,1.0176016,82,405.9544,398.4148,87.56641,-112.64837723387932,,0.20756224,100.0,8200,18.12,530.63983,154812,1.1279731,-2.270279,100.0,10098.947,1025.6459245681763,1.0399991,0.037083797,1.0808352,2.517456,1.8238726,2.2888183e-07,0.19126615
[ 1.001  1.167  0.368  1.287 -0.396],100,0.0082966145,0.9870422,1.5911664,83,447.2972,359.96793,87.9978,-113.30072832010232,,5.1206384,100.0,8300,18.88,764.9948,156700,17.19172,-2.189392,100.0,5223237.0,1036.726467370987,7.806407,0.080977745,1.0315863,2.7473297,50.177414,-4.119873e-06,0.5744863
[ 0.973  1.108  0.359  1.266 -0.432],100,0.53229624,1.0173413,1.0424691,84,377.0673,362.53284,87.75055,-112.87866382453203,,0.32488483,100.0,8400,18.43,532.1281,158543,1.2043043,-1.9560013,100.0,23187.605,1050.345691204071,1.0989941,0.0384895,1.0273495,3.0624542,2.7994,6.4849855e-06,0.19687253
[ 0.995  1.107  0.36   1.281 -0.402],100,0.08819428,1.0246483,1.1704711,85,383.08118,345.8552,88.22505,-113.92267533660417,,1.1958096,100.0,8500,19.35,559.9202,160478,2.7842822,-2.2444687,100.0,263931.3,1061.3132107257843,2.093336,0.04837544,1.029734,2.6689224,8.45045,8.544922e-06,0.25103
[ 0.982  1.072  0.352  1.274 -0.394],100,0.0027336455,1.0429064,5.5375943,86,1391.3822,328.35864,88.22818,-113.95126840111453,,50.097565,100.0,8600,19.36,2367.9785,162414,3219.2888,-2.4445496,100.0,420346700.0,1074.1650881767273,168.97626,0.57367146,0.9980986,2.1879044,514.2057,-9.155274e-06,21.775343
[ 0.868  1.022  0.323  1.229 -0.376],100,0.00044842367,1.0045841,4.167236,87,1182.0687,353.80237,88.23783,-113.87658803051298,,31.785028,100.0,8700,19.38,1874.4006,164352,305.23566,-2.1543274,100.0,190764430.0,1086.7524766921997,22.912712,0.23468807,1.0794474,3.0370407,325.42172,-1.9073486e-06,3.6144264
[ 0.91   1.006  0.374  1.352 -0.414],100,0.11528632,0.9970714,1.1177204,88,417.2813,384.946,87.54208,-112.74423305880718,,0.73677397,100.0,8800,18.1,580.37787,166162,3.1343362,-2.3805008,100.0,125690.55,1100.2388472557068,1.3466694,0.041695654,1.0387172,2.2859802,6.931678,-4.043579e-06,0.21903579
[ 0.888  1.037  0.36   1.389 -0.422],100,0.39557678,0.9970706,1.1027255,89,368.63565,340.69495,88.20247,-114.20010210206894,,0.4611687,100.0,8900,19.36,537.0196,168098,1.5596818,-2.5808945,100.0,43887.652,1114.2419636249542,1.183966,0.04226399,0.91433984,2.1479645,2.7671785,-6.4849855e-06,0.21135312
[ 0.874  1.054  0.371  1.379 -0.422],100,0.19888102,0.99607486,1.0479149,90,326.0101,312.54776,88.52057,-114.73687209279336,,0.5129289,100.0,9000,19.99,495.1746,170097,1.8990211,-2.3743362,100.0,48597.312,1125.7627716064453,1.2022274,0.042429753,1.0352737,2.7001648,4.323073,-5.722046e-06,0.20890158
[ 0.876  1.035  0.364  1.348 -0.423],100,0.33819425,1.0061734,1.0483395,91,324.25946,310.04037,88.53618,-114.81013565392814,,0.4007103,100.0,9100,20.03,494.0235,172100,1.4820322,-2.3568268,100.0,28771.096,1138.9147174358368,1.182114,0.04195967,0.9922328,2.209587,2.609794,1.1291504e-05,0.2058876
[ 0.866  1.02   0.357  1.331 -0.413],100,0.5739186,1.0312351,1.0445886,92,344.88544,331.39932,88.160355,-113.9566098360948,,0.30879572,100.0,9200,19.25,511.48398,174025,1.1766403,-2.1735382,100.0,18935.781,1151.5258185863495,1.0858158,0.040033218,0.9483517,2.7207947,2.4396985,1.8310546e-06,0.20018896
[ 0.858  1.031  0.354  1.318 -0.388],100,0.32441962,1.0546268,1.0529999,93,289.63733,277.10178,89.0683,-115.87605806346964,,0.41538486,100.0,9300,21.2,468.20718,176145,1.496697,-2.649643,100.0,26915.201,1163.6694695949554,1.1570067,0.044703905,1.0062242,2.3274612,2.6160002,-3.7384034e-06,0.21278535
[ 0.858  1.05   0.349  1.334 -0.364],100,2.6417948e-11,0.76454407,60.027313,94,12804.598,355.45383,87.87549,-113.42475982132488,,588.5742,100.0,9400,18.71,25465.76,178016,1580953.2,-2.2592545,100.0,59684663000.0,1175.902027606964,28377.39,95.16878,1.0331286,2.6696472,6063.509,-1.1444092e-06,8112.846
[ 0.798  0.978  0.392  1.175 -0.655],100,0.5276277,0.7919672,1.0548207,95,282.93307,269.23285,88.50328,-114.33491054525562,,0.3722969,100.0,9500,19.89,499.88382,180005,1.278084,-2.9186478,100.0,27179.316,1192.7184891700745,1.0930218,0.041886266,0.969286,2.083397,2.9653444,-6.1035157e-06,0.20594963
[ 0.806  0.971  0.389  1.156 -0.627],100,0.0020759404,0.76269,1.7948174,96,390.47546,275.85303,88.516205,-114.37855112937106,,7.9020905,100.0,9600,19.92,816.416,181997,69.67507,-2.560669,100.0,11237874.0,1206.3695423603058,9.23397,0.09784532,0.9720502,2.1603928,80.168526,3.6621093e-06,0.9377879
[ 0.826  1.017  0.371  1.179 -0.656],100,0.10700998,0.74273354,1.1836226,97,364.79633,320.51776,87.99336,-113.46271311081313,,1.0924649,100.0,9700,18.9,582.733,183887,3.4909055,-2.5040283,100.0,221860.1,1219.7739446163177,1.5638039,0.043830544,1.0337476,2.7588348,10.999547,2.2888183e-07,0.22673759
[ 0.865  1.022  0.36   1.173 -0.676],100,0.70174634,0.76952505,1.0257945,98,307.18915,297.22824,88.53346,-114.37873583918079,,0.23671547,100.0,9800,19.95,485.78787,185882,1.0872818,-2.6708221,100.0,10806.732,1234.2459273338318,1.0448169,0.040879663,1.1772089,2.221962,2.1015801,5.1879883e-06,0.2005689
[ 0.86   1.027  0.362  1.172 -0.649],100,0.35492346,0.76498306,1.0599532,99,339.0376,323.65314,87.94377,-113.38881185313318,,0.4940563,100.0,9900,18.81,532.3339,187763,1.8412175,-2.6086502,100.0,54025.95,1244.1083507537842,1.1855278,0.040932924,1.0028527,2.539978,3.6552126,5.645752e-06,0.2081638
[ 0.868  1.03   0.369  1.2   -0.654],100,0.18318672,0.7714585,1.0761135,100,344.61658,322.59393,87.992615,-113.40973176240536,,0.59861743,100.0,10000,18.89,535.94763,189652,2.2551348,-2.518547,100.0,73894.586,1255.6119549274445,1.3269644,0.041894898,1.0126643,2.7633896,4.794167,-7.93457e-06,0.21351792
[ 0.874  1.008  0.369  1.171 -0.648],100,0.13469303,0.78114796,1.132745,101,382.68945,348.12228,87.81419,-113.20611552138362,,0.8208244,100.0,10100,18.58,571.20514,191510,2.0153987,-1.9439316,100.0,137646.08,1267.5456655025482,1.5734928,0.042174608,1.0617362,1.7721405,5.3677673,8.69751e-06,0.21748604
[ 0.896  1.023  0.366  1.165 -0.638],100,0.008437757,0.806664,1.9018823,102,516.61707,325.9032,88.114655,-113.38619251461333,,6.1365595,100.0,10200,19.08,882.78436,193418,81.00491,-2.7216568,100.0,6832799.5,1279.7361600399017,14.768633,0.11143367,1.0055748,2.3369598,53.807922,-1.0528564e-05,1.2166817
[ 0.869  0.977  0.351  1.132 -0.612],100,7.498658e-05,0.73968405,2.8617818,103,824.6785,334.1413,87.671394,-112.97144754154559,,18.788004,100.0,10300,18.33,1391.5197,195251,989.27716,-2.4987106,100.0,77124650.0,1292.5781908035278,59.050507,0.27964124,1.1069393,3.016182,190.13223,2.9754638e-06,7.530975
[ 0.836  0.925  0.337  1.044 -0.679],100,0.049285978,0.71885437,1.1308647,104,334.055,307.136,88.19459,-114.02803431090437,,0.843963,100.0,10400,19.35,545.4452,197186,1.9679503,-2.1237488,100.0,130490.766,1310.1799039840698,1.5376325,0.0440415,0.969215,3.0508423,4.550248,4.272461e-06,0.2224348
[ 0.813  0.912  0.327  1.04  -0.7  ],100,0.033566434,0.68761635,2.0303268,105,656.21063,349.5999,87.546844,-112.82556997582614,,9.990368,100.0,10500,18.12,1031.0951,198998,235.03366,-2.453247,100.0,23122550.0,1322.2520308494568,16.567509,0.13347198,1.1215982,3.5671082,101.18582,-5.4931643e-06,2.3839166
[ 0.793  0.883  0.319  0.954 -0.731],100,0.33002746,0.7120001,1.1093488,106,341.16714,306.3653,88.2782,-113.8187740436243,,0.37138817,100.0,10600,19.42,532.93854,200940,1.6156944,-2.0241623,100.0,26086.957,1335.4061069488525,1.1624829,0.04209795,1.0614982,2.8175125,3.0333695,6.8664554e-07,0.21005082
[ 0.782  0.888  0.306  0.944 -0.707],100,0.16415414,0.71481615,1.0933139,107,358.23218,333.22974,87.98249,-113.44094206521405,,0.59577626,100.0,10700,18.9,543.5831,202830,1.6686568,-2.3653793,100.0,72264.805,1347.8504528999329,1.313107,0.04236294,1.2141758,3.234398,3.9788084,-8.010864e-06,0.21490589
[ 0.801  0.892  0.321  0.947 -0.704],100,0.0013525141,0.7124415,1.3673043,108,443.62204,347.22382,87.79479,-113.0260821509921,,4.264398,100.0,10800,18.55,685.16003,204685,20.659752,-1.8230515,100.0,3928922.8,1358.5777070522308,3.6141677,0.061218165,1.0397478,3.4068222,76.1391,1.9073486e-06,0.4248002
[ 0.828  0.845  0.311  0.898 -0.707],100,0.14116654,0.71038884,1.0759523,109,368.23816,345.74585,87.53183,-112.69784999216452,,0.62381446,100.0,10900,18.2,554.1625,206505,2.3550448,-2.7442627,100.0,83729.45,1370.1709523200989,1.3702888,0.040098693,1.1372766,2.252861,3.86577,3.7384034e-06,0.20839997
[ 0.848  0.857  0.313  0.92  -0.709],100,0.5227741,0.7060479,1.0192314,110,333.20245,327.50958,87.85759,-113.16727526183814,,0.1641224,100.0,11000,18.64,516.2494,208369,1.1062554,-2.2064133,100.0,5527.8496,1381.22989320755,1.0320503,0.037794925,1.0543965,2.115837,1.7581091,5.340576e-07,0.1921035
[ 0.857  0.848  0.318  0.922 -0.713],100,0.35316253,0.68663305,1.0697703,111,343.5782,327.70706,88.00697,-113.3940743278975,,0.55510825,100.0,11100,18.91,531.8375,210260,1.575102,-2.7277298,100.0,60485.54,1393.4829030036926,1.1712073,0.04021678,1.13944,2.7782288,5.522809,-9.155273e-07,0.203528
[ 0.871  0.855  0.31   0.925 -0.732],100,0.005026376,0.6694509,2.9789982,112,661.46405,302.8105,88.18246,-113.63441938707376,,16.86918,100.0,11200,19.26,1293.2938,212186,55.877346,-2.189621,100.0,42863692.0,1406.0884306430817,29.990612,0.17489257,1.0535358,2.4788895,167.81143,-5.8746336e-06,1.7793959
[ 0.814  0.815  0.304  0.924 -0.749],100,0.25038534,0.68403375,1.1127179,113,364.488,328.80493,87.788864,-113.01398874585361,,0.56269836,100.0,11300,18.51,565.98224,214037,2.3722522,-2.592842,100.0,71703.82,1422.1083765029907,1.3107585,0.0424967,1.0547844,3.1560898,4.810789,1.7547608e-06,0.21915887
[ 0.81   0.827  0.306  0.959 -0.735],100,0.60908854,0.7070298,1.025196,114,319.66208,311.12402,88.21208,-113.93029299008465,,0.2615132,100.0,11400,19.33,500.88052,215970,1.1472744,-2.505684,100.0,13351.451,1434.03285074234,1.0591528,0.03976061,1.0412948,2.7770996,2.0632243,6.1798096e-06,0.19834495
[ 0.821  0.817  0.31   0.955 -0.712],100,0.05002753,0.6660171,1.7374094,115,495.5066,299.52957,88.47526,-114.5167042763626,,6.487291,100.0,11500,19.9,799.2028,217960,61.61612,-2.415596,100.0,7967942.0,1444.8468070030212,5.1533966,0.09063994,0.98741305,2.3081207,66.01168,-1.9073486e-06,0.9726847
[ 0.798  0.806  0.29   0.887 -0.753],100,0.44726256,0.6576143,1.0244135,116,266.65582,259.77374,88.29722,-113.91415727210557,,0.18972014,100.0,11600,19.6,492.48077,219920,1.1504925,-2.2679749,100.0,7162.211,1458.390718460083,1.0346531,0.04000588,1.0665787,3.1396408,1.7775646,3.4332274e-06,0.19808476
[ 0.79   0.812  0.289  0.9   -0.761],100,0.15716983,0.65536654,1.1277974,117,297.50333,265.8675,88.114746,-113.44470541568033,,0.59937024,100.0,11700,19.09,552.80524,221829,2.0852704,-1.8325119,100.0,69249.07,1470.0682094097137,1.2298784,0.042246405,0.9880577,2.7957764,5.680729,5.1879883e-06,0.21357328
[ 0.782  0.819  0.278  0.878 -0.764],100,0.22012377,0.66067123,1.0838333,118,306.23486,289.7661,88.62407,-114.78312119114882,,0.63450176,100.0,11800,20.18,505.1467,223847,2.5823386,-2.6666718,100.0,76298.65,1481.3141531944275,1.3128833,0.046281815,0.9991583,2.1023483,4.898503,-2.4414062e-06,0.22881414
[ 0.772  0.813  0.269  0.845 -0.758],100,0.05398781,0.6455387,1.1480699,119,319.73404,305.3629,88.153656,-113.7340284028441,,1.2066314,100.0,11900,19.35,547.76587,225782,3.0517821,-2.251068,100.0,267704.5,1493.3617959022522,1.5647385,0.049220815,1.1432295,3.3134384,9.988865,4.119873e-06,0.25125095
[ 0.781  0.809  0.292  0.864 -0.773],100,0.4360047,0.638191,1.0508537,120,348.67758,337.03055,87.61647,-112.62825925298738,,0.37341103,100.0,12000,18.19,543.5679,227601,1.3734839,-2.3382263,100.0,31569.244,1505.8887512683868,1.1038408,0.038471382,1.1244634,2.6402512,2.9463477,2.7465821e-06,0.1983555
[ 0.79   0.81   0.282  0.864 -0.781],100,0.42612678,0.65087277,1.0548316,121,296.66443,281.08368,88.178276,-113.58725355733968,,0.35467327,100.0,12100,19.26,513.4312,229527,1.3278495,-2.4401321,100.0,22903.309,1516.0493083000183,1.1197908,0.040043786,1.2346963,3.3948898,2.6734293,1.2207031e-06,0.20029092
[ 0.79   0.8    0.286  0.868 -0.768],100,0.016226122,0.67394096,1.4052864,122,399.6042,331.33118,87.66139,-112.83661795794477,,3.695591,100.0,12200,18.29,714.9421,231356,38.111797,-2.3437881,100.0,3276659.0,1527.679018497467,3.9145236,0.070179,1.1344963,2.9895248,47.812683,4.119873e-06,0.5698851
[ 0.855  0.797  0.276  0.906 -0.745],100,0.23672026,0.6621032,1.1095943,123,347.62772,314.26056,88.12657,-113.86613784157777,,0.5346189,100.0,12300,19.18,541.737,233274,1.850631,-2.2447739,100.0,54634.598,1540.8677892684937,1.2954857,0.041510947,0.9315995,2.034706,3.2987938,6.1798096e-06,0.20897649
[ 0.822  0.793  0.28   0.897 -0.757],100,0.06284003,0.68459237,1.3369192,124,370.2509,316.65442,88.05861,-113.44320743322389,,2.39193,100.0,12400,19.0,639.8494,235174,34.458473,-2.2013092,100.0,969854.44,1551.7542424201965,4.1543236,0.06403419,0.91361874,3.2343063,20.152393,7.858276e-06,0.4932158
[ 0.832  0.757  0.264  0.857 -0.734],100,0.13867208,0.7513811,1.2531081,125,390.9723,323.89996,88.03522,-113.8449355716575,,1.5746642,100.0,12500,19.03,612.8426,237077,5.4930816,-1.8535309,100.0,529266.8,1563.462164402008,1.9048314,0.052307677,0.8925065,1.7488937,25.696678,2.5177003e-06,0.27706072
[ 0.824  0.774  0.275  0.895 -0.668],100,0.50724334,0.74023306,1.0733111,126,356.33527,335.17786,88.03493,-113.54852970873853,,0.33498818,100.0,12600,18.98,532.28656,238975,1.3009353,-1.8871689,100.0,23165.502,1576.1457285881042,1.1202718,0.040329367,1.0729426,2.26503,2.2379656,-7.3242186e-06,0.20335774
[ 0.816  0.784  0.28   0.886 -0.679],100,0.6749214,0.7572321,1.0172925,127,323.8213,317.8142,88.238396,-113.94592774866423,,0.16956241,100.0,12700,19.51,491.53085,240926,1.1019833,-2.213005,100.0,5650.4243,1589.5153713226318,1.0341831,0.03972299,1.0348357,2.3608322,1.7483841,-2.822876e-06,0.19715826
[ 0.81   0.785  0.283  0.896 -0.662],100,0.0016938413,0.81572413,9.317184,128,1563.0278,301.53995,88.141045,-113.46517557141168,,89.54104,100.0,12800,19.14,3478.168,242840,832.3962,-1.8460464,100.0,980815700.0,1601.4783096313477,165.61118,0.7838948,1.1348268,3.3408356,937.1703,4.119873e-06,13.059395
[ 0.798  0.851  0.313  0.926 -0.603],100,0.08434449,0.79892796,1.4135222,129,380.38834,284.1495,88.18855,-113.69131183932822,,1.9563961,100.0,12900,19.31,672.8602,244771,23.534985,-2.6483154,100.0,722022.1,1617.585964679718,3.4395313,0.064520225,1.1188579,2.7059326,14.669024,-1.9073486e-06,0.4125717
[ 0.753  0.831  0.313  0.869 -0.62 ],100,0.480196,0.81872725,1.044741,130,282.6219,270.9896,88.862686,-115.21642165731042,,0.2955459,100.0,13000,20.7,474.30136,246841,1.2507148,-2.3931808,100.0,15207.811,1629.8583660125732,1.0710576,0.04311321,0.98850566,2.9493866,2.2482986,4.8065185e-06,0.20758586
[ 0.765  0.826  0.317  0.884 -0.6  ],100,0.12457408,0.80771005,1.0869956,131,304.00333,284.69122,88.65409,-114.52895992475376,,0.5352648,100.0,13100,20.21,504.10046,248862,1.5055026,-2.5663452,100.0,50153.203,1641.787053346634,1.2231435,0.04411038,1.1064783,4.1625366,3.099712,-2.2888185e-06,0.21559843
[ 0.736  0.828  0.304  0.887 -0.611],100,0.15234694,0.77181506,1.1083663,132,354.3413,325.3792,88.13803,-113.51901039558588,,0.50897366,100.0,13200,19.14,542.969,250776,1.6289287,-2.337654,100.0,51752.76,1654.7123091220856,1.2073126,0.041912824,1.2088104,3.4062347,3.5510325,-9.9182125e-06,0.21088493
[ 0.713  0.833  0.317  0.901 -0.647],100,0.47808647,0.8060412,1.0848272,133,383.00922,353.07104,87.78952,-112.84495527440993,,0.41851914,100.0,13300,18.52,550.7047,252628,1.3506907,-2.456398,100.0,40230.094,1666.4488501548767,1.1402904,0.040190414,1.0784982,2.9100418,3.3713312,2.2888185e-06,0.2053648
[ 0.707  0.83   0.319  0.883 -0.613],100,0.1715574,0.8077104,1.1269097,134,315.50018,289.83356,88.37504,-114.06848328692793,,0.937328,100.0,13400,19.75,528.07196,254603,2.181455,-2.5797806,100.0,147817.77,1678.6730329990387,1.6835644,0.04526869,1.1374269,3.6969757,6.027273,1.0299683e-05,0.22721954
[ 0.695  0.806  0.317  0.871 -0.611],100,0.060743976,0.80857366,1.1689942,135,374.40445,328.43018,87.92737,-113.18086467400549,,0.86380035,100.0,13500,18.75,577.84,256478,2.9058843,-2.9949188,100.0,143289.58,1689.1625366210938,1.7259569,0.044058595,1.2202729,2.6623077,4.3765216,-4.8065185e-06,0.2290975
[ 0.675  0.785  0.317  0.849 -0.61 ],100,0.38244417,0.78806084,1.0383567,136,327.67157,316.66174,88.27782,-113.70512515495265,,0.25694448,100.0,13600,19.4,504.51147,258418,1.141647,-2.4578629,100.0,13352.794,1701.3347170352936,1.0606134,0.040058747,1.2850728,3.4898758,1.9128835,-1.8310546e-06,0.19946495
[ 0.705  0.774  0.326  0.846 -0.631],100,0.067629784,0.80233556,1.1941193,137,347.1392,320.3083,88.36716,-113.88558382816734,,1.648093,100.0,13700,19.58,561.92456,260376,8.833384,-2.940155,100.0,476148.6,1712.4091498851776,2.3264809,0.052093472,1.1518235,2.513626,13.688658,-3.5095215e-06,0.29283503
[ 0.702  0.741  0.34   0.829 -0.617],100,0.20591457,0.78183776,1.1058058,138,385.68924,355.94592,87.9126,-113.3193789165407,,0.6293713,100.0,13800,18.75,552.58813,262251,1.7150818,-2.5387573,100.0,80098.83,1723.591684103012,1.3741324,0.041273233,1.2240913,2.9970398,3.9363036,8.392334e-07,0.21041887
[ 0.7    0.719  0.343  0.822 -0.637],100,0.28418487,0.8011571,1.0645378,139,271.21402,257.62253,88.89018,-114.93106446106248,,0.5501038,100.0,13900,20.69,481.9331,264320,1.4563662,-2.890503,100.0,47857.332,1733.70827627182,1.2552116,0.044109084,1.273498,2.716156,3.5097394,-3.8146973e-07,0.21291842
[ 0.696  0.702  0.344  0.813 -0.618],100,0.33172995,0.7967761,1.0387553,140,363.2721,351.0025,87.82411,-112.68781044817295,,0.2196513,100.0,14000,18.51,527.4504,266171,1.2645149,-2.262886,100.0,10616.861,1744.846892118454,1.0753402,0.038405403,1.0419297,2.81884,1.7882711,4.8828124e-06,0.19600117
[ 0.702  0.7    0.354  0.83  -0.622],100,0.13479163,0.8121986,1.0911034,141,354.20288,332.03412,87.94319,-113.15314113625105,,0.9412833,100.0,14100,18.77,548.56036,268048,3.0042975,-3.2142563,100.0,189211.92,1756.5152101516724,1.5980506,0.043227803,1.1460783,3.0258484,7.6202407,9.918213e-07,0.22417995
[ 0.692  0.68   0.349  0.804 -0.607],100,0.3935165,0.7842578,1.0753063,142,302.3436,282.96936,88.54549,-114.14417761531786,,0.3301609,100.0,14200,19.93,505.72925,270041,1.2182881,-2.9932175,100.0,19203.797,1770.9800095558167,1.1065277,0.041598506,1.2393295,3.8739777,2.115867,5.4931643e-06,0.20431319
[ 0.69   0.69   0.347  0.798 -0.635],100,0.0027327426,0.76658046,1.8828046,143,493.45297,315.65848,88.04256,-112.93810914380246,,4.8897867,100.0,14300,18.89,893.94965,271930,30.387106,-3.077095,100.0,4638662.5,1783.1827330589294,10.336964,0.09233435,1.1647637,2.9199982,26.335953,2.9754638e-06,0.7491281
[ 0.655  0.652  0.329  0.774 -0.652],100,0.58928,0.75822943,1.0207068,144,292.25146,286.42197,88.23303,-113.55124492937539,,0.16131191,100.0,14400,19.3,497.68185,273860,1.0620013,-2.9959946,100.0,5040.715,1796.61217045784,1.0304575,0.039044756,0.99816424,2.4460526,1.4839377,2.9754638e-06,0.19487327
[ 0.666  0.652  0.332  0.771 -0.661],100,0.035804756,0.80109954,1.2803515,145,384.90182,318.9179,88.0927,-113.4170078483247,,1.4046128,100.0,14500,19.05,632.78845,275765,6.280801,-2.681511,100.0,442037.38,1808.193167924881,2.0715983,0.058212247,1.3498166,3.161026,17.078539,-5.340576e-06,0.31720403
[ 0.675  0.661  0.338  0.821 -0.618],100,0.06967939,0.79482156,1.1096517,146,358.70145,330.32526,88.32622,-114.11122611908972,,0.63845074,100.0,14600,19.55,530.9351,277720,3.0119054,-3.043785,100.0,79530.28,1820.7647395133972,1.3613181,0.04485047,1.0208313,2.5364914,3.573886,-1.27410885e-05,0.22674535
[ 0.657  0.657  0.324  0.784 -0.624],100,0.11863394,0.7773243,1.180707,147,367.38712,323.97723,88.09735,-113.72975122011799,,0.753495,100.0,14700,19.11,574.3951,279631,2.2639055,-3.0109253,100.0,114334.44,1832.3815622329712,1.3672326,0.04511945,1.1780709,2.6206284,5.8781385,-4.5013426e-06,0.22918224
[ 0.639  0.655  0.321  0.817 -0.642],100,0.25952092,0.7733392,1.0619304,148,255.61331,241.68268,89.22589,-115.76770427884554,,0.4151268,100.0,14800,21.49,465.34406,281780,1.4161397,-2.1345978,100.0,26390.262,1845.5142402648926,1.1452194,0.045791563,1.0267309,2.8302383,3.489634,-4.196167e-06,0.2164309
[ 0.633  0.651  0.325  0.838 -0.646],100,0.026610501,0.7538054,1.2071236,149,338.70435,293.30737,88.43027,-114.2511256525761,,1.4310797,100.0,14900,19.75,570.3207,283755,11.288896,-3.0159683,100.0,378500.7,1857.4189429283142,2.1644845,0.05195833,1.1335496,2.8525772,10.110985,-6.866455e-06,0.2807552
[ 0.608  0.64   0.303  0.798 -0.665],100,4.462128e-05,0.6825072,9.8080635,150,2821.319,293.15442,88.33229,-114.05189770292644,,82.08242,100.0,15000,19.55,4271.074,285710,3763.3782,-3.180893,100.0,1245493200.0,1870.5071232318878,239.98059,1.0093262,1.1143447,2.3091202,951.86957,-4.653931e-06,29.094833
[ 0.633  0.717  0.29   0.853 -0.737],100,0.27050665,0.68893385,1.0641836,151,262.82507,248.46603,89.05554,-115.79234831836466,,0.5342036,100.0,15100,21.16,473.961,287826,1.578814,-2.329567,100.0,44836.652,1886.7210364341736,1.2639576,0.045125242,1.0262803,2.6558685,3.3879833,1.0223389e-05,0.21534607
[ 0.612  0.708  0.291  0.843 -0.73 ],100,0.2754608,0.677114,1.1624461,152,311.53833,273.02295,88.514145,-114.85850465217007,,0.591054,100.0,15200,20.0,541.8791,289826,2.2516675,-2.4953156,100.0,61638.504,1896.9793586730957,1.2947513,0.04559072,1.1321222,2.3873138,3.2626085,3.2043456e-06,0.22506869
[ 0.608  0.704  0.294  0.874 -0.742],100,0.27705267,0.67811775,1.0894413,153,283.0491,255.60486,88.96544,-115.25599894519605,,0.52651215,100.0,15300,20.89,486.39734,291915,1.4470276,-2.844223,100.0,44345.707,1906.3304843902588,1.1897478,0.043542303,1.0446453,2.7990189,4.980124,5.4931643e-06,0.20889628
[ 0.572  0.707  0.288  0.869 -0.741],100,0.25565937,0.7569354,1.2676787,154,399.95343,320.90262,87.813705,-113.27151226065804,,0.9828483,100.0,15400,18.59,634.31647,293774,2.3159819,-2.671692,100.0,202083.84,1916.9733846187592,1.6349481,0.04637649,0.9823599,2.1679611,5.7293277,-3.4332274e-06,0.23933502
[ 0.6    0.71   0.286  0.869 -0.662],100,0.05657179,0.74643576,1.1597307,155,339.8072,303.34555,88.28798,-114.36791379402867,,1.2706254,100.0,15500,19.53,555.30756,295727,8.628258,-2.519516,100.0,315951.62,1929.082511663437,1.9603975,0.049903456,1.1025107,2.8784027,8.660389,-4.5776366e-07,0.26619154
[ 0.633  0.72   0.3    0.907 -0.673],100,0.4909718,0.76074225,1.0274718,156,337.38687,330.077,87.83734,-113.41670871372668,,0.2901208,100.0,15600,18.65,521.162,297592,1.2308723,-2.8163834,100.0,19182.82,1940.7461485862732,1.062651,0.038751207,1.0711516,3.2655563,2.8084486,-7.171631e-06,0.19698532
[ 0.619  0.722  0.3    0.891 -0.658],100,0.0062437654,0.78777534,3.144836,157,531.8021,271.552,88.71707,-115.1986295511455,,19.591599,100.0,15700,20.42,1366.5161,299634,674.2538,-2.9268188,100.0,64096730.0,1952.7526321411133,45.9695,0.31707728,1.0349526,2.5700684,198.54668,6.4849855e-06,6.4329333
[ 0.595  0.693  0.253  0.846 -0.631],100,0.28577673,0.8066469,1.0707147,158,335.71906,316.08493,88.36026,-114.30222790741577,,0.60264474,100.0,15800,19.64,513.77637,301598,2.0267684,-2.3259125,100.0,68426.14,1965.1170918941498,1.3080255,0.042859893,0.93019545,2.0226135,4.0156426,7.6293946e-07,0.21323669
[ 0.608  0.708  0.25   0.865 -0.612],100,0.2984495,0.8291004,1.0888846,159,324.91718,299.85065,88.21234,-114.16343735967867,,0.6863528,100.0,15900,19.37,531.8822,303535,1.5997239,-2.5273285,100.0,93370.18,1976.6500709056854,1.2672377,0.04252019,1.0600544,3.4240494,5.814407,-4.119873e-06,0.21271543
[ 0.575  0.709  0.238  0.86  -0.59 ],100,0.030361822,0.82745796,1.3697394,160,415.31967,358.15048,87.6349,-113.26432040987967,,3.6835513,100.0,16000,18.32,687.6697,305367,21.375671,-2.4955978,100.0,2855173.5,1989.8015005588531,4.6546235,0.06644634,1.0392171,2.4206696,48.0561,-5.1116945e-06,0.47625914
