MaxIW,EmpiricalD2,MeanD2w0t,TimestepsSoFar,MinD2w0t,Bound,MeanIW,EpThisIter,InitialReturnStd,J_sample_variance,MaxD2w0t,EntropyCoefficient,ReturnStepMax,Weights,EpRewMean,ReturnMeanIW,MeanEntropy,InitialBound,MinIW,InitialReturnMean,StdD2w0t,Iteration,EpLenMean,InitialReturnMax,InitialReturnMin,EpisodesSoFar,TimeElapsed,ReturnStepMaxmin,StdIW
4.278469,1.1704644,0.11490528,275910,,64.5212,1.0988714,100,14.951486,4102.608,1.6536461,10.0,100.0,[-0.981 -0.434 -0.372 -0.592  0.223],-106.11595115652912,149.19618,1.635375,57.353706,0.39717597,6.8664554e-07,0.34069613,68,51.42,35.740532,-23.876213,6800,751.4361529350281,94.87259,0.562789
1.3469055,1.0144194,0.10094655,280915,,63.20053,1.0083104,100,14.13565,353.31586,1.0653381,10.0,100.0,[-0.961 -0.422 -0.343 -0.59   0.216],-106.22114889070728,142.12357,1.6318375,62.625694,0.5175837,-4.7302246e-06,0.3026851,69,50.05,35.099155,-25.256042,6900,763.7700757980347,94.75541,0.12755027
4.036182,1.056066,0.10783769,286119,,53.775993,1.0352808,100,14.803035,1673.8206,1.3070812,10.0,100.0,[-0.978 -0.427 -0.351 -0.59   0.213],-106.10532995848463,139.01463,1.6428719,51.18772,0.5428145,7.820129e-06,0.31662977,70,52.04,61.741634,-25.021233,7000,775.6378540992737,94.922165,0.293452
5.3749137,1.1332473,0.10959155,291165,,63.33185,1.0796001,100,14.75751,3953.053,1.3751464,10.0,100.0,[-0.976 -0.422 -0.339 -0.588  0.224],-106.789318674282,148.0586,1.6504875,60.39698,0.32022387,6.8664554e-07,0.3280764,71,50.46,40.674194,-23.302315,7100,788.5646874904633,94.76737,0.55674314
2.744015,1.0593553,0.1104988,296499,,49.590546,1.0495619,100,15.6355295,1382.895,1.2227756,10.0,100.0,[-0.998 -0.422 -0.344 -0.603  0.232],-105.32702627750396,133.90388,1.6328079,46.678658,0.46607336,4.8065185e-06,0.31989527,72,53.34,52.069916,-25.391449,7200,801.048406124115,95.050735,0.288328
1.4490304,1.0135078,0.10147215,301527,,61.39992,1.0073845,100,14.896164,422.5497,1.0526654,10.0,100.0,[-0.98  -0.413 -0.334 -0.604  0.214],-106.11929901913672,140.76904,1.6317624,60.822342,0.6687846,7.133484e-06,0.3034855,73,50.28,32.82337,-22.708595,7300,813.1242439746857,94.77888,0.11293955
2.95334,1.1571798,0.11338113,306837,,51.963,1.0981172,100,15.782953,2150.2705,1.5423295,10.0,100.0,[-0.984 -0.405 -0.33  -0.604  0.213],-104.24320719903422,137.32597,1.6292758,46.3902,0.37786606,-7.133484e-06,0.32969326,74,53.1,43.42794,-25.254234,7400,826.8237023353577,95.0737,0.41556805
2.092338,1.0652189,0.108590335,312099,,52.25245,1.0433837,100,15.01277,968.38776,1.2058877,10.0,100.0,[-1.001 -0.398 -0.319 -0.591  0.21 ],-105.3653633962385,135.2097,1.6297858,50.031025,0.47922036,-3.890991e-06,0.3168135,75,52.62,41.390778,-23.852234,7500,838.9178876876831,94.99524,0.27472478
1.3051032,1.0099542,0.10126566,317141,,59.25176,1.0096561,100,13.602696,348.6635,1.0367118,10.0,100.0,[-1.022 -0.408 -0.32  -0.595  0.211],-106.53205082497047,141.00253,1.62951,58.401863,0.765913,5.1116945e-06,0.3023915,76,50.42,39.616756,-23.81034,7600,851.1660592556,94.774216,0.08605536
2.2280276,1.0481545,0.11139639,322559,,48.504684,1.0459822,100,14.876691,847.65015,1.1779194,10.0,100.0,[-1.039 -0.408 -0.323 -0.594  0.211],-104.4730365466851,129.4088,1.6273267,46.049862,0.45216188,4.234314e-06,0.31970778,77,54.18,44.396,-26.404861,7700,865.0222563743591,95.14348,0.24617043
