ReturnStepMax,Iteration,MeanD2w0t,MinD2w0t,InitialReturnMean,MaxIW,StdD2w0t,EpThisIter,MeanIW,InitialReturnStd,MeanEntropy,EpLenMean,EntropyCoefficient,InitialReturnMax,Weights,EmpiricalD2,ReturnMeanIW,ReturnStepMaxmin,EpisodesSoFar,MinIW,TimestepsSoFar,Bound,StdIW,MaxD2w0t,J_sample_variance,TimeElapsed,InitialBound,EpRewMean,InitialReturnMin
100.0,45,1.0280322,,-93.69624,9.189232,15.847626,100,0.3593084,2.7046952,0.70316833,16.61,10.0,-86.50998,[ 0.337  1.458 -1.161  0.877 -0.696],229.88,-37.492325,99.396324,4500,0.00020838626,73943,-40.063896,0.94437385,727.90625,6629.2827,594.9137051105499,-87.57776,-108.64364923507054,-97.94028
100.0,46,0.8796975,,-93.266174,25.134945,13.766036,100,0.6198803,2.6003804,0.75369424,16.5,10.0,-86.29952,[ 0.364  1.511 -1.174  0.869 -0.716],242.24193,-58.563602,99.3573,4600,0.0009943914,75593,-62.476273,1.7229306,933.7401,20325.344,607.0983526706696,-87.445015,-108.03890291315349,-99.20325
100.0,47,0.4749629,,-93.29534,14.214777,6.9947186,100,0.7481444,2.6895897,0.727849,16.32,10.0,-83.52606,[ 0.419  1.569 -1.172  0.874 -0.665],46.392666,-71.28269,99.35212,4700,0.00044876675,77225,-69.21045,1.1404235,334.57703,9955.743,620.2324876785278,-87.00606,-107.91543391804362,-97.54205
100.0,48,1.9542003,,-93.45315,20.084972,34.167747,100,0.5771122,2.5004454,0.7177603,15.98,10.0,-86.38054,[ 0.419  1.543 -1.194  0.942 -0.691],400.4007,-55.86069,99.37863,4800,5.3448297e-05,78823,-60.09543,1.5974588,1689.4229,18845.516,635.4470217227936,-87.24153,-107.77639589291753,-97.77855
100.0,49,1.361417,,-93.863846,13.830534,46.690704,100,0.62322134,2.5768576,0.7063304,16.17,10.0,-85.64905,[ 0.447  1.576 -1.216  0.916 -0.701],278.30814,-59.82147,99.365364,4900,0.00017130731,80440,-61.628696,1.2470167,8206.924,11330.803,649.851479768753,-87.77758,-108.42864217030831,-97.92522
100.0,50,1.7366861,,-93.630646,17.319134,27.33522,100,0.24254148,2.3951883,0.6735744,16.2,10.0,-87.457596,[ 0.499  1.624 -1.18   0.86  -0.713],482.3486,-26.004612,99.389595,5000,1.4156029e-05,82060,-31.416332,0.5124661,1507.2769,1599.3108,662.6409373283386,-87.69023,-108.18211829036385,-97.73861
100.0,51,1.0420879,,-93.53255,39.992985,15.029749,100,0.41473246,2.4621613,0.6828376,16.57,10.0,-86.70239,[ 0.549  1.696 -1.173  0.856 -0.745],231.38109,-42.325897,99.41224,5100,5.2919946e-05,83717,-45.723026,0.84422654,647.7362,5075.6978,678.5261778831482,-87.93834,-108.41995272897015,-97.32344
100.0,52,1.1367935,,-94.13425,21.955206,16.195044,100,0.31707194,2.290744,0.65350324,16.0,10.0,-88.270584,[ 0.525  1.659 -1.148  0.862 -0.736],255.06659,-33.65978,99.4193,5200,1.5621072e-05,85317,-38.420135,0.7310847,921.7068,3898.9019,691.5417816638947,-88.49423,-108.55223477372736,-98.16147
100.0,53,1.0733855,,-94.02708,12.060002,31.398357,100,0.740505,2.300953,0.6627908,16.01,10.0,-88.18899,[ 0.506  1.627 -1.108  0.86  -0.765],147.7258,-70.47821,99.3984,5300,0.00051371346,86918,-70.77535,1.2425022,2585.0068,11951.081,705.1420817375183,-88.565605,-108.45167301195652,-98.45659
100.0,54,0.7302318,,-93.32777,4.445232,9.768022,100,0.409439,2.7486248,0.67603636,16.38,10.0,-86.39362,[ 0.505  1.64  -1.16   0.906 -0.756],157.2082,-40.60755,99.34977,5400,0.00043674887,88556,-43.72442,0.6676233,760.2671,3498.318,718.8056178092957,-87.80449,-108.03135202347961,-97.45528
100.0,55,0.054470763,,-93.74065,4.0874662,0.5799378,100,0.8744551,2.3996701,0.6788988,16.31,10.0,-85.04565,[ 0.523  1.669 -1.198  0.915 -0.743],3.1236901,-82.56599,99.38035,5500,0.0067301313,90187,-77.28747,0.5839991,78.94832,2867.3772,733.6616122722626,-88.07131,-108.39848531210679,-97.5466
100.0,56,1.9998281,,-93.60797,55.666534,34.88187,100,0.72556406,2.3014033,0.66111857,16.63,10.0,-87.25486,[ 0.49   1.64  -1.234  0.904 -0.74 ],429.41507,-70.03572,99.39821,5600,3.342601e-05,91850,-75.25402,2.2152114,1984.6963,37709.26,747.0782175064087,-87.92894,-108.55264818727728,-97.59129
100.0,57,0.21984516,,-93.516785,11.439749,2.6779392,100,0.8185616,2.5917966,0.6647766,16.56,10.0,-83.92698,[ 0.452  1.616 -1.208  0.929 -0.758],14.76189,-77.7229,99.35578,5700,0.0034644408,93506,-75.01264,1.1890593,101.66724,11384.984,759.7108001708984,-88.06243,-108.38831780295101,-97.485275
100.0,58,1.2287688,,-93.76657,5.7062964,23.244833,100,0.55227757,2.4935205,0.6667431,16.2,10.0,-87.465775,[ 0.416  1.634 -1.199  0.877 -0.754],166.96309,-54.112816,99.39887,5800,0.00038567607,95126,-55.41532,0.88290465,1617.4777,6210.884,772.3971383571625,-88.19105,-108.3185605829819,-97.93731
100.0,59,1.3307735,,-93.82342,14.087572,17.607197,100,0.3451392,2.0968752,0.6378885,16.11,10.0,-88.08194,[ 0.436  1.566 -1.224  0.914 -0.752],277.042,-35.56923,99.41066,5900,1.7010838e-05,96737,-41.175724,0.8902153,976.9339,5848.637,785.2676589488983,-88.20947,-108.30864432286508,-97.47107
100.0,60,1.6637303,,-93.77287,49.48974,24.009481,100,0.44730133,2.3450553,0.6524021,16.35,10.0,-87.401924,[ 0.458  1.579 -1.278  0.911 -0.781],337.33682,-45.514606,99.368416,6000,0.0001775685,98372,-53.78031,1.1283377,1493.8381,10650.9795,798.0700688362122,-88.48593,-108.48971847332612,-97.40241
100.0,61,1.3708222,,-93.63951,70.62339,22.838915,100,0.6076163,2.4123926,0.6526455,16.29,10.0,-86.76225,[ 0.483  1.582 -1.333  0.904 -0.766],125.63586,-58.73482,99.36506,6100,0.0006996347,100001,-61.329304,1.1173779,1168.8738,8815.394,811.2804729938507,-88.168594,-108.26925334519129,-97.69903
