ReturnMeanIW,EpLenMean,ReturnStepMax,MeanIW,InitialReturnMean,EntropyCoefficient,Iteration,TimeElapsed,ReturnStepMaxmin,TimestepsSoFar,EpThisIter,EpRewMean,MeanD2w0t,Weights,MaxD2w0t,MinD2w0t,InitialReturnMin,MeanEntropy,EpisodesSoFar,Bound,InitialBound,InitialReturnMax,EmpiricalD2,MaxIW,StdIW,StdD2w0t,InitialReturnStd,J_sample_variance,MinIW
554.0933,21.51,100.0,1.3167582,-1.3275147e-05,100.0,38,352.8407208919525,89.22604,111127,100,-115.24479238812609,0.10040422,[ 0.628 -0.484  0.595  0.114 -0.14 ],53.539932,,-3.446083,1.3402089,3800,634.40063,542.0325,9.491257,8.026965,23.38353,2.6040356,0.78253424,2.5316947,927721.6,0.02466515
3804.0347,22.4,100.0,10.903128,5.8746336e-06,100.0,39,360.55044507980347,89.48917,113367,100,-116.57258226396638,89.07968,[ 0.605 -0.554  0.62   0.066 -0.079],81494.4,,-3.0874405,1.2515668,3900,2602.812,532.34503,6.177162,5122.8633,941.55945,91.068184,1618.4725,2.3120253,925454660.0,2.2886108e-07
800.417,24.01,100.0,2.1728597,5.340576e-06,100.0,40,369.358469247818,90.10278,115768,100,-118.81612587795618,1.1347128,[ 0.6   -0.587  0.577  0.237 -0.167],572.5309,,-2.6978607,1.1844611,4000,750.15985,496.58484,5.9012375,72.367035,143.92615,14.024845,10.890088,1.6362326,22331466.0,1.19509405e-05
2816.4778,22.66,100.0,7.991293,8.392334e-07,100.0,41,378.4240083694458,89.71834,118034,100,-116.49127780422683,30.631874,[ 0.604 -0.534  0.636  0.17  -0.235],344957.62,,-2.972046,1.101563,4100,2250.6848,510.9758,5.533226,6592.2954,824.10406,62.918205,1844.1244,2.089094,431300030.0,7.830636e-09
513.50507,24.12,100.0,1.3603446,-8.239746e-06,100.0,42,388.5411536693573,90.14842,120446,100,-118.80994484470344,0.16276449,[ 0.526 -0.671  0.676  0.267 -0.317],26.555307,,-3.15802,1.0364963,4200,563.7178,480.77893,6.481964,12.144805,26.907452,3.332453,1.0160999,1.8282058,1208489.9,0.002031964
3029.2488,22.89,100.0,7.776495,4.9591063e-06,100.0,43,395.12710881233215,89.71872,122735,100,-117.66920460469488,12.952666,[ 0.549 -0.643  0.726  0.282 -0.382],14234.463,,-2.5164413,0.96861774,4300,2513.548,495.5309,4.190155,618.2599,1371.7638,67.68385,227.85623,1.5928332,670074400.0,6.568349e-05
523.9636,24.47,100.0,1.3628982,1.3961792e-05,100.0,44,404.56793785095215,90.27231,125182,100,-119.01830461526555,0.18909086,[ 0.524 -0.79   0.878  0.437 -0.45 ],49.04871,,-2.714508,0.93962085,4400,554.64233,461.21735,5.1144104,14.272602,46.623177,2.900294,1.3556595,1.8708453,993801.75,0.002512402
31837.156,22.38,100.0,94.50464,-8.392334e-06,100.0,45,412.6173183917999,89.56323,127420,100,-116.78735815744969,102.6378,[ 0.516 -0.766  0.934  0.474 -0.479],666727.2,,-2.7739334,0.85546935,4500,28936.932,494.12506,6.1058197,31536.064,9937.143,961.1652,4832.7036,1.6502441,99663460000.0,6.165975e-07
495.876,23.4,100.0,1.2439365,-7.095337e-06,100.0,46,422.96459913253784,89.90932,129760,100,-118.06104266631735,0.093508594,[ 0.462 -0.813  0.895  0.348 -0.563],5.8691483,,-2.9238892,0.7384945,4600,534.97186,468.28052,5.436844,2.7747533,9.79125,1.4270102,0.46526313,1.7223923,270530.97,0.005131477
2918.6204,22.79,100.0,8.451311,3.8146973e-07,100.0,47,431.49924325942993,89.68733,132039,100,-117.51278719786437,9.571539,[ 0.465 -0.829  0.885  0.375 -0.68 ],25204.121,,-2.6200485,0.604489,4700,2256.9705,467.59406,5.6874924,2816.1157,545.6416,60.17811,255.46365,1.7834954,388134240.0,4.0043233e-08
991.0461,24.2,100.0,2.8838053,-6.1035157e-06,100.0,48,440.9419400691986,90.16402,134459,100,-119.01543321748998,0.29391378,[ 0.416 -0.957  0.941  0.409 -0.814],154.47148,,-2.7237167,0.50267035,4800,953.5628,429.9895,4.7443695,41.787563,139.44778,14.303622,2.8904817,1.9389294,18829898.0,5.3436623e-05
3407.5916,23.99,100.0,10.702535,1.9073486e-06,100.0,49,449.83077478408813,90.08926,136858,100,-118.82731245165706,10.362882,[ 0.449 -0.916  0.944  0.428 -0.916],15687.31,,-2.4466324,0.4787546,4900,2738.4502,423.04742,7.334305,3449.6416,1078.7185,104.10862,216.46631,1.7772318,989544800.0,7.672974e-06
662.53235,23.92,100.0,1.785729,-6.5612794e-06,100.0,50,459.35000944137573,90.09111,139250,100,-118.51033941075312,0.63666195,[ 0.503 -0.846  0.93   0.429 -0.94 ],234.64575,,-2.3735962,0.5304431,5000,604.46674,421.20578,5.401573,45.904774,91.84041,8.973977,5.7639713,1.5929662,9188785.0,0.002860004
817.31036,21.9,100.0,2.0620918,-1.0528564e-05,100.0,51,467.86116552352905,89.36713,141440,100,-116.42992685905284,0.7119576,[ 0.515 -0.818  0.943  0.401 -0.889],304.3365,,-2.862976,0.6145019,5100,763.48584,463.30313,3.9293365,31.133625,115.359085,11.131957,7.107519,1.5457073,15923174.0,0.012155302
548.62933,22.79,100.0,1.3954983,-3.890991e-06,100.0,52,476.5682444572449,89.70067,143719,100,-117.36092141669378,0.17422305,[ 0.455 -0.86   1.     0.469 -0.804],65.189606,,-2.8604279,0.6417834,5200,545.7485,454.4283,4.902664,8.364322,57.061783,5.5022936,1.3814154,1.3987795,3472418.0,0.008122905
545.7564,23.62,100.0,1.387675,1.7547608e-06,100.0,53,484.3805613517761,90.018295,146081,100,-117.88389611390308,0.38496912,[ 0.461 -0.843  0.992  0.521 -0.777],71.62463,,-2.8630905,0.66035026,5300,533.7673,441.8446,5.264778,9.255162,30.735405,3.202048,3.0446506,1.8089768,1403748.2,0.014862609
460.38428,23.16,100.0,1.1403594,5.340576e-07,100.0,54,492.88108682632446,89.81467,148397,100,-117.94615552731992,0.06487815,[ 0.491 -0.833  0.945  0.537 -0.759],5.7856765,,-2.1466064,0.65187085,5400,493.7226,452.72302,5.823097,2.0105047,9.0099945,1.0171605,0.31299448,1.6078584,132232.14,0.018943178
1903.2344,23.62,100.0,5.289048,4.196167e-06,100.0,55,500.52475476264954,89.965935,150759,100,-118.43302318486857,6.983494,[ 0.518 -0.848  0.93   0.495 -0.767],8862.544,,-2.507904,0.63055557,5500,1397.9102,444.0451,4.7194824,2221.6257,504.22638,49.32419,135.86847,1.6564498,288899460.0,1.4027365e-05
672.53827,23.01,100.0,1.7679684,6.1798096e-06,100.0,56,510.1671175956726,89.79175,153060,100,-117.44596142797113,0.24796887,[ 0.569 -0.775  0.925  0.498 -0.788],56.45059,,-2.3827515,0.5838047,5600,661.31934,451.6068,5.6746216,30.662298,46.728363,5.686242,2.0502005,1.8042511,3428825.5,0.00038742067
612.3172,21.2,100.0,1.4193769,-4.653931e-06,100.0,57,518.1601684093475,89.09915,155180,100,-115.54898998815501,0.121306874,[ 0.593 -0.727  0.928  0.483 -0.835],32.99539,,-2.4081116,0.50270057,5700,606.20483,481.44543,5.034836,3.224423,50.10299,4.8633738,0.8709041,1.5819733,3674776.2,0.007862155
1615.7144,22.2,100.0,4.1943417,-2.2888185e-06,100.0,58,525.9745535850525,89.48726,157400,100,-116.69148484091879,7.3207474,[ 0.611 -0.697  0.873  0.477 -0.916],20205.684,,-1.9775085,0.507005,5800,1319.9381,454.33282,4.5435944,1060.5222,369.5136,36.08049,174.74612,1.3719901,175146450.0,0.00029964128
434.25146,22.22,100.0,1.0277208,-7.6293945e-06,100.0,59,534.0007567405701,89.55438,159622,100,-116.05084963479567,0.050397076,[ 0.708 -0.748  0.961  0.491 -0.912],1.7901418,,-2.6614227,0.53290176,5900,463.14655,451.80243,5.0662613,1.2588532,3.614986,0.48673925,0.23498513,1.8339455,35253.316,0.10155738
613.6894,21.23,100.0,1.4593675,-1.373291e-05,100.0,60,541.7562370300293,89.14559,161745,100,-115.17566884262773,0.18933968,[ 0.712 -0.753  0.977  0.505 -0.886],232.43759,,-2.575592,0.5588547,6000,604.7681,474.40094,4.7291565,20.405876,43.581184,4.371561,2.441374,1.5857209,2290062.5,0.0013364374
535.69806,20.73,100.0,1.1859047,-9.155273e-07,100.0,61,549.064389705658,88.9102,163818,100,-114.94566116442385,0.12816294,[ 0.74  -0.751  1.007  0.556 -0.86 ],13.517048,,-2.0951233,0.5229681,6100,543.4255,489.346,3.5278397,3.4655533,19.467932,1.8615042,0.8320762,1.32641,646923.0,0.03418586
876.0501,21.18,100.0,2.0038204,2.2125244e-06,100.0,62,556.236736536026,89.13124,165936,100,-115.10019507821411,0.5503893,[ 0.719 -0.751  1.035  0.532 -0.896],756.7068,,-2.6385193,0.63185096,6200,844.3163,474.78763,4.410187,26.163885,65.70512,6.0154138,10.1825905,1.3611826,6350814.5,0.011287264
493.50906,21.68,100.0,1.1587601,8.621216e-06,100.0,63,564.6021153926849,89.33127,168104,100,-115.64904433447657,0.09209744,[ 0.735 -0.783  1.092  0.572 -0.787],10.529766,,-2.5662231,0.6115732,6300,519.4858,475.91992,4.6918488,3.989889,9.488786,1.7585547,0.49644974,1.5855936,446353.47,0.024316331
695.8656,21.09,100.0,1.6253916,-4.196167e-06,100.0,64,571.8042550086975,89.07222,170213,100,-115.23349151807659,0.3385987,[ 0.74  -0.847  1.137  0.605 -0.807],90.41194,,-1.7431641,0.5988809,6400,681.95825,486.61844,4.816139,17.870646,32.566494,3.7571003,2.6778367,1.2299947,1951931.0,0.00062710035
515.6149,22.34,100.0,1.2372382,3.5858154e-06,100.0,65,579.794264793396,89.58711,172447,100,-116.31188958852786,0.17962313,[ 0.718 -0.852  1.099  0.629 -0.82 ],24.04977,,-2.3865585,0.61370534,6500,526.46606,459.45374,4.1510544,5.516574,23.954018,2.4110913,1.1920522,1.5176457,878288.06,0.02863958
2088.7878,20.8,100.0,5.0923715,4.5013426e-06,100.0,66,587.2935581207275,88.93123,174527,100,-115.11526666528127,6.573297,[ 0.714 -0.835  1.112  0.594 -0.805],50676.695,,-2.3209,0.60869193,6600,1807.706,493.46402,5.4401474,1143.4565,504.97925,41.89152,257.8745,1.6003488,275015070.0,0.00022067333
528.06775,21.19,100.0,1.21094,5.7983398e-06,100.0,67,596.1108012199402,89.14783,176646,100,-114.97882860808332,0.08837784,[ 0.768 -0.769  1.068  0.507 -0.81 ],8.721918,,-2.705696,0.6086434,6700,552.61615,482.88632,4.7575455,4.8685284,11.744081,1.7107335,0.4881431,1.6217878,423053.62,0.025111733
492.93906,20.84,100.0,1.0911211,-7.6293945e-06,100.0,68,602.9994878768921,88.995224,178730,100,-114.66972063031236,0.08038626,[ 0.771 -0.75   1.093  0.512 -0.81 ],16.611546,,-2.767868,0.64526373,6800,517.6049,490.1873,5.853195,4.7817984,13.237243,1.8707923,0.49437866,1.5186173,586131.9,0.03282066
486.98398,21.9,100.0,1.1555429,1.0681152e-06,100.0,69,610.6405005455017,89.45349,180920,100,-115.48435595966649,0.078289896,[ 0.751 -0.76   1.082  0.47  -0.774],6.654329,,-2.8167496,0.65794307,6900,520.1125,470.83163,5.892853,3.883255,8.902172,1.4993439,0.4061819,2.0295722,295515.78,0.055160895
582.2647,21.48,100.0,1.3704628,-2.670288e-06,100.0,70,618.2530918121338,89.27475,183068,100,-115.18922275516888,0.40311858,[ 0.719 -0.793  1.1    0.492 -0.761],198.61674,,-2.778572,0.633044,7000,547.7905,481.11172,4.753212,45.410484,131.7525,6.660397,3.828068,1.7138103,6016839.0,0.0011405974
808.69727,21.39,100.0,1.9921322,6.6375733e-06,100.0,71,625.8347771167755,89.209305,185207,100,-115.39979464379456,0.4345619,[ 0.709 -0.833  1.077  0.505 -0.786],171.26987,,-2.9269867,0.6028363,7100,769.6265,481.59338,5.488472,79.21579,99.99867,8.086616,4.652272,1.8880302,8072152.5,0.00021657464
2278.7515,22.27,100.0,6.0286517,4.8828124e-06,100.0,72,634.5822775363922,89.51544,187434,100,-116.72567115367043,1.6500832,[ 0.666 -0.863  1.049  0.498 -0.816],4169.2686,,-2.678894,0.3758902,7200,1978.3771,462.4531,7.0850677,399.2383,540.3089,52.842697,30.354555,1.7433507,365655970.0,1.7177165e-09
472.48605,22.2,100.0,1.1381339,3.5095215e-06,100.0,73,643.2365024089813,89.48635,189654,100,-116.44489530668456,0.060297057,[ 0.562 -0.917  1.088  0.51  -1.043],3.834972,,-2.4066162,0.36195654,7300,479.59067,440.33765,6.9997864,3.0039797,7.717113,1.1859939,0.30308923,1.6833514,180573.3,0.009157151
496.39523,21.22,100.0,1.126329,-6.6375733e-06,100.0,74,649.6960444450378,89.065994,191776,100,-115.87900156081078,0.07404189,[ 0.585 -0.905  1.092  0.52  -1.057],7.6139574,,-2.9291,0.38503543,7400,498.90448,460.01434,7.1546783,2.5021424,8.670491,1.1813099,0.38264358,1.5465853,226608.92,0.05253715
1880.0023,21.25,100.0,4.7527685,2.2888185e-06,100.0,75,657.5541679859161,89.130585,193901,100,-115.48750881077761,4.164899,[ 0.567 -0.892  1.111  0.522 -1.034],11803.643,,-2.326973,0.38026726,7500,1523.3732,460.54102,4.8226166,609.68665,521.3502,38.518364,85.42672,1.395545,214589810.0,0.0003757193
776.6144,21.62,100.0,1.8886025,-3.3569336e-06,100.0,76,665.532880783081,89.31377,196063,100,-115.51823193806744,0.2960959,[ 0.585 -0.869  1.145  0.505 -1.039],114.983826,,-2.2656937,0.3296184,7600,736.7504,451.47723,5.507103,58.387383,65.089676,6.990655,3.2121558,1.7420578,7166378.5,0.0008157108
554.19055,22.54,100.0,1.3266672,-3.5858154e-06,100.0,77,673.9062557220459,89.64632,198317,100,-116.68607223516372,0.33052617,[ 0.506 -0.889  1.148  0.511 -1.089],78.463326,,-2.5466614,0.31642994,7700,515.1549,430.1333,4.9673386,8.14601,91.05022,4.495024,2.8022132,1.8080872,3368610.0,0.013506741
