InitialBound,InitialReturnStd,InitialReturnMin,InitialReturnMax,InitialReturnMean,StdD2w0t,MeanIW,TimeElapsed,EpRewMean,Bound,ReturnStepMax,MeanD2w0t,EpisodesSoFar,MinIW,Iteration,ReturnStepMaxmin,TimestepsSoFar,EpThisIter,EpLenMean,MinD2w0t,EntropyCoefficient,ReturnMeanIW,MaxD2w0t,MaxIW,Weights,J_sample_variance,StdIW,EmpiricalD2,MeanEntropy
-88.92406,13.1057625,-17.476746,46.236332,-4.5013426e-06,0.2700178,1.0137225,422.2088055610657,-108.39189623350352,-87.77612,100.0,0.07866518,4100,0.78988063,41,93.458496,149979,100,39.12,,10.0,199.98643,1.0153756,1.331661,[-0.653 -1.004 -0.693 -1.067  0.178],410.2425,0.08712816,1.0078434,1.604491
-49.896557,11.446565,-18.233437,33.349113,-3.3950805e-06,0.2620608,1.016336,432.27717757225037,-107.99642502197507,-48.305107,100.0,0.07338917,4200,0.6862287,42,93.05961,153615,100,36.36,,10.0,219.40608,1.027435,1.5265368,[-0.656 -1.008 -0.698 -1.067  0.186],707.486,0.13051768,1.0162159,1.616305
-91.29896,12.516716,-18.348335,38.2144,-1.9836425e-06,0.27654293,1.0236831,443.7784745693207,-107.81386452612294,-88.98071,100.0,0.082262106,4300,0.6837291,43,93.69551,157680,100,40.65,,10.0,191.85052,1.0476445,1.6386602,[-0.652 -1.011 -0.699 -1.073  0.197],680.6272,0.14415495,1.0171903,1.6239438
-68.354324,12.742781,-17.056686,50.137287,-3.2806397e-06,0.27136385,1.0712937,455.52130603790283,-107.43388260733973,-62.04628,100.0,0.07692718,4400,0.497222,44,93.225555,161401,100,37.21,,10.0,221.21819,1.1273241,1.8476324,[-0.667 -1.009 -0.708 -1.068  0.205],2316.243,0.2618259,1.0711459,1.6100522
-86.02019,13.050157,-17.178467,38.93404,6.6375733e-06,0.2764436,1.0292851,467.8987326622009,-107.99012486092207,-83.46303,100.0,0.082042344,4500,0.5840297,45,93.66453,165449,100,40.48,,10.0,193.97151,1.0500708,1.4963727,[-0.669 -1.001 -0.693 -1.057  0.191],677.42816,0.16388097,1.0266007,1.5960085
-84.563126,12.696343,-19.2994,34.403244,3.3950805e-06,0.27509597,1.0486366,479.62459325790405,-107.64039572718958,-80.4852,100.0,0.080613814,4600,0.5281767,46,93.55676,169404,100,39.55,,10.0,201.61307,1.0896689,1.8019853,[-0.68  -0.994 -0.691 -1.05   0.177],1302.2051,0.21701716,1.0502397,1.584085
-80.50722,13.886196,-19.898811,45.274273,-1.6403199e-06,0.26435223,1.0213047,489.7702703475952,-106.69743725860124,-78.29219,100.0,0.07482831,4700,0.7191392,47,93.24657,173113,100,37.09,,10.0,212.16599,1.0391531,1.6778042,[-0.699 -1.001 -0.695 -1.046  0.165],676.7196,0.14338586,1.0211769,1.5895214
-66.12717,10.993765,-17.393745,28.23217,2.2888183e-07,0.26654458,1.0207251,499.5387499332428,-108.80227023568858,-63.770123,100.0,0.07598417,4800,0.6705268,48,93.209564,176871,100,37.58,,10.0,213.36911,1.0555661,1.533949,[-0.69  -0.997 -0.697 -1.046  0.171],793.66254,0.14112696,1.0184952,1.5829884
-73.141846,13.699737,-16.25956,74.7103,3.8146973e-07,0.26023343,1.0249447,510.19942116737366,-108.00497773057374,-70.41844,100.0,0.07234212,4900,0.6531259,49,92.97798,180458,100,35.87,,10.0,224.32083,1.0559155,1.5628889,[-0.702 -1.01  -0.708 -1.048  0.164],638.8531,0.116672374,1.0139159,1.578435
-81.85947,14.116451,-17.28566,46.193108,-3.8146973e-07,0.2670827,1.0302864,520.7697792053223,-107.23478454356481,-79.61664,100.0,0.07612259,5000,0.58859587,50,93.29147,184215,100,37.57,,10.0,210.72444,1.0458897,1.6735431,[-0.725 -1.004 -0.71  -1.046  0.159],1010.1804,0.16561528,1.0215406,1.5650988
