Weights,EpRewMean,InitialReturnMean,MeanIW,MinD2w0t,StdD2w0t,EpisodesSoFar,MaxIW,InitialReturnMax,J_sample_variance,MaxD2w0t,Bound,StdIW,EpLenMean,InitialReturnStd,MinIW,MeanD2w0t,TimeElapsed,ReturnMeanIW,InitialBound,EpThisIter,EmpiricalD2,InitialReturnMin,Iteration,TimestepsSoFar,ReturnStepMax,ReturnStepMaxmin,MeanEntropy
[-0.822 -0.498 -0.467 -0.75  -0.009],-107.03596491032671,-81.18141,0.9932591,,0.24424165,6300,1.0626477,-39.175606,162.51018,1.001911,-1122.2751,0.032628506,31.83,12.56583,0.89635533,0.06368353,631.8851344585419,-80.68144,-1122.5333,100,1.0009729,-94.73053,63,227529,100.0,99.00001,1.4090717
[-0.823 -0.499 -0.466 -0.75  -0.01 ],-108.68658977935776,-80.66167,0.9977375,,0.25342274,6400,1.0605109,-57.528976,101.71168,1.0006232,-1125.7386,0.018734341,34.48,10.20735,0.9283922,0.06896884,642.0915434360504,-80.47294,-1125.8379,100,1.000296,-95.260574,64,230977,100.0,99.00097,1.4083153
[-0.824 -0.499 -0.466 -0.75  -0.011],-107.39482342720152,-78.56169,0.9995703,,0.2586316,6500,1.0307509,-49.20642,144.79968,1.0001835,-1141.5266,0.0085366955,36.04,12.091131,0.98193645,0.0720834,652.3225994110107,-78.50444,-1141.5558,100,1.000072,-95.72056,65,234581,100.0,99.00008,1.4082887
[-0.823 -0.499 -0.465 -0.75  -0.011],-107.86575209530181,-78.879425,0.9900314,,0.25868157,6600,1.0657425,-41.731754,148.53632,1.002254,-1148.07,0.030161161,36.02,12.018634,0.8973006,0.07207785,660.8502786159515,-78.15161,-1148.4349,100,1.0011103,-95.30513,66,238183,100.0,99.00004,1.4066192
[-0.825 -0.5   -0.465 -0.751 -0.012],-108.48077549906694,-78.45225,0.9974668,,0.2630049,6700,1.0336603,-40.63566,136.46216,1.0006455,-1119.7124,0.016716776,37.37,11.533596,0.9575483,0.074750744,671.5391237735748,-78.27188,-1119.8042,100,1.0002894,-95.44652,67,241920,100.0,99.0,1.4058005
[-0.823 -0.499 -0.464 -0.75  -0.013],-108.63552825046062,-78.02365,0.9985576,,0.26763028,6800,1.0216801,-46.848248,150.77066,1.0003527,-1190.4662,0.012125668,38.82,12.209073,0.9594641,0.077644914,681.8620069026947,-77.92388,-1190.519,100,1.0001361,-94.80527,68,245802,100.0,99.000015,1.4051663
[-0.824 -0.499 -0.465 -0.75  -0.014],-107.69507791298993,-78.59465,0.9959542,,0.26112458,6900,1.0429549,-45.704987,152.54747,1.0006782,-1207.2661,0.01558804,36.79,12.287974,0.9467593,0.07359366,692.6510207653046,-78.28114,-1207.4274,100,1.0003221,-94.943016,69,249481,100.0,99.000015,1.4058859
[-0.824 -0.5   -0.465 -0.751 -0.013],-108.88419189471553,-80.96227,0.9990403,,0.2531917,7000,1.0349615,-39.566277,126.05157,1.0003223,-1147.2285,0.009890342,34.42,11.228126,0.96749175,0.068843566,700.8688423633575,-80.8736,-1147.2753,100,1.0000963,-96.029106,70,252923,100.0,99.0003,1.4062517
[-0.824 -0.501 -0.465 -0.751 -0.013],-108.10364972677156,-79.43122,0.9968207,,0.25799218,7100,1.0419102,-45.2243,143.69778,1.000719,-1158.1514,0.016881559,35.84,11.985657,0.94514954,0.07169191,712.1115818023682,-79.18193,-1158.2754,100,1.0003328,-95.65243,71,256507,100.0,99.0,1.4052467
[-0.823 -0.502 -0.465 -0.751 -0.014],-107.69801172362588,-78.95597,0.99902225,,0.259048,7200,1.0229713,-29.992027,159.95358,1.0001594,-1231.6475,0.005290787,36.17,12.542834,0.98096347,0.07234221,722.716311454773,-78.88384,-1231.6859,100,1.0000453,-95.912186,72,260124,100.0,99.00018,1.4056416
