Weights,StdD2w0t,J_sample_variance,TimeElapsed,MeanD2w0t,EpRewMean,InitialReturnMean,EpThisIter,EpLenMean,EmpiricalD2,InitialReturnMin,InitialBound,MeanEntropy,StdIW,EpisodesSoFar,ReturnMeanIW,Bound,EntropyCoefficient,InitialReturnStd,Iteration,MeanIW,TimestepsSoFar,MaxIW,MaxD2w0t,ReturnStepMax,MinIW,InitialReturnMax,MinD2w0t,ReturnStepMaxmin
[-1.108 -0.546 -0.007 -0.499  0.281],3.7517328,88.77259,6118.012125968933,4.190867,-24.91316055656097,-14.030823,100,476.79,12.882003,-59.276726,1.9781036,1.6787124,1.1547436,8200,-13.033466,2.6393785,10.0,9.981037,82,0.90622157,3222882,13.39645,26.91331,100.0,0.0023827562,10.889691,,99.0
[-1.101 -0.532 -0.027 -0.485  0.26 ],0.7245217,107.149284,6200.961735963821,1.6358522,-28.4577763370716,-15.784726,100,471.34,2.8936474,-54.058052,-0.12843323,1.6698273,0.92583364,8300,-15.237322,0.28181648,10.0,10.938715,83,1.0096512,3270016,12.295256,3.9390051,100.0,0.04176512,9.289685,,99.0
[-1.101 -0.531 -0.04  -0.477  0.251],64.02985,176.61034,6286.084314107895,27.44817,-29.66383514919064,-13.882878,100,473.43,172.88809,-66.4926,1.6366367,1.6757828,3.8875647,8400,-12.298071,2.9676151,10.0,10.401676,84,1.2179703,3317359,63.94299,934.24554,100.0,5.8580674e-05,4.770868,,99.0
[-1.08  -0.562 -0.011 -0.491  0.257],76.77022,167.16745,6390.446723937988,39.384277,-22.68115607895982,-13.367953,100,482.37,230.84512,-45.1594,2.4885902,1.7047919,3.282019,8500,-12.1750555,3.6473284,10.0,9.423733,85,0.97547436,3365596,157.44914,974.4815,100.0,0.00047812107,3.453628,,99.0
[-1.094 -0.569 -0.033 -0.511  0.286],482771.47,24881.05,6480.347178697586,63434.44,-27.50822859674575,-11.804845,100,478.73,972135.7,-40.21153,4.149974,1.698335,27.08485,8600,9.820722,19.991028,10.0,8.213857,86,3.0352106,3413469,1826.7086,24221018.0,100.0,5.4580198e-08,9.251327,,99.0
[-1.155 -0.493 -0.072 -0.492  0.28 ],3.3527033,80.53015,6565.634335517883,3.210192,-49.7475191620861,-14.795196,100,418.19,9.434066,-46.60038,0.2113285,1.7148422,0.8179921,8700,-13.79275,1.140152,10.0,10.514436,87,0.78777534,3455288,12.296428,28.538172,100.0,0.016682114,4.039182,,99.0
[-1.158 -0.499 -0.054 -0.487  0.296],11776.301,5450.5776,6643.290137052536,2673.0352,-33.52163446808642,-15.307374,100,434.49,30061.008,-66.74583,0.50899315,1.7604481,77.77945,8800,-6.771524,6.7667046,10.0,13.010874,88,5.561444,3498737,2844.1462,287869.06,100.0,1.646467e-05,7.1030207,,99.0
[-1.217 -0.494 -0.036 -0.465  0.341],3144.912,1102.2275,6729.834956884384,1405.465,-25.974317902643005,-13.464866,100,474.99,13699.076,-49.66166,3.1074686,1.6729279,4.376296,8900,-7.5164933,6.5625095,10.0,10.674867,89,0.7981704,3546236,178.68681,28407.7,100.0,1.3639756e-06,23.07166,,99.0
[-1.245 -0.526 -0.023 -0.506  0.254],11547.263,3350.3223,6808.076548099518,2253.1013,-30.671199649578966,-16.655306,100,443.69,24275.318,-66.251945,-1.1448116,1.6151367,8.86823,9000,-6.055723,6.7564554,10.0,13.18071,90,1.3746299,3590605,243.88492,367519.38,100.0,2.6793594e-09,3.9989808,,99.0
[-1.213 -0.56  -0.048 -0.529  0.196],170.25946,87.80235,6889.986859321594,80.650085,-28.30802929379076,-14.279928,100,480.36,502.43137,-39.212196,0.7465601,1.623948,1.3820684,9100,-12.184009,2.337018,10.0,7.717199,91,0.75293374,3638641,22.440155,2480.48,100.0,0.00018254553,6.5899787,,99.0
[-1.213 -0.55  -0.062 -0.555  0.205],4.561534,130.15051,6954.253122806549,3.958058,-55.689259211795324,-14.163046,100,396.06,13.071538,-59.496178,-0.1364994,1.6458735,1.4978589,9200,-11.433263,2.4474201,10.0,14.391077,92,1.0657954,3678247,18.143278,28.845259,100.0,0.0037963917,13.206004,,99.0
[-1.206 -0.569 -0.051 -0.548  0.227],4.433098,62.42043,7032.037883281708,4.5013175,-39.32742475314447,-14.703738,100,443.55,13.248789,-67.61314,0.19223785,1.6318173,1.150663,9300,-12.6588335,1.8567028,10.0,12.110108,93,0.81042475,3722602,17.524242,31.406483,100.0,0.0038628383,7.742313,,99.0
[-1.195 -0.537 -0.044 -0.513  0.213],137.35884,126.77834,7120.4524846076965,72.47983,-28.17591277401053,-12.372185,100,467.16,474.7458,-41.69203,2.826356,1.6666086,1.6856741,9400,-9.854375,5.130747,10.0,9.329669,94,0.80590713,3769318,36.825436,1794.3348,100.0,0.0005805616,8.919185,,99.0
[-1.162 -0.514 -0.063 -0.509  0.248],14.004319,172.71567,7202.952764987946,9.742167,-41.35456266493816,-12.146268,100,415.73,41.776512,-66.6901,2.876504,1.7008666,3.1916037,9500,-10.265507,4.6704187,10.0,13.113499,95,1.0293878,3810891,93.70045,137.67499,100.0,0.002159522,13.527298,,99.0
[-1.167 -0.531 -0.049 -0.502  0.282],1364.7806,478.2477,7295.529170036316,437.2298,-28.49173835263372,-13.972439,100,465.2,3827.8635,-63.670185,1.9040451,1.7431625,4.458714,9600,-10.836508,4.490094,10.0,9.968018,96,1.1011763,3857411,202.24083,30852.387,100.0,1.4954013e-05,3.8441343,,99.0
[-1.158 -0.539 -0.077 -0.515  0.324],8816.86,5223.293,7375.1046822071075,2409.0762,-49.119003074398755,-16.190855,100,401.05,26959.422,-63.078217,-0.71108055,1.6838847,53.308983,9700,-5.8468843,4.8161325,10.0,13.139671,97,3.1223476,3897516,2244.1777,185475.88,100.0,1.8375025e-07,12.286549,,99.0
[-1.147 -0.578 -0.05  -0.503  0.265],16213.971,1254.8052,7471.164390325546,2933.6697,-24.690064572963802,-12.643088,100,489.84,37201.566,-38.27232,3.2146463,1.6841903,8.968816,9800,-7.9625583,6.6784306,10.0,8.878095,98,1.0189109,3946500,616.6903,383160.7,100.0,6.326616e-06,5.6716228,,99.0
[-1.098 -0.574 -0.008 -0.514  0.265],225.33795,131.18738,7560.700092077255,62.545204,-31.18530484733763,-16.243452,100,458.89,470.31583,-66.072845,-0.64076424,1.6649475,2.4458916,9900,-13.349906,1.6673279,10.0,13.254166,99,0.9125875,3992389,85.40107,4262.994,100.0,0.000104305924,8.280477,,99.0
[-1.169 -0.551 -0.034 -0.514  0.246],234.66557,142.28178,7651.155145645142,111.20106,-27.181872801503676,-13.275984,100,470.37,830.2519,-51.30947,-14.356114,1.7148433,2.1565998,10000,-11.315946,-12.963873,,10.019116,100,0.9394747,4039426,150.13754,2198.2134,100.0,0.00014973058,4.0079155,,99.0
[-1.171 -0.545 -0.058 -0.5    0.296],6002.16,5067.5137,7739.940769195557,2564.3152,-29.420401439480543,-13.093492,100,464.92,26645.41,-57.297184,-14.262575,1.6170944,18.780506,10100,-5.7703977,-9.240512,,9.655896,101,1.9853395,4085918,625.80255,57423.617,100.0,1.973011e-09,7.453665,,99.0
[-1.239 -0.543 -0.055 -0.502  0.198],10797.724,1249.2216,7831.570237636566,2150.2083,-28.261832606239842,-14.003324,100,475.95,27026.145,-40.133713,-15.1263685,1.5657566,8.076185,10200,-9.072401,-11.786652,,8.368243,102,1.04674,4133513,258.34317,365291.4,100.0,2.3183216e-07,12.140759,,99.0
[-1.191 -0.608 -0.03  -0.527  0.147],679.16046,328.25723,7927.163526535034,328.48544,-27.299345444390855,-13.923914,100,499.61,2774.5225,-34.6738,-15.008712,1.5917907,4.518421,10300,-10.244666,-12.211733,,8.371016,103,0.984343,4183474,123.28702,10786.985,100.0,8.429521e-05,13.03759,,99.0
[-1.185 -0.581 -0.02  -0.547  0.173],64.60512,156.86473,8018.339172124863,31.619698,-27.66763455206824,-12.133453,100,473.47,187.83139,-47.157566,-13.232887,1.5957835,3.8260345,10400,-10.6812935,-12.108532,,10.362852,104,0.98387825,4230821,95.05147,662.76556,100.0,0.0016563378,21.846088,,99.0
[-1.194 -0.582  0.007 -0.548  0.177],2.1085575,90.60388,8103.9857878685,2.8289788,-27.133516915456486,-12.610221,100,467.62,6.9245195,-53.691254,-13.688432,1.5809773,1.3584116,10500,-11.896157,-13.067973,,10.188318,105,0.9066453,4277583,22.762857,14.043926,100.0,0.0031137252,6.6690845,,99.0
[-1.188 -0.588 -0.008 -0.555  0.162],0.23218524,80.222916,8196.736501693726,0.94282,-31.908750938923514,-12.064805,100,471.41,1.0,-46.77859,-13.3327675,1.5809773,2.2473514e-06,10600,-12.064802,-13.332766,,8.911831,106,1.0,4324724,1.0000073,1.0,100.0,0.9999931,4.3916206,,99.0
[-1.188 -0.588 -0.008 -0.555  0.162],1066.7789,208.28117,8287.05182480812,304.35223,-33.43368484705684,-12.943151,100,477.98,2909.7512,-42.192146,-14.271711,1.5830138,1.4241296,10700,-10.107775,-12.2081375,,8.724663,107,0.7727405,4372522,26.221561,21544.559,100.0,3.1764248e-05,7.8952756,,99.0
[-1.152 -0.587  0.024 -0.557  0.164],19.946566,94.675804,8379.36468052864,12.607457,-42.36670416497203,-14.4870825,100,435.62,54.899914,-51.371117,-16.170616,1.5775526,1.6742846,10800,-12.418829,-14.488415,,11.098959,108,0.8763847,4416084,43.21057,184.73549,100.0,0.00066528615,12.408218,,99.0
[-1.201 -0.567  0.029 -0.533  0.159],137.68271,97.217,8479.76628780365,76.23934,-32.20611152920889,-12.794647,100,472.16,494.66077,-53.150085,-14.074428,1.5121222,2.2211604,10900,-9.939438,-11.92072,,8.654256,109,0.8008959,4463300,66.76211,1164.8683,100.0,5.731631e-06,17.744402,,99.0
[-1.192 -0.524  0.018 -0.499  0.093],326.78046,152.68018,8584.141669511795,91.56266,-30.268963967110412,-14.429735,100,494.84,573.34326,-45.76473,-15.632539,1.475693,1.7167294,11000,-11.0831175,-12.866743,,8.600491,110,0.6503557,4512784,53.651306,8112.432,100.0,7.710362e-06,7.9528885,,99.0
[-1.145 -0.542  0.01  -0.523  0.057],60.728863,87.25249,8686.096468687057,34.42644,-35.7219622452338,-13.93302,100,466.06,183.34816,-48.653275,-15.352509,1.502525,5.939755,11100,-11.334099,-13.3109,,8.988962,111,1.01416,4559390,228.03271,834.44714,100.0,0.00031087003,16.4821,,99.0
[-1.154 -0.538 -0.004 -0.541  0.084],6.8759212,61.469864,8779.965451478958,5.7045107,-46.8665632182238,-13.716737,100,431.42,21.36514,-54.08985,-15.579082,1.4872177,1.2808638,11200,-11.99762,-14.165515,,9.587879,112,0.8470531,4602532,31.945253,45.407146,100.0,0.0048398543,8.210622,,99.0
[-1.149 -0.547 -0.017 -0.528  0.068],46.37425,80.44928,8887.213526010513,24.245363,-31.56237979926423,-13.8204,100,470.73,129.86024,-61.98021,-15.0746,1.4911103,1.9219685,11300,-11.691005,-13.305983,,10.188734,113,0.85055375,4649605,41.214634,554.71594,100.0,0.000108208915,2.2381368,,99.0
[-1.158 -0.522 -0.032 -0.491  0.072],572.65094,116.402885,9009.250365257263,213.52634,-24.27388459865172,-12.483944,100,490.06,1816.9756,-50.673588,-13.448521,1.5120424,2.560284,11400,-10.40123,-11.91099,,7.5318575,114,0.9689677,4698611,46.043934,6430.1187,100.0,3.64639e-05,2.2802377,,99.0
[-1.149 -0.528 -0.005 -0.488  0.093],2537.0823,203.29285,9126.628379821777,772.4672,-28.05172705881776,-13.021365,100,491.37,7523.3457,-33.265152,-14.13606,1.4960673,2.817342,11500,-8.083968,-10.452053,,8.380691,115,0.7511307,4747748,61.567924,48479.004,100.0,6.2316203e-06,12.70908,,99.0
[-1.137 -0.513 -0.027 -0.503  0.077],25.080423,86.65163,9237.962692022324,15.400172,-38.16941551721958,-14.283203,100,448.97,76.14448,-70.39315,-15.799948,1.5029032,1.3972229,11600,-12.207365,-14.145789,,11.251076,116,0.8510237,4792645,38.48465,226.6698,100.0,0.0030353223,5.8860183,,99.0
[-1.134 -0.497 -0.038 -0.469  0.084],119.959404,124.58941,9356.768160820007,50.38234,-26.95313550102254,-13.276746,100,483.21,356.58563,-35.222427,-14.347786,1.5058806,1.5565852,11700,-11.953177,-13.374797,,8.244223,117,0.83338773,4840966,22.088892,1868.7611,100.0,4.058794e-05,5.869331,,99.0
[-1.13  -0.498 -0.015 -0.49   0.087],51.39643,93.687706,9467.722469568253,31.821037,-34.561709250763755,-13.092051,100,456.91,180.69376,-51.96998,-14.465436,1.5262672,1.3946915,11800,-11.057744,-12.93455,,9.732128,118,0.76212364,4886657,25.338411,512.7557,100.0,0.00032227515,15.563869,,99.0
[-1.107 -0.502 -0.03  -0.469  0.107],320.2621,104.790405,9585.768198251724,170.1023,-27.657585817343207,-12.956792,100,483.19,1247.8861,-65.884995,-14.055826,1.494139,1.5738512,11900,-9.849055,-11.730619,,9.735852,119,0.6559804,4934976,47.29192,2737.8206,100.0,9.78071e-05,4.804853,,99.0
[-1.128 -0.503 -0.023 -0.506  0.075],527.9688,216.39607,9692.386912107468,162.30212,-40.832771309649665,-14.292001,100,444.93,1299.8528,-62.413334,-15.914579,1.4628696,5.1881623,12000,-10.120061,-12.659206,,11.607648,120,0.947549,4979469,246.74588,12721.95,100.0,1.1451772e-05,10.631806,,99.0
[-1.081 -0.548 -0.011 -0.542  0.044],20.724232,66.89254,9796.979134082794,14.091931,-47.3527114787698,-16.280777,100,418.94,66.19942,-64.84752,-18.16244,1.416356,0.90491647,12100,-12.441651,-14.883288,,12.801222,121,0.6248848,5021363,15.878364,141.2744,100.0,0.0003043881,5.2829685,,99.0
[-1.103 -0.576 -0.009 -0.546 -0.003],1.9707752,83.50264,9917.581422805786,2.7060082,-35.84067442486244,-15.049479,100,454.71,6.4201536,-65.570885,-16.473686,1.4110409,1.0634518,12200,-13.424622,-14.988541,,12.141934,122,0.872115,5066834,18.709366,11.423294,100.0,0.008663713,8.408943,,99.0
[-1.095 -0.586 -0.001 -0.539 -0.008],2778.3462,515.19586,10063.09849524498,855.0728,-24.57998191612993,-13.059906,100,490.99,8306.608,-40.849236,-14.036645,1.4056206,2.1074007,12300,-9.861722,-11.842274,,9.432861,123,0.59538937,5115933,84.719055,67666.72,100.0,2.4878793e-05,21.170343,,99.0
[-1.049 -0.532  0.008 -0.527 -0.013],61400.13,22706.818,10195.200845956802,7317.6846,-43.47828186522501,-15.527945,100,424.42,84346.55,-67.25954,-17.255648,1.4107659,17.344917,12400,1.4277185,-5.2584834,,12.964465,124,2.2466073,5158375,596.39514,1655191.9,100.0,8.221912e-06,5.506903,,99.0
[-1.049 -0.499  0.026 -0.484 -0.008],2.1565876,75.76395,10339.017788410187,3.0659568,-31.63481610466824,-13.047311,100,472.27,7.5042577,-47.09003,-14.30439,1.4131713,1.2569762,12500,-12.473203,-13.861755,,8.819298,125,0.98311704,5205602,22.825682,13.502531,100.0,0.009202785,5.781457,,99.0
[-1.053 -0.508  0.035 -0.477 -0.006],110.93025,73.81898,10488.741901397705,53.78452,-27.145276571795407,-12.03565,100,482.44,349.48242,-47.00221,-13.114327,1.3906251,2.193456,12600,-10.364955,-11.863286,,8.480587,126,0.7453583,5253846,46.393734,1571.3632,100.0,2.487355e-05,12.394206,,99.0
[-1.047 -0.501  0.015 -0.452 -0.028],165.11891,125.58886,10640.067399263382,71.13473,-27.406359519891794,-13.639596,100,493.2,455.1436,-50.32081,-14.728646,1.4210111,3.3785481,12700,-11.6114855,-13.193266,,8.118677,127,1.0059708,5303166,99.58302,2246.0889,100.0,0.00016169137,6.720812,,99.0
[-1.029e+00 -5.030e-01  9.170e-04 -4.648e-01  2.203e-03],697.9667,262.63977,10779.517028808594,222.6112,-31.581636403125056,-14.729537,100,473.91,1886.4547,-50.125645,-15.984503,1.3783882,2.1574287,12800,-11.638044,-13.658358,,9.817767,128,0.8941015,5350557,36.401752,13850.446,100.0,1.2162629e-07,10.659827,,99.0
[-1.021 -0.515  0.023 -0.491 -0.041],84.908,136.17114,10922.557901620865,39.274197,-39.94021198381519,-12.909676,100,462.95,253.63527,-49.702953,-14.496786,1.3876678,1.1706388,12900,-11.16722,-13.269759,,9.098479,129,0.7612195,5396852,19.419739,857.3205,100.0,2.3519504e-05,4.3815026,,99.0
[-1.018e+00 -5.099e-01  3.708e-04 -4.887e-01 -3.135e-02],934.0988,143.28084,11056.610651016235,243.77312,-34.383872776678686,-14.722954,100,457.34,2181.57,-52.58117,-16.089272,1.356823,1.8914282,13000,-12.544329,-14.706814,,10.318532,130,0.8578153,5442586,41.561886,26654.44,100.0,3.4765887e-06,4.2880898,,99.0
[-1.051 -0.512 -0.026 -0.489 -0.062],193.84566,131.83676,11200.060998439789,96.5935,-33.69619736665651,-11.878727,100,473.98,706.6245,-63.393875,-13.217719,1.3580214,3.5298789,13100,-9.285836,-11.322435,,8.579807,131,1.0364666,5489984,115.597565,2398.339,100.0,8.762473e-05,4.134968,,99.0
[-1.026 -0.481 -0.045 -0.472 -0.061],14.669872,81.8827,11336.086704492569,10.881573,-34.49205424358426,-13.0532875,100,441.51,44.278275,-68.16078,-14.423904,1.3632797,2.07621,13200,-9.593177,-11.301558,,13.017253,132,1.0130973,5534135,34.416565,124.74284,100.0,0.00068306184,19.7106,,99.0
[-1.036 -0.485 -0.038 -0.456 -0.056],38.812885,67.86525,11482.101495742798,27.895582,-22.463963149440193,-11.622571,100,485.56,140.89015,-41.4458,-12.515225,1.3716257,1.0997672,13300,-10.164113,-11.368039,,8.387443,133,0.6813309,5582691,18.283255,306.16827,100.0,0.00016978027,8.261691,,99.0
[-1.037 -0.475 -0.037 -0.476 -0.047],111.055824,102.10955,11617.39666390419,46.990067,-39.34557962852958,-14.987472,100,445.88,299.41394,-54.654984,-16.550953,1.4071399,1.5569329,13400,-12.473717,-14.629617,,10.452413,134,0.7800879,5627279,28.158571,1535.5856,100.0,0.00014009538,13.469854,,99.0
[-1.035 -0.5   -0.019 -0.493 -0.012],7.8435793,110.06908,11752.359627962112,5.8323994,-30.961271181499278,-14.348394,100,439.04,20.217707,-62.02094,-15.578709,1.4223183,0.8805998,13500,-12.584621,-14.017815,,12.048366,135,0.7740622,5671183,13.87561,79.175995,100.0,0.0049728863,13.343515,,99.0
[-1.031 -0.491 -0.006 -0.477  0.003],441.41235,257.5736,11895.542331933975,228.5623,-25.552931818884325,-11.077179,100,477.08,1740.4436,-50.507782,-12.092581,1.4856964,2.0482657,13600,-7.3277745,-9.168527,,9.455789,136,0.7453667,5718891,39.8163,4339.5894,100.0,0.0001495703,10.693761,,99.0
[-1.019 -0.507 -0.003 -0.503  0.067],13.406325,147.16304,12022.692680835724,9.219234,-48.402754282114365,-16.831882,100,402.73,39.653625,-54.303032,-18.755272,1.4598527,1.2906848,13700,-12.966381,-15.349212,,13.1445465,137,0.7519959,5759164,27.892397,108.72267,100.0,0.00062378106,12.37732,,99.0
[-1.014 -0.53  -0.009 -0.494  0.041],119.94548,84.43029,12159.55310678482,63.80849,-30.40440295571128,-13.808716,100,465.37,410.88046,-56.730537,-15.016901,1.4271786,1.3563764,13800,-11.700933,-13.441879,,9.445993,138,0.6911768,5805701,32.534504,1250.8904,100.0,2.1103126e-05,6.0553555,,99.0
[-1.073 -0.509 -0.004 -0.495  0.008],107.50182,122.37669,12303.96335530281,50.24218,-28.579377678746077,-12.595057,100,469.74,323.29944,-52.666103,-13.73072,1.4179621,3.1759934,13900,-10.858899,-12.401274,,10.1150255,139,0.88695014,5852675,120.265915,1144.2812,100.0,0.00010083429,9.510897,,99.0
[-1.063e+00 -4.968e-01 -2.758e-02 -4.780e-01 -1.016e-03],6.354942,91.242,12448.803255558014,6.2546124,-25.989302979797944,-12.753876,100,481.24,22.2506,-47.84618,-13.786617,1.4160086,1.0913254,14000,-12.122262,-13.296074,,8.936607,140,0.9119047,5900799,14.874618,41.68164,100.0,0.0018398892,8.13617,,99.0
[-1.061 -0.477 -0.016 -0.48  -0.003],2767.555,449.5847,12582.154772520065,650.9251,-37.679049016043166,-13.009325,100,452.03,6961.6987,-47.827785,-14.506584,1.4316407,3.3860002,14100,-8.663105,-11.449396,,10.556431,141,1.037743,5946002,110.82295,54081.617,100.0,2.3884188e-05,14.451106,,99.0
[-1.068 -0.437 -0.041 -0.455  0.013],13.263044,83.66499,12711.183412790298,9.32889,-49.579455532342664,-16.173613,100,409.73,39.838383,-53.50036,-18.143759,1.4194725,1.0466543,14200,-13.487067,-15.9264965,,12.428815,142,0.76817626,5986975,12.85049,105.759445,100.0,0.0002988667,6.018182,,99.0
[-1.072e+00 -4.473e-01 -4.850e-02 -4.374e-01  5.171e-04],27.93714,102.04485,12853.131892204285,17.595936,-27.71360997906701,-13.422686,100,473.71,91.9998,-60.380074,-14.523946,1.4097236,2.0891552,14300,-12.247211,-13.614833,,9.869015,143,0.86877096,6034346,47.594994,227.569,100.0,0.000186939,4.322516,,99.0
[-1.082 -0.452 -0.028 -0.446 -0.009],323.3969,129.25124,12992.292672157288,143.03851,-31.48656787250258,-13.189154,100,473.44,1052.4978,-43.21003,-14.440342,1.4453398,6.963689,14400,-10.348608,-12.441612,,8.622191,144,1.0490135,6081690,304.97772,7396.724,100.0,0.00011930404,7.1774206,,99.0
[-1.078 -0.475 -0.023 -0.484  0.026],7.6414747,86.05893,13135.921237707138,7.13347,-33.983178402193865,-12.483255,100,463.19,25.11335,-47.5571,-13.8336525,1.4824204,1.1235464,14500,-11.321865,-12.946225,,10.027936,145,0.8039539,6128009,32.209877,59.748848,100.0,0.0011679867,10.61782,,99.0
[-1.062 -0.474 -0.015 -0.47   0.063],721.3126,262.06726,13270.800022602081,182.43256,-38.12668557858179,-14.622047,100,432.88,1533.5312,-59.55126,-16.137093,1.4663825,1.6561291,14600,-10.033595,-12.480546,,12.188357,146,0.8157211,6171297,41.495342,24402.453,100.0,1.3492951e-06,10.639877,,99.0
[-1.075 -0.509 -0.039 -0.49   0.047],394.07275,150.19756,13407.825018167496,166.54437,-32.583403912906014,-12.879874,100,460.15,1274.3433,-49.54311,-14.174646,1.4515917,1.681142,14700,-9.213754,-11.387732,,11.114167,147,0.6011447,6217312,48.46409,7541.964,100.0,3.9791566e-06,26.935324,,99.0
[-1.023 -0.496 -0.057 -0.486  0.033],48.381653,127.00243,13522.216276884079,23.09651,-53.03795990094655,-17.717789,100,381.47,124.27214,-65.67894,-19.825367,1.4414116,1.4947951,14800,-12.45367,-15.332217,,16.483335,148,0.8915344,6255459,24.16705,481.74637,100.0,0.00013711095,6.956061,,99.0
[-1.025 -0.512 -0.042 -0.475  0.023],291.06677,156.37762,13668.172322034836,89.9482,-23.14206945619067,-12.541874,100,479.25,766.67,-63.65728,-13.461475,1.4282633,2.2763507,14900,-10.541755,-11.84854,,9.826628,149,0.95980763,6303384,32.40813,6134.9893,100.0,5.298185e-07,5.6957984,,99.0
[-1.001 -0.558 -0.02  -0.502  0.009],437.97913,118.3521,13809.230159044266,187.07016,-32.548611320640205,-13.392434,100,475.6,1397.996,-51.900284,-14.6858225,1.4073346,3.249302,15000,-10.099283,-12.293175,,9.254307,150,0.8725159,6350944,116.681175,5487.801,100.0,3.458388e-06,9.997395,,99.0
[-0.966 -0.538 -0.036 -0.504 -0.012],4004.5686,4463.6406,13929.67437505722,1133.7664,-55.034248488775965,-16.659092,100,394.81,12167.102,-67.04054,-18.845999,1.4194988,77.837395,15100,-7.1447477,-12.512277,,13.440391,151,4.020207,6390425,3314.5532,106562.87,100.0,3.5225297e-05,4.4846964,,99.0
[-9.873e-01 -5.636e-01 -4.868e-02 -4.873e-01  6.053e-04],133.11336,234.81526,14074.378271818161,64.82457,-28.46226932201807,-13.438987,100,472.04,409.08722,-46.284367,-14.569995,1.4215372,1.2267082,15200,-11.436449,-13.114907,,8.432667,152,0.7175897,6437629,26.828646,1530.8401,100.0,9.582372e-05,5.273771,,99.0
[-0.985 -0.573 -0.037 -0.467  0.003],69.00911,72.41792,14224.405713796616,40.21561,-27.965198267733307,-13.700018,100,497.95,255.02658,-34.886917,-14.8112755,1.4179703,1.7344533,15300,-11.985055,-13.462256,,7.8238854,153,0.72609174,6487424,41.393665,675.0535,100.0,0.00062022195,1.0726984,,99.0
[-9.824e-01 -5.619e-01 -1.971e-02 -4.842e-01 -9.479e-04],53573.914,4019.4458,14364.481124639511,18096.08,-20.2887430580707,-12.843106,100,493.96,231124.84,-33.11651,-13.649324,1.3482475,7.994052,15400,-3.2394562,-7.0794153,,7.1065044,154,1.0525979,6536820,354.89532,792839.4,100.0,2.659467e-09,8.989812,,99.0
[-0.98  -0.512 -0.035 -0.481 -0.071],51.935493,78.711975,14504.812840223312,23.683325,-31.63079169405379,-12.262881,100,469.43,126.29033,-56.00447,-13.519798,1.3589982,1.0022904,15500,-10.319412,-11.971481,,8.399188,155,0.66408706,6583763,14.802221,1097.7114,100.0,0.00047295363,8.21094,,99.0
[-0.963 -0.511 -0.049 -0.492 -0.06 ],113.623184,182.4496,14621.163240909576,50.38509,-54.46598002405308,-17.797363,100,394.81,337.25055,-69.35031,-19.961689,1.3569155,4.8366446,15600,-12.148595,-15.239608,,16.0508,156,1.131942,6623244,150.3443,1213.6128,100.0,4.5824567e-05,3.4109344,,99.0
[-0.961 -0.525 -0.064 -0.478 -0.062],2.2661812,123.03897,14760.227871418,2.8625338,-36.9992475158314,-15.141296,100,435.62,7.262831,-67.19262,-16.611544,1.3568213,1.6519357,15700,-14.126141,-15.759523,,12.096108,157,1.0455669,6666806,22.995537,12.345976,100.0,0.012032481,20.393845,,99.0
[-0.964 -0.533 -0.061 -0.466 -0.062],0.8979038,91.9104,14916.842827558517,1.753675,-29.75184779029605,-13.999677,100,466.38,3.319455,-70.07633,-15.1819315,1.3525683,0.86799085,15800,-13.4664955,-14.7079735,,10.438642,158,1.0107341,6713444,10.848308,5.5855584,100.0,0.025740542,2.777635,,99.0
[-0.974 -0.529 -0.068 -0.453 -0.066],3408.0469,295.64017,15082.008830070496,628.09247,-27.93174490617541,-14.214086,100,475.79,7049.2437,-52.31353,-15.324016,1.3306695,4.1079392,15900,-10.762932,-12.723066,,9.436107,159,1.0767893,6761023,121.26126,101550.52,100.0,1.2149314e-06,5.422021,,99.0
[-0.953 -0.577 -0.044 -0.485 -0.088],139.2671,86.08775,15252.051029920578,64.14045,-25.86107914212594,-11.855966,100,491.21,397.7799,-26.0941,-12.883612,1.3291017,2.552455,16000,-10.141005,-11.602422,,6.5476365,160,0.8138129,6810144,72.92326,2098.4324,100.0,0.00048711337,4.1100755,,99.0
[-0.937 -0.569 -0.06  -0.492 -0.09 ],8504.026,2199.5635,15407.628664016724,2823.486,-36.75282835087294,-12.964857,100,461.35,30954.223,-34.53227,-14.425311,1.2506142,4.6884613,16100,-6.045735,-10.248293,,9.254975,161,0.8960232,6856279,273.59192,140001.06,100.0,1.957445e-08,12.604296,,99.0
[-0.925 -0.557 -0.044 -0.507 -0.168],6.898218,80.87862,15558.696738243103,6.0183077,-36.02382289129366,-13.428022,100,446.47,21.395742,-68.98272,-14.859508,1.2254559,1.4908799,16200,-11.443905,-13.124991,,11.212114,162,0.9195174,6900926,26.37817,44.27282,100.0,0.0014281397,17.322973,,99.0
[-0.902 -0.566 -0.036 -0.499 -0.194],1.6484563,68.252266,15717.5337703228,2.4820364,-33.90545436269999,-14.452518,100,455.86,5.6589756,-68.01562,-15.799826,1.223527,0.85106504,16300,-12.796338,-14.252298,,13.703438,163,0.90796155,6946512,8.51955,9.107868,100.0,0.01003131,8.083736,,99.0
[-0.922 -0.576 -0.036 -0.495 -0.195],55.437378,55.556404,15882.252171993256,25.57887,-32.52318422973597,-12.093029,100,480.77,134.78764,-42.431816,-13.385406,1.2358419,1.8112717,16400,-10.283981,-11.895367,,7.8618073,164,0.7587486,6994589,64.635765,1082.2467,100.0,0.0009764666,8.91773,,99.0
