SamplesThisIter,Bound,MinVanillaIw,MaxVanillaIw,renyi2,J,AvgVanillaIw,AvgEpLen,AvgDiscRet,VanillaAvgRet,ESSRenyi,AvgNormIw,MinNormIw,VarVanillaIw,VarNormIw,EpsThisIter,IterType,VarRet,VarDiscRet,MaxNormIw,ESSClassic,AvgRet,VarJ,BatchSize,delta
50000,1277.88,,63185.7,nan,262662.0,4.40236,75.7575757576,700.319640474,700.319640474,nan,8.41751e-06,,69017.1,2.5232e-07,660,1,112570.970533,112570.970533,0.120814,1.99682976169,700.319640474,26048.6,100,0.6
50000,1335.45,,2.25224e+06,nan,320273.0,138.155,76.3358778626,706.493585066,706.493585066,nan,8.48176e-06,,1.95261e+08,7.3596e-07,655,1,114442.607082,114442.607082,0.138272,0.914377019654,706.493585066,35929.3,100,0.6
50000,1220.02,,28822.3,nan,271326.0,5.14672,77.1604938272,713.677366767,713.677366767,nan,8.57339e-06,,29170.8,8.09454e-08,648,1,107331.026905,107331.026905,0.0480122,3.33196419996,713.677366767,31424.8,100,0.6
50000,1097.82,,460.049,nan,215984.0,1.86042,76.8049155146,710.820741165,710.820741165,nan,8.53388e-06,,179.191,3.7704e-09,651,1,95298.6787291,95298.6787291,0.00211028,1.47935468031,710.820741165,18162.7,100,0.6
50000,1184.45,,9816.93,nan,242954.0,2.11236,79.6178343949,736.610337578,736.610337578,nan,8.84643e-06,,2007.69,3.52124e-08,628,1,107658.911418,107658.911418,0.0411127,2.1542605459,736.610337578,22646.1,100,0.6
50000,1432.0,,6.83374e+10,nan,388616.0,1.82121e+06,81.3008130081,751.909587137,751.909587137,nan,9.03342e-06,,1.033e+17,2.54147e-06,615,1,137362.434154,137362.434154,0.338961,1.63349318417,751.909587137,35905.1,100,0.6
50000,1252.39,,1461.21,nan,249511.0,2.26354,79.1139240506,731.619877298,731.619877298,nan,8.79044e-06,,491.303,7.40959e-09,632,1,111177.694752,111177.694752,0.00567458,2.25204968246,731.619877298,23922.7,100,0.6
50000,1261.17,,34594.4,nan,266038.0,5.7123,79.8722044728,738.816981152,738.816981152,nan,8.87469e-06,,63611.5,1.5354e-07,626,1,98480.9334597,98480.9334597,0.0537462,2.69590672557,738.816981152,34322.8,100,0.6
50000,1295.92,,32262.7,nan,266802.0,5.84248,81.1688311688,750.700120588,750.700120588,nan,9.01876e-06,,65530.7,1.56151e-07,616,1,109035.050475,109035.050475,0.0498025,3.48893569805,750.700120588,29088.8,100,0.6
50000,1322.92,,2072.49,nan,268255.0,2.11857,85.4700854701,790.789405501,790.789405501,nan,9.49668e-06,,567.467,1.14025e-08,585,1,132776.606539,132776.606539,0.00929013,1.92035647579,790.789405501,46459.4,100,0.6
50000,1340.59,,9478.96,nan,287418.0,3.12459,86.8055555556,803.217928985,803.217928985,nan,9.64506e-06,,4906.13,4.67481e-08,576,1,124119.690322,124119.690322,0.0292599,2.30525914237,803.217928985,47192.5,100,0.6
50000,1492.32,,1.80221e+08,nan,374527.0,4330.93,88.6524822695,820.322914292,820.322914292,nan,9.85028e-06,,6.58602e+11,3.40688e-06,564,1,135019.954162,135019.954162,0.409896,1.94311233535,820.322914292,38901.9,100,0.6
50000,1386.6,,5585.25,nan,287404.0,2.40096,89.7666068223,831.284583486,831.284583486,nan,9.97407e-06,,1320.92,2.27955e-08,557,1,134970.896158,134970.896158,0.0232022,2.10648172341,831.284583486,62802.6,100,0.6
50000,1291.78,,2776.82,nan,250251.0,2.24396,86.5051903114,800.922882071,800.922882071,nan,9.61169e-06,,476.911,8.74997e-09,578,1,120030.96285,120030.96285,0.0118941,1.63415757585,800.922882071,21946.1,100,0.6
50000,1521.19,,443305.0,nan,325769.0,30.6643,91.407678245,845.955819022,845.955819022,nan,1.01564e-05,,5.55439e+06,6.09328e-07,547,1,150486.249352,150486.249352,0.146828,1.47812703608,845.955819022,32447.8,100,0.6
