ESSClassic,VarRet,VarDiscRet,MinVanillaIw,EpsThisIter,MaxVanillaIw,AvgNormIw,J,AvgDiscRet,IterType,Delta,AvgVanillaIw,VarJ,VanillaAvgRet,AvgEpLen,ESSRenyi,Bound,VarNormIw,eRenyi2,MaxNormIw,MinNormIw,VarVanillaIw,AvgRet,BatchSize
200.000000102,51.4309200058,51.4309200058,1.0,100,1.0,0.005,-59.8377,-59.8614951275,2,1.0,1.0,7.91278,-59.8614951275,88.17,500.0,-59.8377,2.1793e-19,1.0,0.005,0.005,,-59.8614951275,500
299.999969474,2586.83848358,2586.83848358,1.0,100,1.0,0.00333333,-62.1965,-66.9141130389,2,1.0,1.0,30.1086,-66.9141130389,96.12,500.0,-62.1965,5.43914e-20,1.0,0.00333333,0.00333333,,-66.9141130389,500
400.0,1323.03352911,1323.03352911,1.0,100,1.0,0.0025,-62.5684,-63.6841640231,2,1.0,1.0,31.7452,-63.6841640231,92.96,500.0,-62.5684,5.4346e-20,1.0,0.0025,0.0025,,-63.6841640231,500
1.02334769612,2585.01419773,2585.01419773,,100,8.44867e-10,0.002,-52.7113,-67.8584379998,1,1.0,1.70946e-12,0.060698,-67.8584379998,97.6,0.00941870892606,-52.7113,0.00195428,53085.8,0.98846,,1.42773e-21,-67.8584379998,500
100.0,2573.48204212,2573.48204212,1.0,100,1.0,0.01,-67.0065,-67.0065161251,2,1.0,1.0,50.4752,-67.0065161251,96.08,500.0,-67.0065,3.50449e-18,1.0,0.01,0.01,,-67.0065161251,500
200.000000102,1328.92561115,1328.92561115,1.0,100,1.0,0.005,-65.4542,-63.9019469811,2,1.0,1.0,43.9784,-63.9019469811,92.71,500.0,-65.4542,2.1793e-19,1.0,0.005,0.005,,-63.9019469811,500
299.999969474,1331.93503629,1331.93503629,1.0,100,1.0,0.00333333,-65.0055,-64.107930311,2,1.0,1.0,41.5854,-64.107930311,93.4,500.0,-65.0055,5.43914e-20,1.0,0.00333333,0.00333333,,-64.107930311,500
400.0,4991.64047547,4991.64047547,1.0,100,1.0,0.0025,-67.3225,-74.2735558163,2,1.0,1.0,50.4831,-74.2735558163,104.89,500.0,-67.3225,5.4346e-20,1.0,0.0025,0.0025,,-74.2735558163,500
inf,35.1086564428,35.1086564428,,100,1.97056e-36,0.002,-51.5381,-59.3618019195,1,1.0,3.94112e-39,,-59.3618019195,87.46,1.98675782992e-06,-51.5381,0.002,2.51666e+08,1.0,,,-59.3618019195,500
100.0,60.0400592871,60.0400592871,1.0,100,1.0,0.01,-59.9406,-59.9405892681,2,1.0,1.0,7.70971,-59.9405892681,88.29,500.0,-59.9406,3.50449e-18,1.0,0.01,0.01,,-59.9405892681,500
200.000000102,1325.44639267,1325.44639267,1.0,100,1.0,0.005,-62.4553,-64.9700700602,2,1.0,1.0,26.3085,-64.9700700602,94.44,500.0,-62.4553,2.1793e-19,1.0,0.005,0.005,,-64.9700700602,500
299.999969474,1332.62121851,1332.62121851,1.0,100,1.0,0.00333333,-63.2037,-64.7005796476,2,1.0,1.0,30.0385,-64.7005796476,95.14,500.0,-63.2037,5.43914e-20,1.0,0.00333333,0.00333333,,-64.7005796476,500
400.0,2573.47089614,2573.47089614,1.0,100,1.0,0.0025,-64.4502,-68.1894397216,2,1.0,1.0,36.3088,-68.1894397216,98.31,500.0,-64.4502,5.4346e-20,1.0,0.0025,0.0025,,-68.1894397216,500
138.578215021,6198.15281583,6198.15281583,0.0920583,100,19.4871,0.002,-63.6495,-77.1150514448,1,1.0,0.964171,31.7251,-77.1150514448,107.17,,-63.6495,1.04532e-05,inf,0.0404225,0.000190958,2.42939,-77.1150514448,500
100.0,2571.27849354,2571.27849354,1.0,100,1.0,0.01,-68.4624,-68.4624231151,2,1.0,1.0,50.4536,-68.4624231151,98.72,500.0,-68.4624,3.50449e-18,1.0,0.01,0.01,,-68.4624231151,500
200.000000102,2583.58855507,2583.58855507,1.0,100,1.0,0.005,-67.3295,-66.1966059944,2,1.0,1.0,50.5267,-66.1966059944,94.91,500.0,-67.3295,2.1793e-19,1.0,0.005,0.005,,-66.1966059944,500
299.999969474,1332.69470445,1332.69470445,1.0,100,1.0,0.00333333,-65.9328,-63.1393305345,2,1.0,1.0,46.3212,-63.1393305345,91.45,500.0,-65.9328,5.43914e-20,1.0,0.00333333,0.00333333,,-63.1393305345,500
400.0,2577.49683789,2577.49683789,1.0,100,1.0,0.0025,-66.0915,-66.5677891058,2,1.0,1.0,47.4051,-66.5677891058,95.58,500.0,-66.0915,5.4346e-20,1.0,0.0025,0.0025,,-66.5677891058,500
309.219838299,47.8048547547,47.8048547547,0.457127,100,11.1127,0.002,-62.8629,-59.2075499059,1,1.0,0.997436,30.0948,-59.2075499059,86.93,,-62.8629,2.47283e-06,inf,0.0222826,0.000916604,0.615042,-59.2075499059,500
100.0,1335.54269084,1335.54269084,1.0,100,1.0,0.01,-64.2092,-64.2091651386,2,1.0,1.0,36.3619,-64.2091651386,93.67,500.0,-64.2092,3.50449e-18,1.0,0.01,0.01,,-64.2091651386,500
200.000000102,2574.44626508,2574.44626508,1.0,100,1.0,0.005,-65.4917,-66.7741444866,2,1.0,1.0,44.0124,-66.7741444866,95.77,500.0,-65.4917,2.1793e-19,1.0,0.005,0.005,,-66.7741444866,500
299.999969474,5006.57691263,5006.57691263,1.0,100,1.0,0.00333333,-68.2729,-73.8354525186,2,1.0,1.0,54.397,-73.8354525186,104.5,500.0,-68.2729,5.43914e-20,1.0,0.00333333,0.00333333,,-73.8354525186,500
400.0,2574.76551721,2574.76551721,1.0,100,1.0,0.0025,-68.2742,-68.2780006208,2,1.0,1.0,53.4465,-68.2780006208,98.06,500.0,-68.2742,5.4346e-20,1.0,0.0025,0.0025,,-68.2780006208,500
335.76807147,2595.24947874,2595.24947874,0.433703,100,11.2506,0.002,-66.5805,-66.644172865,1,1.0,0.969073,44.3002,-66.644172865,95.95,,-66.5805,1.96041e-06,inf,0.0232193,0.000895088,0.460257,-66.644172865,500
100.0,1332.48675305,1332.48675305,1.0,100,1.0,0.01,-63.4894,-63.4894456731,2,1.0,1.0,36.3203,-63.4894456731,92.13,500.0,-63.4894,3.50449e-18,1.0,0.01,0.01,,-63.4894456731,500
200.000000102,3787.7729025,3787.7729025,1.0,100,1.0,0.005,-67.3649,-71.2403273937,2,1.0,1.0,50.493,-71.2403273937,101.45,500.0,-67.3649,2.1793e-19,1.0,0.005,0.005,,-71.2403273937,500
299.999969474,2570.72507908,2570.72507908,1.0,100,1.0,0.00333333,-67.4758,-67.6974726497,2,1.0,1.0,50.4783,-67.6974726497,97.02,500.0,-67.4758,5.43914e-20,1.0,0.00333333,0.00333333,,-67.6974726497,500
400.0,2589.61518026,2589.61518026,1.0,100,1.0,0.0025,-67.2463,-66.5578966761,2,1.0,1.0,50.5187,-66.5578966761,95.82,500.0,-67.2463,5.4346e-20,1.0,0.0025,0.0025,,-66.5578966761,500
267.42466413,1313.35509125,1313.35509125,0.240388,100,7.83609,0.002,-65.4015,-64.4667454879,1,1.0,0.951899,37.6576,-64.4667454879,93.84,,-65.4015,3.48571e-06,inf,0.0164641,0.00050507,0.789611,-64.4667454879,500
100.0,3810.54566328,3810.54566328,1.0,100,1.0,0.01,-71.3222,-71.3221584469,2,1.0,1.0,61.4202,-71.3221584469,101.11,500.0,-71.3222,3.50449e-18,1.0,0.01,0.01,,-71.3221584469,500
200.000000102,2582.71166272,2582.71166272,1.0,100,1.0,0.005,-69.2157,-67.1092954443,2,1.0,1.0,56.2948,-67.1092954443,96.63,500.0,-69.2157,2.1793e-19,1.0,0.005,0.005,,-67.1092954443,500
299.999969474,3803.91304006,3803.91304006,1.0,100,1.0,0.00333333,-69.5829,-70.3172702205,2,1.0,1.0,58.037,-70.3172702205,99.78,500.0,-69.5829,5.43914e-20,1.0,0.00333333,0.00333333,,-70.3172702205,500
400.0,2583.26893063,2583.26893063,1.0,100,1.0,0.0025,-68.9844,-67.1888904127,2,1.0,1.0,56.273,-67.1888904127,96.28,500.0,-68.9844,5.4346e-20,1.0,0.0025,0.0025,,-67.1888904127,500
1.00000022525,2570.18954619,2570.18954619,,100,33.8714,0.002,-52.8721,-66.9529865186,1,1.0,0.0677428,8.53266e-05,-66.9529865186,96.11,0.0726280384798,-52.8721,0.002,6884.39,1.0,,2.29454,-66.9529865186,500
100.0,4995.72196928,4995.72196928,1.0,100,1.0,0.01,-74.5404,-74.5404037206,2,1.0,1.0,70.3261,-74.5404037206,105.24,500.0,-74.5404,3.50449e-18,1.0,0.01,0.01,,-74.5404037206,500
200.000000102,62.6508514721,62.6508514721,1.0,100,1.0,0.005,-67.2867,-60.033026434,2,1.0,1.0,50.5619,-60.033026434,88.81,500.0,-67.2867,2.1793e-19,1.0,0.005,0.005,,-60.033026434,500
299.999969474,2558.09129792,2558.09129792,1.0,100,1.0,0.00333333,-67.4298,-67.7158173633,2,1.0,1.0,50.4832,-67.7158173633,97.19,500.0,-67.4298,5.43914e-20,1.0,0.00333333,0.00333333,,-67.7158173633,500
400.0,62.9965321118,62.9965321118,1.0,100,1.0,0.0025,-65.3928,-59.2818089017,2,1.0,1.0,44.0392,-59.2818089017,87.18,500.0,-65.3928,5.4346e-20,1.0,0.0025,0.0025,,-59.2818089017,500
1.0,62.2125542486,62.2125542486,,100,1.2171e-09,0.002,-54.0688,-60.348472015,1,1.0,2.4342e-12,4.23285e-07,-60.348472015,89.04,1.19273932816e-05,-54.0688,0.002,4.19203e+07,1.0,,2.96267e-21,-60.348472015,500
100.0,2579.72403098,2579.72403098,1.0,100,1.0,0.01,-68.4963,-68.4962982282,2,1.0,1.0,50.5364,-68.4962982282,98.65,500.0,-68.4963,3.50449e-18,1.0,0.01,0.01,,-68.4962982282,500
200.000000102,2552.35141867,2552.35141867,1.0,100,1.0,0.005,-68.5382,-68.5800414369,2,1.0,1.0,50.4022,-68.5800414369,98.34,500.0,-68.5382,2.1793e-19,1.0,0.005,0.005,,-68.5800414369,500
299.999969474,1336.65325249,1336.65325249,1.0,100,1.0,0.00333333,-67.1653,-64.4196433577,2,1.0,1.0,46.2434,-64.4196433577,93.9,500.0,-67.1653,5.43914e-20,1.0,0.00333333,0.00333333,,-64.4196433577,500
400.0,3757.3045459,3757.3045459,1.0,100,1.0,0.0025,-68.5227,-72.5947025496,2,1.0,1.0,50.3915,-72.5947025496,103.75,500.0,-68.5227,5.4346e-20,1.0,0.0025,0.0025,,-72.5947025496,500
1.0,3813.98916054,3813.98916054,,100,9.89898e-14,0.002,-51.9741,-70.152102759,1,1.0,1.9798e-16,4.38893e-11,-70.152102759,99.62,0.00885063203193,-51.9741,0.002,56493.1,1.0,,1.95979e-29,-70.152102759,500
100.0,2575.67416906,2575.67416906,1.0,100,1.0,0.01,-67.6076,-67.6075745046,2,1.0,1.0,50.4967,-67.6075745046,97.28,500.0,-67.6076,3.50449e-18,1.0,0.01,0.01,,-67.6075745046,500
200.000000102,3794.78953112,3794.78953112,1.0,100,1.0,0.005,-69.5308,-71.4540309133,2,1.0,1.0,56.1879,-71.4540309133,101.89,500.0,-69.5308,2.1793e-19,1.0,0.005,0.005,,-71.4540309133,500
299.999969474,2572.09064543,2572.09064543,1.0,100,1.0,0.00333333,-68.6292,-66.8259406041,2,1.0,1.0,54.3611,-66.8259406041,96.14,500.0,-68.6292,5.43914e-20,1.0,0.00333333,0.00333333,,-66.8259406041,500
400.0,4945.64479649,4945.64479649,1.0,100,1.0,0.0025,-70.364,-75.5684665306,2,1.0,1.0,58.7318,-75.5684665306,106.65,500.0,-70.364,5.4346e-20,1.0,0.0025,0.0025,,-75.5684665306,500
213.891227767,3807.33154796,3807.33154796,0.707107,100,5.18996,0.002,-65.7914,-71.1445715645,1,1.0,1.40643,32.5169,-71.1445715645,100.91,1.1940352459,-65.7914,5.36127e-06,418.748,0.00738032,0.00100553,2.65122,-71.1445715645,500
100.0,2566.51204945,2566.51204945,1.0,100,1.0,0.01,-68.6206,-68.6205920812,2,1.0,1.0,50.4068,-68.6205920812,98.67,500.0,-68.6206,3.50449e-18,1.0,0.01,0.01,,-68.6205920812,500
200.000000102,2568.78401472,2568.78401472,1.0,100,1.0,0.005,-68.3819,-68.1431377089,2,1.0,1.0,50.4185,-68.1431377089,98.3,500.0,-68.3819,2.1793e-19,1.0,0.005,0.005,,-68.1431377089,500
299.999969474,4988.66212369,4988.66212369,1.0,100,1.0,0.00333333,-70.6403,-75.1571381792,2,1.0,1.0,57.8891,-75.1571381792,105.66,500.0,-70.6403,5.43914e-20,1.0,0.00333333,0.00333333,,-75.1571381792,500
400.0,6136.04104924,6136.04104924,1.0,100,1.0,0.0025,-72.6328,-78.6101350927,2,1.0,1.0,63.592,-78.6101350927,110.14,500.0,-72.6328,5.4346e-20,1.0,0.0025,0.0025,,-78.6101350927,500
394.636642963,3799.07664337,3799.07664337,0.707107,100,1.91569,0.002,-70.856,-71.304656647,1,1.0,1.08177,61.4616,-71.304656647,101.44,1.1940352459,-70.856,1.0701e-06,418.748,0.00354178,0.00130732,0.313064,-71.304656647,500
100.0,6144.3925311,6144.3925311,1.0,100,1.0,0.01,-78.532,-78.5320384568,2,1.0,1.0,77.9933,-78.5320384568,109.96,500.0,-78.532,3.50449e-18,1.0,0.01,0.01,,-78.5320384568,500
200.000000102,3784.61964551,3784.61964551,1.0,100,1.0,0.005,-74.4622,-70.3923669229,2,1.0,1.0,70.2241,-70.3923669229,100.11,500.0,-74.4622,2.1793e-19,1.0,0.005,0.005,,-70.3923669229,500
299.999969474,2590.27488316,2590.27488316,1.0,100,1.0,0.00333333,-71.9257,-66.8526902992,2,1.0,1.0,64.4614,-66.8526902992,96.06,500.0,-71.9257,5.43914e-20,1.0,0.00333333,0.00333333,,-66.8526902992,500
400.0,2558.79792852,2558.79792852,1.0,100,1.0,0.0025,-70.9109,-67.8665953049,2,1.0,1.0,61.2605,-67.8665953049,97.74,500.0,-70.9109,5.4346e-20,1.0,0.0025,0.0025,,-67.8665953049,500
338.778307257,3816.55504888,3816.55504888,7.68234e-17,100,8.14412,0.002,-69.9883,-70.5299635381,1,1.0,1.62858,56.4458,-70.5299635381,100.43,1.46742279304,-69.9883,1.90738e-06,340.733,0.0100015,9.43438e-20,1.26473,-70.5299635381,500
100.0,2567.76392216,2567.76392216,1.0,100,1.0,0.01,-67.0941,-67.094112381,2,1.0,1.0,50.4191,-67.094112381,96.5,500.0,-67.0941,3.50449e-18,1.0,0.01,0.01,,-67.094112381,500
200.000000102,1321.2996121,1321.2996121,1.0,100,1.0,0.005,-65.2434,-63.3926678334,2,1.0,1.0,43.9148,-63.3926678334,92.29,500.0,-65.2434,2.1793e-19,1.0,0.005,0.005,,-63.3926678334,500
299.999969474,1320.89909445,1320.89909445,1.0,100,1.0,0.00333333,-64.9918,-64.4887234519,2,1.0,1.0,41.4933,-64.4887234519,94.01,500.0,-64.9918,5.43914e-20,1.0,0.00333333,0.00333333,,-64.4887234519,500
400.0,1308.56538492,1308.56538492,1.0,100,1.0,0.0025,-64.7018,-63.831764593,2,1.0,1.0,40.192,-63.831764593,92.88,500.0,-64.7018,5.4346e-20,1.0,0.0025,0.0025,,-63.831764593,500
29.9999893905,69.8009861857,69.8009861857,,100,633.33,0.002,-62.089,-60.4933217444,1,1.0,37.9998,33.483,-60.4933217444,89.37,1.11613225295,-62.089,6.27923e-05,447.976,0.0333333,,22667.8,-60.4933217444,500
100.0,4961.92353719,4961.92353719,1.0,100,1.0,0.01,-75.4718,-75.4718141849,2,1.0,1.0,70.0878,-75.4718141849,106.45,500.0,-75.4718,3.50449e-18,1.0,0.01,0.01,,-75.4718141849,500
200.000000102,75.9095029609,75.9095029609,1.0,100,1.0,0.005,-67.9695,-60.467122298,2,1.0,1.0,50.4976,-60.467122298,89.49,500.0,-67.9695,2.1793e-19,1.0,0.005,0.005,,-60.467122298,500
299.999969474,1316.4775136,1316.4775136,1.0,100,1.0,0.00333333,-66.6151,-63.9064149596,2,1.0,1.0,46.2397,-63.9064149596,92.52,500.0,-66.6151,5.43914e-20,1.0,0.00333333,0.00333333,,-63.9064149596,500
400.0,2562.44398982,2562.44398982,1.0,100,1.0,0.0025,-66.956,-67.9785632852,2,1.0,1.0,47.309,-67.9785632852,98.48,500.0,-66.956,5.4346e-20,1.0,0.0025,0.0025,,-67.9785632852,500
500.000006643,1326.19618713,1326.19618713,1.0,100,1.0,0.002,-66.4358,-64.355233224,1,1.0,1.0,45.3231,-64.355233224,93.68,500.0,-66.4358,5.43187e-20,1.0,0.002,0.002,,-64.355233224,500
100.0,1324.34345133,1324.34345133,1.0,100,1.0,0.01,-63.9148,-63.9148018171,2,1.0,1.0,36.2091,-63.9148018171,92.84,500.0,-63.9148,3.50449e-18,1.0,0.01,0.01,,-63.9148018171,500
200.000000102,3777.90706815,3777.90706815,1.0,100,1.0,0.005,-67.8944,-71.8739783089,2,1.0,1.0,50.4128,-71.8739783089,102.43,500.0,-67.8944,2.1793e-19,1.0,0.005,0.005,,-71.8739783089,500
299.999969474,2564.1754392,2564.1754392,1.0,100,1.0,0.00333333,-67.6745,-67.2345867985,2,1.0,1.0,50.4041,-67.2345867985,96.8,500.0,-67.6745,5.43914e-20,1.0,0.00333333,0.00333333,,-67.2345867985,500
400.0,3801.46138709,3801.46138709,1.0,100,1.0,0.0025,-68.4363,-70.7217111351,2,1.0,1.0,53.367,-70.7217111351,100.59,500.0,-68.4363,5.4346e-20,1.0,0.0025,0.0025,,-70.7217111351,500
500.000006643,73.7919086951,73.7919086951,1.0,100,1.0,0.002,-66.9542,-61.0261094286,1,1.0,1.0,47.9773,-61.0261094286,89.93,500.0,-66.9542,5.43187e-20,1.0,0.002,0.002,,-61.0261094286,500
100.0,2574.36355667,2574.36355667,1.0,100,1.0,0.01,-66.9126,-66.9126447977,2,1.0,1.0,50.4839,-66.9126447977,95.79,500.0,-66.9126,3.50449e-18,1.0,0.01,0.01,,-66.9126447977,500
200.000000102,60.1028400905,60.1028400905,1.0,100,1.0,0.005,-64.2097,-61.5067130208,2,1.0,1.0,36.2128,-61.5067130208,90.85,500.0,-64.2097,2.1793e-19,1.0,0.005,0.005,,-61.5067130208,500
299.999969474,2588.68196274,2588.68196274,1.0,100,1.0,0.00333333,-64.8298,-66.070025999,2,1.0,1.0,41.5846,-66.070025999,94.78,500.0,-64.8298,5.43914e-20,1.0,0.00333333,0.00333333,,-66.070025999,500
400.0,48.9192882547,48.9192882547,1.0,100,1.0,0.0025,-63.6347,-60.0492746013,2,1.0,1.0,36.2402,-60.0492746013,88.05,500.0,-63.6347,5.4346e-20,1.0,0.0025,0.0025,,-60.0492746013,500
500.000006643,1325.57113784,1325.57113784,1.0,100,1.0,0.002,-63.5434,-63.1783254859,1,1.0,1.0,36.2378,-63.1783254859,91.32,500.0,-63.5434,5.43187e-20,1.0,0.002,0.002,,-63.1783254859,500
100.0,52.3053377774,52.3053377774,1.0,100,1.0,0.01,-59.7625,-59.7624785331,2,1.0,1.0,7.19599,-59.7624785331,87.7,500.0,-59.7625,3.50449e-18,1.0,0.01,0.01,,-59.7624785331,500
200.000000102,64.9764701584,64.9764701584,1.0,100,1.0,0.005,-60.0836,-60.4046721619,2,1.0,1.0,7.62611,-60.4046721619,89.17,500.0,-60.0836,2.1793e-19,1.0,0.005,0.005,,-60.4046721619,500
299.999969474,1329.31513235,1329.31513235,1.0,100,1.0,0.00333333,-61.4581,-64.2071373199,2,1.0,1.0,21.9368,-64.2071373199,93.31,500.0,-61.4581,5.43914e-20,1.0,0.00333333,0.00333333,,-64.2071373199,500
400.0,47.1301159526,47.1301159526,1.0,100,1.0,0.0025,-61.0164,-59.6911444965,2,1.0,1.0,19.3176,-59.6911444965,87.9,500.0,-61.0164,5.4346e-20,1.0,0.0025,0.0025,,-59.6911444965,500
500.000006643,4998.09873921,4998.09873921,1.0,100,1.0,0.002,-63.6645,-74.2568348481,1,1.0,1.0,36.2796,-74.2568348481,104.67,500.0,-63.6645,5.43187e-20,1.0,0.002,0.002,,-74.2568348481,500
100.0,5001.16668799,5001.16668799,1.0,100,1.0,0.01,-73.6947,-73.6947161604,2,1.0,1.0,70.3644,-73.6947161604,103.91,500.0,-73.6947,3.50449e-18,1.0,0.01,0.01,,-73.6947161604,500
200.000000102,60.3618706572,60.3618706572,1.0,100,1.0,0.005,-67.5382,-61.3817621654,2,1.0,1.0,50.4317,-61.3817621654,90.72,500.0,-67.5382,2.1793e-19,1.0,0.005,0.005,,-61.3817621654,500
299.999969474,3782.51746984,3782.51746984,1.0,100,1.0,0.00333333,-68.6925,-71.0011457787,2,1.0,1.0,54.2814,-71.0011457787,100.92,500.0,-68.6925,5.43914e-20,1.0,0.00333333,0.00333333,,-71.0011457787,500
400.0,59.0914114714,59.0914114714,1.0,100,1.0,0.0025,-66.6867,-60.6691378701,2,1.0,1.0,47.2921,-60.6691378701,89.51,500.0,-66.6867,5.4346e-20,1.0,0.0025,0.0025,,-60.6691378701,500
500.000006643,2574.98891309,2574.98891309,1.0,100,1.0,0.002,-66.7895,-67.2009373118,1,1.0,1.0,47.9492,-67.2009373118,96.67,500.0,-66.7895,5.43187e-20,1.0,0.002,0.002,,-67.2009373118,500
100.0,2576.94048431,2576.94048431,1.0,100,1.0,0.01,-67.9307,-67.9306724192,2,1.0,1.0,50.5091,-67.9306724192,97.73,500.0,-67.9307,3.50449e-18,1.0,0.01,0.01,,-67.9306724192,500
200.000000102,55.8027048677,55.8027048677,1.0,100,1.0,0.005,-64.0494,-60.1680673583,2,1.0,1.0,36.308,-60.1680673583,88.09,500.0,-64.0494,2.1793e-19,1.0,0.005,0.005,,-60.1680673583,500
299.999969474,1316.09130727,1316.09130727,1.0,100,1.0,0.00333333,-64.1943,-64.4840314476,2,1.0,1.0,36.2381,-64.4840314476,93.76,500.0,-64.1943,5.43914e-20,1.0,0.00333333,0.00333333,,-64.4840314476,500
400.0,69.1975428709,69.1975428709,1.0,100,1.0,0.0025,-63.1298,-59.9364820923,2,1.0,1.0,31.7084,-59.9364820923,88.06,500.0,-63.1298,5.4346e-20,1.0,0.0025,0.0025,,-59.9364820923,500
500.000006643,65.6645381443,65.6645381443,1.0,100,1.0,0.002,-62.6418,-60.6896613957,1,1.0,1.0,28.6059,-60.6896613957,88.9,500.0,-62.6418,5.43187e-20,1.0,0.002,0.002,,-60.6896613957,500
100.0,2576.11211325,2576.11211325,1.0,100,1.0,0.01,-68.041,-68.0410319409,2,1.0,1.0,50.501,-68.0410319409,98.24,500.0,-68.041,3.50449e-18,1.0,0.01,0.01,,-68.0410319409,500
200.000000102,1331.07367298,1331.07367298,1.0,100,1.0,0.005,-65.6395,-63.2380536902,2,1.0,1.0,44.0434,-63.2380536902,91.76,500.0,-65.6395,2.1793e-19,1.0,0.005,0.005,,-63.2380536902,500
299.999969474,1357.39154756,1357.39154756,1.0,100,1.0,0.00333333,-65.3339,-64.7226776774,2,1.0,1.0,41.7294,-64.7226776774,94.34,500.0,-65.3339,5.43914e-20,1.0,0.00333333,0.00333333,,-64.7226776774,500
400.0,2563.41244572,2563.41244572,1.0,100,1.0,0.0025,-66.0562,-68.2229395251,2,1.0,1.0,44.0683,-68.2229395251,97.99,500.0,-66.0562,5.4346e-20,1.0,0.0025,0.0025,,-68.2229395251,500
500.000006643,53.3476674263,53.3476674263,1.0,100,1.0,0.002,-64.6946,-59.2482013597,1,1.0,1.0,39.6433,-59.2482013597,87.02,500.0,-64.6946,5.43187e-20,1.0,0.002,0.002,,-59.2482013597,500
100.0,3803.12928335,3803.12928335,1.0,100,1.0,0.01,-69.9463,-69.9463238488,2,1.0,1.0,61.3604,-69.9463238488,99.43,500.0,-69.9463,3.50449e-18,1.0,0.01,0.01,,-69.9463238488,500
200.000000102,3801.00764669,3801.00764669,1.0,100,1.0,0.005,-70.4503,-70.9542129563,2,1.0,1.0,61.3539,-70.9542129563,101.04,500.0,-70.4503,2.1793e-19,1.0,0.005,0.005,,-70.9542129563,500
299.999969474,1322.7078818,1322.7078818,1.0,100,1.0,0.00333333,-68.1583,-63.5743912046,2,1.0,1.0,54.374,-63.5743912046,92.55,500.0,-68.1583,5.43914e-20,1.0,0.00333333,0.00333333,,-63.5743912046,500
400.0,2567.68481349,2567.68481349,1.0,100,1.0,0.0025,-67.9919,-67.4927529201,2,1.0,1.0,53.4133,-67.4927529201,96.78,500.0,-67.9919,5.4346e-20,1.0,0.0025,0.0025,,-67.4927529201,500
500.000006643,2556.95377534,2556.95377534,1.0,100,1.0,0.002,-68.1245,-68.6548011559,1,1.0,1.0,52.8085,-68.6548011559,99.46,500.0,-68.1245,5.43187e-20,1.0,0.002,0.002,,-68.6548011559,500
100.0,2576.08442574,2576.08442574,1.0,100,1.0,0.01,-67.4987,-67.4987100151,2,1.0,1.0,50.5007,-67.4987100151,97.09,500.0,-67.4987,3.50449e-18,1.0,0.01,0.01,,-67.4987100151,500
200.000000102,5019.20498957,5019.20498957,1.0,100,1.0,0.005,-70.7064,-73.9141530988,2,1.0,1.0,61.4,-73.9141530988,103.71,500.0,-70.7064,2.1793e-19,1.0,0.005,0.005,,-73.9141530988,500
299.999969474,1322.55591188,1322.55591188,1.0,100,1.0,0.00333333,-68.516,-64.1352681431,2,1.0,1.0,54.3999,-64.1352681431,93.42,500.0,-68.516,5.43914e-20,1.0,0.00333333,0.00333333,,-64.1352681431,500
400.0,1339.44092941,1339.44092941,1.0,100,1.0,0.0025,-67.3284,-63.7656868957,2,1.0,1.0,50.5495,-63.7656868957,92.33,500.0,-67.3284,5.4346e-20,1.0,0.0025,0.0025,,-63.7656868957,500
500.000006643,1321.76057587,1321.76057587,1.0,100,1.0,0.002,-66.6694,-64.0330899552,1,1.0,1.0,48.038,-64.0330899552,93.39,500.0,-66.6694,5.43187e-20,1.0,0.002,0.002,,-64.0330899552,500
100.0,1326.64726392,1326.64726392,1.0,100,1.0,0.01,-62.9961,-62.9961419238,2,1.0,1.0,36.2406,-62.9961419238,91.11,500.0,-62.9961,3.50449e-18,1.0,0.01,0.01,,-62.9961419238,500
200.000000102,2557.10337659,2557.10337659,1.0,100,1.0,0.005,-65.5635,-68.1309394135,2,1.0,1.0,43.9209,-68.1309394135,98.03,500.0,-65.5635,2.1793e-19,1.0,0.005,0.005,,-68.1309394135,500
299.999969474,4976.24999282,4976.24999282,1.0,100,1.0,0.00333333,-68.5586,-74.5486298385,2,1.0,1.0,54.2783,-74.5486298385,105.0,500.0,-68.5586,5.43914e-20,1.0,0.00333333,0.00333333,,-74.5486298385,500
400.0,1344.68748093,1344.68748093,1.0,100,1.0,0.0025,-67.2542,-63.3411938341,2,1.0,1.0,50.4729,-63.3411938341,91.74,500.0,-67.2542,5.4346e-20,1.0,0.0025,0.0025,,-63.3411938341,500
500.000006643,45.5123695566,45.5123695566,1.0,100,1.0,0.002,-65.7232,-59.5989092743,1,1.0,1.0,45.3476,-59.5989092743,87.65,500.0,-65.7232,5.43187e-20,1.0,0.002,0.002,,-59.5989092743,500
100.0,49.5587124029,49.5587124029,1.0,100,1.0,0.01,-60.3438,-60.3438110828,2,1.0,1.0,7.00451,-60.3438110828,88.53,500.0,-60.3438,3.50449e-18,1.0,0.01,0.01,,-60.3438110828,500
200.000000102,1354.04326354,1354.04326354,1.0,100,1.0,0.005,-61.8267,-63.3095118532,2,1.0,1.0,26.4004,-63.3095118532,91.73,500.0,-61.8267,2.1793e-19,1.0,0.005,0.005,,-63.3095118532,500
299.999969474,2569.66688993,2569.66688993,1.0,100,1.0,0.00333333,-63.757,-67.6176167378,2,1.0,1.0,36.3331,-67.6176167378,97.37,500.0,-63.757,5.43914e-20,1.0,0.00333333,0.00333333,,-67.6176167378,500
