VarJ,MinVanillaIw,eRenyi2,IterType,AvgDiscRet,VarRet,ESSRenyi,MinNormIw,Bound,AvgRet,J,AvgEpLen,ESSClassic,VarVanillaIw,BatchSize,AvgNormIw,MaxVanillaIw,EpsThisIter,VarDiscRet,MaxNormIw,VanillaAvgRet,VarNormIw,AvgVanillaIw
0.061195493,1.0,1.0,2,4999.935765503493,0.00378383364123251,300.0,0.01,4579.125,4999.935765503493,4999.9355,500.0,100.0,,300,0.009999998,1.0,100,0.00378383364123251,0.01,4999.935765503493,3.5044917e-18,1.0
92.47412,1.0,1.0,2,4993.379893331077,8594.436309975914,300.0,0.005,4695.822,4993.379893331077,4993.38,499.35,200.00000010221265,,300,0.0049999994,1.0,100,8594.436309975914,0.005,4993.379893331077,2.179301e-19,1.0
75.568054,1.0,1.0,,4995.565594132349,5729.630613657276,400.0,0.0033333334,4752.611,4995.565594132349,4995.566,499.56666666666666,299.999969473632,,400,0.0033333336,1.0,100,5729.630613657276,0.0033333334,4995.565594132349,5.4391416e-20,1.0
40.65696,0.6192747,1.0051879,1,4996.66218950807,4297.250444609978,397.93556240317537,0.0015509817,4786.958,4996.66218950807,4997.908,499.675,397.86058455557503,0.005371556,400,0.0024999997,1.1160078,100,4297.250444609978,0.0027950564,4996.66218950807,3.3693556e-08,0.9981979
0.04784845,1.0,1.0,2,4999.9489441802225,0.0023108959486615476,400.0,0.01,4579.138,4999.9489441802225,4999.9487,500.0,100.0,,400,0.009999998,1.0,100,0.0023108959486615476,0.01,4999.9489441802225,3.5044917e-18,1.0
0.06354423,1.0,1.0,2,4999.941845446269,0.004058869257601543,400.0,0.005,4702.3833,4999.941845446269,4999.9414,500.0,200.00000010221265,,400,0.0049999994,1.0,100,0.004058869257601543,0.005,4999.941845446269,2.179301e-19,1.0
0.07714703,1.0,1.0,2,4999.939122110273,0.005971133190154668,400.0,0.0033333334,4756.984,4999.939122110273,4999.939,500.0,299.999969473632,,400,0.0033333336,1.0,100,0.005971133190154668,0.0033333334,4999.939122110273,5.4391416e-20,1.0
0.07336194,0.9985742,1.0,1,4999.941364191429,0.0054015628261926615,400.0,0.0024964525,4789.5366,4999.941364191429,4999.942,500.0,400.0,7.464115e-08,400,0.0025,1.0004414,100,0.0054015628261926615,0.0025011208,4999.941364191429,4.665122e-13,0.99999315
0.059821945,1.0,1.0,2,4999.942796017001,0.00361430773706476,400.0,0.01,4579.1323,4999.942796017001,4999.943,500.0,100.0,,400,0.009999998,1.0,100,0.00361430773706476,0.01,4999.942796017001,3.5044917e-18,1.0
0.072653145,1.0,1.0,2,4999.940764236423,0.005305386684049953,400.0,0.005,4702.3823,4999.940764236423,4999.9404,500.0,200.00000010221265,,400,0.0049999994,1.0,100,0.005305386684049953,0.005,4999.940764236423,2.179301e-19,1.0
0.07253332,1.0,1.0,2,4999.9418916751365,0.0052782019345988945,400.0,0.0033333334,4756.9863,4999.9418916751365,4999.9414,500.0,299.999969473632,,400,0.0033333336,1.0,100,0.0052782019345988945,0.0033333334,4999.9418916751365,5.4391416e-20,1.0
0.06916864,1.0,1.0,1,4999.9419328951635,0.004795843158779595,400.0,0.0025,4789.537,4999.9419328951635,4999.9424,500.0,400.0,,400,0.0024999997,1.0,100,0.004795843158779595,0.0025,4999.9419328951635,5.434597e-20,1.0
455.73248,1.0,1.0,2,4954.143361788596,209790.03391490388,400.0,0.01,4533.333,4954.143361788596,4954.1436,495.43,100.0,,400,0.009999998,1.0,100,209790.03391490388,0.01,4954.143361788596,3.5044917e-18,1.0
323.06436,1.0,1.0,2,4977.04507136404,104895.03160389364,400.0,0.005,4679.487,4977.04507136404,4977.045,497.715,200.00000010221265,,400,0.0049999994,1.0,100,104895.03160389364,0.005,4977.04507136404,2.179301e-19,1.0
264.00186,1.0,1.0,2,4984.680047719826,69930.05800134981,400.0,0.0033333334,4741.7256,4984.680047719826,4984.6807,498.4766666666667,299.999969473632,,400,0.0033333336,1.0,100,69930.05800134981,0.0033333334,4984.680047719826,5.4391416e-20,1.0
228.72787,1.0,1.0,,4988.4973243271725,52447.552817034084,500.0,0.0025,4778.092,4988.4973243271725,4988.497,498.8575,400.0,,500,0.0024999997,1.0,100,52447.552817034084,0.0025,4988.4973243271725,5.434597e-20,1.0
47.916428,0.23610047,1.0196809,1,4990.787658831831,41958.04644533997,490.3495012627864,0.0004675927,4807.7744,4990.787658831831,4997.8096,499.086,491.6739882026351,0.017303897,500,0.002,1.1845442,100,41958.04644533997,0.0023459683,4990.787658831831,6.787122e-08,1.0098553
0.06310494,1.0,1.0,2,4999.945197015326,0.0040209917821310516,500.0,0.01,4579.1343,4999.945197015326,4999.945,500.0,100.0,,500,0.009999998,1.0,100,0.0040209917821310516,0.01,4999.945197015326,3.5044917e-18,1.0
12.7832,1.0,1.0,2,4999.030681704319,164.23144755154914,500.0,0.005,4701.4727,4999.030681704319,4999.031,499.915,200.00000010221265,,500,0.0049999994,1.0,100,164.23144755154914,0.005,4999.030681704319,2.179301e-19,1.0
