renyi2,VarNormIw,VarRet,ESSRenyi,AvgRet,AvgDiscRet,VarDiscRet,MaxVanillaIw,AvgNormIw,J,IterType,delta,VarJ,VarVanillaIw,Bound,AvgEpLen,SamplesThisIter,ESSClassic,AvgVanillaIw,MinNormIw,MaxNormIw,BatchSize,MinVanillaIw,EpsThisIter,VanillaAvgRet
nan,1.69785e-06,720938.888147,nan,1640.80925482,1640.80925482,720938.888147,591236.0,1.98413e-05,644244.0,1,0.7,35053.6,2.9889e+07,3294.42,178.571428571,50000,1.05686636169,83.2484,,0.140914,100,,280,1640.80925482
nan,5.44952e-06,948034.790002,nan,1812.97410428,1812.97410428,948034.790002,4.42149e+08,2.18723e-05,681701.0,1,0.7,32246.5,1.45117e+13,3601.28,196.850393701,50000,2.00000026778,35692.3,,0.270949,100,,254,1812.97410428
nan,1.90324e-07,990418.437872,nan,1825.9912506,1825.9912506,990418.437872,30237.4,2.20459e-05,695082.0,1,0.7,31948.2,215910.0,3631.92,198.412698413,50000,3.2723822615,23.481,,0.0283893,100,,252,1825.9912506
nan,1.71435e-07,948539.42536,nan,1678.58746918,1678.58746918,948539.42536,40001.2,2.02757e-05,677648.0,1,0.7,32562.1,589106.0,3679.7,182.481751825,50000,4.18166321513,37.5858,,0.0215787,100,,274,1678.58746918
nan,3.15098e-07,885864.322768,nan,1811.6350893,1811.6350893,885864.322768,155264.0,2.18723e-05,691084.0,1,0.7,32209.6,1.79968e+06,3685.98,196.850393701,50000,2.4960688777,52.2719,,0.0649674,100,,254,1811.6350893
nan,3.74492e-07,786104.2134,nan,1808.77317965,1808.77317965,786104.2134,86384.4,2.18723e-05,673457.0,1,0.7,33169.9,655810.0,3470.37,196.850393701,50000,1.3793320089,28.9442,,0.0652781,100,,254,1808.77317965
nan,1.52648e-07,1011317.27865,nan,1768.74863882,1768.74863882,1011317.27865,25938.1,2.13675e-05,666620.0,1,0.7,31430.8,96122.6,3575.55,192.307692308,50000,3.27998319053,16.9559,,0.0326867,100,,260,1768.74863882
nan,3.27024e-06,868026.496995,nan,1812.35720048,1812.35720048,868026.496995,1.65466e+06,2.18723e-05,679356.0,1,0.7,31137.6,2.40374e+08,3621.36,196.850393701,50000,3.97621351534,187.52,,0.192999,100,,254,1812.35720048
nan,2.95204e-07,1048774.37618,nan,1741.83517564,1741.83517564,1048774.37618,56432.7,2.10438e-05,667884.0,1,0.7,31165.4,282307.0,3703.48,189.393939394,50000,2.2714098284,20.579,,0.0577073,100,,264,1741.83517564
nan,9.92044e-06,473262.349534,nan,1640.60342625,1640.60342625,473262.349534,2.65663e+18,1.98413e-05,620289.0,1,0.7,40734.0,2.80062e+32,2653.22,178.571428571,50000,2.00000003656,1.05422e+14,,0.5,100,,280,1640.60342625
