AvgEpLen,J,IterType,BatchSize,VarDiscRet,MinVanillaIw,VarVanillaIw,Bound,VarRet,MinNormIw,VarNormIw,MaxVanillaIw,VanillaAvgRet,AvgRet,AvgDiscRet,ESSRenyi,AvgVanillaIw,VarJ,Delta,ESSClassic,eRenyi2,MaxNormIw,EpsThisIter,AvgNormIw
500.0,61.5691,2,500,157.963969794,1.0,,57.8262,157.963969794,0.0025,5.4346e-20,1.0,62.1479344583,62.1479344583,62.1479344583,500.0,1.0,14.5207,0.6,400.0,1.0,0.0025,100,0.0025
500.0,90.3689,1,500,99.8434967827,0.0026149,3227.0,83.1736,99.8434967827,5.52749e-07,0.000144193,371.333,69.4610923817,69.4610923817,69.4610923817,108.239343455,9.46145,8.17802,0.6,13.5222463281,4.61939,0.078494,100,0.002
500.0,72.8845,2,500,80.131106657,1.0,,65.8358,80.131106657,0.01,3.50449e-18,1.0,72.8844713122,72.8844713122,72.8844713122,500.0,1.0,8.90673,0.6,100.0,1.0,0.01,100,0.01
500.0,73.9474,2,500,137.477359083,1.0,,68.9633,137.477359083,0.005,2.1793e-19,1.0,75.0103091271,75.0103091271,75.0103091271,500.0,1.0,10.4329,0.6,200.000000102,1.0,0.005,100,0.005
500.0,73.7986,2,500,89.9077836175,1.0,,69.5922,89.9077836175,0.00333333,5.43914e-20,1.0,73.5009575477,73.5009575477,73.5009575477,500.0,1.0,10.1133,0.6,299.999969474,1.0,0.00333333,100,0.00333333
500.0,72.521,2,500,90.2421839319,1.0,,68.8782,90.2421839319,0.0025,5.4346e-20,1.0,68.6882232874,68.6882232874,68.6882232874,500.0,1.0,10.1951,0.6,400.0,1.0,0.0025,100,0.0025
500.0,93.2938,1,500,175.711980161,0.0256013,6641.02,87.7519,175.711980161,3.80225e-06,0.000146485,532.617,72.6724125714,72.6724125714,72.6724125714,193.425699939,13.4664,6.9315,0.6,13.3162496,2.58497,0.0791033,100,0.002
500.0,75.6419,2,500,173.272504244,1.0,,68.0417,173.272504244,0.01,3.50449e-18,1.0,75.6418931372,75.6418931372,75.6418931372,500.0,1.0,13.0973,0.6,100.0,1.0,0.01,100,0.01
500.0,73.8086,2,500,165.91340816,1.0,,68.4345,165.91340816,0.005,2.1793e-19,1.0,71.9753789222,71.9753789222,71.9753789222,500.0,1.0,13.0866,0.6,200.000000102,1.0,0.005,100,0.005
500.0,73.8107,2,500,217.769959026,1.0,,69.1391,217.769959026,0.00333333,5.43914e-20,1.0,73.8148037575,73.8148037575,73.8148037575,500.0,1.0,13.6395,0.6,299.999969474,1.0,0.00333333,100,0.00333333
500.0,74.5311,2,500,135.06553136,1.0,,70.4854,135.06553136,0.0025,5.4346e-20,1.0,76.6921837035,76.6921837035,76.6921837035,500.0,1.0,13.2103,0.6,400.0,1.0,0.0025,100,0.0025
