Bound,AvgEpLen,VarVanillaIw,SamplesThisIter,EpsThisIter,MaxVanillaIw,AvgDiscRet,VarJ,MinNormIw,AvgNormIw,BatchSize,VanillaAvgRet,MaxNormIw,MinVanillaIw,ESSRenyi,IterType,AvgVanillaIw,VarNormIw,renyi2,VarDiscRet,AvgRet,J,delta,VarRet,ESSClassic
-65.5784,82.9187396352,0.37235,50000,603,7.201,-56.4650588957,233.523,4.40736e-08,9.21319e-06,100,-56.4650588957,6.12023e-05,0.00518565,nan,1,1.08401,2.68968e-11,nan,265.065237857,-56.4650588957,-9619.71,0.6,265.065237857,5.74883890437
-44.6237,86.5051903114,inf,50000,578,2.04953e+20,-58.6150596152,162.802,,9.61169e-06,100,-58.6150596152,0.0976675,,nan,1,2.01699e+16,9.17161e-07,nan,77.6319285725,-58.6150596152,-7852.83,0.6,77.6319285725,9.99572665584
nan,88.1834215168,inf,50000,567,7.59413e+18,-59.7298739154,nan,,9.79816e-06,100,-59.7298739154,0.0865663,,nan,1,8.59555e+14,7.48949e-07,nan,105.102806698,-59.7298739154,nan,0.6,105.102806698,9.80253890824
-67.722,94.8766603416,0.434586,50000,527,7.02869,-64.0469426039,331.13,2.81821e-12,1.05419e-05,100,-64.0469426039,7.0324e-05,2.81673e-07,nan,1,1.05363,4.35045e-11,nan,1363.24712632,-64.0469426039,-10484.4,0.6,1363.24712632,5.32025628412
-61.2045,90.2527075812,2.72392,50000,554,19.569,-61.1980526499,261.409,1.09278e-15,1.00281e-05,100,-61.1980526499,0.000153743,1.39094e-10,nan,1,1.27641,1.68131e-10,nan,154.344994366,-61.1980526499,-10063.2,0.6,154.344994366,4.25208971258
-68.8624,96.5250965251,0.278937,50000,518,5.97016,-65.075831932,281.519,6.43338e-23,1.0725e-05,100,-65.075831932,6.40161e-05,5.99979e-18,nan,1,1.00022,3.2071e-11,nan,1390.02380025,-65.075831932,-10745.7,0.6,1390.02380025,16.1443561544
-69.5903,90.2527075812,0.20419,50000,554,8.94356,-60.8255977735,185.409,4.52882e-25,1.00281e-05,100,-60.8255977735,8.87532e-05,4.56364e-20,nan,1,1.01052,2.01086e-11,nan,222.016755859,-60.8255977735,-10506.9,0.6,222.016755859,11.6963072721
-54.6365,86.6551126516,16.8821,50000,577,64.0195,-58.9784400785,182.843,,9.62835e-06,100,-58.9784400785,0.000350555,,nan,1,1.75836,5.06193e-10,nan,95.7293055947,-58.9784400785,-9624.42,0.6,95.7293055947,9.25452367898
-21.8158,82.1018062397,1.53086e+22,50000,609,8.67182e+12,-55.9851718864,227.772,,9.12242e-06,100,-55.9851718864,0.0284817,,nan,1,2.7775e+09,1.65138e-07,nan,98.5873164594,-55.9851718864,-5751.96,0.6,98.5873164594,4.47898863836
-55.7656,82.5082508251,2.17944,50000,606,35.7979,-56.54984587,185.278,1.66595e-15,9.16758e-06,100,-56.54984587,0.000250987,2.37611e-10,nan,1,1.30756,1.07136e-10,nan,57.0142984324,-56.54984587,-9607.4,0.6,57.0142984324,5.8463793741
-55.6599,86.3557858377,6.03537,50000,579,111.044,-58.733836362,247.068,7.44358e-36,9.59509e-06,100,-58.733836362,0.000718513,1.15039e-30,nan,1,1.4829,2.52685e-10,nan,45.9006405496,-58.733836362,-9917.88,0.6,45.9006405496,9.2457282407
-57.0331,83.8926174497,3.21501,50000,596,24.1872,-57.3558237167,266.686,1.01953e-10,9.3214e-06,100,-57.3558237167,0.000176192,1.39958e-05,nan,1,1.27961,1.70603e-10,nan,83.3943670601,-57.3558237167,-9582.52,0.6,83.3943670601,4.0960324635
-45.1061,86.2068965517,inf,50000,580,3.24206e+25,-58.6387120006,194.731,,9.57854e-06,100,-58.6387120006,0.0914431,,nan,1,3.39602e+21,8.07641e-07,nan,138.708995388,-58.6387120006,-6993.84,0.6,138.708995388,9.91602439614
-35.2184,83.6120401338,inf,50000,598,4.15574e+19,-57.0397354687,138.605,,9.29023e-06,100,-57.0397354687,0.0999997,,nan,1,3.86079e+15,9.2894e-07,nan,80.4239342242,-57.0397354687,-6770.46,0.6,80.4239342242,10.0000001129
-45.4461,85.0340136054,2.28589e+30,50000,588,1.5555e+17,-57.7081065948,246.482,,9.44822e-06,100,-57.7081065948,0.0999899,,nan,1,1.46982e+13,9.44551e-07,nan,107.28574791,-57.7081065948,-7130.21,0.6,107.28574791,10.0000021331
-37.2292,83.6120401338,inf,50000,598,2.77881e+24,-57.0933767114,217.668,,9.29023e-06,100,-57.0933767114,0.1,,nan,1,2.58158e+20,9.28945e-07,nan,110.8334583,-57.0933767114,-6382.44,0.6,110.8334583,10.0000003516
-58.4348,87.1080139373,472.242,50000,574,683.956,-59.2023005465,546.266,2.80424e-10,9.67867e-06,100,-59.2023005465,0.00278826,6.87875e-05,nan,1,2.37416,7.84828e-09,nan,169.79169524,-59.2023005465,-8529.5,0.6,169.79169524,1.17709921217
-65.6987,91.407678245,0.371616,50000,547,5.02554,-62.0022813467,288.075,2.43477e-11,1.01564e-05,100,-62.0022813467,4.79419e-05,2.55226e-06,nan,1,1.06465,3.38189e-11,nan,1184.9959004,-62.0022813467,-10287.7,0.6,1184.9959004,6.05996850407
-70.1064,99.0099009901,0.271602,50000,505,6.21503,-68.1295129955,418.234,9.56103e-15,1.10011e-05,100,-68.1295129955,6.78078e-05,8.76332e-10,nan,1,1.00832,3.233e-11,nan,2389.23939781,-68.1295129955,-10987.9,0.6,2389.23939781,8.55521522052
-69.1339,92.4214417745,0.181328,50000,541,5.39042,-63.6982986287,352.08,6.35621e-10,1.0269e-05,100,-63.6982986287,5.69986e-05,6.01114e-05,nan,1,0.971155,2.02743e-11,nan,1805.41193858,-63.6982986287,-10579.6,0.6,1805.41193858,6.22394463705
-39.5151,86.3557858377,4.36484e+26,50000,579,2.13293e+15,-58.8715626979,164.899,,9.59509e-06,100,-58.8715626979,0.0996377,,nan,1,2.05401e+11,9.52494e-07,nan,85.5327303298,-58.8715626979,-7219.49,0.6,85.5327303298,9.99990008121
-53.4258,86.5051903114,34.0704,50000,578,309.064,-58.6765987309,343.066,,9.61169e-06,100,-58.6765987309,0.0016276,,nan,1,1.82516,9.44879e-10,nan,70.8063112122,-58.6765987309,-9528.9,0.6,70.8063112122,4.25803354608
-58.1849,85.4700854701,2.35024,50000,585,25.295,-58.2650947669,124.81,7.41026e-13,9.49668e-06,100,-58.2650947669,0.000181355,1.03356e-07,nan,1,1.32457,1.20811e-10,nan,67.5841480211,-58.2650947669,-9906.64,0.6,67.5841480211,8.44617890762
-54.9226,83.6120401338,4.94337,50000,598,86.0648,-56.9858977595,226.841,,9.29023e-06,100,-56.9858977595,0.000541907,,nan,1,1.47546,1.95984e-10,nan,36.180359031,-56.9858977595,-9755.25,0.6,36.180359031,86.9487218065
-64.1422,90.9090909091,0.481746,50000,550,5.27633,-61.75221823,269.909,8.76957e-15,1.0101e-05,100,-61.75221823,5.01251e-05,9.23112e-10,nan,1,1.06326,4.34776e-11,nan,898.889026577,-61.75221823,-10236.7,0.6,898.889026577,4.93449974533
-47.8355,83.4724540902,132128.0,50000,599,19729.0,-56.8892802997,191.454,,9.27472e-06,100,-56.8892802997,0.0081786,,nan,1,22.3732,2.27059e-08,nan,57.9488728402,-56.8892802997,-8497.75,0.6,57.9488728402,7.30089041041
-52.1381,84.7457627119,292.573,50000,590,869.363,-57.4915538018,184.886,,9.4162e-06,100,-57.4915538018,0.00251238,,nan,1,3.25831,2.44344e-09,nan,48.4040831187,-57.4915538018,-9288.86,0.6,48.4040831187,12.8298085335
