Bound,eRenyi2,MaxVanillaIw,ESSClassic,VarDiscRet,VarJ,IterType,Delta,AvgVanillaIw,VanillaAvgRet,AvgRet,MinNormIw,BatchSize,AvgNormIw,MinVanillaIw,EpsThisIter,VarRet,AvgEpLen,ESSRenyi,AvgDiscRet,VarNormIw,J,MaxNormIw,VarVanillaIw
-145.431,1.0186,1.26828,97.7951634865,4939.84500597,66.0396,1,0.3,0.977329,-82.2579675789,-82.2579675789,0.00577478,100,0.01,0.564386,100,4939.84500597,114.45,98.174413609,-82.2579675789,2.27732e-06,-81.1326,0.012977,0.0217523
-143.663,1.02042,1.38396,98.1141404715,4923.27935335,65.5578,1,0.3,1.00574,-80.4837765694,-80.4837765694,0.00482046,100,0.01,0.48481,100,4923.27935335,112.55,97.9992224183,-80.4837765694,1.94151e-06,-79.2967,0.0137607,0.0196385
-147.943,1.04317,1.47897,96.0441006401,6023.62418512,66.9913,1,0.3,0.980214,-85.6708815686,-85.6708815686,0.00322042,100,0.01,0.31567,100,6023.62418512,117.73,95.8612822768,-85.6708815686,4.16042e-06,-82.8625,0.0150882,0.039974
-145.097,1.00717,1.61259,99.0239424469,4937.92254694,67.8318,1,0.3,1.00511,-81.6008522987,-81.6008522987,0.00914665,100,0.01,0.919338,100,4937.92254694,113.52,99.2885898716,-81.6008522987,9.9563e-07,-81.1504,0.016044,0.0100583
-151.605,1.05111,1.33541,95.2790691539,7094.36060039,73.7855,1,0.3,0.980146,-89.6695027541,-89.6695027541,0.00412754,100,0.01,0.404559,100,7094.36060039,123.29,95.1370978415,-89.6695027541,5.0049e-06,-86.2776,0.0136246,0.0480813
-141.339,1.01113,1.4323,98.8337147636,3786.91923497,56.7986,1,0.3,1.00252,-78.0047732472,-78.0047732472,0.00668142,100,0.01,0.669829,100,3786.91923497,109.05,98.8992304269,-78.0047732472,1.19194e-06,-77.2665,0.0142869,0.0119796
-150.748,1.01691,1.4361,98.5042859046,7129.78187206,80.4728,1,0.3,1.00497,-87.6114110479,-87.6114110479,0.00489582,100,0.01,0.492017,100,7129.78187206,120.33,98.3369275056,-87.6114110479,1.5338e-06,-86.4921,0.0142899,0.015491
-147.127,1.00468,1.19618,99.5993296145,6111.92627459,76.5062,1,0.3,0.99438,-83.5374337287,-83.5374337287,0.00827368,100,0.01,0.822718,100,6111.92627459,115.67,99.5340936516,-83.5374337287,4.06339e-07,-83.258,0.0120294,0.00401785
-157.635,1.03381,1.694,95.9459221008,9211.67811623,89.4134,1,0.3,1.01772,-95.3075612126,-95.3075612126,0.0043958,100,0.01,0.44737,100,9211.67811623,129.59,96.7292366912,-95.3075612126,4.26803e-06,-92.8469,0.016645,0.0442063
-155.817,1.01256,1.62346,98.5688157536,7002.74370871,79.8462,1,0.3,0.996738,-92.4899126583,-92.4899126583,0.00864046,100,0.01,0.861227,100,7002.74370871,126.87,98.7592298987,-92.4899126583,1.46661e-06,-91.6988,0.0162877,0.0145706
-147.984,1.03684,1.64946,96.2641938895,6009.36069433,67.5395,1,0.3,1.00597,-85.4556166768,-85.4556166768,0.00594359,100,0.01,0.597905,100,6009.36069433,118.53,96.4467778959,-85.4556166768,3.91996e-06,-83.1059,0.0163967,0.0396688
-132.378,1.01277,1.22127,98.9963329355,1369.42890748,29.5156,1,0.3,0.993004,-69.1077852504,-69.1077852504,0.00627292,100,0.01,0.622904,100,1369.42890748,99.64,98.7395029201,-69.1077852504,1.0241e-06,-68.2676,0.0122987,0.0100982
-144.384,1.06291,1.78872,93.3039336703,4857.37994321,53.873,1,0.3,1.0139,-83.1721859869,-83.1721859869,0.00347686,100,0.01,0.352518,100,4857.37994321,115.89,94.081282894,-83.1721859869,7.24912e-06,-78.6921,0.0176421,0.0745198
-155.644,1.03365,1.31714,96.7649572842,8133.90363116,83.9613,1,0.3,1.02667,-93.1007142559,-93.1007142559,0.00473305,100,0.01,0.485927,100,8133.90363116,127.17,96.744341391,-93.1007142559,3.377e-06,-90.8614,0.0128293,0.0355952
-151.888,1.02089,1.41581,98.6312857652,7090.91001765,79.6004,1,0.3,0.982128,-88.9456194276,-88.9456194276,0.00888263,100,0.01,0.872388,100,7090.91001765,122.88,97.9533919042,-88.9456194276,1.40173e-06,-87.5063,0.0144157,0.0135207
-144.254,1.01936,1.51299,97.682021096,4901.80987929,63.6652,1,0.3,0.983423,-81.1545064998,-81.1545064998,0.00682271,100,0.01,0.670961,100,4901.80987929,112.83,98.1009234244,-81.1545064998,2.397e-06,-79.9251,0.015385,0.0231818
-147.941,1.0343,1.47037,95.8539583659,5969.70236237,68.3865,1,0.3,0.944103,-85.3927946332,-85.3927946332,0.00493946,100,0.01,0.466336,100,5969.70236237,118.36,96.6834605698,-85.3927946332,4.36903e-06,-83.1381,0.0155742,0.0389426
-145.547,1.0161,1.86948,96.967860198,6083.49593075,74.5112,1,0.3,1.03398,-82.3193577813,-82.3193577813,0.00858194,100,0.01,0.887359,100,6083.49593075,114.29,98.4151476073,-82.3193577813,3.15854e-06,-81.317,0.0180803,0.0337686
-160.818,1.0183,1.69359,98.119891796,10324.8924983,97.2067,1,0.3,0.999059,-97.7332417057,-97.7332417057,0.00883564,100,0.01,0.882732,100,10324.8924983,131.69,98.2029277055,-97.7332417057,1.93547e-06,-96.5178,0.0169519,0.0193183
-134.143,1.00201,1.2852,99.7290005551,1381.30585471,35.9283,1,0.3,1.00603,-70.4882051899,-70.4882051899,0.00906104,100,0.01,0.91157,100,1381.30585471,100.75,99.7998199736,-70.4882051899,2.74495e-07,-70.3643,0.0127749,0.00277817
-152.229,1.16194,2.00635,84.6137871048,8138.24449461,66.481,1,0.3,1.02534,-93.1209337926,-93.1209337926,0.00162893,100,0.01,0.167021,100,8138.24449461,127.05,86.0627974866,-93.1209337926,1.83677e-05,-83.5432,0.0195677,0.193103
-140.038,1.0325,1.62854,97.2435680628,3782.99340609,52.4164,1,0.3,1.01771,-77.3705817744,-77.3705817744,0.00457087,100,0.01,0.465182,100,3782.99340609,109.05,96.8523870166,-77.3705817744,2.86319e-06,-75.292,0.0160021,0.029655
-149.419,1.0624,1.70611,93.5511884222,7155.97009656,72.0664,1,0.3,1.01476,-88.1876792531,-88.1876792531,0.00360272,100,0.01,0.365589,100,7155.97009656,120.69,94.1268349082,-88.1876792531,6.96298e-06,-83.7422,0.016813,0.0717003
-159.501,1.01416,1.27464,98.9732382285,10395.1651291,99.329,1,0.3,1.00717,-96.2097403173,-96.2097403173,0.00846791,100,0.01,0.852866,100,10395.1651291,130.19,98.6035236098,-96.2097403173,1.04792e-06,-95.3315,0.0126556,0.0106301
-159.146,1.04117,1.5229,96.8250017731,10356.7842844,95.2671,1,0.3,1.0348,-96.503506441,-96.503506441,0.00469839,100,0.01,0.486189,100,10356.7842844,130.3,96.0456185912,-96.503506441,3.31223e-06,-94.128,0.0147168,0.0354677
