AvgDiscRet,MinNormIw,ESSClassic,AvgNormIw,VanillaAvgRet,VarRet,eRenyi2,AvgRet,VarNormIw,VarDiscRet,ESSRenyi,AvgEpLen,MinVanillaIw,BatchSize,Bound,VarJ,MaxVanillaIw,VarVanillaIw,Delta,IterType,J,MaxNormIw,EpsThisIter,AvgVanillaIw
-7.357883100111869,0.0025,400.0,0.0024999997,-7.357883100111869,52.1889802816611,1.0,-7.357883100111869,5.434597e-20,52.1889802816611,500.0,200.0,1.0,500,-8.050238,7.0921025,1.0,,1.0,2,-8.050238,0.0025,100,1.0
-8.889980923321712,0.002,500.00000664260017,0.0020000003,-8.889980923321712,53.87077540643446,1.0,-8.889980923321712,5.431875e-20,53.87077540643446,500.0,200.0,1.0,500,-8.218186,7.142659,1.0,,1.0,1,-8.218186,0.002,100,1.0
-7.7227887492826275,0.01,100.0,0.009999998,-7.7227887492826275,44.40869629307667,1.0,-7.7227887492826275,3.5044917e-18,44.40869629307667,500.0,200.0,1.0,500,-7.722789,6.6305814,1.0,,1.0,2,-7.722789,0.01,100,1.0
-7.899753450368639,0.005,200.00000010221265,0.0049999994,-7.899753450368639,56.60418351317813,1.0,-7.899753450368639,2.179301e-19,56.60418351317813,500.0,200.0,1.0,500,-7.8112717,7.071718,1.0,,1.0,2,-7.8112717,0.005,100,1.0
-8.554605732422296,0.0033333334,299.999969473632,0.0033333336,-8.554605732422296,65.12888640409776,1.0,-8.554605732422296,5.4391416e-20,65.12888640409776,500.0,200.0,1.0,500,-8.05905,7.4131494,1.0,,1.0,2,-8.05905,0.0033333334,100,1.0
-8.187728159629668,0.0025,400.0,0.0024999997,-8.187728159629668,54.80100589355983,1.0,-8.187728159629668,5.434597e-20,54.80100589355983,500.0,200.0,1.0,500,-8.091219,7.4015164,1.0,,1.0,2,-8.091219,0.0025,100,1.0
-7.650853393430335,0.002,500.00000664260017,0.0020000003,-7.650853393430335,52.45569454696586,1.0,-7.650853393430335,5.431875e-20,52.45569454696586,500.0,200.0,1.0,500,-8.003146,7.365,1.0,,1.0,1,-8.003146,0.002,100,1.0
-8.506981453885341,0.01,100.0,0.009999998,-8.506981453885341,49.151403090404486,1.0,-8.506981453885341,3.5044917e-18,49.151403090404486,500.0,200.0,1.0,500,-8.506981,6.975664,1.0,,1.0,2,-8.506981,0.01,100,1.0
-7.252124155828155,0.005,200.00000010221265,0.0049999994,-7.252124155828155,47.9210815358442,1.0,-7.252124155828155,2.179301e-19,47.9210815358442,500.0,200.0,1.0,500,-7.8795524,6.9602118,1.0,,1.0,2,-7.8795524,0.005,100,1.0
-7.041539062361637,0.0033333334,299.999969473632,0.0033333336,-7.041539062361637,52.19949096811042,1.0,-7.041539062361637,5.4391416e-20,52.19949096811042,500.0,200.0,1.0,500,-7.600215,7.0482802,1.0,,1.0,2,-7.600215,0.0033333334,100,1.0
-7.349821876194377,0.0025,400.0,0.0024999997,-7.349821876194377,47.37714027948312,1.0,-7.349821876194377,5.434597e-20,47.37714027948312,500.0,200.0,1.0,500,-7.5376167,6.999735,1.0,,1.0,2,-7.5376167,0.0025,100,1.0
-7.945922765810351,0.002,500.00000664260017,0.0020000003,-7.945922765810351,59.41749166495911,1.0,-7.945922765810351,5.431875e-20,59.41749166495911,500.0,200.0,1.0,500,-7.6192784,7.140615,1.0,,1.0,1,-7.6192784,0.002,100,1.0
-8.70227235915493,0.01,100.0,0.009999998,-8.70227235915493,52.92103627381185,1.0,-8.70227235915493,3.5044917e-18,52.92103627381185,500.0,200.0,1.0,500,-8.702271,7.2382197,1.0,,1.0,2,-8.702271,0.01,100,1.0
-9.158099273283208,0.005,200.00000010221265,0.0049999994,-9.158099273283208,51.57144168087174,1.0,-9.158099273283208,2.179301e-19,51.57144168087174,500.0,200.0,1.0,500,-8.930185,7.1955347,1.0,,1.0,2,-8.930185,0.005,100,1.0
-6.556815119369594,0.0033333334,299.999969473632,0.0033333336,-6.556815119369594,44.92741757224704,1.0,-6.556815119369594,5.4391416e-20,44.92741757224704,500.0,200.0,1.0,500,-8.139062,7.113013,1.0,,1.0,2,-8.139062,0.0033333334,100,1.0
-8.649379878653322,0.0025,400.0,0.0024999997,-8.649379878653322,62.68129167132818,1.0,-8.649379878653322,5.434597e-20,62.68129167132818,500.0,200.0,1.0,500,-8.266642,7.314961,1.0,,1.0,2,-8.266642,0.0025,100,1.0
-7.820596598397845,0.002,500.00000664260017,0.0020000003,-7.820596598397845,51.47477077330668,1.0,-7.820596598397845,5.431875e-20,51.47477077330668,500.0,200.0,1.0,500,-8.177434,7.282223,1.0,,1.0,1,-8.177434,0.002,100,1.0
-6.563108844598577,0.01,100.0,0.009999998,-6.563108844598577,48.82304580299177,1.0,-6.563108844598577,3.5044917e-18,48.82304580299177,500.0,200.0,1.0,500,-6.563109,6.952325,1.0,,1.0,2,-6.563109,0.01,100,1.0
-8.857914036351055,0.005,200.00000010221265,0.0049999994,-8.857914036351055,54.195656930884255,1.0,-8.857914036351055,2.179301e-19,54.195656930884255,500.0,200.0,1.0,500,-7.7105103,7.23262,1.0,,1.0,2,-7.7105103,0.005,100,1.0
-8.608060369691213,0.0033333334,299.999969473632,0.0033333336,-8.608060369691213,51.01967803578629,1.0,-8.608060369691213,5.4391416e-20,51.01967803578629,500.0,200.0,1.0,500,-8.009695,7.2034283,1.0,,1.0,2,-8.009695,0.0033333334,100,1.0
-7.866876062648291,0.0025,400.0,0.0024999997,-7.866876062648291,51.36164413041391,1.0,-7.866876062648291,5.434597e-20,51.36164413041391,500.0,200.0,1.0,500,-7.9739895,7.1856008,1.0,,1.0,2,-7.9739895,0.0025,100,1.0
-8.063980445640524,0.002,500.00000664260017,0.0020000003,-8.063980445640524,51.79746983163434,1.0,-8.063980445640524,5.431875e-20,51.79746983163434,500.0,200.0,1.0,500,-7.991988,7.1807723,1.0,,1.0,1,-7.991988,0.002,100,1.0
-8.993674506056268,0.01,100.0,0.009999998,-8.993674506056268,58.91442424819556,1.0,-8.993674506056268,3.5044917e-18,58.91442424819556,500.0,200.0,1.0,500,-8.993674,7.637099,1.0,,1.0,2,-8.993674,0.01,100,1.0
-7.208981654487804,0.005,200.00000010221265,0.0049999994,-7.208981654487804,58.05214500012359,1.0,-7.208981654487804,2.179301e-19,58.05214500012359,500.0,200.0,1.0,500,-8.101328,7.6612487,1.0,,1.0,2,-8.101328,0.005,100,1.0
-8.620835627842071,0.0033333334,299.999969473632,0.0033333336,-8.620835627842071,52.66811623971612,1.0,-8.620835627842071,5.4391416e-20,52.66811623971612,500.0,200.0,1.0,500,-8.274497,7.521322,1.0,,1.0,2,-8.274497,0.0033333334,100,1.0
-8.38809769801375,0.0025,400.0,0.0024999997,-8.38809769801375,44.610629236391105,1.0,-8.38809769801375,5.434597e-20,44.610629236391105,500.0,200.0,1.0,500,-8.3028965,7.312404,1.0,,1.0,2,-8.3028965,0.0025,100,1.0
-7.82957243931296,0.002,500.00000664260017,0.0020000003,-7.82957243931296,57.23692587576402,1.0,-7.82957243931296,5.431875e-20,57.23692587576402,500.0,200.0,1.0,500,-8.208233,7.358381,1.0,,1.0,1,-8.208233,0.002,100,1.0
-8.110472717656098,0.01,100.0,0.009999998,-8.110472717656098,44.012437737190915,1.0,-8.110472717656098,3.5044917e-18,44.012437737190915,500.0,200.0,1.0,500,-8.110473,6.6009326,1.0,,1.0,2,-8.110473,0.01,100,1.0
-8.468575625771843,0.005,200.00000010221265,0.0049999994,-8.468575625771843,51.054994420260186,1.0,-8.468575625771843,2.179301e-19,51.054994420260186,500.0,200.0,1.0,500,-8.289524,6.862247,1.0,,1.0,2,-8.289524,0.005,100,1.0
-7.720114291129092,0.0033333334,299.999969473632,0.0033333336,-7.720114291129092,58.723830617749805,1.0,-7.720114291129092,5.4391416e-20,58.723830617749805,500.0,200.0,1.0,500,-8.099721,7.1305356,1.0,,1.0,2,-8.099721,0.0033333334,100,1.0
-7.244415449527756,0.0025,400.0,0.0024999997,-7.244415449527756,47.32938559699154,1.0,-7.244415449527756,5.434597e-20,47.32938559699154,500.0,200.0,1.0,500,-7.885894,7.0699787,1.0,,1.0,2,-7.885894,0.0025,100,1.0
-9.27948145807179,0.002,500.00000664260017,0.0020000003,-9.27948145807179,57.06134161130993,1.0,-9.27948145807179,5.431875e-20,57.06134161130993,500.0,200.0,1.0,500,-8.164613,7.1830745,1.0,,1.0,1,-8.164613,0.002,100,1.0
-8.894175677288427,0.01,100.0,0.009999998,-8.894175677288427,56.468711220999275,1.0,-8.894175677288427,3.5044917e-18,56.468711220999275,500.0,200.0,1.0,500,-8.894176,7.4768996,1.0,,1.0,2,-8.894176,0.01,100,1.0
-8.491970644665855,0.005,200.00000010221265,0.0049999994,-8.491970644665855,56.326620628522285,1.0,-8.491970644665855,2.179301e-19,56.326620628522285,500.0,200.0,1.0,500,-8.693073,7.4749002,1.0,,1.0,2,-8.693073,0.005,100,1.0
-7.188800598143115,0.0033333334,299.999969473632,0.0033333336,-7.188800598143115,49.33284113804881,1.0,-7.188800598143115,5.4391416e-20,49.33284113804881,500.0,200.0,1.0,500,-8.191649,7.3506536,1.0,,1.0,2,-8.191649,0.0033333334,100,1.0
-8.092333451225274,0.0025,400.0,0.0024999997,-8.092333451225274,54.976178271093424,1.0,-8.092333451225274,5.434597e-20,54.976178271093424,500.0,200.0,1.0,500,-8.166821,7.3574815,1.0,,1.0,2,-8.166821,0.0025,100,1.0
-8.220092070924151,0.002,500.00000664260017,0.0020000003,-8.220092070924151,50.56816693958125,1.0,-8.220092070924151,5.431875e-20,50.56816693958125,500.0,200.0,1.0,500,-8.177475,7.3019857,1.0,,1.0,1,-8.177475,0.002,100,1.0
