VarVanillaIw,AvgEpLen,MinNormIw,eRenyi2,ESSClassic,ESSRenyi,VarDiscRet,VanillaAvgRet,AvgDiscRet,Bound,MaxNormIw,Delta,VarRet,EpsThisIter,VarJ,AvgRet,AvgNormIw,VarNormIw,MinVanillaIw,IterType,BatchSize,J,AvgVanillaIw,MaxVanillaIw
1.33933e-05,500.0,0.00984216,1.00001,99.9986909932,99.9990344141,0.573869562991,-1133.82522713,-1133.82522713,-1247.56,0.0101099,0.5,0.573869562991,100,0.752873,-1133.82522713,0.01,1.34051e-09,0.983781,1,100,-1133.82,0.999558,1.01054
1.26821e-05,500.0,0.00994224,1.00001,99.9987485226,99.9985456678,0.71812973791,-1133.93282918,-1133.93282918,-1247.67,0.0100894,0.5,0.71812973791,100,0.842208,-1133.93282918,0.01,1.26875e-09,0.994011,1,100,-1133.93,0.999785,1.00873
2.59e-05,500.0,0.00991712,1.00002,99.99743825,99.9981999721,0.394208091669,-1133.80015248,-1133.80015248,-1247.39,0.0101699,0.5,0.394208091669,100,0.623557,-1133.80015248,0.01,2.58661e-09,0.992362,1,100,-1133.8,1.00065,1.01766
1.42575e-05,500.0,0.00993964,1.00001,99.9985778598,99.9990940176,0.377583819147,-1133.76072516,-1133.76072516,-1247.3,0.0101569,0.5,0.377583819147,100,0.610822,-1133.76072516,0.01,1.42429e-09,0.994472,1,100,-1133.76,1.00051,1.01621
1.53576e-05,500.0,0.00991755,1.00001,99.9984742171,99.9988794452,0.305351821458,-1133.69234025,-1133.69234025,-1247.24,0.0101939,0.5,0.305351821458,100,0.549262,-1133.69234025,0.01,1.5356e-09,0.991807,1,100,-1133.69,1.00005,1.01944
2.89773e-05,500.0,0.00977709,1.00002,99.9971408776,99.9975085879,0.74281257285,-1133.84528725,-1133.84528725,-1247.76,0.0101327,0.5,0.74281257285,100,0.854802,-1133.84528725,0.01,2.90174e-09,0.977033,1,100,-1133.84,0.999309,1.01257
9.46812e-06,500.0,0.009961,1.00001,99.9990876322,99.9988556039,0.735879393664,-1133.92091384,-1133.92091384,-1247.72,0.0101168,0.5,0.735879393664,100,0.852431,-1133.92091384,0.01,9.48187e-10,0.995378,1,100,-1133.92,0.999275,1.01095
1.13075e-05,500.0,0.00995608,1.00001,99.9988746274,99.9988675246,0.43606858524,-1133.8489669,-1133.8489669,-1247.45,0.0101501,0.5,0.43606858524,100,0.656525,-1133.8489669,0.01,1.13084e-09,0.995567,1,100,-1133.85,0.999959,1.01497
1.62582e-05,500.0,0.00993186,1.00001,99.9983829265,99.9988436833,0.436480492757,-1133.86266866,-1133.86266866,-1247.41,0.0101767,0.5,0.436480492757,100,0.656594,-1133.86266866,0.01,1.62514e-09,0.993394,1,100,-1133.86,1.00021,1.01789
1.72531e-05,500.0,0.0099357,1.00001,99.9982947984,99.9986052708,0.355395517404,-1133.8722897,-1133.8722897,-1247.38,0.010164,0.5,0.355395517404,100,0.592774,-1133.8722897,0.01,1.72542e-09,0.993539,1,100,-1133.87,0.999968,1.01636
1.38043e-05,500.0,0.0099064,1.00001,99.9986268829,99.9986171914,0.520979061714,-1133.83846607,-1133.83846607,-1247.55,0.0101214,0.5,0.520979061714,100,0.71658,-1133.83846607,0.01,1.38011e-09,0.990755,1,100,-1133.84,1.00012,1.01225
1.94885e-05,500.0,0.00994624,1.00002,99.9980459699,99.9980807673,0.348290447432,-1133.80306504,-1133.80306504,-1247.33,0.0102216,0.5,0.348290447432,100,0.586999,-1133.80306504,0.01,1.95071e-09,0.994149,1,100,-1133.8,0.999522,1.02167
1.18865e-05,500.0,0.00994128,1.00001,99.9988209167,99.99878408,0.379985102272,-1133.83913,-1133.83913,-1247.4,0.0100969,0.5,0.379985102272,100,0.612812,-1133.83913,0.01,1.18936e-09,0.993831,1,100,-1133.84,0.999701,1.00939
1.35114e-05,500.0,0.00994036,1.00001,99.9986652532,99.9987006356,0.430494508738,-1133.81466562,-1133.81466562,-1247.42,0.0101184,0.5,0.430494508738,100,0.651963,-1133.81466562,0.01,1.35036e-09,0.994322,1,100,-1133.81,1.00029,1.01213
1.08994e-05,500.0,0.00989533,1.00001,99.9989279499,99.9992132249,0.401630175958,-1133.83476181,-1133.83476181,-1247.41,0.0101009,0.5,0.401630175958,100,0.629505,-1133.83476181,0.01,1.0902e-09,0.989414,1,100,-1133.83,0.99988,1.00997
3.34498e-05,500.0,0.0098487,1.00003,99.9967126214,99.9972105804,0.500633409828,-1133.78367383,-1133.78367383,-1247.55,0.0102054,0.5,0.500633409828,100,0.701304,-1133.78367383,0.01,3.34332e-09,0.985113,1,100,-1133.78,1.00025,1.02079
1.05138e-05,500.0,0.00984742,1.00001,99.9989544444,99.9992132249,0.426313838643,-1133.81446119,-1133.81446119,-1247.41,0.0100692,0.5,0.426313838643,100,0.648622,-1133.81446119,0.01,1.05205e-09,0.984425,1,100,-1133.81,0.999678,1.0066
5.61171e-06,500.0,0.00997018,1.00001,99.9994772765,99.9994754819,0.407993004196,-1133.73124957,-1133.73124957,-1247.39,0.0101339,0.5,0.407993004196,100,0.635229,-1133.73124957,0.01,5.61411e-10,0.996804,1,100,-1133.73,0.999786,1.01317
1.11783e-05,500.0,0.00990392,1.00001,99.9989129043,99.9986529532,0.72970632645,-1133.76785959,-1133.76785959,-1247.59,0.0100904,0.5,0.72970632645,100,0.846903,-1133.76785959,0.01,1.11765e-09,0.990469,1,100,-1133.77,1.00008,1.00912
1.0993e-05,500.0,0.00991004,1.00001,99.9989165661,99.9992132249,0.868331554537,-1133.78732239,-1133.78732239,-1247.83,0.0101356,0.5,0.868331554537,100,0.924492,-1133.78732239,0.01,1.09944e-09,0.990941,1,100,-1133.79,0.999937,1.01349
9.69954e-06,500.0,0.00993042,1.00001,99.9990350129,99.9992609079,0.707345744209,-1133.7597588,-1133.7597588,-1247.55,0.0101157,0.5,0.707345744209,100,0.833932,-1133.7597588,0.01,9.69702e-10,0.993169,1,100,-1133.76,1.00013,1.0117
10923.3,500.0,7.99417e-05,1.0,1.08337345451,99.9999165536,0.742178307792,-1133.97000987,-1133.97000987,-1247.08,0.960733,0.5,0.742178307792,100,0.181659,-1133.97000987,0.01,0.00922266,0.0870004,1,100,-1133.26,10.883,1045.56
1.39767e-05,500.0,0.00990836,1.00001,99.9986110926,99.9989867313,0.873162708272,-1133.60583068,-1133.60583068,-1247.77,0.0100919,0.5,0.873162708272,100,0.924499,-1133.60583068,0.01,1.39841e-09,0.99057,1,100,-1133.6,0.999732,1.00892
1.10299e-05,500.0,0.00992944,1.00001,99.9989241793,99.9990105727,0.705933697074,-1133.688064,-1133.688064,-1247.49,0.0101088,0.5,0.705933697074,100,0.833638,-1133.688064,0.01,1.10316e-09,0.992866,1,100,-1133.69,0.999921,1.0108
0.000146392,500.0,0.00910922,1.00009,99.985545808,99.991095859,1.6227353434,-1133.65446489,-1133.65446489,-1248.17,0.0101332,0.5,1.6227353434,100,1.17418,-1133.65446489,0.01,1.46275e-08,0.911285,1,100,-1133.64,1.0004,1.01372
