MaxVanillaIw,VarRet,Delta,BatchSize,AvgRet,ESSClassic,MinVanillaIw,AvgVanillaIw,VarJ,AvgNormIw,AvgDiscRet,VarDiscRet,ESSRenyi,MaxNormIw,Bound,eRenyi2,EpsThisIter,MinNormIw,VarNormIw,IterType,VanillaAvgRet,VarVanillaIw,AvgEpLen,J
1.43351,2606.40991522,0.2,200,-69.6844314459,195.591404985,0.581819,0.985705,54.8836,0.005,-69.6844314459,2606.40991522,195.57110644,0.0072715,-131.63,1.02265,100,0.00295128,5.6633e-07,1,-69.6844314459,0.0220102,99.6,-71.9732
1.0,2566.89795035,0.2,200,-69.4935280055,100.0,1.0,1.0,50.4106,0.01,-69.4935280055,2566.89795035,200.0,0.01,-152.893,1.0,100,0.01,3.50449e-18,2,-69.4935280055,,99.02,-69.4935
1.28669,3758.05969618,0.2,200,-75.2123727454,199.384615402,0.795074,0.997593,54.858,0.005,-75.2123727454,3758.05969618,199.48882909,0.00644899,-131.267,1.00256,100,0.00398496,7.75413e-08,1,-75.2123727454,0.00308674,106.31,-72.1992
1.0,8328.81936098,0.2,200,-88.0061036459,100.0,1.0,1.0,90.8049,0.01,-88.0061036459,8328.81936098,200.0,0.01,-171.434,1.0,100,0.01,3.50449e-18,2,-88.0061036459,,120.6,-88.0061
1.76735,3798.11180076,0.2,200,-72.9165548745,196.417562072,0.591329,0.995712,72.979,0.005,-72.9165548745,3798.11180076,195.656977163,0.00887483,-138.792,1.0222,100,0.00296938,4.5826e-07,1,-72.9165548745,0.0181735,103.22,-79.1483
1.0,7236.81643675,0.2,200,-84.451765061,100.0,1.0,1.0,84.6431,0.01,-84.451765061,7236.81643675,200.0,0.01,-167.88,1.0,100,0.01,3.50449e-18,2,-84.451765061,,116.06,-84.4518
1.51737,2572.73951376,0.2,200,-71.4542794649,196.681153085,0.883956,1.00928,65.0293,0.005,-71.4542794649,2572.73951376,196.924787367,0.00751712,-136.369,1.01562,100,0.00437915,4.23979e-07,1,-71.4542794649,0.0172753,101.88,-76.9172
1.0,3817.8283979,0.2,200,-73.801753342,100.0,1.0,1.0,61.4789,0.01,-73.801753342,3817.8283979,200.0,0.01,-157.23,1.0,100,0.01,3.50449e-18,2,-73.801753342,,104.4,-73.8018
1.33491,6107.69802789,0.2,200,-80.9356422439,192.031347804,0.443195,0.998821,62.5703,0.005,-80.9356422439,6107.69802789,192.746762828,0.00668242,-135.311,1.03763,100,0.00221859,1.04263e-06,1,-80.9356422439,0.0416069,112.46,-75.2191
1.0,6069.32070085,0.2,200,-82.0098578745,100.0,1.0,1.0,77.5153,0.01,-82.0098578745,6069.32070085,200.0,0.01,-165.438,1.0,100,0.01,3.50449e-18,2,-82.0098578745,,114.46,-82.0099
1.43233,6116.06903424,0.2,200,-80.3545640272,196.106737363,0.495032,0.992154,74.8024,0.005,-80.3545640272,6116.06903424,196.43729139,0.00721828,-139.577,1.01814,100,0.00249474,4.98815e-07,1,-80.3545640272,0.0196407,111.68,-80.0516
1.0,4991.99704315,0.2,200,-76.7967171629,100.0,1.0,1.0,70.2999,0.01,-76.7967171629,4991.99704315,200.0,0.01,-160.225,1.0,100,0.01,3.50449e-18,2,-76.7967171629,,107.27,-76.7967
1.97081,7305.08769786,0.2,200,-82.5383286408,195.090699269,0.874179,1.00903,73.467,0.005,-82.5383286408,7305.08769786,196.596257981,0.00976589,-138.112,1.01731,100,0.0043318,6.32276e-07,1,-82.5383286408,0.0257496,113.86,-78.6104
1.0,3790.68881658,0.2,200,-73.0802900884,100.0,1.0,1.0,61.26,0.01,-73.0802900884,3790.68881658,200.0,0.01,-156.509,1.0,100,0.01,3.50449e-18,2,-73.0802900884,,103.4,-73.0803
1.19451,2598.34104673,0.2,200,-69.2748515007,196.750379257,0.548509,0.992559,53.5332,0.005,-69.2748515007,2598.34104673,197.497580018,0.00601735,-129.841,1.01267,100,0.00276311,4.14985e-07,1,-69.2748515007,0.0163533,98.64,-70.476
1.0,4939.45806597,0.2,200,-78.2428039315,100.0,1.0,1.0,69.929,0.01,-78.2428039315,4939.45806597,200.0,0.01,-161.671,1.0,100,0.01,3.50449e-18,2,-78.2428039315,,109.83,-78.2428
1.41289,7241.98601695,0.2,200,-84.2302332065,193.66500657,0.457037,0.997186,70.7421,0.005,-84.2302332065,7241.98601695,193.718350285,0.00708436,-139.321,1.03243,100,0.00229163,8.21885e-07,1,-84.2302332065,0.0326907,116.28,-79.3791
1.0,6117.05539339,0.2,200,-80.1650704215,100.0,1.0,1.0,77.8196,0.01,-80.1650704215,6117.05539339,200.0,0.01,-163.593,1.0,100,0.01,3.50449e-18,2,-80.1650704215,,111.48,-80.1651
2.07158,6105.48205477,0.2,200,-81.7961617981,190.642056244,0.498053,1.01796,68.7309,0.005,-81.7961617981,6105.48205477,190.40723949,0.0101751,-138.433,1.05038,100,0.00244632,1.23333e-06,1,-81.7961617981,0.0511216,113.69,-77.9728
1.0,104.531596372,0.2,200,-62.5728603776,100.0,1.0,1.0,10.1728,0.01,-62.5728603776,104.531596372,200.0,0.01,-80.1831,1.0,100,0.01,3.50449e-18,2,-62.5728603776,,91.49,-62.5729
1.28003,6145.48458126,0.2,200,-79.397285012,198.156168015,0.801028,1.00063,53.7646,0.005,-79.397285012,6145.48458126,198.015293141,0.00639616,-129.661,1.01002,100,0.00400264,2.33799e-07,1,-79.397285012,0.00936366,110.37,-70.3744
1.0,6107.20030095,0.2,200,-81.0681578004,100.0,1.0,1.0,77.7569,0.01,-81.0681578004,6107.20030095,200.0,0.01,-164.492,1.0,100,0.01,3.50449e-18,2,-81.0681578004,,112.78,-81.0682
1.31523,1351.07485874,0.2,200,-65.5079709201,196.716684932,0.516637,1.0136,55.8275,0.005,-65.5079709201,1351.07485874,196.383715988,0.00648793,-131.698,1.01841,100,0.00254852,4.19371e-07,1,-65.5079709201,0.0172343,94.86,-72.1658
1.0,2579.29056289,0.2,200,-70.1606096299,100.0,1.0,1.0,50.5321,0.01,-70.1606096299,2579.29056289,200.0,0.01,-153.588,1.0,100,0.01,3.50449e-18,2,-70.1606096299,,100.35,-70.1606
1.25993,2568.0129264,0.2,200,-70.7193330964,196.65522524,0.638304,0.993122,45.4778,0.005,-70.7193330964,2568.0129264,196.350481741,0.0063433,-128.839,1.01859,100,0.00321362,4.2735e-07,1,-70.7193330964,0.0168597,101.15,-69.3003
1.0,6146.80683122,0.2,200,-79.9431714995,100.0,1.0,1.0,78.0086,0.01,-79.9431714995,6146.80683122,200.0,0.01,-163.372,1.0,100,0.01,3.50449e-18,2,-79.9431714995,,111.29,-79.9432
