AvgEpLen,MaxVanillaIw,VarNormIw,EpsThisIter,Bound,eRenyi2,VarRet,MaxNormIw,VarDiscRet,MinVanillaIw,AvgNormIw,VarJ,VanillaAvgRet,AvgRet,AvgDiscRet,Delta,VarVanillaIw,AvgVanillaIw,J,ESSClassic,IterType,MinNormIw,BatchSize,ESSRenyi
495.02,32.469353,1.0072432e-05,100,4977.694,163.5713,249000.22960210437,0.05658095,249000.22960210437,0.14478055,0.002,210.78946,4950.073262771177,4950.073262771177,4950.073262771177,1.0,3.316967,1.1477133,4977.694,142.3256133250923,1,0.00025229395,500,3.0567708808990908
495.01,1.0,3.5044917e-18,100,4949.9673,1.0,249996.76026935346,0.01,249996.76026935346,1.0,0.009999998,497.49045,4949.967916623622,4949.967916623622,4949.967916623622,1.0,,1.0,4949.9673,100.0,2,0.01,500,500.0
500.0,1.0,2.179301e-19,100,4974.971,1.0,0.0008137517251239461,0.005,0.0008137517251239461,1.0,0.0049999994,352.66638,4999.97433016689,4999.97433016689,4999.97433016689,1.0,,1.0,4974.971,200.00000010221265,2,0.005,500,500.0
495.01,1.0,5.4391416e-20,100,4966.6396,1.0,249997.52566658874,0.0033333334,249997.52566658874,1.0,0.0033333336,406.88297,4949.975496926042,4949.975496926042,4949.975496926042,1.0,,1.0,4966.6396,299.999969473632,2,0.0033333334,500,500.0
490.03,1.0,5.434597e-20,100,4949.999,1.0,493958.31521137414,0.0025,493958.31521137414,1.0,0.0024999997,497.24307,4900.078619146381,4900.078619146381,4900.078619146381,1.0,,1.0,4949.999,400.0,2,0.0025,500,500.0
495.01,2.6474247e-05,0.0019996935,100,4999.9854,17.60643,249997.47386413568,0.9999235,249997.47386413568,,0.0019999999,0.010917477,4949.974984801977,4949.974984801977,4949.974984801977,1.0,1.4017715e-12,5.2952544e-08,4999.9854,1.000152949592476,1,,500,28.39871560984699
500.0,1.0,3.5044917e-18,100,4999.97,1.0,0.0008782832033611791,0.01,0.0008782832033611791,1.0,0.009999998,0.029483698,4999.970557729654,4999.970557729654,4999.970557729654,1.0,,1.0,4999.97,100.0,2,0.01,500,500.0
500.0,1.0,2.179301e-19,100,4999.9736,1.0,0.00069078876727318,0.005,0.00069078876727318,1.0,0.0049999994,0.028062727,4999.97690406859,4999.97690406859,4999.97690406859,1.0,,1.0,4999.9736,200.00000010221265,2,0.005,500,500.0
490.03,1.0,5.4391416e-20,100,4966.6733,1.0,493956.9505745815,0.0033333334,493956.9505745815,1.0,0.0033333336,406.4771,4900.071703273686,4900.071703273686,4900.071703273686,1.0,,1.0,4966.6733,299.999969473632,2,0.0033333334,500,500.0
500.0,1.0,5.434597e-20,100,4974.999,1.0,0.000721582970698562,0.0025,0.000721582970698562,1.0,0.0024999997,352.3148,4999.975788428929,4999.975788428929,4999.975788428929,1.0,,1.0,4974.999,400.0,2,0.0025,500,500.0
495.01,16.773663,8.094319e-06,100,4995.097,1.3544033e+17,249997.37011967663,0.033268373,249997.37011967663,0.00015877702,0.0019999999,89.9219,4949.973957253733,4949.973957253733,4949.973957253733,1.0,2.0576572,1.008385,4995.097,165.5885514034214,1,3.1491354e-07,500,3.6916625017341175e-15
490.03,1.0,3.5044917e-18,100,4900.0723,1.0,493957.1388360383,0.01,493957.1388360383,1.0,0.009999998,699.2979,4900.072929821356,4900.072929821356,4900.072929821356,1.0,,1.0,4900.0723,100.0,2,0.01,500,500.0
500.0,1.0,2.179301e-19,100,4950.0205,1.0,0.0012331114484036947,0.005,0.0012331114484036947,1.0,0.0049999994,496.9946,4999.969343125567,4999.969343125567,4999.969343125567,1.0,,1.0,4950.0205,200.00000010221265,2,0.005,500,500.0
495.01,1.0,5.4391416e-20,100,4950.0044,1.0,249997.09964303861,0.0033333334,249997.09964303861,1.0,0.0033333336,497.16006,4949.971276469752,4949.971276469752,4949.971276469752,1.0,,1.0,4950.0044,299.999969473632,2,0.0033333334,500,500.0
475.07,1.0,5.434597e-20,100,4900.048,1.0,1197570.0424177058,0.0025,1197570.0424177058,1.0,0.0024999997,699.4725,4750.176854783303,4750.176854783303,4750.176854783303,1.0,,1.0,4900.048,400.0,2,0.0025,500,500.0
495.02,62.423252,5.913395e-05,100,4990.473,21544493000000.0,249000.5452647801,0.12026935,249000.5452647801,1.342053e-12,0.002,129.58511,4950.076295846292,4950.076295846292,4950.076295846292,1.0,15.930143,1.0380574,4990.473,31.738136864154782,1,2.5857006e-15,500,2.3207786374719355e-11
500.0,1.0,3.5044917e-18,100,4999.974,1.0,0.0007314304520541456,0.01,0.0007314304520541456,1.0,0.009999998,0.02690208,4999.974320194514,4999.974320194514,4999.974320194514,1.0,,1.0,4999.974,100.0,2,0.01,500,500.0
490.03,1.0,2.179301e-19,100,4950.0215,1.0,493956.37455985404,0.005,493956.37455985404,1.0,0.0049999994,496.99463,4900.069168616247,4900.069168616247,4900.069168616247,1.0,,1.0,4950.0215,200.00000010221265,2,0.005,500,500.0
500.0,1.0,5.4391416e-20,100,4966.6724,1.0,0.0010478369892759085,0.0033333334,0.0010478369892759085,1.0,0.0033333336,406.477,4999.973792268629,4999.973792268629,4999.973792268629,1.0,,1.0,4966.6724,299.999969473632,2,0.0033333334,500,500.0
490.02,1.0,5.434597e-20,100,4949.998,1.0,494944.4954175122,0.0025,494944.4954175122,1.0,0.0024999997,497.24295,4899.975248540212,4899.975248540212,4899.975248540212,1.0,,1.0,4949.998,400.0,2,0.0025,500,500.0
495.02,454.86768,0.002,100,4999.993,2285.3684,249000.47850721996,1.0,249000.47850721996,,0.002,,4950.076190413414,4950.076190413414,4950.076190413414,1.0,413.80923,0.9097353,4999.993,1.0,1,,500,0.21878310656841796
500.0,1.0,3.5044917e-18,100,4999.9697,1.0,0.0006769769490943277,0.01,0.0006769769490943277,1.0,0.009999998,0.025890144,4999.969759637231,4999.969759637231,4999.969759637231,1.0,,1.0,4999.9697,100.0,2,0.01,500,500.0
500.0,1.0,2.179301e-19,100,4999.971,1.0,0.0008730512368104933,0.005,0.0008730512368104933,1.0,0.0049999994,0.02773173,4999.972812721694,4999.972812721694,4999.972812721694,1.0,,1.0,4999.971,200.00000010221265,2,0.005,500,500.0
495.01,1.0,5.4391416e-20,100,4983.306,1.0,249997.47270930032,0.0033333334,249997.47270930032,1.0,0.0033333336,288.192,4949.974972601905,4949.974972601905,4949.974972601905,1.0,,1.0,4983.306,299.999969473632,2,0.0033333334,500,500.0
500.0,1.0,5.434597e-20,100,4987.4727,1.0,0.0009508319303733508,0.0025,0.0009508319303733508,1.0,0.0024999997,249.6859,4999.971889227986,4999.971889227986,4999.971889227986,1.0,,1.0,4987.4727,400.0,2,0.0025,500,500.0
495.02,8.614889,2.6152777e-06,100,4997.7764,1.6844192,249000.13784139062,0.016523035,249000.13784139062,0.006421826,0.0020000003,38.535057,4950.072098346278,4950.072098346278,4950.072098346278,1.0,0.71094745,1.0427732,4997.7764,302.569657065656,1,1.2316822e-05,500,296.83822965319297
495.02,1.0,3.5044917e-18,100,4950.0723,1.0,249000.1832545334,0.01,249000.1832545334,1.0,0.009999998,496.49786,4950.072211066748,4950.072211066748,4950.072211066748,1.0,,1.0,4950.0723,100.0,2,0.01,500,500.0
500.0,1.0,2.179301e-19,100,4975.0215,1.0,0.0008054835398175414,0.005,0.0008054835398175414,1.0,0.0049999994,351.9624,4999.970784394474,4999.970784394474,4999.970784394474,1.0,,1.0,4975.0215,200.00000010221265,2,0.005,500,500.0
490.02,1.0,5.4391416e-20,100,4950.006,1.0,494943.9207152817,0.0033333334,494943.9207152817,1.0,0.0033333336,497.1601,4899.972402417675,4899.972402417675,4899.972402417675,1.0,,1.0,4950.006,299.999969473632,2,0.0033333334,500,500.0
490.02,1.0,5.434597e-20,100,4937.4976,1.0,494944.32568308205,0.0025,494944.32568308205,1.0,0.0024999997,555.2875,4899.974408817213,4899.974408817213,4899.974408817213,1.0,,1.0,4937.4976,400.0,2,0.0025,500,500.0
500.0,7.2872233,1.7002191e-06,100,4971.283,1.4923133,0.0007176172593530769,0.014250708,0.0007176172593530769,0.27070838,0.002,289.73294,4999.973784416285,4999.973784416285,4999.973784416285,1.0,0.4445864,1.0227174,4971.283,351.0731226421011,1,0.0005293904,500,335.05029504096797
500.0,1.0,3.5044917e-18,100,4999.968,1.0,0.0008777721670478763,0.01,0.0008777721670478763,1.0,0.009999998,0.029472051,4999.967508330601,4999.967508330601,4999.967508330601,1.0,,1.0,4999.968,100.0,2,0.01,500,500.0
500.0,1.0,2.179301e-19,100,4999.9707,1.0,0.0005096120838147393,0.005,0.0005096120838147393,1.0,0.0049999994,0.026450988,4999.974568475359,4999.974568475359,4999.974568475359,1.0,,1.0,4999.9707,200.00000010221265,2,0.005,500,500.0
500.0,1.0,5.4391416e-20,100,4999.972,1.0,0.0008593767508939281,0.0033333334,0.0008593767508939281,1.0,0.0033333336,0.027456217,4999.975386594559,4999.975386594559,4999.975386594559,1.0,,1.0,4999.972,299.999969473632,2,0.0033333334,500,500.0
500.0,1.0,5.434597e-20,100,4999.9736,1.0,0.000792430824146358,0.0025,0.000792430824146358,1.0,0.0024999997,0.027638735,4999.976282596251,4999.976282596251,4999.976282596251,1.0,,1.0,4999.9736,400.0,2,0.0025,500,500.0
490.03,48.026123,0.00024658526,100,4999.988,213298.27,493956.4435962246,0.22018087,493956.4435962246,,0.002,0.07298739,4900.069971583818,4900.069971583818,4900.069971583818,1.0,11.731754,0.43624246,4999.988,7.997053534122169,1,,500,0.0023441353286906266
495.02,1.0,3.5044917e-18,100,4950.075,1.0,249000.57414783695,0.01,249000.57414783695,1.0,0.009999998,496.49832,4950.075373318886,4950.075373318886,4950.075373318886,1.0,,1.0,4950.075,100.0,2,0.01,500,500.0
495.02,1.0,2.179301e-19,100,4950.073,1.0,249000.1662796546,0.005,249000.1662796546,1.0,0.0049999994,496.4981,4950.07178905966,4950.07178905966,4950.07178905966,1.0,,1.0,4950.073,200.00000010221265,2,0.005,500,500.0
485.04,1.0,5.4391416e-20,100,4916.74,1.0,733863.679495049,0.0033333334,733863.679495049,1.0,0.0033333336,639.3258,4850.073806155285,4850.073806155285,4850.073806155285,1.0,,1.0,4916.74,299.999969473632,2,0.0033333334,500,500.0
500.0,1.0,5.434597e-20,100,4937.55,1.0,0.0005478271786982367,0.0025,0.0005478271786982367,1.0,0.0024999997,554.8442,4999.976374936417,4999.976374936417,4999.976374936417,1.0,,1.0,4937.55,400.0,2,0.0025,500,500.0
500.0,1.024102,1.2527927e-10,100,4950.4526,1.0000302,0.000994685478546601,0.0020476077,0.000994685478546601,0.97656536,0.002,492.78156,4999.971004327453,4999.971004327453,4999.971004327453,1.0,3.1338044e-05,1.0002912,4950.4526,499.9843647210273,1,0.001952562,500,499.9849204796694
500.0,1.0,3.5044917e-18,100,4999.9688,1.0,0.0011126260814367838,0.01,0.0011126260814367838,1.0,0.009999998,0.033192568,4999.968997158642,4999.968997158642,4999.968997158642,1.0,,1.0,4999.9688,100.0,2,0.01,500,500.0
495.01,1.0,2.179301e-19,100,4974.972,1.0,249997.5012209916,0.005,249997.5012209916,1.0,0.0049999994,352.66644,4949.975253592916,4949.975253592916,4949.975253592916,1.0,,1.0,4974.972,200.00000010221265,2,0.005,500,500.0
495.01,1.0,5.4391416e-20,100,4966.6406,1.0,249997.51926875618,0.0033333334,249997.51926875618,1.0,0.0033333336,406.883,4949.975432375297,4949.975432375297,4949.975432375297,1.0,,1.0,4966.6406,299.999969473632,2,0.0033333334,500,500.0
495.02,1.0,5.434597e-20,100,4962.4985,1.0,249000.277944855,0.0025,249000.277944855,1.0,0.0024999997,431.09674,4950.0732781069455,4950.0732781069455,4950.0732781069455,1.0,,1.0,4962.4985,400.0,2,0.0025,500,500.0
500.0,1.0,5.431875e-20,100,4969.9937,1.0,0.000763393120543336,0.002,0.000763393120543336,1.0,0.0020000003,385.8759,4999.972521971369,4999.972521971369,4999.972521971369,1.0,,1.0,4969.9937,500.00000664260017,1,0.002,500,500.0
495.02,1.0,3.5044917e-18,100,4950.0728,1.0,249000.30905122386,0.01,249000.30905122386,1.0,0.009999998,496.49808,4950.073113929964,4950.073113929964,4950.073113929964,1.0,,1.0,4950.0728,100.0,2,0.01,500,500.0
500.0,1.0,2.179301e-19,100,4975.022,1.0,0.0009979159133373108,0.005,0.0009979159133373108,1.0,0.0049999994,351.96246,4999.971082241254,4999.971082241254,4999.971082241254,1.0,,1.0,4975.022,200.00000010221265,2,0.005,500,500.0
495.01,1.0,5.4391416e-20,100,4966.6724,1.0,249997.36320727837,0.0033333334,249997.36320727837,1.0,0.0033333336,406.47708,4949.973887193205,4949.973887193205,4949.973887193205,1.0,,1.0,4966.6724,299.999969473632,2,0.0033333334,500,500.0
495.01,1.0,5.434597e-20,100,4962.499,1.0,249997.56548199573,0.0025,249997.56548199573,1.0,0.0024999997,431.09674,4949.97589072754,4949.97589072754,4949.97589072754,1.0,,1.0,4962.499,400.0,2,0.0025,500,500.0
495.01,1.0,5.431875e-20,100,4959.994,1.0,249997.00324654757,0.002,249997.00324654757,1.0,0.0020000003,445.19666,4949.970324739103,4949.970324739103,4949.970324739103,1.0,,1.0,4959.994,500.00000664260017,1,0.002,500,500.0
495.02,1.0,3.5044917e-18,100,4950.0737,1.0,249000.37297129168,0.01,249000.37297129168,1.0,0.009999998,496.49814,4950.073942507425,4950.073942507425,4950.073942507425,1.0,,1.0,4950.0737,100.0,2,0.01,500,500.0
490.03,1.0,2.179301e-19,100,4925.073,1.0,493957.13759223226,0.005,493957.13759223226,1.0,0.0049999994,606.9506,4900.072881251586,4900.072881251586,4900.072881251586,1.0,,1.0,4925.073,200.00000010221265,2,0.005,500,500.0
500.0,1.0,5.4391416e-20,100,4950.0396,1.0,0.000674836973354664,0.0033333334,0.000674836973354664,1.0,0.0033333336,496.82928,4999.973061478904,4999.973061478904,4999.973061478904,1.0,,1.0,4950.0396,299.999969473632,2,0.0033333334,500,500.0
495.02,1.0,5.434597e-20,100,4950.05,1.0,249000.6847974175,0.0025,249000.6847974175,1.0,0.0024999997,496.74658,4950.076732401225,4950.076732401225,4950.076732401225,1.0,,1.0,4950.05,400.0,2,0.0025,500,500.0
495.01,1.0000153,2.4019858e-17,100,4950.0356,1.0,249997.58517301132,0.00200003,249997.58517301132,0.99998856,0.0019999999,496.89462,4949.976086994649,4949.976086994649,4949.976086994649,1.0,5.9355238e-12,1.0000004,4950.0356,500.0000316566315,1,0.0019999763,500,500.0
495.01,1.0,3.5044917e-18,100,4949.9736,1.0,249997.3483880471,0.01,249997.3483880471,1.0,0.009999998,497.49103,4949.973740684215,4949.973740684215,4949.973740684215,1.0,,1.0,4949.9736,100.0,2,0.01,500,500.0
495.01,1.0,2.179301e-19,100,4949.9727,1.0,249997.1124331106,0.005,249997.1124331106,1.0,0.0049999994,497.49094,4949.971405176859,4949.971405176859,4949.971405176859,1.0,,1.0,4949.9727,200.00000010221265,2,0.005,500,500.0
495.01,1.0,5.4391416e-20,100,4949.9717,1.0,249996.91706212223,0.0033333334,249996.91706212223,1.0,0.0033333336,497.4908,4949.969468115971,4949.969468115971,4949.969468115971,1.0,,1.0,4949.9717,299.999969473632,2,0.0033333334,500,500.0
490.02,1.0,5.434597e-20,100,4937.474,1.0,494945.33972178475,0.0025,494945.33972178475,1.0,0.0024999997,555.50916,4899.979429079439,4899.979429079439,4899.979429079439,1.0,,1.0,4937.474,400.0,2,0.0025,500,500.0
500.0,1.0,5.431875e-20,100,4949.9746,1.0,0.0008550971117346751,0.002,0.0008550971117346751,1.0,0.0020000003,497.49106,4999.972831925457,4999.972831925457,4999.972831925457,1.0,,1.0,4949.9746,500.00000664260017,1,0.002,500,500.0
495.02,1.0,3.5044917e-18,100,4950.071,1.0,249000.11752097562,0.01,249000.11752097562,1.0,0.009999998,496.4979,4950.071337587771,4950.071337587771,4950.071337587771,1.0,,1.0,4950.071,100.0,2,0.01,500,500.0
490.03,1.0,2.179301e-19,100,4925.073,1.0,493957.53345177113,0.005,493957.53345177113,1.0,0.0049999994,606.9505,4900.074568319075,4900.074568319075,4900.074568319075,1.0,,1.0,4925.073,200.00000010221265,2,0.005,500,500.0
500.0,1.0,5.4391416e-20,100,4950.0396,1.0,0.0010430160499716708,0.0033333334,0.0010430160499716708,1.0,0.0033333336,496.8292,4999.9703193033865,4999.9703193033865,4999.9703193033865,1.0,,1.0,4950.0396,299.999969473632,2,0.0033333334,500,500.0
485.05,1.0,5.434597e-20,100,4925.073,1.0,732887.514588857,0.0025,732887.514588857,1.0,0.0024999997,606.9505,4850.175960462672,4850.175960462672,4850.175960462672,1.0,,1.0,4925.073,400.0,2,0.0025,500,500.0
495.01,1.0,5.431875e-20,100,4930.0547,1.0,249997.7825176267,0.002,249997.7825176267,1.0,0.0020000003,586.7793,4949.978041066219,4949.978041066219,4949.978041066219,1.0,,1.0,4930.0547,500.00000664260017,1,0.002,500,500.0
495.02,1.0,3.5044917e-18,100,4950.077,1.0,249000.7254189307,0.01,249000.7254189307,1.0,0.009999998,496.4985,4950.077493603268,4950.077493603268,4950.077493603268,1.0,,1.0,4950.077,100.0,2,0.01,500,500.0
495.02,1.0,2.179301e-19,100,4950.075,1.0,249000.37975689504,0.005,249000.37975689504,1.0,0.0049999994,496.4983,4950.073226951068,4950.073226951068,4950.073226951068,1.0,,1.0,4950.075,200.00000010221265,2,0.005,500,500.0
490.03,1.0,5.4391416e-20,100,4933.407,1.0,493956.73818749684,0.0033333334,493956.73818749684,1.0,0.0033333336,572.627,4900.071764150923,4900.071764150923,4900.071764150923,1.0,,1.0,4933.407,299.999969473632,2,0.0033333334,500,500.0
490.03,1.0,5.434597e-20,100,4925.0747,1.0,493957.6002572871,0.0025,493957.6002572871,1.0,0.0024999997,606.9506,4900.075013441957,4900.075013441957,4900.075013441957,1.0,,1.0,4925.0747,400.0,2,0.0025,500,500.0
495.02,1.0,5.431875e-20,100,4930.075,1.0,249000.63348005118,0.002,249000.63348005118,1.0,0.0020000003,586.6119,4950.076408721088,4950.076408721088,4950.076408721088,1.0,,1.0,4930.075,500.00000664260017,1,0.002,500,500.0
500.0,1.0,3.5044917e-18,100,4999.9775,1.0,0.000693170167956296,0.01,0.000693170167956296,1.0,0.009999998,0.026222477,4999.97740900096,4999.97740900096,4999.97740900096,1.0,,1.0,4999.9775,100.0,2,0.01,500,500.0
500.0,1.0,2.179301e-19,100,4999.9746,1.0,0.0008196138843041415,0.005,0.0008196138843041415,1.0,0.0049999994,0.027594566,4999.97067753583,4999.97067753583,4999.97067753583,1.0,,1.0,4999.9746,200.00000010221265,2,0.005,500,500.0
490.03,1.0,5.4391416e-20,100,4966.6743,1.0,493957.2012264376,0.0033333334,493957.2012264376,1.0,0.0033333336,406.47717,4900.073745033721,4900.073745033721,4900.073745033721,1.0,,1.0,4966.6743,299.999969473632,2,0.0033333334,500,500.0
500.0,1.0,5.434597e-20,100,4974.999,1.0,0.0007802402326146021,0.0025,0.0007802402326146021,1.0,0.0024999997,352.31476,4999.973788176203,4999.973788176203,4999.973788176203,1.0,,1.0,4974.999,400.0,2,0.0025,500,500.0
500.0,1.0,5.431875e-20,100,4979.9937,1.0,0.0008771825679112619,0.002,0.0008771825679112619,1.0,0.0020000003,315.2782,4999.970599556694,4999.970599556694,4999.970599556694,1.0,,1.0,4979.9937,500.00000664260017,1,0.002,500,500.0
495.02,1.0,3.5044917e-18,100,4950.077,1.0,249000.78372545133,0.01,249000.78372545133,1.0,0.009999998,496.4985,4950.077534141847,4950.077534141847,4950.077534141847,1.0,,1.0,4950.077,100.0,2,0.01,500,500.0
500.0,1.0,2.179301e-19,100,4975.0254,1.0,0.0008364960112901812,0.005,0.0008364960112901812,1.0,0.0049999994,351.96277,4999.973247851086,4999.973247851086,4999.973247851086,1.0,,1.0,4975.0254,200.00000010221265,2,0.005,500,500.0
490.02,1.0,5.4391416e-20,100,4950.0073,1.0,494943.91901486693,0.0033333334,494943.91901486693,1.0,0.0033333336,497.1604,4899.972394435842,4899.972394435842,4899.972394435842,1.0,,1.0,4950.0073,299.999969473632,2,0.0033333334,500,500.0
500.0,1.0,5.434597e-20,100,4962.4985,1.0,0.0009816031898847797,0.0025,0.0009816031898847797,1.0,0.0024999997,431.09674,4999.969676470161,4999.969676470161,4999.969676470161,1.0,,1.0,4962.4985,400.0,2,0.0025,500,500.0
500.0,1.0,5.431875e-20,100,4969.994,1.0,0.0006988006896815761,0.002,0.0006988006896815761,1.0,0.0020000003,385.87592,4999.974281445099,4999.974281445099,4999.974281445099,1.0,,1.0,4969.994,500.00000664260017,1,0.002,500,500.0
500.0,1.0,3.5044917e-18,100,4999.971,1.0,0.0007435369591647574,0.01,0.0007435369591647574,1.0,0.009999998,0.027158052,4999.971714076327,4999.971714076327,4999.971714076327,1.0,,1.0,4999.971,100.0,2,0.01,500,500.0
495.02,1.0,2.179301e-19,100,4975.0254,1.0,249000.8394786117,0.005,249000.8394786117,1.0,0.0049999994,351.96268,4950.078207264752,4950.078207264752,4950.078207264752,1.0,,1.0,4975.0254,200.00000010221265,2,0.005,500,500.0
490.02,1.0,5.4391416e-20,100,4950.008,1.0,494944.03923733666,0.0033333334,494944.03923733666,1.0,0.0033333336,497.16037,4899.972990354388,4899.972990354388,4899.972990354388,1.0,,1.0,4950.008,299.999969473632,2,0.0033333334,500,500.0
495.01,1.0,5.434597e-20,100,4949.9995,1.0,249997.27782717004,0.0025,249997.27782717004,1.0,0.0024999997,497.24304,4949.97304104099,4949.97304104099,4949.97304104099,1.0,,1.0,4949.9995,400.0,2,0.0025,500,500.0
495.01,1.0,5.431875e-20,100,4949.995,1.0,249997.5304024203,0.002,249997.5304024203,1.0,0.0020000003,497.2927,4949.975544989111,4949.975544989111,4949.975544989111,1.0,,1.0,4949.995,500.00000664260017,1,0.002,500,500.0
490.04,1.0,3.5044917e-18,100,4900.174,1.0,492970.28812035243,0.01,492970.28812035243,1.0,0.009999998,698.599,4900.17337349873,4900.17337349873,4900.17337349873,1.0,,1.0,4900.174,100.0,2,0.01,500,500.0
500.0,1.0,2.179301e-19,100,4950.0713,1.0,0.0009111972992392656,0.005,0.0009111972992392656,1.0,0.0049999994,496.49783,4999.968968727258,4999.968968727258,4999.968968727258,1.0,,1.0,4950.0713,200.00000010221265,2,0.005,500,500.0
495.01,1.0,5.4391416e-20,100,4950.035,1.0,249996.4049588068,0.0033333334,249996.4049588068,1.0,0.0033333336,496.8289,4949.964395457413,4949.964395457413,4949.964395457413,1.0,,1.0,4950.035,299.999969473632,2,0.0033333334,500,500.0
495.01,1.0,5.434597e-20,100,4950.0205,1.0,249997.2573766625,0.0025,249997.2573766625,1.0,0.0024999997,496.99445,4949.97283890508,4949.97283890508,4949.97283890508,1.0,,1.0,4950.0205,400.0,2,0.0025,500,500.0
500.0,1.0,5.431875e-20,100,4960.011,1.0,0.0007636483531397866,0.002,0.0007636483531397866,1.0,0.0020000003,444.97415,4999.972361454414,4999.972361454414,4999.972361454414,1.0,,1.0,4960.011,500.00000664260017,1,0.002,500,500.0
500.0,1.0,3.5044917e-18,100,4999.975,1.0,0.0006403791097413509,0.01,0.0006403791097413509,1.0,0.009999998,0.02515004,4999.97522137514,4999.97522137514,4999.97522137514,1.0,,1.0,4999.975,100.0,2,0.01,500,500.0
495.01,1.0,2.179301e-19,100,4974.9736,1.0,249997.1134299994,0.005,249997.1134299994,1.0,0.0049999994,352.6665,4949.971410460275,4949.971410460275,4949.971410460275,1.0,,1.0,4974.9736,200.00000010221265,2,0.005,500,500.0
500.0,1.0,5.4391416e-20,100,4983.308,1.0,0.000760881142496378,0.0033333334,0.000760881142496378,1.0,0.0033333336,288.19208,4999.976247338064,4999.976247338064,4999.976247338064,1.0,,1.0,4983.308,299.999969473632,2,0.0033333334,500,500.0
490.03,1.0,5.434597e-20,100,4962.5,1.0,493957.5045668581,0.0025,493957.5045668581,1.0,0.0024999997,431.0968,4900.075338405059,4900.075338405059,4900.075338405059,1.0,,1.0,4962.5,400.0,2,0.0025,500,500.0
500.0,1.0,5.431875e-20,100,4969.995,1.0,0.0009324333982912777,0.002,0.0009324333982912777,1.0,0.0020000003,385.876,4999.972768826603,4999.972768826603,4999.972768826603,1.0,,1.0,4969.995,500.00000664260017,1,0.002,500,500.0
495.01,1.0,3.5044917e-18,100,4949.97,1.0,249997.01192214788,0.01,249997.01192214788,1.0,0.009999998,497.49075,4949.970408054882,4949.970408054882,4949.970408054882,1.0,,1.0,4949.97,100.0,2,0.01,500,500.0
500.0,1.0,2.179301e-19,100,4974.9707,1.0,0.0009542815584496945,0.005,0.0009542815584496945,1.0,0.0049999994,352.66638,4999.971625388062,4999.971625388062,4999.971625388062,1.0,,1.0,4974.9707,200.00000010221265,2,0.005,500,500.0
490.03,1.0,5.4391416e-20,100,4950.005,1.0,493957.0320177916,0.0033333334,493957.0320177916,1.0,0.0033333336,497.16013,4900.072862748913,4900.072862748913,4900.072862748913,1.0,,1.0,4950.005,299.999969473632,2,0.0033333334,500,500.0
490.02,1.0,5.434597e-20,100,4937.497,1.0,494944.2639614605,0.0025,494944.2639614605,1.0,0.0024999997,555.2874,4899.974102292257,4899.974102292257,4899.974102292257,1.0,,1.0,4937.497,400.0,2,0.0025,500,500.0
500.0,1.0,5.431875e-20,100,4949.9937,1.0,0.0006769538146363428,0.002,0.0006769538146363428,1.0,0.0020000003,497.2926,4999.9756893062495,4999.9756893062495,4999.9756893062495,1.0,,1.0,4949.9937,500.00000664260017,1,0.002,500,500.0
500.0,1.0,3.5044917e-18,100,4999.97,1.0,0.0009428892306057584,0.01,0.0009428892306057584,1.0,0.009999998,0.030589525,4999.969861953824,4999.969861953824,4999.969861953824,1.0,,1.0,4999.97,100.0,2,0.01,500,500.0
495.01,1.0,2.179301e-19,100,4974.973,1.0,249997.62595155794,0.005,249997.62595155794,1.0,0.0049999994,352.66647,4949.976492705257,4949.976492705257,4949.976492705257,1.0,,1.0,4974.973,200.00000010221265,2,0.005,500,500.0
495.01,1.0,5.4391416e-20,100,4966.6387,1.0,249996.80465548023,0.0033333334,249996.80465548023,1.0,0.0033333336,406.88287,4949.968354916448,4949.968354916448,4949.968354916448,1.0,,1.0,4966.6387,299.999969473632,2,0.0033333334,500,500.0
495.01,1.0,5.434597e-20,100,4962.4717,1.0,249997.09480498914,0.0025,249997.09480498914,1.0,0.0024999997,431.3834,4949.971231685522,4949.971231685522,4949.971231685522,1.0,,1.0,4962.4717,400.0,2,0.0025,500,500.0
495.01,1.000001,2.0407553e-18,100,4959.972,1.0000076,249997.07315901894,0.002000002,249997.07315901894,0.9999957,0.002,445.41827,4949.971014456043,4949.971014456043,4949.971014456043,1.0,4.812895e-13,1.0,4959.972,500.00000664260017,1,0.0019999915,500,499.996185331838
490.02,1.0,3.5044917e-18,100,4899.9697,1.0,494943.4405288832,0.01,494943.4405288832,1.0,0.009999998,699.9957,4899.970025810395,4899.970025810395,4899.970025810395,1.0,,1.0,4899.9697,100.0,2,0.01,500,500.0
500.0,1.0,2.179301e-19,100,4949.9688,1.0,0.000731500004656423,0.005,0.000731500004656423,1.0,0.0049999994,497.4906,4999.968213490131,4999.968213490131,4999.968213490131,1.0,,1.0,4949.9688,200.00000010221265,2,0.005,500,500.0
495.01,1.0,5.4391416e-20,100,4949.971,1.0,249997.38600514896,0.0033333334,249997.38600514896,1.0,0.0033333336,497.49072,4949.974113163025,4949.974113163025,4949.974113163025,1.0,,1.0,4949.971,299.999969473632,2,0.0033333334,500,500.0
495.01,1.0,5.434597e-20,100,4949.9717,1.0,249997.50114935864,0.0025,249997.50114935864,1.0,0.0024999997,497.49088,4949.975253810326,4949.975253810326,4949.975253810326,1.0,,1.0,4949.9717,400.0,2,0.0025,500,500.0
