eRenyi2,VarVanillaIw,VarJ,EpsThisIter,VarNormIw,MaxVanillaIw,IterType,BatchSize,VarDiscRet,Bound,MaxNormIw,AvgRet,AvgEpLen,VanillaAvgRet,J,MinVanillaIw,AvgNormIw,AvgVanillaIw,ESSClassic,MinNormIw,VarRet,ESSRenyi,AvgDiscRet,Delta
1.0,,36.4589,100,3.50449e-18,1.0,2,300,1342.67585529,-116.449,0.01,-101.082277261,145.89,-101.082277261,-101.082,1.0,0.01,1.0,100.0,0.01,1342.67585529,300.0,-101.082277261,0.8
1.0,,34.2005,100,2.1793e-19,1.0,2,300,1017.36022735,-110.743,0.005,-98.670778474,130.55,-98.670778474,-99.8765,1.0,0.005,1.0,200.000000102,0.005,1017.36022735,300.0,-98.670778474,0.8
3.81425e-06,nan,nan,100,nan,inf,,400,1140.10043373,nan,nan,-103.997084522,34.42,-103.997084522,nan,0.00405895,nan,inf,nan,nan,55.9626518195,104869901.443,-96.4731281714,0.8
115.33,554.032,349.863,100,0.00148955,465.85,1,400,116.225472731,-66.7788,0.763846,-102.521220372,41.68,-102.521220372,-30.9367,,0.0025,1.52469,1.67552262589,,116.225472731,3.46831194856,-102.521220372,0.8
1.0,,41.2448,100,3.50449e-18,1.0,2,400,1718.31992872,-106.203,0.01,-94.2447028776,157.12,-94.2447028776,-94.2447,1.0,0.01,1.0,100.0,0.01,1718.31992872,400.0,-94.2447028776,0.8
1.0,,38.0816,100,2.1793e-19,1.0,2,400,1189.94569651,-105.959,0.005,-100.761540001,124.84,-100.761540001,-97.5031,1.0,0.005,1.0,200.000000102,0.005,1189.94569651,400.0,-100.761540001,0.8
1.0,,37.8075,100,5.43914e-20,1.0,2,400,1388.25290002,-107.074,0.00333333,-101.9915919,154.52,-101.9915919,-98.9993,1.0,0.00333333,1.0,299.999969474,0.00333333,1388.25290002,400.0,-101.9915919,0.8
1.49938e-06,nan,nan,100,nan,inf,,500,1831.58169632,nan,nan,-102.521220372,41.68,-102.521220372,nan,0.00214661,nan,inf,nan,nan,116.225472731,333470105.01,-96.7420905385,0.8
383.466,727.612,171.219,100,0.00172809,601.81,1,500,301.124445096,-6.85878,0.927454,-102.862179738,34.42,-102.862179738,51.5975,,0.002,1.29777,1.15698432411,,301.124445096,1.30389748679,-102.862179738,0.8
1.0,,75.8436,100,3.50449e-18,1.0,2,500,5810.36259856,-140.915,0.01,-124.28182702,259.53,-124.28182702,-124.282,1.0,0.01,1.0,100.0,0.01,5810.36259856,500.0,-124.28182702,0.8
1.0,,84.0863,100,2.1793e-19,1.0,2,500,8454.93811383,-133.632,0.005,-118.224033517,275.61,-118.224033517,-121.253,1.0,0.005,1.0,200.000000102,0.005,8454.93811383,500.0,-118.224033517,0.8
1.0,,82.3989,100,5.43914e-20,1.0,2,500,6283.07298903,-131.196,0.00333333,-117.899237593,263.24,-117.899237593,-120.135,1.0,0.00333333,1.0,299.999969474,0.00333333,6283.07298903,500.0,-117.899237593,0.8
1.0,,87.367,100,5.4346e-20,1.0,2,500,10102.1135006,-134.387,0.0025,-134.837408792,285.91,-134.837408792,-123.811,1.0,0.0025,1.0,400.0,0.0025,10102.1135006,500.0,-134.837408792,0.8
24.1998,29.8613,243.32,100,0.000128996,66.509,1,500,9304.94453238,-54.9372,0.138234,-129.19897897,285.76,-129.19897897,-8.40338,,0.002,0.962269,15.0673003562,,9304.94453238,20.6613566724,-129.19897897,0.8
1.0,,63.5559,100,3.50449e-18,1.0,2,500,4080.16011458,-40.6324,0.01,-29.6976453296,441.69,-29.6976453296,-29.6976,1.0,0.01,1.0,100.0,0.01,4080.16011458,500.0,-29.6976453296,0.8
1.0,,57.8453,100,2.1793e-19,1.0,2,500,2591.56887442,-30.8287,0.005,-16.4956533248,461.82,-16.4956533248,-23.0966,1.0,0.005,1.0,200.000000102,0.005,2591.56887442,500.0,-16.4956533248,0.8
1.0,,59.6297,100,5.43914e-20,1.0,2,500,3995.82665111,-31.7819,0.00333333,-28.4480358058,440.89,-28.4480358058,-24.8804,1.0,0.00333333,1.0,299.999969474,0.00333333,3995.82665111,500.0,-28.4480358058,0.8
1.0,,59.7666,100,5.4346e-20,1.0,2,500,3656.45309758,-31.1699,0.0025,-26.1307809695,459.63,-26.1307809695,-25.193,1.0,0.0025,1.0,400.0,0.0025,3656.45309758,500.0,-26.1307809695,0.8
27.905,31.2048,146.353,100,0.000168766,87.2325,1,500,3194.1845186,20.5916,0.202866,-12.4623600304,468.69,-12.4623600304,48.8312,,0.002,0.86,11.5990270952,,3194.1845186,17.917921941,-12.4623600304,0.8
1.0,,34.962,100,3.50449e-18,1.0,2,500,1234.68649019,9.45928,0.01,15.3568960708,487.23,15.3568960708,15.3569,1.0,0.01,1.0,100.0,0.01,1234.68649019,500.0,15.3568960708,0.8
1.0,,31.656,100,2.1793e-19,1.0,2,500,773.813200588,13.9963,0.005,20.9761878317,500.0,20.9761878317,18.1665,1.0,0.005,1.0,200.000000102,0.005,773.813200588,500.0,20.9761878317,0.8
1.0,,32.2352,100,5.43914e-20,1.0,2,500,1115.29524553,13.5055,0.00333333,14.4977588311,490.68,14.4977588311,16.9436,1.0,0.00333333,1.0,299.999969474,0.00333333,1115.29524553,500.0,14.4977588311,0.8
1.0,,32.3922,100,5.4346e-20,1.0,2,500,1071.38956775,15.1226,0.0025,21.9804084924,492.08,21.9804084924,18.2028,1.0,0.0025,1.0,400.0,0.0025,1071.38956775,500.0,21.9804084924,0.8
15.5389,22.8756,73.3588,100,5.16893e-05,49.3946,1,500,1344.62398261,34.1597,0.0742495,16.8508850867,489.68,16.8508850867,46.8869,,0.002,1.3305,35.9803606924,,1344.62398261,32.1773367185,16.8508850867,0.8
1.0,,20.5473,100,3.50449e-18,1.0,2,500,426.455251413,40.1035,0.01,44.0078702228,500.0,44.0078702228,44.0079,1.0,0.01,1.0,100.0,0.01,426.455251413,500.0,44.0078702228,0.8
1.0,,22.4572,100,2.1793e-19,1.0,2,500,588.95055506,39.8832,0.005,41.4014047998,500.0,41.4014047998,42.7046,1.0,0.005,1.0,200.000000102,0.005,588.95055506,500.0,41.4014047998,0.8
1.0,,22.5544,100,5.43914e-20,1.0,2,500,522.046014026,38.2708,0.00333333,41.7328337548,500.0,41.7328337548,42.3807,1.0,0.00333333,1.0,299.999969474,0.00333333,522.046014026,500.0,41.7328337548,0.8
1.0,,22.5131,100,5.4346e-20,1.0,2,500,505.2559002,39.1171,0.0025,43.5634415241,500.0,43.5634415241,42.6764,1.0,0.0025,1.0,400.0,0.0025,505.2559002,500.0,43.5634415241,0.8
14.1164,17.4121,50.6827,100,5.62361e-05,40.8877,1,500,507.720949576,50.0129,0.0734811,43.4585453406,500.0,43.4585453406,61.974,6.26276e-31,0.002,1.11288,33.2647902931,1.12551e-33,507.720949576,35.4196883253,43.4585453406,0.8
1.0,,18.165,100,3.50449e-18,1.0,2,500,333.301525757,47.0775,0.01,51.7435200397,500.0,51.7435200397,51.7435,1.0,0.01,1.0,100.0,0.01,333.301525757,500.0,51.7435200397,0.8
1.0,,18.7071,100,2.1793e-19,1.0,2,500,373.218950756,48.7902,0.005,52.7003376218,500.0,52.7003376218,52.2219,1.0,0.005,1.0,200.000000102,0.005,373.218950756,500.0,52.7003376218,0.8
1.0,,20.0734,100,5.43914e-20,1.0,2,500,512.722963784,48.9516,0.00333333,50.8169025274,500.0,50.8169025274,51.7536,1.0,0.00333333,1.0,299.999969474,0.00333333,512.722963784,500.0,50.8169025274,0.8
1.0,,19.8751,100,5.4346e-20,1.0,2,500,360.687494035,50.1748,0.0025,56.1016598331,500.0,56.1016598331,52.8406,1.0,0.0025,1.0,400.0,0.0025,360.687494035,500.0,56.1016598331,0.8
19.7758,16.6568,77.3987,100,8.22457e-05,42.3135,1,500,443.882936837,60.8191,0.0940241,52.3174126475,500.0,52.3174126475,71.4225,,0.002,0.900056,23.2338774327,,443.882936837,25.2834897203,52.3174126475,0.8
1.0,,15.9411,100,3.50449e-18,1.0,2,500,256.685717556,53.4533,0.01,58.5555632565,500.0,58.5555632565,58.5556,1.0,0.01,1.0,100.0,0.01,256.685717556,500.0,58.5555632565,0.8
1.0,,16.223,100,2.1793e-19,1.0,2,500,273.683797077,54.1394,0.005,56.9388119065,500.0,56.9388119065,57.7472,1.0,0.005,1.0,200.000000102,0.005,273.683797077,500.0,56.9388119065,0.8
1.0,,16.0093,100,5.43914e-20,1.0,2,500,242.964889616,55.3766,0.00333333,59.4727285441,500.0,59.4727285441,58.3224,1.0,0.00333333,1.0,299.999969474,0.00333333,242.964889616,500.0,59.4727285441,0.8
1.0,,16.978,100,5.4346e-20,1.0,2,500,384.267250701,55.7745,0.0025,60.542803356,500.0,60.542803356,58.8775,1.0,0.0025,1.0,400.0,0.0025,384.267250701,500.0,60.542803356,0.8
1.99489,3.52515,27.6839,100,1.2861e-05,37.9879,1,500,261.911130951,57.1374,0.0725595,60.1336082331,500.0,60.1336082331,61.0574,0.021048,0.002,1.04708,118.797908972,4.02031e-05,261.911130951,250.640224625,60.1336082331,0.8
1.0,,16.898,100,3.50449e-18,1.0,2,500,288.427499548,53.8715,0.01,59.1363396972,500.0,59.1363396972,59.1363,1.0,0.01,1.0,100.0,0.01,288.427499548,500.0,59.1363396972,0.8
