InitialReturnMin,OptimizationReturnMin,VarianceInit,ReturnStepMaxmin,MaxIWNorm,MeanIWNorm,OptimizationReturnMax,LearnableVariance,TimeElapsed,MeanEntropy,EpisodesSoFar,MeanIW,StdIWNorm,ReturnStepMax,EmpiricalD2,MinIWNorm,InitialReturnStd,InitialReturnMean,InitialReturnMax,MaxIW,MinIW,ESSRenyi,OptimizationReturnMean,J_sample_variance,EpRewMean,InitialBound,EpThisIter,EpLenMean,Iteration,StdIW,TimestepsSoFar,ReturnMeanIW,ESSClassic,Bound
9.935481,,-0.6,0.05970137,23.140524,0.24219058,32.87435,,2421.5364377498627,1.6378663,3700,24.219063,2.3018744,0.27323133,5776.627,1.6409406e-06,6.601799,26.35847,42.809834,2314.0525,0.00016409406,0.01731114,16.422989,30425822.0,26.358471737497208,24.21798,100,500.0,37,230.18747,1850000,807.7651,1.0948889,645.07886
10.178431,,-0.6,0.1156743,36.437458,0.36622262,31.532503,,2488.658947944641,1.6378663,3800,36.622257,3.6253,0.33277744,12360.119,4.084071e-07,6.479341,27.235838,41.710934,3643.7458,4.084071e-05,0.008090537,17.05741,29759788.0,27.235838410666446,25.15029,100,500.0,38,362.52997,1900000,920.10724,1.0101664,688.2444
16.752682,,-0.6,0.055037826,79.036316,0.80112,24.29905,,2564.253985643387,1.6378663,3900,80.111984,7.8631907,0.30933064,15088.001,1.513798e-07,5.036346,28.078638,41.05173,7903.632,1.5137979e-05,0.006627783,11.325957,368093820.0,28.07863767358312,26.02605,100,500.0,39,786.3191,1950000,3266.4116,1.0273364,3014.286
16.526596,,-0.6,0.018686324,47.492367,0.4808209,25.337978,,2653.05920958519,1.6378663,4000,48.0821,4.724921,0.20413812,22540.82,1.7555391e-07,5.6865973,29.7269,41.864574,4749.237,1.755539e-05,0.0044363956,13.200303,58988910.0,29.726899020361635,27.633669,100,500.0,40,472.49213,2000000,1567.0483,1.0249517,1252.7793
6.0271673,,-0.6,0.041786328,40.758232,0.41569042,31.920666,,2734.3740491867065,1.6378663,4100,41.56904,4.054707,0.25682616,45700.914,6.7163484e-08,5.248985,27.014177,37.947834,4075.8235,6.7163487e-06,0.00218814,20.98701,103407400.0,27.014177117494768,25.116783,100,500.0,41,405.47076,2050000,1283.5631,1.0401119,877.943
8.128551,,-0.6,0.07984546,264.619,2.647374,31.683002,,2803.2190787792206,1.6378663,4200,264.73734,26.329138,0.2751749,562982.1,1.8495129e-08,6.4217234,27.769148,39.811554,26461.898,1.849513e-06,0.00017762554,19.640598,2963946000.0,27.769149302886955,25.778572,100,500.0,42,2632.9136,2100000,7594.1406,1.0008948,6100.5674
10.949697,,-0.6,0.074787706,68.74532,0.69067174,26.711754,,2889.142431974411,1.6378663,4300,69.06716,6.839757,0.24141009,57210.31,1.4177705e-08,5.806904,26.325882,37.66145,6874.532,1.4177706e-06,0.0017479367,15.376184,66605332.0,26.325880218197135,24.442806,100,500.0,43,683.97565,2150000,1574.2263,1.0093828,1123.8203
12.575429,,-0.6,0.0074296594,11.223093,0.26175687,26.004189,,2976.235813856125,1.6378663,4400,26.175688,1.5604632,0.27380615,2847.3982,1.6306204e-07,5.4975424,26.597054,38.579617,1122.3093,1.6306205e-05,0.03511978,14.021624,6951254.0,26.59705257350179,24.668072,100,500.0,44,156.04633,2200000,774.0008,2.736767,671.0684
11.357491,,-0.6,0.0016557276,206.07307,2.0623193,31.022652,,3061.4328866004944,1.6378663,4500,206.23195,20.503855,0.2710163,535648.25,4.5487907e-09,6.646271,29.192644,42.380142,20607.309,4.5487906e-07,0.00018668968,17.835152,1650089600.0,29.19264274912146,27.073633,100,500.0,45,2050.3855,2250000,6400.769,1.0015423,4849.91
14.06905,,-0.6,0.08780576,125.48746,1.2573131,28.513695,,3141.545285463333,1.6378663,4600,125.7313,12.485609,0.2715568,192989.95,7.1630044e-09,5.4502482,29.68952,42.582745,12548.746,7.1630046e-07,0.0005181617,15.620472,816052600.0,29.68952248758273,27.560385,100,500.0,46,1248.5609,2300000,4622.2144,1.0038884,3686.871
12.301802,,-0.6,0.048032373,2075.069,20.755442,26.804216,,3211.873039007187,1.6378663,4700,2075.5442,206.4663,0.2662441,15305999.0,1.4171311e-10,6.198174,27.543106,39.106018,207506.9,1.4171311e-08,6.533386e-06,15.241305,223788240000.0,27.54310642675216,25.587807,100,500.0,47,20646.63,2350000,72778.266,1.0004579,65128.566
14.159107,,-0.6,0.019772097,4.2048407,0.04614518,28.80502,,3273.735107421875,1.6378663,4800,4.6145186,0.418065,0.22522117,240.98433,1.2141087e-05,6.204736,29.327688,42.964127,420.48407,0.0012141087,0.41496474,15.168576,292633.03,29.327685307761033,27.179476,100,500.0,48,41.8065,2400000,125.47649,1.2036659,92.12844
14.293471,,-0.6,0.09011865,35.41741,0.3628341,28.611298,,3349.7901380062103,1.6378663,4900,36.2834,3.5233548,0.28968492,20040.271,4.2688e-08,5.8488364,30.467266,42.90477,3541.7412,4.2688002e-06,0.0049899523,16.173792,22549060.0,30.467265101550865,28.322025,100,500.0,49,352.33548,2450000,1000.06903,1.0493536,696.3812
19.00965,,-0.6,0.030997097,1.6191212,0.030484831,23.667364,,3422.503756761551,1.6378663,5000,3.048483,0.1640088,0.20831819,134.45279,8.061355e-06,5.3173947,31.962725,42.677013,161.91212,0.0008061356,0.74375546,12.9530735,62129.547,31.962723062964248,29.828873,100,500.0,50,16.40088,2500000,97.81103,3.3395073,73.06822
13.482369,,-0.6,0.031450167,0.47596958,0.019577019,31.951988,,3499.3830742836,1.6378663,5100,1.9577019,0.06078908,0.23114464,21.55313,2.5942623e-05,5.4403553,30.385305,45.434357,47.59696,0.0025942624,4.6396976,16.902935,7202.761,30.385305017188795,28.113586,100,500.0,51,6.078908,2550000,55.027893,9.396908,44.481365
17.323853,,-0.6,0.0050273836,3.7087157,0.051845707,24.10514,,3571.8617029190063,1.6378663,5200,5.184571,0.37443992,0.22291066,117.08645,1.9105335e-06,4.521785,29.269915,41.428993,370.87158,0.00019105336,0.8540698,11.946062,446644.8,29.26991468252871,27.198465,100,500.0,52,37.443993,2600000,174.53085,1.8811088,152.11642
18.984789,,-0.6,0.10391979,25.284492,0.2602355,25.081053,,3638.290739297867,1.6378663,5300,26.023552,2.5151622,0.3261822,7474.7993,9.348866e-08,5.1774364,31.533524,44.06584,2528.4492,9.348866e-06,0.013378286,12.548732,36923996.0,31.533521592305757,29.330229,100,500.0,53,251.51625,2650000,1109.1976,1.0591965,918.70776
22.524733,,-0.6,0.0038472712,3.7427423,0.04443747,25.519121,,3704.674212217331,1.6378663,5400,4.443747,0.37248564,0.27279904,489.61996,2.375782e-06,5.037602,35.399956,48.043854,374.27423,0.00023757822,0.20424004,12.875226,407384.1,35.39995753346471,32.997765,100,500.0,54,37.24857,2700000,173.81306,1.4032731,120.65889
22.689833,,-0.6,0.05457151,907.2691,9.074233,22.71197,,3780.610203027725,1.6378663,5500,907.42334,90.27197,0.26569584,7015954.0,1.8174227e-10,4.7245975,34.88559,45.401802,90726.914,1.8174228e-08,1.4253229e-05,12.195759,8774718000.0,34.88559154789138,32.6155,100,500.0,55,9027.198,2750000,29726.912,1.00034,23713.977
20.018795,,-0.6,0.061635256,20834.996,208.35922,24.238426,,3837.2928614616394,1.6378663,5600,20835.922,2073.055,0.26000986,2245653200.0,2.020206e-13,4.791373,32.757713,44.25722,2083499.8,2.020206e-11,4.4530474e-08,12.738922,13863530000000.0,32.75771620601314,30.544853,100,500.0,56,207305.52,2800000,787090.06,1.0000887,682226.25
22.965662,,-0.6,0.0018665195,80.38875,0.8084695,29.747522,,3908.977553844452,1.6378663,5700,80.84696,7.9981413,0.2159422,98502.88,3.7917815e-08,5.91669,37.349716,52.713184,8038.875,3.7917814e-06,0.0010151988,14.384055,260155410.0,37.349716136149944,34.71406,100,500.0,57,799.81415,2850000,3465.938,1.0114266,2638.732
21.306005,,-0.6,0.04180318,4.5060835,0.06951806,28.474092,,3989.4439849853516,1.6378663,5800,6.9518065,0.48757046,0.27342975,367.6471,4.140357e-06,5.258855,38.937084,49.780098,450.60834,0.0004140357,0.27199998,17.631077,993690.94,38.937080921734044,36.448074,100,500.0,58,48.757042,2900000,286.10837,1.9924175,238.38388
