EpThisIter,OptimizationReturnMean,ReturnStepMaxmin,MeanEntropy,StdIWNorm,TimestepsSoFar,EpisodesSoFar,ESSRenyi,MinIWNorm,Bound,InitialReturnMin,EpRewMean,InitialReturnMax,OptimizationReturnMin,ESSClassic,ReturnStepMax,EpLenMean,InitialReturnStd,MeanIW,VarianceInit,InitialBound,EmpiricalD2,TimeElapsed,OptimizationReturnMax,StdIW,MaxIWNorm,MaxIW,MinIW,ReturnMeanIW,Iteration,LearnableVariance,MeanIWNorm,J_sample_variance,InitialReturnMean
100,6.735955,0.00054425,1.6378663,8.911935,2700000,5400,0.0017439692,1.0187626e-08,1377.1583,11.596459,18.332415077898197,24.357878,,1.0042391,0.23855363,500.0,2.8326254,89.759895,-0.6,17.114521,57340.465,4294.781297445297,12.761418,891.1935,89.57021,8957.021,1.0187626e-06,1668.7936,54,,0.897599,40380400.0,18.332415
100,7.623189,0.03525573,1.6378663,6.540034,2750000,5500,0.0036893256,9.630189e-08,1300.214,10.892662,18.515851279980847,27.44888,,1.0169929,0.2521042,500.0,3.0085604,66.29162,-0.6,17.143408,27105.225,4369.862317800522,16.556217,654.0035,65.73483,6573.4834,9.630189e-06,1526.1686,55,,0.6629161,64532180.0,18.51585
100,10.241534,0.018967673,1.6378663,13.964213,2800000,5600,0.0003424257,6.4121006e-09,2352.9565,9.105552,19.347086045131842,26.848059,,1.0633521,0.21642157,500.0,3.5952165,144.7693,-0.6,18.00468,292034.16,4445.297476530075,17.742508,1396.4213,140.33423,14033.424,6.412101e-07,3078.3936,56,,1.4476928,303154050.0,19.347086
100,9.99162,0.06480718,1.6378663,4.3372674,2850000,5700,0.0033814055,5.987104e-08,660.9059,10.742471,20.734090408651713,30.304207,,1.1008353,0.34398943,500.0,4.2045655,45.759476,-0.6,19.218878,29573.502,4524.325790166855,19.561737,433.7267,43.60136,4360.136,5.987104e-06,921.4758,57,,0.45759475,16897062.0,20.734089
100,12.089954,0.021660343,1.6378663,32.202187,2900000,5800,2.4640925e-05,2.4424585e-10,4763.8726,7.6030717,19.693025760520865,28.729925,,1.0008223,0.25030833,500.0,3.403018,323.77856,-0.6,18.256529,4058289.0,4604.413670063019,21.126854,3220.219,323.6455,32364.553,2.4424585e-08,7657.722,58,,3.2377853,2704299500.0,19.693026
100,13.166649,0.0046337843,1.6378663,111.20167,2950000,5900,4.772261e-06,3.5801193e-10,19573.973,5.8194494,18.986098441241612,29.307491,,1.0000991,0.23413704,500.0,4.7871504,1117.6749,-0.6,17.520723,20954428.0,4694.082607984543,23.48804,11120.169,1117.6195,111761.95,3.5801193e-08,26281.871,59,,11.176748,39155335000.0,18.9861
100,11.931453,0.025453448,1.6378663,1282.5223,3000000,6000,1.0856846e-06,1.8848512e-12,316061.1,6.7557817,18.687233373474147,27.646135,,1.0000068,0.22259909,500.0,4.516126,12889.88,-0.6,17.304926,92107780.0,4792.457512378693,20.890354,128252.25,12889.836,1288983.6,1.8848512e-10,329327.47,60,,128.8988,5875967000000.0,18.687233
100,14.221563,0.021204025,1.6378663,5.919036,3050000,6100,0.0006446513,6.357528e-10,672.1854,5.5991635,19.820726643898087,28.756657,,1.0183884,0.24191943,500.0,4.6695256,60.03859,-0.6,18.382893,155122.62,4870.71277141571,23.157494,591.9036,59.49338,5949.3384,6.357528e-08,1238.4846,61,,0.60038584,80033110.0,19.820724
100,13.77849,0.007348031,1.6378663,1.2198722,3100000,6200,0.021272574,1.443574e-07,253.87584,5.9216447,19.700133967856914,28.50552,,1.0881809,0.28819913,500.0,4.794906,12.795013,-0.6,18.274857,4700.8887,4947.802012205124,22.583876,121.987206,12.264801,1226.4801,1.443574e-05,351.59708,62,,0.12795018,7177691.0,19.700132
100,13.357384,0.07091141,1.6378663,2.7786045,3150000,6300,0.015840167,3.5752865e-07,779.9343,6.802109,20.15949259689501,31.607113,,1.0755513,0.26987916,500.0,5.2106776,28.972801,-0.6,18.579136,6313.0645,5024.394697189331,24.805004,277.86047,27.927338,2792.734,3.5752866e-05,905.50116,63,,0.28972802,48018156.0,20.159492
