OptimizationReturnMin,StdIWNorm,TimestepsSoFar,Bound,MinIW,InitialReturnMax,MinIWNorm,ESSRenyi,InitialReturnMin,InitialReturnMean,OptimizationReturnMean,EpRewMean,ESSClassic,StdIW,MeanEntropy,EpThisIter,OptimizationReturnMax,InitialReturnStd,Iteration,ReturnStepMax,MaxIW,ReturnMeanIW,LearnableVariance,MeanIW,InitialBound,EpLenMean,TimeElapsed,VarianceInit,MaxIWNorm,MeanIWNorm,EpisodesSoFar,EmpiricalD2,ReturnStepMaxmin,J_sample_variance
,7.223917,2750000,2254.849,3.9980314e-06,47.959393,3.9980314e-08,0.0009575026,20.092052,34.95525,14.863199,34.95525179782162,1.011103,722.39166,1.6378663,100,27.86734,5.56483,55,0.24175943,7260.6973,3029.799,,73.00914,32.55728,500.0,4341.9926171302795,-0.6,72.60697,0.73009133,5500,104438.36,0.036339194,244522180.0
,52.51254,2800000,20669.713,5.271911e-07,48.064632,5.271911e-09,0.00032650086,21.234325,37.048866,15.814544,37.04886768845042,1.0015798,5251.2544,1.6378663,100,26.830307,5.2332582,56,0.33686435,52777.504,21999.719,,528.1918,34.645638,500.0,4399.04100561142,-0.6,527.775,5.2819185,5600,306277.9,0.13351083,11742841000.0
,3.4349887,2850000,1364.7932,7.086018e-05,47.433384,7.0860176e-07,0.017219042,21.688427,35.891132,14.202705,35.89113109382313,1.0265274,343.49896,1.6378663,100,25.744957,5.512888,57,0.23960352,3452.7356,1545.5312,,34.982533,33.51946,500.0,4468.128193616867,-0.6,34.527355,0.34982532,5700,5807.524,0.015764907,61538230.0
,23.689436,2900000,7379.191,1.6481982e-07,47.288887,1.6481982e-09,0.00016148934,23.931717,36.035366,12.103651,36.03536708874025,1.0196123,2368.9434,1.6378663,100,23.35717,4.9153886,58,0.28116968,23810.52,9239.809,,240.43497,33.670925,500.0,4548.87700676918,-0.6,238.1052,2.4043493,5800,619235.94,0.0502847,1233459800.0
,64.649765,2950000,20628.883,1.5228491e-07,47.188732,1.5228491e-09,9.764732e-05,21.961597,36.131134,14.169538,36.13113521697408,1.000419,6464.977,1.6378663,100,25.227135,4.7416267,59,0.3136036,64975.598,23016.574,,649.8921,33.771698,500.0,4632.981722831726,-0.6,649.756,6.4989204,5900,1024093.7,0.11275406,7848015000.0
,513.133,3000000,175555.61,1.6565295e-07,48.091183,1.6565295e-09,8.462845e-07,23.647701,35.829044,12.181343,35.829044801161565,1.0000267,51313.293,1.6378663,100,24.443481,4.701716,60,0.25618422,515718.1,201693.9,,5157.25,33.42448,500.0,4706.121158838272,-0.6,5157.1807,51.5725,6000,118163576.0,0.03101711,650804900000.0
,0.8631019,3050000,330.5537,4.182978e-06,49.58346,4.182978e-08,0.034724876,26.4729,39.191856,12.718958,39.19185682745367,1.230161,86.31019,1.6378663,100,23.110561,5.31966,61,0.25879064,867.27,463.59503,,9.63232,36.712685,500.0,4782.595729827881,-0.6,8.6727,0.09632319,6100,2879.78,0.04974033,3759711.2
,6.477587,3100000,2267.436,3.7223537e-05,55.662113,3.7223538e-07,0.0022188781,28.905556,41.504627,12.5990715,41.50462671368878,1.0316055,647.7587,1.6378663,100,26.756557,5.022936,62,0.34507495,6510.787,2858.2666,,66.13355,38.72152,500.0,4875.8629739284515,-0.6,65.10787,0.6613356,6200,45067.82,0.11005399,92189250.0
,2.4102328,3150000,614.0329,3.4533618e-06,50.17447,3.4533617e-08,0.0139043555,23.68647,40.09659,16.410118,40.09658675213391,1.0861288,241.0233,1.6378663,100,26.487999,4.772669,63,0.26274037,2422.8408,826.7867,,25.256376,37.587856,500.0,4959.059015512466,-0.6,24.228407,0.2525638,6300,7191.991,0.029462427,4695652.0
,33.272705,3200000,11378.269,2.3359576e-06,51.2294,2.3359576e-08,0.0003305122,25.035536,38.43128,13.3957405,38.4312766494509,1.001286,3327.2708,1.6378663,100,26.193865,5.246247,64,0.2823126,33440.543,12787.219,,334.6204,35.869804,500.0,5035.144065141678,-0.6,334.40543,3.3462038,6400,302560.7,0.08441873,2013275000.0
,20.617985,3250000,6043.165,3.579133e-06,49.18525,3.5791327e-08,0.00039826354,23.369324,37.462254,14.092932,37.46225513937828,1.0038309,2061.7988,1.6378663,100,25.815926,5.3807836,65,0.31163988,20722.242,7275.474,,207.61913,35.002995,500.0,5113.943523168564,-0.6,207.22241,2.0761912,6500,251090.02,0.06297378,610144900.0
,11.384416,3300000,3363.1213,3.3485276e-06,51.20772,3.3485275e-08,0.00044270203,26.012314,37.354202,11.341891,37.354205466187175,1.0073676,1138.4417,1.6378663,100,25.195408,5.0783796,66,0.30398664,11442.174,4580.007,,114.842674,34.79382,500.0,5182.564012527466,-0.6,114.42174,1.1484267,6600,225885.56,0.05514258,261078640.0
,45.094677,3350000,16679.441,1.7365844e-07,47.26393,1.7365843e-09,0.00014778876,23.749546,37.49221,13.742663,37.49220968321188,1.0006586,4509.4683,1.6378663,100,23.514385,5.387885,67,0.29167882,45322.01,18623.365,,453.36932,35.129013,500.0,5250.643546819687,-0.6,453.2201,4.5336933,6700,676641.44,0.021175325,6285961700.0
,5.5906806,3400000,1099.496,1.0204074e-05,48.865005,1.0204074e-07,0.0026172912,23.14457,38.35801,15.213439,38.3580080746193,1.0115461,559.06805,1.6378663,100,25.720436,5.128427,68,0.31409475,5619.1567,1577.0714,,56.515194,35.914757,500.0,5323.32585978508,-0.6,56.191566,0.56515205,6800,38207.44,0.05666551,8681508.0
,28.842201,3450000,9159.258,8.6768216e-07,50.945015,8.676821e-09,6.8208785e-05,28.798853,40.794273,11.995422,40.794274439289254,1.0009538,2884.22,1.6378663,100,22.146162,4.87903,69,0.31832796,28987.64,12243.521,,290.01462,38.247017,500.0,5404.049975633621,-0.6,289.8764,2.9001465,6900,1466086.9,0.10069963,1583351400.0
,0.16779274,3500000,107.24772,0.0023787182,49.935246,2.378718e-05,3.7336571,28.036205,38.329494,10.293288,38.32949302693101,3.3223948,16.779274,1.6378663,100,21.89904,4.396074,70,0.24734558,154.22235,120.16913,,3.1105404,35.83273,500.0,5485.956635713577,-0.6,1.5422235,0.031105407,7000,26.783392,0.04407692,46155.26
,5.195121,3550000,2191.9363,4.6873765e-06,48.319668,4.6873765e-08,0.005407815,25.556805,38.978348,13.421543,38.97834711168035,1.3451103,519.5121,1.6378663,100,22.762863,4.689491,71,0.28167543,5164.839,2520.4724,,60.661797,36.56236,500.0,5550.84451174736,-0.6,51.648388,0.6066181,7100,18491.758,0.009277403,73874140.0
