VarRet,VarNormIw,VarVanillaIw,AvgVanillaIw,VanillaAvgRet,MaxVanillaIw,MaxNormIw,Delta,VarDiscRet,AvgEpLen,AvgNormIw,EpsThisIter,IterType,VarJ,Bound,MinNormIw,AvgRet,ESSRenyi,BatchSize,MinVanillaIw,ESSClassic,J,eRenyi2,AvgDiscRet
3793.45874512,3.53018e-07,0.0140717,0.998263,-74.4143180378,1.81409,0.00908623,0.3,3793.45874512,104.92,0.005,100,1,57.5361,-119.564,0.00428201,-74.4143180378,197.415080661,200,0.854914,197.228997352,-74.2132,1.01309,-74.4143180378
5007.67247575,3.50449e-18,,1.0,-75.2924617134,1.0,0.01,0.3,5007.67247575,105.48,0.01,100,2,70.4102,-139.012,0.01,-75.2924617134,200.0,200,1.0,100.0,-75.2925,1.0,-75.2924617134
3797.07927932,3.69773e-07,0.015329,1.01803,-73.7855815093,1.4516,0.00712946,0.3,3797.07927932,103.53,0.005,100,1,63.7284,-119.208,0.00318705,-73.7855815093,196.746137307,200,0.6489,197.099269352,-73.7806,1.01654,-73.7855815093
4969.53373705,3.50449e-18,,1.0,-77.9992222397,1.0,0.01,0.3,4969.53373705,108.67,0.01,100,2,70.1416,-141.719,0.01,-77.9992222397,200.0,200,1.0,100.0,-77.9992,1.0,-77.9992222397
8396.51865225,3.21944e-06,0.130331,1.00601,-86.3161304288,1.9085,0.00948543,0.3,8396.51865225,118.1,0.005,100,1,61.9873,-122.468,0.000358028,-86.3161304288,177.981631327,200,0.0720363,177.284017996,-74.706,1.12371,-86.3161304288
8301.06625809,3.50449e-18,,1.0,-89.010956088,1.0,0.01,0.3,8301.06625809,121.75,0.01,100,2,90.6535,-152.73,0.01,-89.010956088,200.0,200,1.0,100.0,-89.011,1.0,-89.010956088
6128.68740542,1.20142e-06,0.048495,1.00455,-80.1302078123,2.87445,0.0143072,0.3,6128.68740542,111.39,0.005,100,1,78.4354,-128.841,0.00335376,-80.1302078123,193.583053064,200,0.673802,190.873185097,-83.0439,1.03315,-80.1302078123
7236.99103819,3.50449e-18,,1.0,-85.4206733137,1.0,0.01,0.3,7236.99103819,117.35,0.01,100,2,84.6441,-149.14,0.01,-85.4206733137,200.0,200,1.0,100.0,-85.4207,1.0,-85.4206733137
7187.65974069,1.57683e-06,0.0611509,0.984643,-85.761250926,2.11859,0.0107582,0.3,7187.65974069,118.36,0.005,100,1,76.0153,-128.852,0.00149523,-85.761250926,187.059635878,200,0.294454,188.189608886,-82.2634,1.06918,-85.761250926
4972.38775581,3.50449e-18,,1.0,-77.4154600051,1.0,0.01,0.3,4972.38775581,108.16,0.01,100,2,70.1617,-141.135,0.01,-77.4154600051,200.0,200,1.0,100.0,-77.4155,1.0,-77.4154600051
3783.92996694,8.92146e-07,0.0350201,0.990628,-73.8353111936,1.25281,0.00632334,0.3,3783.92996694,104.29,0.005,100,1,59.2452,-119.841,0.00184954,-73.8353111936,192.473827591,200,0.366441,193.141998816,-73.9125,1.0391,-73.8353111936
7234.75113986,3.50449e-18,,1.0,-84.5134338368,1.0,0.01,0.3,7234.75113986,116.67,0.01,100,2,84.631,-148.232,0.01,-84.5134338368,200.0,200,1.0,100.0,-84.5134,1.0,-84.5134338368
8385.79735952,3.60312e-06,0.128942,0.945862,-87.4038935691,1.50613,0.00796168,0.3,8385.79735952,119.63,0.005,100,1,76.793,-127.636,0.000410993,-87.4038935691,177.864663452,200,0.0777485,174.916312356,-79.8543,1.12445,-87.4038935691
6093.63673122,3.50449e-18,,1.0,-82.7370069318,1.0,0.01,0.3,6093.63673122,114.8,0.01,100,2,77.6705,-146.456,0.01,-82.7370069318,200.0,200,1.0,100.0,-82.737,1.0,-82.7370069318
2601.65524672,1.21184e-06,0.0508762,1.02448,-68.1206720379,2.29825,0.0112166,0.3,2601.65524672,97.33,0.005,100,1,57.9386,-119.379,0.00338995,-68.1206720379,192.494100304,200,0.69459,190.797610067,-73.4529,1.03899,-68.1206720379
10524.4330244,3.50449e-18,,1.0,-93.8007353593,1.0,0.01,0.3,10524.4330244,126.72,0.01,100,2,102.074,-157.52,0.01,-93.8007353593,200.0,200,1.0,100.0,-93.8007,1.0,-93.8007353593
1355.65778486,1.32816e-06,0.0538287,1.00659,-64.6920406926,1.69381,0.00841362,0.3,1355.65778486,93.09,0.005,100,1,68.4444,-122.902,0.00232066,-64.6920406926,189.058779541,200,0.467191,189.958637079,-76.5601,1.05787,-64.6920406926
