VarVanillaIw,MaxVanillaIw,AvgRet,EpsThisIter,MaxNormIw,MinVanillaIw,MinNormIw,VarDiscRet,Bound,IterType,VarNormIw,VarRet,VanillaAvgRet,AvgEpLen,ESSRenyi,eRenyi2,ESSClassic,AvgNormIw,Delta,BatchSize,AvgVanillaIw,AvgDiscRet,J,VarJ
,1.0,-8.68324630241689,100,0.01,1.0,0.01,57.24651064776647,-9.857994,2,3.5044917e-18,57.24651064776647,-8.68324630241689,200.0,500.0,1.0,100.0,0.009999998,0.8,500,1.0,-8.68324630241689,-8.683247,7.528217
,1.0,-8.500670329029061,100,0.005,1.0,0.005,49.373456736635454,-9.437148,2,2.179301e-19,49.373456736635454,-8.500670329029061,200.0,500.0,1.0,200.00000010221265,0.0049999994,0.8,500,1.0,-8.500670329029061,-8.591958,7.2653437
,1.0,-9.336604023783067,100,0.0033333334,1.0,0.0033333334,61.48876494394892,-9.544493,2,5.4391416e-20,61.48876494394892,-9.336604023783067,200.0,500.0,1.0,299.999969473632,0.0033333336,0.8,500,1.0,-9.336604023783067,-8.840175,7.456853
,1.0,-8.675430984181478,100,0.0025,1.0,0.0025,50.352159818326584,-9.408945,2,5.434597e-20,50.352159818326584,-8.675430984181478,200.0,500.0,1.0,400.0,0.0024999997,0.8,500,1.0,-8.675430984181478,-8.798988,7.3600774
1.5170808,3.542594,-7.7496505161085425,100,0.0074980073,4.9259205e-26,1.0425859e-28,45.122527233185,-8.517356,1,6.7960677e-06,45.122527233185,-7.7496505161085425,200.0,193.75562654383492,2.5805702,185.48617560630652,0.002,0.8,500,0.94494283,-7.7496505161085425,-7.640957,11.826044
,1.0,-7.019950137274505,100,0.01,1.0,0.01,48.12617360141642,-8.180797,2,3.5044917e-18,48.12617360141642,-7.019950137274505,200.0,500.0,1.0,100.0,0.009999998,0.8,500,1.0,-7.019950137274505,-7.01995,6.9025292
,1.0,-8.538019648821237,100,0.005,1.0,0.005,49.77368175038561,-8.609002,2,2.179301e-19,49.77368175038561,-8.538019648821237,200.0,500.0,1.0,200.00000010221265,0.0049999994,0.8,500,1.0,-8.538019648821237,-7.778985,7.002611
,1.0,-7.568955297628882,100,0.0033333334,1.0,0.0033333334,56.50484867440064,-8.411509,2,5.4391416e-20,56.50484867440064,-7.568955297628882,200.0,500.0,1.0,299.999969473632,0.0033333336,0.8,500,1.0,-7.568955297628882,-7.708975,7.1657133
,1.0,-8.32783761670686,100,0.0025,1.0,0.0025,51.76170941736903,-8.4739895,2,5.434597e-20,51.76170941736903,-8.32783761670686,200.0,500.0,1.0,400.0,0.0024999997,0.8,500,1.0,-8.32783761670686,-7.8636913,7.1689205
0.010548642,1.0691134,-7.089806038006795,100,0.0021523254,0.60233945,0.001212622,51.52436410895067,-8.2481,1,4.275285e-08,51.52436410895067,-7.089806038006795,200.0,496.07110357530877,1.00792,494.72287819616315,0.0020000003,0.8,500,0.9934496,-7.089806038006795,-7.7000756,7.2263412
,1.0,-7.719365528563481,100,0.01,1.0,0.01,50.93394900096061,-8.938396,2,3.5044917e-18,50.93394900096061,-7.719365528563481,200.0,500.0,1.0,100.0,0.009999998,0.8,500,1.0,-7.719365528563481,-7.719365,7.1010284
,1.0,-7.880861285448231,100,0.005,1.0,0.005,47.05631787058465,-8.662099,2,2.179301e-19,47.05631787058465,-7.880861285448231,200.0,500.0,1.0,200.00000010221265,0.0049999994,0.8,500,1.0,-7.880861285448231,-7.8001137,6.9650345
,1.0,-8.188972619490514,100,0.0033333334,1.0,0.0033333334,56.436915609516404,-8.634745,2,5.4391416e-20,56.436915609516404,-8.188972619490514,200.0,500.0,1.0,299.999969473632,0.0033333336,0.8,500,1.0,-8.188972619490514,-7.929733,7.1413527
,1.0,-7.650485939185752,100,0.0025,1.0,0.0025,50.5976066191196,-8.470479,2,5.434597e-20,50.5976066191196,-7.650485939185752,200.0,500.0,1.0,400.0,0.0024999997,0.8,500,1.0,-7.650485939185752,-7.8599215,7.1264796
0.25996768,4.0531645,-9.145517967262005,100,0.007666642,0.8046322,0.0015219778,54.99695806980127,-8.617773,1,9.3012477e-07,54.99695806980127,-9.145517967262005,200.0,419.36074418039163,1.1922909,405.8223427224759,0.002,0.8,500,1.0573508,-9.145517967262005,-8.021099,8.199505
,1.0,-7.928392534954318,100,0.01,1.0,0.01,57.541696747467576,-9.149851,2,3.5044917e-18,57.541696747467576,-7.928392534954318,200.0,500.0,1.0,100.0,0.009999998,0.8,500,1.0,-7.928392534954318,-7.9283924,7.5476007
