MaxNormIw,VarDiscRet,J,ESSRenyi,VarVanillaIw,VarRet,Bound,MaxVanillaIw,VanillaAvgRet,BatchSize,AvgDiscRet,VarJ,VarNormIw,AvgEpLen,MinVanillaIw,AvgNormIw,AvgVanillaIw,eRenyi2,MinNormIw,AvgRet,ESSClassic
0.01,71.45725462590782,,nan,,71.45725462590782,-0.92059255,1.0,-10.939802051184401,100,-3.0908609005564358e-15,8.410867,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-3.0908609005564358e-15,100.0
0.01,68.73981452107394,2.9802322e-08,nan,,68.73981452107394,-0.8078375,1.0,-9.607095196397621,100,-1.7763568394002506e-16,8.249389,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-1.7763568394002506e-16,100.0
0.01,56.98095478286749,4.4703484e-08,nan,,56.98095478286749,-0.7120409,1.0,-8.465189062266772,100,-9.592326932761353e-16,7.5107355,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-9.592326932761353e-16,100.0
0.01,67.31571367542371,-1.0430813e-07,nan,,67.31571367542371,-0.783879,1.0,-9.315721359294345,100,-7.549516567451064e-16,8.163489,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-7.549516567451064e-16,100.0
0.01,66.72965709219157,-5.9604645e-08,nan,,66.72965709219157,-0.7595362,1.0,-9.024793194846968,100,7.815970093361102e-16,8.127875,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,7.815970093361102e-16,100.0
0.01,73.18686602724563,-1.4901161e-08,nan,,73.18686602724563,-0.8748272,1.0,-10.450209222019943,100,-1.971756091734278e-15,8.51205,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-1.971756091734278e-15,100.0
0.01,51.8733143119854,-1.3411045e-07,nan,,51.8733143119854,-0.70191634,1.0,-8.341672875729044,100,-1.1013412404281553e-15,7.166211,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-1.1013412404281553e-15,100.0
0.01,64.34697824710297,-4.4703484e-08,nan,,64.34697824710297,-0.7984754,1.0,-9.48739406292366,100,-8.171241461241152e-16,7.981447,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-8.171241461241152e-16,100.0
0.01,64.92350451116094,-5.9604645e-08,nan,,64.92350451116094,-0.79037255,1.0,-9.392589160158067,100,7.638334409421077e-16,8.017123,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,7.638334409421077e-16,100.0
0.01,63.99669897214852,1.1175871e-08,nan,,63.99669897214852,-0.718862,1.0,-8.541584884804335,100,1.2878587085651815e-15,7.959694,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,1.2878587085651815e-15,100.0
0.01,48.977362497010446,-2.9802322e-08,nan,,48.977362497010446,-0.68696105,1.0,-8.167565091587539,100,-8.348877145181177e-16,6.963303,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-8.348877145181177e-16,100.0
0.01,64.84377457050199,-8.195639e-08,nan,,64.84377457050199,-0.77212155,1.0,-9.185816073273983,100,6.750155989720952e-16,8.012199,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,6.750155989720952e-16,100.0
0.01,67.34542953281064,-2.9802322e-08,nan,,67.34542953281064,-0.67678654,1.0,-8.04323425159487,100,-1.7763568394002506e-16,8.16529,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-1.7763568394002506e-16,100.0
0.01,67.0564250714995,-5.9604645e-08,nan,,67.0564250714995,-0.80179006,1.0,-9.528687952622038,100,3.108624468950438e-16,8.147752,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,3.108624468950438e-16,100.0
0.01,61.87592189459546,-2.9802322e-08,nan,,61.87592189459546,-0.77451026,1.0,-9.203821790102765,100,5.506706202140776e-16,7.8266954,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,5.506706202140776e-16,100.0
0.01,68.12502786055784,-2.9802322e-08,nan,,68.12502786055784,-0.7721963,1.0,-9.175296479433758,100,1.403321903126198e-15,8.212416,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,1.403321903126198e-15,100.0
0.01,66.70639128166738,,nan,,66.70639128166738,-0.68544286,1.0,-8.146367658823792,100,-5.329070518200751e-17,8.126458,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-5.329070518200751e-17,100.0
0.01,65.75464793929005,4.4703484e-08,nan,,65.75464793929005,-0.7710317,1.0,-9.16221482952079,100,-1.3500311979441904e-15,8.068277,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-1.3500311979441904e-15,100.0
0.01,67.6119791374981,2.9802322e-08,nan,,67.6119791374981,-0.7006501,1.0,-8.327061290824071,100,-1.900701818158268e-15,8.181434,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-1.900701818158268e-15,100.0
0.01,78.56459937126637,4.4703484e-08,nan,,78.56459937126637,-0.910072,1.0,-10.813425108112053,100,2.3270274596143282e-15,8.819238,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,2.3270274596143282e-15,100.0
0.01,55.2480123838714,,nan,,55.2480123838714,-0.66276556,1.0,-7.874869756585283,100,-9.237055564881303e-16,7.3956428,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-9.237055564881303e-16,100.0
0.01,57.72514359827339,-7.450581e-09,nan,,57.72514359827339,-0.69361067,1.0,-8.241611590020216,100,-2.486899575160351e-16,7.5596223,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-2.486899575160351e-16,100.0
0.01,68.36234904974884,,nan,,68.36234904974884,-0.7500794,1.0,-8.913543791574671,100,-1.8474111129762605e-15,8.226708,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-1.8474111129762605e-15,100.0
0.01,73.00531620458578,-4.4703484e-08,nan,,73.00531620458578,-0.8578006,1.0,-10.19906506789572,100,-1.4210854715202004e-16,8.501486,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-1.4210854715202004e-16,100.0
0.01,64.80057320609757,2.2351742e-08,nan,,64.80057320609757,-0.82308495,1.0,-9.781693319127038,100,3.907985046680551e-16,8.00953,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,3.907985046680551e-16,100.0
0.01,59.39377880063778,-2.9802322e-08,nan,,59.39377880063778,-0.77911973,1.0,-9.259807143034541,100,-7.105427357601002e-17,7.6681056,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-7.105427357601002e-17,100.0
0.01,71.07244483358058,4.4703484e-08,nan,,71.07244483358058,-0.886642,1.0,-10.546312223807119,100,2.6645352591003756e-17,8.388189,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,2.6645352591003756e-17,100.0
0.01,60.849291736476964,5.9604645e-08,nan,,60.849291736476964,-0.70848495,1.0,-8.41816357595186,100,-1.2079226507921704e-15,7.7614946,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-1.2079226507921704e-15,100.0
0.01,53.74676497699583,-3.7252903e-09,nan,,53.74676497699583,-0.5843774,1.0,-6.943676339536658,100,1.687538997430238e-16,7.29447,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,1.687538997430238e-16,100.0
0.01,57.791429494772395,2.9802322e-08,nan,,57.791429494772395,-0.6660854,1.0,-7.91897642242621,100,-1.2967404927621828e-15,7.563961,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-1.2967404927621828e-15,100.0
0.01,58.60788746057392,2.9802322e-08,nan,,58.60788746057392,-0.79600704,1.0,-9.462484743592046,100,1.0658141036401502e-16,7.6172047,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,1.0658141036401502e-16,100.0
0.01,65.16093931611555,,nan,,65.16093931611555,-0.7849929,1.0,-9.353240839411887,100,-8.348877145181177e-16,8.03177,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-8.348877145181177e-16,100.0
