VanillaAvgRet,VarDiscRet,AvgDiscRet,MaxVanillaIw,VarRet,J,MaxNormIw,BatchSize,VarNormIw,ESSClassic,AvgVanillaIw,AvgRet,eRenyi2,IterType,Delta,VarJ,MinVanillaIw,AvgNormIw,AvgEpLen,MinNormIw,ESSRenyi,VarVanillaIw,EpsThisIter,Bound
-107.063439021,7.37435609553,-107.063439021,1.16434,7.37435609553,-106.968,0.011833,100,8.96813e-07,99.1199990558,0.983977,-107.063439021,1.00704,1,0.5,2.40379,0.615464,0.01,16.71,0.00625486,99.3007193335,0.00868305,100,-119.18
-106.603671057,5.89159658269,-106.603671057,1.05514,5.89159658269,-106.574,0.0106039,100,2.83252e-07,99.7203606933,0.995047,-106.603671057,1.00257,1,0.5,2.43708,0.772799,0.01,17.31,0.00776646,99.7437622456,0.00280453,100,-117.908
-106.904750332,6.09855262151,-106.904750332,1.13898,6.09855262151,-106.882,0.0113137,100,1.99242e-07,99.8031869745,1.00672,-106.904750332,1.00188,1,0.5,2.42967,0.874206,0.01,17.34,0.00868368,99.8120152915,0.0020193,100,-118.383
-106.409367426,5.42804767447,-106.409367426,1.12325,5.42804767447,-106.374,0.0112212,100,2.77103e-07,99.7264042133,1.001,-106.409367426,1.00304,1,0.5,2.28808,0.802218,0.01,19.93,0.00801415,99.6971745482,0.00277659,100,-117.785
-106.566089755,4.28056783387,-106.566089755,1.32118,4.28056783387,-106.525,0.0130498,100,4.63309e-07,99.5433979811,1.01241,-106.566089755,1.0037,1,0.5,2.01815,0.850702,0.01,16.19,0.0084027,99.6317645041,0.00474883,100,-117.757
-106.440538691,3.62700020215,-106.440538691,1.10648,3.62700020215,-106.402,0.0111115,100,3.92687e-07,99.6127424792,0.995796,-106.440538691,1.00338,1,0.5,1.84796,0.775065,0.01,17.74,0.00778337,99.6630734087,0.00389392,100,-117.566
-106.462050478,4.03765653616,-106.462050478,1.1865,4.03765653616,-106.448,0.0118165,100,1.84808e-07,99.8173740825,1.00411,-106.462050478,1.00144,1,0.5,2.00579,0.941165,0.01,16.3,0.00937312,99.856570742,0.0018633,100,-117.61
-106.554867077,6.11764191841,-106.554867077,1.19066,6.11764191841,-106.501,0.0118459,100,4.16356e-07,99.5895214328,1.00512,-106.554867077,1.00474,1,0.5,2.46533,0.659719,0.01,16.21,0.00656355,99.5278937317,0.00420634,100,-117.758
-106.949086009,4.02249610859,-106.949086009,1.02589,4.02249610859,-106.946,0.0102513,100,2.16963e-08,99.978523668,1.00075,-106.949086009,1.00023,1,0.5,2.00064,0.962297,0.01,16.43,0.0096158,99.9773672795,0.000217287,100,-118.1
-106.531772351,7.01172404545,-106.531772351,1.20879,7.01172404545,-106.478,0.0120462,100,3.73729e-07,99.6313925955,1.00347,-106.531772351,1.0048,1,0.5,2.85072,0.892563,0.01,17.55,0.0088948,99.5222613312,0.00376324,100,-117.86
-106.777725277,3.92590621529,-106.777725277,1.19279,3.92590621529,-106.723,0.0120521,100,5.70686e-07,99.4381638934,0.989693,-106.777725277,1.00495,1,0.5,1.97195,0.750458,0.01,16.64,0.00758273,99.5074689842,0.00558983,100,-118.028
-106.74179852,3.37144052954,-106.74179852,1.11315,3.37144052954,-106.728,0.0111311,100,9.63031e-08,99.9047690374,1.00004,-106.74179852,1.00128,1,0.5,1.82569,0.890203,0.01,17.85,0.0089017,99.8721567132,0.000963103,100,-117.844
-106.603809351,6.69035580751,-106.603809351,1.14156,6.69035580751,-106.552,0.0113934,100,4.80237e-07,99.5267995305,1.00195,-106.603809351,1.00482,1,0.5,2.69283,0.774059,0.01,17.46,0.00772549,99.5207854406,0.00482116,100,-117.836
-106.933502597,5.5160939209,-106.933502597,1.24482,5.5160939209,-106.853,0.0124979,100,9.10046e-07,99.1071066256,0.996024,-106.933502597,1.00717,1,0.5,2.33107,0.685632,0.01,17.1,0.00688369,99.2882255635,0.00902824,100,-118.252
-106.655911249,4.08026831854,-106.655911249,1.16751,4.08026831854,-106.627,0.0116024,100,2.84869e-07,99.7187833411,1.00627,-106.655911249,1.00258,1,0.5,1.96924,0.857494,0.01,18.41,0.00852154,99.7424695316,0.0028845,100,-118.103
-106.835033855,4.07883702814,-106.835033855,1.11326,4.07883702814,-106.809,0.0111568,100,1.8749e-07,99.8147477892,0.997834,-106.835033855,1.00235,1,0.5,1.99161,0.896545,0.01,16.44,0.00898491,99.7652926385,0.00186678,100,-118.161
-106.421649767,2.84885930109,-106.421649767,1.15468,2.84885930109,-106.398,0.0115352,100,2.58173e-07,99.7450623294,1.00101,-106.421649767,1.00217,1,0.5,1.66802,0.859709,0.01,16.72,0.00858842,99.78359188,0.00258694,100,-117.534
-106.770877914,3.19960702621,-106.770877914,1.06663,3.19960702621,-106.756,0.0106743,100,1.79198e-07,99.8229070965,0.999256,-106.770877914,1.00128,1,0.5,1.77551,0.863726,0.01,17.15,0.00864369,99.8718951235,0.00178932,100,-117.97
-106.528746554,5.4235349374,-106.528746554,1.33402,5.4235349374,-106.461,0.0135788,100,6.73704e-07,99.3374702019,0.982429,-106.528746554,1.00654,1,0.5,2.51756,0.867101,0.01,17.27,0.0088261,99.3504317072,0.00650236,100,-117.722
-106.999296088,3.95889831211,-106.999296088,1.13297,3.95889831211,-106.971,0.0113268,100,2.93441e-07,99.7103191727,1.00026,-106.999296088,1.00248,1,0.5,1.97423,0.84665,0.01,16.61,0.00846433,99.7530968725,0.00293592,100,-118.181
-106.982326114,7.27456820151,-106.982326114,1.15161,7.27456820151,-106.864,0.0115255,100,1.36335e-06,98.6682495773,0.999185,-106.982326114,1.00947,1,0.5,2.63842,0.47466,0.01,17.85,0.00475047,99.0617683535,0.0136113,100,-118.373
-106.921235191,3.89880058401,-106.921235191,1.07069,3.89880058401,-106.884,0.0106681,100,3.1948e-07,99.6847050146,1.00364,-106.921235191,1.00336,1,0.5,1.93417,0.778004,0.01,17.15,0.00775185,99.6650271683,0.00321809,100,-118.244
-106.708591284,5.50804654271,-106.708591284,1.16752,5.50804654271,-106.68,0.0117166,100,3.38873e-07,99.6656530786,0.996467,-106.708591284,1.00246,1,0.5,2.33734,0.787704,0.01,16.59,0.00790497,99.7550897511,0.00336483,100,-117.996
-106.42729204,4.88436715741,-106.42729204,1.18767,4.88436715741,-106.342,0.011903,100,7.00539e-07,99.3112412699,0.997785,-106.42729204,1.00729,1,0.5,2.11536,0.76943,0.01,18.57,0.00771138,99.2766631068,0.00697439,100,-117.639
-106.542005843,4.77000620188,-106.542005843,1.27274,4.77000620188,-106.504,0.0126788,100,4.39045e-07,99.5672553951,1.00383,-106.542005843,1.00336,1,0.5,2.20064,0.81916,0.01,17.1,0.00816034,99.6646364102,0.00442416,100,-117.932
-107.028154151,6.2174433223,-107.028154151,1.21218,6.2174433223,-106.944,0.0121985,100,8.17729e-07,99.196970166,0.993711,-107.028154151,1.00648,1,0.5,2.38496,0.557564,0.01,17.38,0.00561093,99.3558916924,0.00807477,100,-118.544
-107.030970768,5.19981708037,-107.030970768,1.07721,5.19981708037,-107.008,0.0108135,100,2.3675e-07,99.7661766635,0.996171,-107.030970768,1.00208,1,0.5,2.27023,0.809601,0.01,16.44,0.00812712,99.7927321467,0.00234941,100,-118.334
-106.682419969,5.02172893052,-106.682419969,1.16612,5.02172893052,-106.639,0.0117791,100,3.93367e-07,99.6120559199,0.989989,-106.682419969,1.0037,1,0.5,2.20355,0.793407,0.01,17.05,0.00801431,99.6309716796,0.0038553,100,-118.166
-106.484945015,4.874662996,-106.484945015,1.29528,4.874662996,-106.451,0.0129457,100,3.02849e-07,99.7010667449,1.00055,-106.484945015,1.00301,1,0.5,2.1549,0.779263,0.01,17.44,0.00778833,99.6997695115,0.00303184,100,-118.159
-106.622912987,7.26167239956,-106.622912987,260.643,7.26167239956,-99.2504,0.74198,100,0.00546748,1.81395703728,3.5128,-106.622912987,1.38214,1,0.5,19.0498,0.439749,0.01,19.55,0.00125185,72.35179953,674.675,100,-112.857
-106.215533928,4.1630940477,-106.215533928,1.17163,4.1630940477,-106.195,0.0116245,100,2.42209e-07,99.7608099892,1.0079,-106.215533928,1.00176,1,0.5,2.03094,0.907277,0.01,17.78,0.00900168,99.8238690988,0.0024605,100,-117.381
-106.278813739,3.71850056389,-106.278813739,1.16948,3.71850056389,-106.266,0.0116472,100,9.70214e-08,99.9040411249,1.00409,-106.278813739,1.00114,1,0.5,1.91508,0.926493,0.01,17.25,0.00922723,99.8857731555,0.000978158,100,-117.342
-106.296290849,7.33462291649,-106.296290849,2.13088,7.33462291649,-106.079,0.0209619,100,3.5947e-06,96.563566642,1.01655,-106.296290849,1.02257,1,0.5,3.37047,0.65387,0.01,18.51,0.00643226,97.7928376019,0.0371465,100,-117.354
-106.61491107,3.62245639334,-106.61491107,1.07569,3.62245639334,-106.604,0.0107376,100,7.97298e-08,99.9211329756,1.0018,-106.61491107,1.00106,1,0.5,1.89304,0.913529,0.01,16.08,0.00911888,99.8945633812,0.000800171,100,-118.004
-105.863538761,32.1640911897,-105.863538761,2.72606,32.1640911897,-104.882,0.0279685,100,1.13241e-05,89.9193153395,0.974689,-105.863538761,1.1099,1,0.5,13.3945,0.375609,0.01,18.41,0.00385363,90.0979846602,0.107581,100,-116.656
-105.852185626,22.2869197158,-105.852185626,2.66507,22.2869197158,-104.893,0.027648,100,9.89008e-06,91.0819999999,0.963928,-105.852185626,1.09986,1,0.5,10.1038,0.514304,0.01,19.46,0.00533551,90.9207552119,0.0918944,100,-116.6
-106.283657504,9.52714635281,-106.283657504,2.78123,9.52714635281,-105.874,0.0280491,100,6.33877e-06,94.0951615,0.991561,-106.283657504,1.04392,1,0.5,4.69595,0.645518,0.01,22.85,0.00651012,95.7927883125,0.0623223,100,-117.699
-106.882578185,117.339570108,-106.882578185,1.25536,117.339570108,-106.383,0.0126317,100,2.48395e-06,97.5999058151,0.993821,-106.882578185,1.02185,1,0.5,6.6052,0.471108,0.01,22.26,0.00474038,97.8614483588,0.0245335,100,-126.792
-105.774222391,12.2050196294,-105.774222391,69.3225,12.2050196294,-96.1489,0.470363,100,0.00218138,4.42562599432,1.47381,-105.774222391,2.33762,1,0.5,49.8662,0.0970853,0.01,19.08,0.000658737,42.7785696328,47.3821,100,-113.631
-104.918603505,27.8445501534,-104.918603505,1.64237,27.8445501534,-104.366,0.0167692,100,5.86117e-06,94.5156941427,0.979395,-104.918603505,1.05327,1,0.5,6.47233,0.427892,0.01,27.35,0.00436894,94.9419999393,0.0562211,100,-115.902
-104.36585486,40.5052424948,-104.36585486,2.50795,40.5052424948,-103.533,0.0243999,100,9.50281e-06,91.4011953801,1.02785,-104.36585486,1.07556,1,0.5,7.94073,0.566342,0.01,32.03,0.00550995,92.9752368851,0.100395,100,-115.203
-105.29209432,213.787327726,-105.29209432,1.70474,213.787327726,-104.364,0.0173144,100,4.71321e-06,95.5419510922,0.984581,-105.29209432,1.03555,1,0.5,10.6512,0.256066,0.01,35.09,0.00260076,96.5669973628,0.0456899,100,-126.869
-105.139733515,28.0696615429,-105.139733515,1.56481,28.0696615429,-104.673,0.0161383,100,4.73031e-06,95.5264879088,0.969628,-105.139733515,1.04115,1,0.5,6.07002,0.432444,0.01,29.93,0.00445989,96.0475320676,0.0444734,100,-117.876
-108.025983854,605.087618807,-108.025983854,1.33151,605.087618807,-105.349,0.0136654,100,8.08292e-06,92.5907689249,0.974366,-108.025983854,1.05965,1,0.5,9.42688,0.207936,0.01,43.22,0.00213407,94.371159348,0.0767384,100,-137.938
