ESSRenyi,Bound,AvgEpLen,VarDiscRet,eRenyi2,MaxVanillaIw,VarVanillaIw,VanillaAvgRet,MaxNormIw,AvgNormIw,VarRet,IterType,VarNormIw,Delta,J,BatchSize,VarJ,AvgVanillaIw,EpsThisIter,AvgRet,MinVanillaIw,AvgDiscRet,MinNormIw,ESSClassic
94.126591988,-113.314,21.92,24.3211023913,1.0624,1.83428,0.0506509,-106.007068994,0.0182472,0.01,24.3211023913,1,5.01244e-06,0.7,-105.582,100,6.52806,1.00524,100,-106.007068994,0.542532,-106.007068994,0.00539705,95.2722797346
96.2925354473,-114.005,19.2,11.9421474911,1.0385,2.0497,0.0324655,-106.409197945,0.0207568,0.01,11.9421474911,1,3.32937e-06,0.7,-106.142,100,5.05207,0.987483,100,-106.409197945,0.674222,-106.409197945,0.00682768,96.809109386
97.5665606826,-120.704,24.24,120.347159429,1.02494,1.31791,0.0284625,-107.455212955,0.0131156,0.01,120.347159429,1,2.8189e-06,0.7,-106.998,100,6.26567,1.00484,100,-107.455212955,0.463852,-107.455212955,0.00461619,97.2850398119
95.8539761148,-119.7,26.28,113.155245238,1.04325,1.32664,0.0339406,-106.619288072,0.0128548,0.01,113.155245238,1,3.1867e-06,0.7,-106.063,100,6.94176,1.03202,100,-106.619288072,0.462188,-106.619288072,0.00447846,96.9416506222
94.4956340053,-113.366,21.9,13.5342626185,1.05825,2.37063,0.0793026,-105.907654802,0.0243246,0.01,13.5342626185,1,8.34935e-06,0.7,-105.512,100,3.98232,0.97458,100,-105.907654802,0.395173,-105.907654802,0.00405481,92.365168607
85.1147453957,-113.185,27.36,39.0322606089,1.17488,4.96603,0.279816,-104.841492935,0.0488353,0.01,39.0322606089,1,2.70596e-05,0.7,-103.68,100,9.59535,1.01689,100,-104.841492935,0.121618,-104.841492935,0.00119598,78.8712164281
96.2856165248,-114.044,28.99,24.4467691461,1.03858,1.30716,0.0438111,-105.395933709,0.0131495,0.01,24.4467691461,1,4.4335e-06,0.7,-105.076,100,5.07747,0.994075,100,-105.395933709,0.355055,-105.395933709,0.00357171,95.7953578832
18.4661296996,-99.7808,35.82,183.647217635,5.41532,55.4955,31.8405,-104.356812841,0.391553,0.01,183.647217635,1,0.00158506,0.7,-70.7785,100,211.245,1.41732,100,-104.356812841,0.000663013,-104.356812841,4.67795e-06,5.99085230715
3.7791169134,-196.136,35.82,616.014692789,52.9224,1508.27,23463.6,-104.356812841,0.542219,0.01,183.647217635,,0.00303241,0.7,-106.883,200,21.1118,27.8165,100,-104.356812841,0.0180195,-103.234094214,6.47798e-06,3.22364037031
59.2835912115,-108.621,27.21,32.7991976003,3.37361,32.1363,6.64485,-104.185590918,0.129009,0.005,32.7991976003,1,0.000107087,0.7,-92.4348,200,137.828,1.2455,100,-104.185590918,0.00225557,-104.185590918,9.05484e-06,38.0080293542
