AvgEpLen,EpsThisIter,VarDiscRet,eRenyi2,Delta,MinVanillaIw,AvgDiscRet,AvgRet,MaxNormIw,VanillaAvgRet,Bound,AvgNormIw,AvgVanillaIw,MaxVanillaIw,J,IterType,MinNormIw,VarNormIw,VarVanillaIw,ESSClassic,ESSRenyi,VarRet,VarJ,BatchSize
50.22,100,772.582066797,1.0,0.5,1.0,8.1783845146,8.1783845146,0.005,8.1783845146,-1.08513,0.005,1.0,1.0,3.8131,2,0.005,2.1793e-19,,200.000000102,500.0,772.582066797,28.268,500
44.34,100,1682.65578494,1.0,0.5,1.0,-11.8662794526,-11.8662794526,0.00333333,-11.8662794526,-9.11717,0.00333333,1.0,1.0,-1.41336,2,0.00333333,5.43914e-20,,299.999969474,500.0,1682.65578494,33.8028,500
91.78,100,872.928190399,1.0,0.5,1.0,-10.472217922,-10.472217922,0.0025,-10.472217922,-10.3498,0.0025,1.0,1.0,-3.67808,2,0.0025,5.4346e-20,,400.0,500.0,872.928190399,32.991,500
99.48,100,2020.34433124,1.08236,0.5,0.279665,15.3065859696,15.3065859696,0.0833075,15.3065859696,105.118,0.002,2435.4,101444.0,111.327,1,2.29667e-07,0.000162889,2.41532e+08,12.0074368917,461.952021048,2020.34433124,0.21789,500
53.8,100,413.70538654,1.0,0.5,1.0,-7.27456156276,-7.27456156276,0.01,-7.27456156276,-11.709,0.01,1.0,1.0,-7.27456,2,0.01,3.50449e-18,,100.0,500.0,413.70538654,20.2378,500
42.2,100,1511.91927483,1.0,0.5,1.0,2.25760507829,2.25760507829,0.005,2.25760507829,-8.92781,0.005,1.0,1.0,-2.50848,2,0.005,2.1793e-19,,200.000000102,500.0,1511.91927483,31.2394,500
54.52,100,480.046060246,1.0,0.5,1.0,-0.851806935827,-0.851806935827,0.00333333,-0.851806935827,-7.19762,0.00333333,1.0,1.0,-1.95625,2,0.00333333,5.43914e-20,,299.999969474,500.0,480.046060246,28.4539,500
35.84,100,334.779364945,1.0,0.5,1.0,-4.34669041317,-4.34669041317,0.0025,-4.34669041317,-7.09302,0.0025,1.0,1.0,-2.55386,2,0.0025,5.4346e-20,,400.0,500.0,334.779364945,26.2897,500
46.64,100,1621.56541508,1.08274,0.5,0.427077,8.3139866912,8.3139866912,0.0833127,8.3139866912,86.5372,0.002,3066.81,127752.0,90.7618,1,2.78516e-07,0.00016291,3.83054e+08,12.0059486328,461.790030022,1621.56541508,0.139246,500
32.88,100,371.71485226,1.0,0.5,1.0,-2.58339896084,-2.58339896084,0.01,-2.58339896084,-6.26924,0.01,1.0,1.0,-2.5834,2,0.01,3.50449e-18,,100.0,500.0,371.71485226,19.1833,500
39.58,100,292.671083327,1.0,0.5,1.0,1.71389914948,1.71389914948,0.005,1.71389914948,-3.04103,0.005,1.0,1.0,-0.43475,2,0.005,2.1793e-19,,200.000000102,500.0,292.671083327,18.2616,500
73.92,100,956.368509722,1.0,0.5,1.0,18.6137184345,18.6137184345,0.00333333,18.6137184345,0.764751,0.00333333,1.0,1.0,5.91474,2,0.00333333,5.43914e-20,,299.999969474,500.0,956.368509722,24.8708,500
41.48,100,430.966273138,1.0,0.5,1.0,-4.98975067587,-4.98975067587,0.0025,-4.98975067587,-1.2714,0.0025,1.0,1.0,3.18862,2,0.0025,5.4346e-20,,400.0,500.0,430.966273138,24.3491,500
45.32,100,926.493791448,1.07398,0.5,0.132949,-15.4283118228,-15.4283118228,0.0833042,-15.4283118228,85.0362,0.002,2136.85,89004.3,89.1703,1,1.24434e-07,0.000162876,1.85928e+08,12.0083909119,465.5559105,926.493791448,0.196594,500
50.52,100,1237.68542485,1.0,0.5,1.0,6.97832562018,6.97832562018,0.01,6.97832562018,-1.42275,0.01,1.0,1.0,6.97833,2,0.01,3.50449e-18,,100.0,500.0,1237.68542485,35.0044,500
47.3,100,1629.62849415,1.0,0.5,1.0,34.9297271762,34.9297271762,0.005,34.9297271762,13.4836,0.005,1.0,1.0,20.954,2,0.005,2.1793e-19,,200.000000102,500.0,1629.62849415,40.1826,500
71.36,100,1720.0717021,1.0,0.5,1.0,-10.3343463287,-10.3343463287,0.00333333,-10.3343463287,3.10778,0.00333333,1.0,1.0,10.5246,2,0.00333333,5.43914e-20,,299.999969474,500.0,1720.0717021,43.1462,500
44.24,100,617.463229794,1.0,0.5,1.0,0.887124262683,0.887124262683,0.0025,0.887124262683,1.69208,0.0025,1.0,1.0,8.11521,2,0.0025,5.4346e-20,,400.0,500.0,617.463229794,39.5782,500
30.46,100,275.191070524,1.07832,0.5,0.229359,5.80098405268,5.80098405268,0.083306,5.80098405268,99.6518,0.002,2340.07,97470.8,105.618,1,1.96027e-07,0.000162883,2.22984e+08,12.0078678162,463.685468483,275.191070524,0.197263,500
40.94,100,2530.04760554,1.0,0.5,1.0,-17.7428160666,-17.7428160666,0.01,-17.7428160666,-32.7787,0.01,1.0,1.0,-17.7428,2,0.01,3.50449e-18,,100.0,500.0,2530.04760554,50.0474,500
36.68,100,612.526514156,1.0,0.5,1.0,7.78155192107,7.78155192107,0.005,7.78155192107,-15.6126,0.005,1.0,1.0,-4.98063,2,0.005,2.1793e-19,,200.000000102,500.0,612.526514156,41.4542,500
47.1,100,2441.25092727,1.0,0.5,1.0,-6.68954562425,-6.68954562425,0.00333333,-6.68954562425,-14.2312,0.00333333,1.0,1.0,-5.55027,2,0.00333333,5.43914e-20,,299.999969474,500.0,2441.25092727,44.1802,500
69.54,100,2277.15351904,1.0,0.5,1.0,1.4750579154,1.4750579154,0.0025,1.4750579154,-11.3119,0.0025,1.0,1.0,-3.79394,2,0.0025,5.4346e-20,,400.0,500.0,2277.15351904,45.1306,500
37.82,100,887.467986683,1.07941,0.5,0.122452,-4.51177376619,-4.51177376619,0.099971,-4.51177376619,116.653,0.002,2576.66,128796.0,123.639,1,9.50471e-08,0.000196276,3.25779e+08,10.0058103487,463.216239268,887.467986683,0.253528,500
41.82,100,2281.26430774,1.0,0.5,1.0,-30.6081635089,-30.6081635089,0.01,-30.6081635089,-45.9554,0.01,1.0,1.0,-30.6082,2,0.01,3.50449e-18,,100.0,500.0,2281.26430774,47.5232,500
35.08,100,452.507245188,1.0,0.5,1.0,2.70234465404,2.70234465404,0.005,2.70234465404,-24.8051,0.005,1.0,1.0,-13.9529,2,0.005,2.1793e-19,,200.000000102,500.0,452.507245188,40.3809,500
47.9,100,360.511986861,1.0,0.5,1.0,12.6243201217,12.6243201217,0.00333333,12.6243201217,-13.9546,0.00333333,1.0,1.0,-5.09383,2,0.00333333,5.43914e-20,,299.999969474,500.0,360.511986861,36.919,500
89.36,100,354.373529434,1.0,0.5,1.0,5.43615296066,5.43615296066,0.0025,5.43615296066,-10.135,0.0025,1.0,1.0,-2.46134,2,0.0025,5.4346e-20,,400.0,500.0,354.373529434,33.6267,500
40.26,100,113.232060182,1.06817,0.5,0.0693595,7.86740297545,7.86740297545,0.0999394,7.86740297545,45.7038,0.002,1419.07,70910.6,52.7974,1,9.77533e-08,0.00019615,9.875e+07,10.0121296813,468.08900055,113.232060182,0.19493,500
36.06,100,908.643381277,1.0,0.5,1.0,-5.33421736628,-5.33421736628,0.01,-5.33421736628,-11.0049,0.01,1.0,1.0,-5.33422,2,0.01,3.50449e-18,,100.0,500.0,908.643381277,29.9926,500
44.0,100,1279.32249892,1.0,0.5,1.0,16.5012860102,16.5012860102,0.005,16.5012860102,-0.365675,0.005,1.0,1.0,5.58354,2,0.005,2.1793e-19,,200.000000102,500.0,1279.32249892,34.6733,500
37.1,100,372.615199378,1.0,0.5,1.0,2.81860853274,2.81860853274,0.00333333,2.81860853274,-0.195617,0.00333333,1.0,1.0,4.66189,2,0.00333333,5.43914e-20,,299.999969474,500.0,372.615199378,30.4328,500
36.92,100,583.401024745,1.0,0.5,1.0,10.6019329992,10.6019329992,0.0025,10.6019329992,1.94018,0.0025,1.0,1.0,6.1469,2,0.0025,5.4346e-20,,400.0,500.0,583.401024745,29.0796,500
42.72,100,609.109931204,1.0885,0.5,0.159974,-3.37850274791,-3.37850274791,0.0999799,-3.37850274791,80.1955,0.002,3903.17,195119.0,84.121,1,8.19715e-08,0.000196312,7.47689e+08,10.004024687,459.34650922,609.109931204,0.0964027,500
39.24,100,403.289110406,1.0,0.5,1.0,-4.31642156366,-4.31642156366,0.01,-4.31642156366,-8.12756,0.01,1.0,1.0,-4.31642,2,0.01,3.50449e-18,,100.0,500.0,403.289110406,19.9814,500
89.04,100,1133.083972,1.0,0.5,1.0,-2.03373650979,-2.03373650979,0.005,-2.03373650979,-7.58104,0.005,1.0,1.0,-3.17508,2,0.005,2.1793e-19,,200.000000102,500.0,1133.083972,27.6009,500
46.56,100,2921.63032405,1.0,0.5,1.0,-18.7980144343,-18.7980144343,0.00333333,-18.7980144343,-18.3906,0.00333333,1.0,1.0,-8.38272,2,0.00333333,5.43914e-20,,299.999969474,500.0,2921.63032405,39.0672,500
55.48,100,837.255108519,1.0,0.5,1.0,7.87647931956,7.87647931956,0.0025,7.87647931956,-12.985,0.0025,1.0,1.0,-4.31792,2,0.0025,5.4346e-20,,400.0,500.0,837.255108519,37.4363,500
57.7,100,2714.82257067,1.08077,0.5,0.0604923,21.3158331023,21.3158331023,0.0833098,21.3158331023,88.8759,0.002,2801.67,116703.0,96.935,1,4.31831e-08,0.000162898,3.19661e+08,12.0067787366,462.631432016,2714.82257067,0.151617,500
48.44,100,1238.39771126,1.0,0.5,1.0,6.24168991154,6.24168991154,0.01,6.24168991154,-0.519105,0.01,1.0,1.0,6.24169,2,0.01,3.50449e-18,,100.0,500.0,1238.39771126,35.0145,500
45.0,100,144.524791153,1.0,0.5,1.0,-2.04682368562,-2.04682368562,0.005,-2.04682368562,-2.68317,0.005,1.0,1.0,2.09743,2,0.005,2.1793e-19,,200.000000102,500.0,144.524791153,26.49,500
40.6,100,2853.82792648,1.0,0.5,1.0,11.7616607456,11.7616607456,0.00333333,11.7616607456,-4.35297,0.00333333,1.0,1.0,5.31884,2,0.00333333,5.43914e-20,,299.999969474,500.0,2853.82792648,37.8197,500
67.68,100,3510.78676588,1.0,0.5,1.0,-20.89158744,-20.89158744,0.0025,-20.89158744,-9.6098,0.0025,1.0,1.0,-1.23376,2,0.0025,5.4346e-20,,400.0,500.0,3510.78676588,45.5025,500
40.1,100,281.517902044,1.06963,0.5,0.344898,2.15598568339,2.15598568339,0.0999785,2.15598568339,159.737,0.002,3389.22,169425.0,167.485,1,2.03526e-07,0.000196306,5.63734e+08,10.0043109813,467.453017077,281.517902044,0.253055,500
30.78,100,222.178132838,1.0,0.5,1.0,0.132320247437,0.132320247437,0.01,0.132320247437,-2.62199,0.01,1.0,1.0,0.13232,2,0.01,3.50449e-18,,100.0,500.0,222.178132838,14.8309,500
37.9,100,513.089716669,1.0,0.5,1.0,-2.09887642621,-2.09887642621,0.005,-2.09887642621,-4.82896,0.005,1.0,1.0,-0.983279,2,0.005,2.1793e-19,,200.000000102,500.0,513.089716669,19.1103,500
55.4,100,1102.18344391,1.0,0.5,1.0,2.08568936876,2.08568936876,0.00333333,2.08568936876,-3.75504,0.00333333,1.0,1.0,0.0397117,2,0.00333333,5.43914e-20,,299.999969474,500.0,1102.18344391,24.6836,500
79.28,100,558.283315334,1.0,0.5,1.0,-2.7617200079,-2.7617200079,0.0025,-2.7617200079,-3.947,0.0025,1.0,1.0,-0.660647,2,0.0025,5.4346e-20,,400.0,500.0,558.283315334,24.4256,500
37.36,100,318.479455552,1.06847,0.5,0.157021,9.2473660783,9.2473660783,0.099905,9.2473660783,51.3065,0.002,811.588,40540.9,54.3449,1,3.86948e-07,0.000196012,3.22771e+07,10.0190294597,467.956820333,318.479455552,0.294989,500
30.48,100,201.739348366,1.0,0.5,1.0,-0.775535958765,-0.775535958765,0.01,-0.775535958765,-3.04812,0.01,1.0,1.0,-0.775536,2,0.01,3.50449e-18,,100.0,500.0,201.739348366,14.1323,500
65.9,100,2983.61608142,1.0,0.5,1.0,-22.7435913951,-22.7435913951,0.005,-22.7435913951,-21.1605,0.005,1.0,1.0,-11.7596,2,0.005,2.1793e-19,,200.000000102,500.0,2983.61608142,41.1995,500
90.5,100,1613.42176104,1.0,0.5,1.0,6.47489128855,6.47489128855,0.00333333,6.47489128855,-13.3573,0.00333333,1.0,1.0,-5.68141,2,0.00333333,5.43914e-20,,299.999969474,500.0,1613.42176104,41.6883,500
38.74,100,871.598520833,1.0,0.5,1.0,0.351042152182,0.351042152182,0.0025,0.351042152182,-10.8208,0.0025,1.0,1.0,-4.1733,2,0.0025,5.4346e-20,,400.0,500.0,871.598520833,39.0638,500
58.06,100,1707.06069723,1.08058,0.5,0.200239,-7.7234395752,-7.7234395752,0.0833114,-7.7234395752,81.791,0.002,2811.86,117130.0,87.9716,1,1.42424e-07,0.000162905,3.22004e+08,12.0063112674,462.712479016,1707.06069723,0.150219,500
55.7,100,1924.32442421,1.0,0.5,1.0,-12.6593685535,-12.6593685535,0.01,-12.6593685535,-24.6589,0.01,1.0,1.0,-12.6594,2,0.01,3.50449e-18,,100.0,500.0,1924.32442421,43.6472,500
34.86,100,145.253732913,1.0,0.5,1.0,3.22322762065,3.22322762065,0.005,3.22322762065,-13.203,0.005,1.0,1.0,-4.71807,2,0.005,2.1793e-19,,200.000000102,500.0,145.253732913,32.9773,500
43.5,100,1942.20082362,1.0,0.5,1.0,-2.46034874871,-2.46034874871,0.00333333,-2.46034874871,-10.8934,0.00333333,1.0,1.0,-3.9655,2,0.00333333,5.43914e-20,,299.999969474,500.0,1942.20082362,36.9738,500
66.8,100,1147.97589986,1.0,0.5,1.0,8.65992524632,8.65992524632,0.0025,8.65992524632,-6.80891,0.0025,1.0,1.0,-0.809141,2,0.0025,5.4346e-20,,400.0,500.0,1147.97589986,36.5966,500
80.78,100,876.187045284,1.10415,0.5,0.0122589,15.0382623889,15.0382623889,0.0833202,15.0382623889,65.3826,0.002,5465.5,227693.0,71.0215,1,4.48594e-09,0.00016294,1.21682e+09,12.0037924401,452.835191705,876.187045284,0.0559163,500
51.34,100,944.933689221,1.0,0.5,1.0,2.04936912523,2.04936912523,0.01,2.04936912523,-4.21872,0.01,1.0,1.0,2.04937,2,0.01,3.50449e-18,,100.0,500.0,944.933689221,30.5857,500
42.1,100,66.7891371815,1.0,0.5,1.0,4.4024756096,4.4024756096,0.005,4.4024756096,-1.20628,0.005,1.0,1.0,3.22592,2,0.005,2.1793e-19,,200.000000102,500.0,66.7891371815,22.4095,500
74.7,100,432.232904171,1.0,0.5,1.0,-8.04976822931,-8.04976822931,0.00333333,-8.04976822931,-4.15152,0.00333333,1.0,1.0,-0.53264,2,0.00333333,5.43914e-20,,299.999969474,500.0,432.232904171,22.4874,500
35.76,100,377.846131636,1.0,0.5,1.0,7.77707381799,7.77707381799,0.0025,7.77707381799,-1.58926,0.0025,1.0,1.0,1.54479,2,0.0025,5.4346e-20,,400.0,500.0,377.846131636,22.0392,500
40.24,100,629.480524121,1.08778,0.5,0.210986,-6.57073508577,-6.57073508577,0.0833242,-6.57073508577,59.7336,0.002,6690.23,278729.0,62.6744,1,6.30728e-08,0.000162956,1.82345e+09,12.0026164936,459.650357896,629.480524121,0.0423298,500
41.44,100,1334.50347769,1.0,0.5,1.0,2.20990694728,2.20990694728,0.01,2.20990694728,-6.47244,0.01,1.0,1.0,2.20991,2,0.01,3.50449e-18,,100.0,500.0,1334.50347769,36.3477,500
35.92,100,135.466180827,1.0,0.5,1.0,1.42035220813,1.42035220813,0.005,1.42035220813,-4.32421,0.005,1.0,1.0,1.81513,2,0.005,2.1793e-19,,200.000000102,500.0,135.466180827,26.9776,500
36.58,100,358.192256173,1.0,0.5,1.0,4.40152113206,4.40152113206,0.00333333,4.40152113206,-2.33549,0.00333333,1.0,1.0,2.67726,2,0.00333333,5.43914e-20,,299.999969474,500.0,358.192256173,24.5944,500
46.62,100,1153.6650354,1.0,0.5,1.0,-10.6920015085,-10.6920015085,0.0025,-10.6920015085,-5.00623,0.0025,1.0,1.0,-0.665055,2,0.0025,5.4346e-20,,400.0,500.0,1153.6650354,27.7976,500
70.46,100,3569.45824013,1.10464,0.5,0.0264028,-16.1537628335,-16.1537628335,0.0999924,-16.1537628335,79.4911,0.002,10518.9,525905.0,86.8174,1,5.02007e-09,0.000196362,5.43174e+09,10.0015127171,452.63629662,3569.45824013,0.0431453,500
70.1,100,5825.31825364,1.0,0.5,1.0,-10.7334926412,-10.7334926412,0.01,-10.7334926412,-30.0594,0.01,1.0,1.0,-10.7335,2,0.01,3.50449e-18,,100.0,500.0,5825.31825364,75.9412,500
54.16,100,237.701032486,1.0,0.5,1.0,-6.03659293395,-6.03659293395,0.005,-6.03659293395,-22.0505,0.005,1.0,1.0,-8.38504,2,0.005,2.1793e-19,,200.000000102,500.0,237.701032486,54.8335,500
48.48,100,3881.36451179,1.0,0.5,1.0,-8.23773175021,-8.23773175021,0.00333333,-8.23773175021,-19.4938,0.00333333,1.0,1.0,-8.33594,2,0.00333333,5.43914e-20,,299.999969474,500.0,3881.36451179,57.3178,500
32.8,100,54.204064742,1.0,0.5,1.0,0.74303913522,0.74303913522,0.0025,0.74303913522,-15.7292,0.0025,1.0,1.0,-6.0662,2,0.0025,5.4346e-20,,400.0,500.0,54.204064742,49.9286,500
30.4,100,216.267176014,1.06469,0.5,0.188377,6.83033666463,6.83033666463,0.0999177,6.83033666463,61.6127,0.002,926.677,46295.7,70.5307,1,4.06564e-07,0.000196063,4.20913e+07,10.0164765654,469.621477142,216.267176014,0.394283,500
53.94,100,826.176262405,1.0,0.5,1.0,-0.447536066489,-0.447536066489,0.01,-0.447536066489,-5.59622,0.01,1.0,1.0,-0.447537,2,0.01,3.50449e-18,,100.0,500.0,826.176262405,28.5992,500
41.34,100,3129.96525518,1.0,0.5,1.0,30.9002803836,30.9002803836,0.005,30.9002803836,2.63767,0.005,1.0,1.0,15.2264,2,0.005,2.1793e-19,,200.000000102,500.0,3129.96525518,46.9464,500
37.92,100,417.665823585,1.0,0.5,1.0,-11.7942548518,-11.7942548518,0.00333333,-11.7942548518,-4.05913,0.00333333,1.0,1.0,6.2195,2,0.00333333,5.43914e-20,,299.999969474,500.0,417.665823585,42.0641,500
57.14,100,498.991076247,1.0,0.5,1.0,7.4200575114,7.4200575114,0.0025,7.4200575114,-2.38192,0.0025,1.0,1.0,6.51964,2,0.0025,5.4346e-20,,400.0,500.0,498.991076247,38.0895,500
32.42,100,296.458492183,1.07932,0.5,0.344397,9.06491044827,9.06491044827,0.0833022,9.06491044827,169.696,0.002,1866.85,77756.3,177.967,1,3.6896e-07,0.000162868,1.41904e+08,12.0089576185,463.254354596,296.458492183,0.416687,500
33.8,100,173.714368153,1.0,0.5,1.0,-5.68112844341,-5.68112844341,0.01,-5.68112844341,-9.03244,0.01,1.0,1.0,-5.68113,2,0.01,3.50449e-18,,100.0,500.0,173.714368153,13.114,500
44.26,100,270.36659131,1.0,0.5,1.0,-3.30808067035,-3.30808067035,0.005,-3.30808067035,-6.86434,0.005,1.0,1.0,-4.4946,2,0.005,2.1793e-19,,200.000000102,500.0,270.36659131,14.8737,500
46.58,100,2640.55852937,1.0,0.5,1.0,-12.2279608149,-12.2279608149,0.00333333,-12.2279608149,-14.7909,0.00333333,1.0,1.0,-7.07239,2,0.00333333,5.43914e-20,,299.999969474,500.0,2640.55852937,32.1272,500
35.44,100,782.281091174,1.0,0.5,1.0,11.427629476,11.427629476,0.0025,11.427629476,-9.13179,0.0025,1.0,1.0,-2.44738,2,0.0025,5.4346e-20,,400.0,500.0,782.281091174,32.1233,500
50.58,100,283.755766839,1.10878,0.5,0.00741459,-1.72253694113,-1.72253694113,0.099982,-1.72253694113,75.724,0.002,4732.95,236605.0,82.0195,1,3.13318e-09,0.00019632,1.09944e+09,10.0036085345,450.945540822,283.755766839,0.0969012,500
45.74,100,115.718261483,1.0,0.5,1.0,4.171568616,4.171568616,0.01,4.171568616,1.08511,0.01,1.0,1.0,4.17157,2,0.01,3.50449e-18,,100.0,500.0,115.718261483,10.7033,500
41.88,100,814.240339978,1.0,0.5,1.0,-7.28685584288,-7.28685584288,0.005,-7.28685584288,-6.79084,0.005,1.0,1.0,-1.55764,2,0.005,2.1793e-19,,200.000000102,500.0,814.240339978,22.2071,500
38.76,100,308.531235431,1.0,0.5,1.0,1.55552648875,1.55552648875,0.00333333,1.55552648875,-4.79281,0.00333333,1.0,1.0,-0.51992,2,0.00333333,5.43914e-20,,299.999969474,500.0,308.531235431,20.8024,500
45.78,100,684.994543467,1.0,0.5,1.0,8.32293190806,8.32293190806,0.0025,8.32293190806,-2.00964,0.0025,1.0,1.0,1.69079,2,0.0025,5.4346e-20,,400.0,500.0,684.994543467,22.5555,500
51.56,100,7247.76211715,1.08858,0.5,0.014522,-26.0436052103,-26.0436052103,0.0832766,-26.0436052103,50.15,0.002,1175.11,48929.7,60.6296,1,2.4716e-08,0.000162765,5.61902e+07,12.0163611345,459.311901208,7247.76211715,0.238151,500
52.06,100,626.824358542,1.0,0.5,1.0,4.27895770471,4.27895770471,0.01,4.27895770471,-0.259585,0.01,1.0,1.0,4.27896,2,0.01,3.50449e-18,,100.0,500.0,626.824358542,24.911,500
47.78,100,1565.40496116,1.0,0.5,1.0,1.29619935157,1.29619935157,0.005,1.29619935157,-3.58159,0.005,1.0,1.0,2.78758,2,0.005,2.1793e-19,,200.000000102,500.0,1565.40496116,32.9754,500
35.98,100,240.349649137,1.0,0.5,1.0,-6.13594194358,-6.13594194358,0.00333333,-6.13594194358,-5.38734,0.00333333,1.0,1.0,-0.186929,2,0.00333333,5.43914e-20,,299.999969474,500.0,240.349649137,28.6693,500
33.04,100,809.050355535,1.0,0.5,1.0,8.73554573689,8.73554573689,0.0025,8.73554573689,-2.46,0.0025,1.0,1.0,2.04369,2,0.0025,5.4346e-20,,400.0,500.0,809.050355535,28.8377,500
34.26,100,553.750886283,1.10464,0.5,0.121232,13.3726183338,13.3726183338,0.0999873,13.3726183338,85.8304,0.002,5844.52,292189.0,90.0641,1,4.14857e-08,0.000196342,1.67668e+09,10.0025393941,452.634977752,553.750886283,0.0687748,500
31.76,100,70.5887468044,1.0,0.5,1.0,-1.04200215314,-1.04200215314,0.01,-1.04200215314,-2.29748,0.01,1.0,1.0,-1.042,2,0.01,3.50449e-18,,100.0,500.0,70.5887468044,8.3596,500
49.8,100,14176.0838637,1.0,0.5,1.0,-46.3834538246,-46.3834538246,0.005,-46.3834538246,-49.5478,0.005,1.0,1.0,-23.7127,2,0.005,2.1793e-19,,200.000000102,500.0,14176.0838637,86.9831,500
101.98,100,2662.25796969,1.0,0.5,1.0,-14.2863697804,-14.2863697804,0.00333333,-14.2863697804,-41.6649,0.00333333,1.0,1.0,-20.5706,2,0.00333333,5.43914e-20,,299.999969474,500.0,2662.25796969,77.0865,500
59.74,100,4445.66116804,1.0,0.5,1.0,24.5684587305,24.5684587305,0.0025,24.5684587305,-27.554,0.0025,1.0,1.0,-9.28584,2,0.0025,5.4346e-20,,400.0,500.0,4445.66116804,77.0655,500
152.74,100,2057.24787891,1.09446,0.5,0.0160515,-31.0604687113,-31.0604687113,0.083317,-31.0604687113,139.49,0.002,3885.88,161880.0,156.584,1,8.26144e-09,0.000162927,6.15055e+08,12.0046944964,456.844552643,2057.24787891,0.193475,500
41.98,100,639.315781655,1.0,0.5,1.0,-6.75319516313,-6.75319516313,0.01,-6.75319516313,-13.188,0.01,1.0,1.0,-6.7532,2,0.01,3.50449e-18,,100.0,500.0,639.315781655,25.158,500
38.38,100,427.139092626,1.0,0.5,1.0,-12.3629001409,-12.3629001409,0.005,-12.3629001409,-14.1081,0.005,1.0,1.0,-9.55805,2,0.005,2.1793e-19,,200.000000102,500.0,427.139092626,23.1465,500
40.6,100,402.155124027,1.0,0.5,1.0,3.92746897862,3.92746897862,0.00333333,3.92746897862,-8.77801,0.00333333,1.0,1.0,-5.06288,2,0.00333333,5.43914e-20,,299.999969474,500.0,402.155124027,23.0282,500
28.62,100,192.22161653,1.0,0.5,1.0,-4.88108576393,-4.88108576393,0.0025,-4.88108576393,-8.23483,0.0025,1.0,1.0,-5.01743,2,0.0025,5.4346e-20,,400.0,500.0,192.22161653,21.1023,500
49.34,100,430.172820762,1.09132,0.5,0.152776,5.47060964075,5.47060964075,0.083325,5.47060964075,41.7273,0.002,7888.27,328645.0,44.7336,1,3.87349e-08,0.000162959,2.53503e+09,12.002398306,458.159642535,430.172820762,0.0266215,500
34.98,100,398.775815566,1.0,0.5,1.0,-4.83544027479,-4.83544027479,0.01,-4.83544027479,-9.2351,0.01,1.0,1.0,-4.83544,2,0.01,3.50449e-18,,100.0,500.0,398.775815566,19.8693,500
82.9,100,2155.01611731,1.0,0.5,1.0,8.58315566191,8.58315566191,0.005,8.58315566191,-7.1178,0.005,1.0,1.0,1.87386,2,0.005,2.1793e-19,,200.000000102,500.0,2155.01611731,36.1821,500
32.46,100,323.154324628,1.0,0.5,1.0,8.62047991417,8.62047991417,0.00333333,8.62047991417,-3.21893,0.00333333,1.0,1.0,4.12273,2,0.00333333,5.43914e-20,,299.999969474,500.0,323.154324628,31.4566,500
49.5,100,672.349337552,1.0,0.5,1.0,9.36104737376,9.36104737376,0.0025,9.36104737376,-0.925753,0.0025,1.0,1.0,5.43231,2,0.0025,5.4346e-20,,400.0,500.0,672.349337552,30.2273,500
50.36,100,1841.37363961,1.09589,0.5,0.169765,9.98717009439,9.98717009439,0.0999884,9.98717009439,121.195,0.002,6153.27,307628.0,127.148,1,5.51789e-08,0.000196346,1.85855e+09,10.0023216,456.249755249,1841.37363961,0.091239,500
35.48,100,136.870886105,1.0,0.5,1.0,2.94604828258,2.94604828258,0.01,2.94604828258,-0.00563478,0.01,1.0,1.0,2.94605,2,0.01,3.50449e-18,,100.0,500.0,136.870886105,11.6405,500
37.6,100,1322.33479505,1.0,0.5,1.0,8.70186912703,8.70186912703,0.005,8.70186912703,-0.18997,0.005,1.0,1.0,5.82396,2,0.005,2.1793e-19,,200.000000102,500.0,1322.33479505,27.0294,500
45.12,100,594.980208551,1.0,0.5,1.0,-12.6167255179,-12.6167255179,0.00333333,-12.6167255179,-5.23329,0.00333333,1.0,1.0,-0.322936,2,0.00333333,5.43914e-20,,299.999969474,500.0,594.980208551,27.5494,500
39.3,100,1041.48773102,1.0,0.5,1.0,12.9682901973,12.9682901973,0.0025,12.9682901973,-1.75904,0.0025,1.0,1.0,2.99987,2,0.0025,5.4346e-20,,400.0,500.0,1041.48773102,29.3278,500
41.56,100,1738.99947067,1.07535,0.5,0.228675,8.58148382006,8.58148382006,0.0999467,8.58148382006,95.6211,0.002,1596.33,79773.9,100.273,1,2.86502e-07,0.000196179,1.24979e+08,10.010660279,464.963225782,1738.99947067,0.319394,500
39.34,100,485.363292997,1.0,0.5,1.0,12.1039207002,12.1039207002,0.01,12.1039207002,7.13936,0.01,1.0,1.0,12.1039,2,0.01,3.50449e-18,,100.0,500.0,485.363292997,21.9205,500
43.3,100,517.634045267,1.0,0.5,1.0,-7.12916987565,-7.12916987565,0.005,-7.12916987565,-1.86422,0.005,1.0,1.0,2.48738,2,0.005,2.1793e-19,,200.000000102,500.0,517.634045267,24.2685,500
53.5,100,673.609977267,1.0,0.5,1.0,-9.37516005236,-9.37516005236,0.00333333,-9.37516005236,-5.42347,0.00333333,1.0,1.0,-1.4668,2,0.00333333,5.43914e-20,,299.999969474,500.0,673.609977267,25.4205,500
40.8,100,209.74940696,1.0,0.5,1.0,4.5165103413,4.5165103413,0.0025,4.5165103413,-3.39755,0.0025,1.0,1.0,0.0290255,2,0.0025,5.4346e-20,,400.0,500.0,209.74940696,23.3083,500
