AvgDiscRet,VanillaAvgRet,ESSRenyi,AvgRet,VarRet,MaxNormIw,VarJ,ESSClassic,VarVanillaIw,EpsThisIter,MinVanillaIw,AvgNormIw,MaxVanillaIw,IterType,AvgVanillaIw,eRenyi2,J,VarDiscRet,BatchSize,Delta,AvgEpLen,VarNormIw,Bound,MinNormIw
1524.08452731,1524.08452731,48.2504220168,1524.08452731,208089.681516,0.34545,3752.21,7.90270434799,23.7948,100,0.0831913,0.01,49.1144,1,1.42175,2.07252,2157.07,208089.681516,100,0.1,165.19,0.00117716,761.037,0.000585133
1537.14128755,1537.14128755,40.657561739,1537.14128755,288230.75081,0.514265,4027.64,3.71553307016,83.4688,100,0.0706933,0.01,91.8331,1,1.78571,2.45957,2401.51,288230.75081,100,0.1,167.08,0.00261758,907.459,0.000395882
1593.32670973,1593.32670973,86.3549952198,1593.32670973,249047.753176,0.0230497,624.105,82.8147862312,0.214475,100,0.186914,0.01,2.33157,1,1.01154,1.15801,1726.84,249047.753176,100,0.1,172.77,2.0961e-05,681.314,0.00184782
1615.95631208,1615.95631208,59.9975167349,1615.95631208,223109.265924,0.241065,2212.74,14.9094942171,10.6318,100,0.182744,0.01,32.7374,1,1.35804,1.66674,1983.28,223109.265924,100,0.1,175.39,0.000576478,867.355,0.00134565
1688.94443385,1688.94443385,76.8524514228,1688.94443385,331432.263559,0.0599469,859.503,62.9286468543,0.611234,100,0.123035,0.01,6.07565,1,1.01351,1.30119,1893.77,331432.263559,100,0.1,183.33,5.95052e-05,808.931,0.00121396
1681.55124897,1681.55124897,55.486263019,1681.55124897,280977.882678,0.278968,2645.27,11.4951284733,12.7592,100,0.0294657,0.01,35.732,1,1.28086,1.80225,2103.19,280977.882678,100,0.1,182.75,0.000777711,881.278,0.000230045
1781.8692229,1781.8692229,63.4820914849,1781.8692229,330345.787188,0.510419,2278.21,3.78818105725,119.753,100,0.311686,0.01,110.278,1,2.16054,1.57525,2269.98,330345.787188,100,0.1,193.37,0.00256544,966.354,0.00144263
1759.99816625,1759.99816625,49.0674123811,1759.99816625,338528.103916,0.344731,2725.79,7.775581038,30.3264,100,0.0866525,0.01,54.8469,1,1.591,2.03801,2351.5,338528.103916,100,0.1,191.18,0.00119806,968.249,0.00054464
1849.82032922,1849.82032922,87.6260107128,1849.82032922,400369.259678,0.0189665,760.133,86.1493306044,0.161145,100,0.21592,0.01,1.88931,1,0.996132,1.14121,1982.71,400369.259678,100,0.1,201.1,1.62399e-05,760.57,0.00216759
1848.42299244,1848.42299244,45.2680996137,1848.42299244,527226.727327,0.465573,4484.74,4.49148785752,65.2096,100,0.0372725,0.01,81.1215,1,1.7424,2.20906,2799.07,527226.727327,100,0.1,201.06,0.00214791,745.496,0.000213915
1958.272039,1958.272039,77.7571091431,1958.272039,708703.208784,0.056733,1657.95,69.3104723101,0.480471,100,0.142063,0.01,5.88019,1,1.03647,1.28606,2260.52,708703.208784,100,0.1,212.6,4.47256e-05,673.751,0.00137065
2032.19617508,2032.19617508,86.2341851203,2032.19617508,455628.695026,0.0280013,803.233,80.7090588258,0.273129,100,0.351692,0.01,2.97827,1,1.06362,1.15963,2211.26,455628.695026,100,0.1,220.67,2.41432e-05,854.758,0.00330656
2113.88320304,2113.88320304,56.7760460353,2113.88320304,586008.067518,0.169938,2599.19,22.7138262021,3.79765,100,0.0171434,0.01,17.8632,1,1.05116,1.76131,2764.99,586008.067518,100,0.1,229.76,0.000343697,928.987,0.00016309
2303.00588311,2303.00588311,72.3620351477,2303.00588311,676096.382258,0.058333,1497.74,62.7720504702,0.601925,100,0.244394,0.01,5.84725,1,1.00239,1.38194,2701.86,676096.382258,100,0.1,250.06,5.99057e-05,1058.15,0.00243811
2491.20925994,2491.20925994,44.2083184455,2491.20925994,651044.139665,0.60746,4645.48,2.69083664024,176.704,100,0.0219784,0.01,133.606,1,2.19942,2.26202,3896.1,651044.139665,100,0.1,270.47,0.00365285,1796.78,9.99281e-05
