Delta,AvgDiscRet,AvgVanillaIw,AvgEpLen,AvgRet,ESSClassic,MaxVanillaIw,VanillaAvgRet,MinVanillaIw,AvgNormIw,VarVanillaIw,BatchSize,Bound,VarDiscRet,VarNormIw,EpsThisIter,J,IterType,eRenyi2,MaxNormIw,VarRet,ESSRenyi,MinNormIw,VarJ
1.0,-78.9786289083,1.0,445.53,-78.9786289083,200.000000102,1.0,-78.9786289083,1.0,0.005,,500,-79.0645,1606.51174061,2.1793e-19,100,-79.0645,2,1.0,0.005,1606.51174061,500.0,0.005,39.7168
1.0,-72.8062756956,1.0,460.29,-72.8062756956,299.999969474,1.0,-72.8062756956,1.0,0.00333333,,500,-76.9784,1383.66499175,5.43914e-20,100,-76.9784,2,1.0,0.00333333,1383.66499175,500.0,0.00333333,38.9478
1.0,-81.1627337974,1.0,438.84,-81.1627337974,400.0,1.0,-81.1627337974,1.0,0.0025,,500,-78.0245,1586.66447965,5.4346e-20,100,-78.0245,2,1.0,0.0025,1586.66447965,500.0,0.0025,39.1622
1.0,-80.4088968405,1.21694,461.68,-80.4088968405,20.0669309007,133.592,-80.4088968405,0.329462,0.002,35.4901,500,-73.6624,1323.73048258,9.58582e-05,100,-73.6624,1,inf,0.219554,1323.73048258,,0.00054146,67.9468
1.0,-75.9643169248,1.0,455.74,-75.9643169248,100.0,1.0,-75.9643169248,1.0,0.01,,500,-75.9643,1194.33186961,3.50449e-18,100,-75.9643,2,1.0,0.01,1194.33186961,500.0,0.01,34.3859
1.0,-76.0280079019,1.0,432.5,-76.0280079019,200.000000102,1.0,-76.0280079019,1.0,0.005,,500,-75.9962,1699.71122227,2.1793e-19,100,-75.9962,2,1.0,0.005,1699.71122227,500.0,0.005,37.8491
1.0,-78.3501488107,1.0,461.74,-78.3501488107,299.999969474,1.0,-78.3501488107,1.0,0.00333333,,500,-76.7808,1204.57575268,5.43914e-20,100,-76.7808,2,1.0,0.00333333,1204.57575268,500.0,0.00333333,36.7937
1.0,-82.86092207,1.0,442.46,-82.86092207,400.0,1.0,-82.86092207,1.0,0.0025,,500,-78.3008,1497.41181813,5.4346e-20,100,-78.3008,2,1.0,0.0025,1497.41181813,500.0,0.0025,37.3212
1.0,-73.1239882938,0.960204,455.86,-73.1239882938,80.9737953828,35.5747,-73.1239882938,1.4958e-07,0.002,4.78072,500,-70.3609,1214.26621601,2.07408e-05,100,-70.3609,1,inf,0.0740982,1214.26621601,,3.11558e-10,76.5241
1.0,-81.2236622762,1.0,457.69,-81.2236622762,100.0,1.0,-81.2236622762,1.0,0.01,,500,-81.2237,1299.9116021,3.50449e-18,100,-81.2237,2,1.0,0.01,1299.9116021,500.0,0.01,35.8736
1.0,-77.3044748005,1.0,453.89,-77.3044748005,200.000000102,1.0,-77.3044748005,1.0,0.005,,500,-79.2641,1631.94160547,2.1793e-19,100,-79.2641,2,1.0,0.005,1631.94160547,500.0,0.005,38.1459
1.0,-78.2390111715,1.0,469.9,-78.2390111715,299.999969474,1.0,-78.2390111715,1.0,0.00333333,,500,-78.9224,1651.35493313,5.43914e-20,100,-78.9224,2,1.0,0.00333333,1651.35493313,500.0,0.00333333,38.9262
1.0,-79.8322047422,1.0,423.79,-79.8322047422,400.0,1.0,-79.8322047422,1.0,0.0025,,500,-79.1498,1724.5551279,5.4346e-20,100,-79.1498,2,1.0,0.0025,1724.5551279,500.0,0.0025,39.5401
1.0,-81.2290252305,1.09093,458.25,-81.2290252305,116.638525842,31.2014,-81.2290252305,0.0023256,0.002,3.91947,500,-71.3637,1419.19990575,1.31733e-05,100,-71.3637,1,inf,0.0572016,1419.19990575,,4.26353e-06,105.302
1.0,-80.55316554,1.0,431.85,-80.55316554,100.0,1.0,-80.55316554,1.0,0.01,,500,-80.5532,1694.54140204,3.50449e-18,100,-80.5532,2,1.0,0.01,1694.54140204,500.0,0.01,40.9585
1.0,-80.0705582167,1.0,459.73,-80.0705582167,200.000000102,1.0,-80.0705582167,1.0,0.005,,500,-80.3119,1426.07006429,2.1793e-19,100,-80.3119,2,1.0,0.005,1426.07006429,500.0,0.005,39.3034
1.0,-79.5603104926,1.0,451.3,-79.5603104926,299.999969474,1.0,-79.5603104926,1.0,0.00333333,,500,-80.0613,1453.3385431,5.43914e-20,100,-80.0613,2,1.0,0.00333333,1453.3385431,500.0,0.00333333,38.8532
1.0,-80.459750815,1.0,439.24,-80.459750815,400.0,1.0,-80.459750815,1.0,0.0025,,500,-80.1609,1476.13635492,5.4346e-20,100,-80.1609,2,1.0,0.0025,1476.13635492,500.0,0.0025,38.6982
1.0,-74.7977644953,0.996384,460.84,-74.7977644953,145.751932072,21.2381,-74.7977644953,0.0175481,0.002,2.41777,500,-73.6545,1295.29038437,9.74142e-06,100,-73.6545,1,inf,0.0426303,1295.29038437,,3.52235e-05,57.7953
1.0,-77.0773281527,1.0,431.97,-77.0773281527,100.0,1.0,-77.0773281527,1.0,0.01,,500,-77.0773,1688.31526659,3.50449e-18,100,-77.0773,2,1.0,0.01,1688.31526659,500.0,0.01,40.8831
1.0,-81.2548847235,1.0,446.82,-81.2548847235,200.000000102,1.0,-81.2548847235,1.0,0.005,,500,-79.1661,1308.82815295,2.1793e-19,100,-79.1661,2,1.0,0.005,1308.82815295,500.0,0.005,38.5739
1.0,-79.7435625467,1.0,446.59,-79.7435625467,299.999969474,1.0,-79.7435625467,1.0,0.00333333,,500,-79.3586,1583.29796266,5.43914e-20,100,-79.3586,2,1.0,0.00333333,1583.29796266,500.0,0.00333333,38.9169
1.0,-74.1503928647,1.0,448.49,-74.1503928647,400.0,1.0,-74.1503928647,1.0,0.0025,,500,-78.0565,1609.89323008,5.4346e-20,100,-78.0565,2,1.0,0.0025,1609.89323008,500.0,0.0025,39.2356
1.0,-84.0497615689,0.888456,438.28,-84.0497615689,166.961709119,14.9563,-84.0497615689,0.000217678,0.002,1.57768,500,-74.6629,1515.15331155,7.99478e-06,100,-74.6629,1,inf,0.0336681,1515.15331155,,4.90013e-07,59.8479
1.0,-82.7791811519,1.0,455.69,-82.7791811519,100.0,1.0,-82.7791811519,1.0,0.01,,500,-82.7792,1566.38320083,3.50449e-18,100,-82.7792,2,1.0,0.01,1566.38320083,500.0,0.01,39.3792
1.0,-81.2573991499,1.0,462.91,-81.2573991499,200.000000102,1.0,-81.2573991499,1.0,0.005,,500,-82.0183,1732.0395961,2.1793e-19,100,-82.0183,2,1.0,0.005,1732.0395961,500.0,0.005,40.4141
1.0,-81.7029592743,1.0,436.81,-81.7029592743,299.999969474,1.0,-81.7029592743,1.0,0.00333333,,500,-81.9132,1711.96071666,5.43914e-20,100,-81.9132,2,1.0,0.00333333,1711.96071666,500.0,0.00333333,40.6674
1.0,-81.8590606594,1.0,436.05,-81.8590606594,400.0,1.0,-81.8590606594,1.0,0.0025,,500,-81.8997,1662.74178565,5.4346e-20,100,-81.8997,2,1.0,0.0025,1662.74178565,500.0,0.0025,40.6436
1.0,-85.7238323305,1.02793,410.74,-85.7238323305,240.026231218,13.6497,-85.7238323305,0.116726,0.002,1.14675,500,-78.8987,2024.80030621,4.34111e-06,100,-78.8987,1,inf,0.0265576,2024.80030621,,0.000227108,57.7545
1.0,-74.7365654708,1.0,449.59,-74.7365654708,100.0,1.0,-74.7365654708,1.0,0.01,,500,-74.7366,1107.5464859,3.50449e-18,100,-74.7366,2,1.0,0.01,1107.5464859,500.0,0.01,33.113
1.0,-77.0521479539,1.0,447.37,-77.0521479539,200.000000102,1.0,-77.0521479539,1.0,0.005,,500,-75.8944,1241.78280503,2.1793e-19,100,-75.8944,2,1.0,0.005,1241.78280503,500.0,0.005,34.1212
1.0,-83.1678690459,1.0,472.36,-83.1678690459,299.999969474,1.0,-83.1678690459,1.0,0.00333333,,500,-78.3189,1879.892525,5.43914e-20,100,-78.3189,2,1.0,0.00333333,1879.892525,500.0,0.00333333,37.5272
1.0,-77.5913704118,1.0,450.42,-77.5913704118,400.0,1.0,-77.5913704118,1.0,0.0025,,500,-78.137,1408.69701865,5.4346e-20,100,-78.137,2,1.0,0.0025,1408.69701865,500.0,0.0025,37.483
1.0,-75.7984354295,1.03911,437.06,-75.7984354295,126.976016337,36.9063,-75.7984354295,0.270421,0.002,3.17838,500,-73.988,1531.77909292,1.17746e-05,100,-73.988,1,inf,0.0710346,1531.77909292,,0.000520487,63.3878
1.0,-75.9276026587,1.0,440.03,-75.9276026587,100.0,1.0,-75.9276026587,1.0,0.01,,500,-75.9276,1078.07738263,3.50449e-18,100,-75.9276,2,1.0,0.01,1078.07738263,500.0,0.01,32.6695
1.0,-76.993144627,1.0,459.01,-76.993144627,200.000000102,1.0,-76.993144627,1.0,0.005,,500,-76.4604,1602.31793381,2.1793e-19,100,-76.4604,2,1.0,0.005,1602.31793381,500.0,0.005,36.4291
1.0,-75.2501235442,1.0,460.47,-75.2501235442,299.999969474,1.0,-75.2501235442,1.0,0.00333333,,500,-76.057,1907.03956624,5.43914e-20,100,-76.057,2,1.0,0.00333333,1907.03956624,500.0,0.00333333,38.9149
1.0,-83.9111991496,1.0,442.92,-83.9111991496,400.0,1.0,-83.9111991496,1.0,0.0025,,500,-78.0205,1735.9055881,5.4346e-20,100,-78.0205,2,1.0,0.0025,1735.9055881,500.0,0.0025,39.7112
1.0,-78.6731418709,2.97423e-27,424.92,-78.6731418709,inf,1.48712e-24,-78.6731418709,,0.002,,500,-14.785,1846.87718743,0.002,100,-14.785,1,4.82766e+13,1.0,1846.87718743,1.03569758832e-11,,
1.0,-67.7783980047,1.0,459.56,-67.7783980047,100.0,1.0,-67.7783980047,1.0,0.01,,500,-67.7784,1391.89864126,3.50449e-18,100,-67.7784,2,1.0,0.01,1391.89864126,500.0,0.01,37.1211
1.0,-75.5348369881,1.0,475.23,-75.5348369881,200.000000102,1.0,-75.5348369881,1.0,0.005,,500,-71.6566,935.783608274,2.1793e-19,100,-71.6566,2,1.0,0.005,935.783608274,500.0,0.005,34.1649
1.0,-73.7945419432,1.0,462.35,-73.7945419432,299.999969474,1.0,-73.7945419432,1.0,0.00333333,,500,-72.3693,1205.6892663,5.43914e-20,100,-72.3693,2,1.0,0.00333333,1205.6892663,500.0,0.00333333,34.3082
1.0,-74.4311894587,1.0,460.62,-74.4311894587,400.0,1.0,-74.4311894587,1.0,0.0025,,500,-72.8847,1273.70698986,5.4346e-20,100,-72.8847,2,1.0,0.0025,1273.70698986,500.0,0.0025,34.6241
1.0,-81.1621078792,1.02067,456.42,-81.1621078792,117.394414483,30.5129,-81.1621078792,0.01905,0.002,3.40205,500,-68.0284,1720.01766496,1.30627e-05,100,-68.0284,1,inf,0.0597902,1720.01766496,,3.73286e-05,69.8716
1.0,-73.6943981827,1.0,481.98,-73.6943981827,100.0,1.0,-73.6943981827,1.0,0.01,,500,-73.6944,1200.53769752,3.50449e-18,100,-73.6944,2,1.0,0.01,1200.53769752,500.0,0.01,34.4751
1.0,-74.9813916652,1.0,468.59,-74.9813916652,200.000000102,1.0,-74.9813916652,1.0,0.005,,500,-74.3379,1357.07649046,2.1793e-19,100,-74.3379,2,1.0,0.005,1357.07649046,500.0,0.005,35.587
1.0,-75.518695252,1.0,472.45,-75.518695252,299.999969474,1.0,-75.518695252,1.0,0.00333333,,500,-74.7315,1208.19900238,5.43914e-20,100,-74.7315,2,1.0,0.00333333,1208.19900238,500.0,0.00333333,35.2605
1.0,-81.1390385855,1.0,455.56,-81.1390385855,400.0,1.0,-81.1390385855,1.0,0.0025,,500,-76.3334,1372.13637281,5.4346e-20,100,-76.3334,2,1.0,0.0025,1372.13637281,500.0,0.0025,35.774
1.0,-70.6548609958,1.13438,470.56,-70.6548609958,203.332902323,18.7404,-70.6548609958,0.0843557,0.002,1.88124,500,-70.8897,1225.79423094,5.84778e-06,100,-70.8897,1,inf,0.0330409,1225.79423094,,0.000148726,47.8639
1.0,-74.8187390214,1.0,477.64,-74.8187390214,100.0,1.0,-74.8187390214,1.0,0.01,,500,-74.8187,1370.83195004,3.50449e-18,100,-74.8187,2,1.0,0.01,1370.83195004,500.0,0.01,36.8392
1.0,-74.0941113023,1.0,471.04,-74.0941113023,200.000000102,1.0,-74.0941113023,1.0,0.005,,500,-74.4564,988.790017678,2.1793e-19,100,-74.4564,2,1.0,0.005,988.790017678,500.0,0.005,34.1781
1.0,-72.958474722,1.0,457.18,-72.958474722,299.999969474,1.0,-72.958474722,1.0,0.00333333,,500,-73.9571,1390.40405377,5.43914e-20,100,-73.9571,2,1.0,0.00333333,1390.40405377,500.0,0.00333333,35.1866
1.0,-77.0652856782,1.0,462.41,-77.0652856782,400.0,1.0,-77.0652856782,1.0,0.0025,,500,-74.7341,1265.14973933,5.4346e-20,100,-74.7341,2,1.0,0.0025,1265.14973933,500.0,0.0025,35.2634
1.0,-71.0538550592,5.10744e-37,470.82,-71.0538550592,inf,2.55372e-34,-71.0538550592,,0.002,,500,-25.0696,1148.70067601,0.002,100,-25.0696,1,382483.0,1.0,1148.70067601,0.00130724604029,,
1.0,-71.7537444597,1.0,478.86,-71.7537444597,100.0,1.0,-71.7537444597,1.0,0.01,,500,-71.7537,1300.8541682,3.50449e-18,100,-71.7537,2,1.0,0.01,1300.8541682,500.0,0.01,35.8866
1.0,-77.3134101896,1.0,458.03,-77.3134101896,200.000000102,1.0,-77.3134101896,1.0,0.005,,500,-74.5336,1413.75860468,2.1793e-19,100,-74.5336,2,1.0,0.005,1413.75860468,500.0,0.005,36.7622
1.0,-74.8515818144,1.0,477.68,-74.8515818144,299.999969474,1.0,-74.8515818144,1.0,0.00333333,,500,-74.6396,1183.07859811,5.43914e-20,100,-74.6396,2,1.0,0.00333333,1183.07859811,500.0,0.00333333,35.9362
1.0,-67.672636226,1.0,457.16,-67.672636226,400.0,1.0,-67.672636226,1.0,0.0025,,500,-72.8978,1293.10560944,5.4346e-20,100,-72.8978,2,1.0,0.0025,1293.10560944,500.0,0.0025,36.0237
1.0,-79.5140179773,0.10408,471.01,-79.5140179773,2.63003171336,28.6219,-79.5140179773,1.29413e-35,0.002,2.05269,500,-22.3901,1507.63750979,0.000757963,100,-22.3901,1,inf,0.549996,1507.63750979,,2.48679e-37,234.644
1.0,-75.7245569691,1.0,468.56,-75.7245569691,100.0,1.0,-75.7245569691,1.0,0.01,,500,-75.7245,1059.14894198,3.50449e-18,100,-75.7245,2,1.0,0.01,1059.14894198,500.0,0.01,32.3814
1.0,-75.7447152478,1.0,467.46,-75.7447152478,200.000000102,1.0,-75.7447152478,1.0,0.005,,500,-75.7346,1334.59639865,2.1793e-19,100,-75.7346,2,1.0,0.005,1334.59639865,500.0,0.005,34.4224
1.0,-79.472112224,1.0,459.53,-79.472112224,299.999969474,1.0,-79.472112224,1.0,0.00333333,,500,-76.9805,1437.90346383,5.43914e-20,100,-76.9805,2,1.0,0.00333333,1437.90346383,500.0,0.00333333,35.6026
1.0,-71.6759213504,1.0,469.17,-71.6759213504,400.0,1.0,-71.6759213504,1.0,0.0025,,500,-75.6543,1511.76815916,5.4346e-20,100,-75.6543,2,1.0,0.0025,1511.76815916,500.0,0.0025,36.4705
1.0,-77.0021916666,0.924156,474.19,-77.0021916666,125.241997757,20.4711,-77.0021916666,0.00220223,0.002,2.56071,500,-69.0536,1206.58238218,1.19931e-05,100,-69.0536,1,inf,0.0443024,1206.58238218,,4.76594e-06,66.4146
1.0,-69.4360508416,1.0,462.01,-69.4360508416,100.0,1.0,-69.4360508416,1.0,0.01,,500,-69.4361,963.988426274,3.50449e-18,100,-69.4361,2,1.0,0.01,963.988426274,500.0,0.01,30.8925
1.0,-72.269043892,1.0,478.11,-72.269043892,200.000000102,1.0,-72.269043892,1.0,0.005,,500,-70.8526,1405.85399104,2.1793e-19,100,-70.8526,2,1.0,0.005,1405.85399104,500.0,0.005,34.2794
1.0,-79.2954622552,1.0,480.38,-79.2954622552,299.999969474,1.0,-79.2954622552,1.0,0.00333333,,500,-73.6669,1296.18870885,5.43914e-20,100,-73.6669,2,1.0,0.00333333,1296.18870885,500.0,0.00333333,35.0281
1.0,-71.20346383,1.0,475.4,-71.20346383,400.0,1.0,-71.20346383,1.0,0.0025,,500,-73.051,969.385167887,5.4346e-20,100,-73.051,2,1.0,0.0025,969.385167887,500.0,0.0025,34.0777
1.0,-76.6761104827,1.02815,476.73,-76.6761104827,249.407522801,12.6457,-76.6761104827,0.212594,0.002,1.06423,500,-70.8499,1408.36645379,4.02706e-06,100,-70.8499,1,inf,0.0245991,1408.36645379,,0.000413549,48.792
1.0,-78.8490369037,1.0,481.23,-78.8490369037,100.0,1.0,-78.8490369037,1.0,0.01,,500,-78.849,1102.99106247,3.50449e-18,100,-78.849,2,1.0,0.01,1102.99106247,500.0,0.01,33.0448
1.0,-68.1968378911,1.0,475.99,-68.1968378911,200.000000102,1.0,-68.1968378911,1.0,0.005,,500,-73.5229,1342.01961151,2.1793e-19,100,-73.5229,2,1.0,0.005,1342.01961151,500.0,0.005,35.1944
1.0,-76.6917871821,1.0,465.49,-76.6917871821,299.999969474,1.0,-76.6917871821,1.0,0.00333333,,500,-74.5792,1326.88788419,5.43914e-20,100,-74.5792,2,1.0,0.00333333,1326.88788419,500.0,0.00333333,35.5791
1.0,-74.8360817497,1.0,465.02,-74.8360817497,400.0,1.0,-74.8360817497,1.0,0.0025,,500,-74.6434,1630.40921876,5.4346e-20,100,-74.6434,2,1.0,0.0025,1630.40921876,500.0,0.0025,36.7823
1.0,-81.6737277657,1.18302,458.69,-81.6737277657,55.4070444879,70.8634,-81.6737277657,0.0332906,0.002,11.2526,500,-69.7572,1365.32057371,3.21608e-05,100,-69.7572,1,575.443,0.119801,1365.32057371,0.868895339371,5.62805e-05,75.7148
1.0,-73.168383376,1.0,483.77,-73.168383376,100.0,1.0,-73.168383376,1.0,0.01,,500,-73.1684,1048.76747477,3.50449e-18,100,-73.1684,2,1.0,0.01,1048.76747477,500.0,0.01,32.2224
1.0,-79.8680734437,1.0,457.69,-79.8680734437,200.000000102,1.0,-79.8680734437,1.0,0.005,,500,-76.5182,1234.33823057,2.1793e-19,100,-76.5182,2,1.0,0.005,1234.33823057,500.0,0.005,33.784
1.0,-73.2701443883,1.0,473.19,-73.2701443883,299.999969474,1.0,-73.2701443883,1.0,0.00333333,,500,-75.4355,1242.90280604,5.43914e-20,100,-75.4355,2,1.0,0.00333333,1242.90280604,500.0,0.00333333,34.255
1.0,-75.7929790927,1.0,470.29,-75.7929790927,400.0,1.0,-75.7929790927,1.0,0.0025,,500,-75.5249,1344.60813723,5.4346e-20,100,-75.5249,2,1.0,0.0025,1344.60813723,500.0,0.0025,34.8263
1.0,-77.2558487616,1.09098,468.51,-77.2558487616,118.971513795,36.7137,-77.2558487616,0.0802629,0.002,3.81959,500,-71.1537,1107.65598437,1.28364e-05,100,-71.1537,1,6.18382e+13,0.0673042,1107.65598437,8.08561411733e-12,0.000147139,67.4501
1.0,-75.3268413556,1.0,483.76,-75.3268413556,100.0,1.0,-75.3268413556,1.0,0.01,,500,-75.3268,1476.19405403,3.50449e-18,100,-75.3268,2,1.0,0.01,1476.19405403,500.0,0.01,38.2287
1.0,-73.5001517634,1.0,464.38,-73.5001517634,200.000000102,1.0,-73.5001517634,1.0,0.005,,500,-74.4135,1245.51348685,2.1793e-19,100,-74.4135,2,1.0,0.005,1245.51348685,500.0,0.005,36.7162
1.0,-76.3550894974,1.0,475.17,-76.3550894974,299.999969474,1.0,-76.3550894974,1.0,0.00333333,,500,-75.0607,1382.68938744,5.43914e-20,100,-75.0607,2,1.0,0.00333333,1382.68938744,500.0,0.00333333,36.8218
1.0,-74.2919816634,1.0,472.94,-74.2919816634,400.0,1.0,-74.2919816634,1.0,0.0025,,500,-74.8685,1010.52392793,5.4346e-20,100,-74.8685,2,1.0,0.0025,1010.52392793,500.0,0.0025,35.5963
1.0,-77.81136754,0.99357,470.23,-77.81136754,82.0995495404,30.0007,-77.81136754,0.184561,0.002,5.03499,500,-69.63,1292.557382,2.04015e-05,100,-69.63,1,inf,0.0603897,1292.557382,,0.00037151,45.336
1.0,-77.4410738922,1.0,463.75,-77.4410738922,100.0,1.0,-77.4410738922,1.0,0.01,,500,-77.4411,1621.56414943,3.50449e-18,100,-77.4411,2,1.0,0.01,1621.56414943,500.0,0.01,40.0668
1.0,-74.1312661972,1.0,473.2,-74.1312661972,200.000000102,1.0,-74.1312661972,1.0,0.005,,500,-75.7862,1088.97575919,2.1793e-19,100,-75.7862,2,1.0,0.005,1088.97575919,500.0,0.005,36.6668
1.0,-74.58851474,1.0,474.36,-74.58851474,299.999969474,1.0,-74.58851474,1.0,0.00333333,,500,-75.387,1063.41620378,5.43914e-20,100,-75.387,2,1.0,0.00333333,1063.41620378,500.0,0.00333333,35.3207
1.0,-74.8665984352,1.0,465.94,-74.8665984352,400.0,1.0,-74.8665984352,1.0,0.0025,,500,-75.2569,1027.26607154,5.4346e-20,100,-75.2569,2,1.0,0.0025,1027.26607154,500.0,0.0025,34.4958
1.0,-73.7323886979,0.581649,458.67,-73.7323886979,4.15316343931,136.225,-73.7323886979,2.852e-17,0.002,40.4725,500,-52.2442,1121.69238195,0.000478518,100,-52.2442,1,inf,0.46841,1121.69238195,,9.80662e-20,167.825
1.0,-69.9934780348,1.0,493.2,-69.9934780348,100.0,1.0,-69.9934780348,1.0,0.01,,500,-69.9935,915.181551309,3.50449e-18,100,-69.9935,2,1.0,0.01,915.181551309,500.0,0.01,30.1003
1.0,-74.9492899527,1.0,477.1,-74.9492899527,200.000000102,1.0,-74.9492899527,1.0,0.005,,500,-72.4714,887.758710571,2.1793e-19,100,-72.4714,2,1.0,0.005,887.758710571,500.0,0.005,29.9766
1.0,-70.8947372758,1.0,452.1,-70.8947372758,299.999969474,1.0,-70.8947372758,1.0,0.00333333,,500,-71.9458,1380.64560818,5.43914e-20,100,-71.9458,2,1.0,0.00333333,1380.64560818,500.0,0.00333333,32.4843
1.0,-71.2160215513,1.0,476.78,-71.2160215513,400.0,1.0,-71.2160215513,1.0,0.0025,,500,-71.7634,1552.01206439,5.4346e-20,100,-71.7634,2,1.0,0.0025,1552.01206439,500.0,0.0025,34.2877
1.0,-74.3837924078,2.72468e-35,473.06,-74.3837924078,inf,1.36234e-32,-74.3837924078,,0.002,,500,-30.3083,1224.44699685,0.002,100,-30.3083,1,4.11554e+06,1.0,1224.44699685,0.000121490592376,,
1.0,-73.4159352612,1.0,469.62,-73.4159352612,100.0,1.0,-73.4159352612,1.0,0.01,,500,-73.4159,1515.68570124,3.50449e-18,100,-73.4159,2,1.0,0.01,1515.68570124,500.0,0.01,38.7367
1.0,-71.8484428844,1.0,472.09,-71.8484428844,200.000000102,1.0,-71.8484428844,1.0,0.005,,500,-72.6322,896.956154815,2.1793e-19,100,-72.6322,2,1.0,0.005,896.956154815,500.0,0.005,34.5669
1.0,-73.0951603708,1.0,462.09,-73.0951603708,299.999969474,1.0,-73.0951603708,1.0,0.00333333,,500,-72.7865,1404.19112988,5.43914e-20,100,-72.7865,2,1.0,0.00333333,1404.19112988,500.0,0.00333333,35.4966
1.0,-71.4419005973,1.0,470.67,-71.4419005973,400.0,1.0,-71.4419005973,1.0,0.0025,,500,-72.4503,1438.49230114,5.4346e-20,100,-72.4503,2,1.0,0.0025,1438.49230114,500.0,0.0025,36.0746
1.0,-71.1845297061,1.02564,478.35,-71.1845297061,166.348655762,18.1101,-71.1845297061,8.2434e-05,0.002,2.11413,500,-66.0657,949.045000683,8.03902e-06,100,-66.0657,1,1.0003e+13,0.0353147,949.045000683,4.9985078835e-11,1.60747e-07,49.5279
1.0,-73.0670561668,1.0,474.67,-73.0670561668,100.0,1.0,-73.0670561668,1.0,0.01,,500,-73.0671,1059.27799277,3.50449e-18,100,-73.0671,2,1.0,0.01,1059.27799277,500.0,0.01,32.3834
1.0,-76.0675616354,1.0,457.92,-76.0675616354,200.000000102,1.0,-76.0675616354,1.0,0.005,,500,-74.5673,1326.17052534,2.1793e-19,100,-74.5673,2,1.0,0.005,1326.17052534,500.0,0.005,34.3955
1.0,-77.2961990098,1.0,453.48,-77.2961990098,299.999969474,1.0,-77.2961990098,1.0,0.00333333,,500,-75.4769,1653.779201,5.43914e-20,100,-75.4769,2,1.0,0.00333333,1653.779201,500.0,0.00333333,36.5527
1.0,-75.0319708443,1.0,457.68,-75.0319708443,400.0,1.0,-75.0319708443,1.0,0.0025,,500,-75.3657,1355.45547199,5.4346e-20,100,-75.3657,2,1.0,0.0025,1355.45547199,500.0,0.0025,36.573
1.0,-75.6914329139,1.03228,478.48,-75.6914329139,167.105422006,22.4766,-75.6914329139,0.00718445,0.002,2.12706,500,-72.5496,1404.57877764,7.98446e-06,100,-72.5496,1,1.01544e+09,0.0435475,1404.57877764,4.92395274064e-07,1.39196e-05,75.6118
1.0,-77.8901369673,1.0,467.07,-77.8901369673,100.0,1.0,-77.8901369673,1.0,0.01,,500,-77.8901,1325.90145809,3.50449e-18,100,-77.8901,2,1.0,0.01,1325.90145809,500.0,0.01,36.2304
1.0,-73.8082488107,1.0,469.59,-73.8082488107,200.000000102,1.0,-73.8082488107,1.0,0.005,,500,-75.8492,1367.47896198,2.1793e-19,100,-75.8492,2,1.0,0.005,1367.47896198,500.0,0.005,36.5703
1.0,-71.7817723359,1.0,459.91,-71.7817723359,299.999969474,1.0,-71.7817723359,1.0,0.00333333,,500,-74.4934,1441.36246383,5.43914e-20,100,-74.4934,2,1.0,0.00333333,1441.36246383,500.0,0.00333333,37.0259
1.0,-79.2900448948,1.0,462.18,-79.2900448948,400.0,1.0,-79.2900448948,1.0,0.0025,,500,-75.6926,1599.53466855,5.4346e-20,100,-75.6926,2,1.0,0.0025,1599.53466855,500.0,0.0025,37.794
1.0,-80.1976134532,1.12719,459.77,-80.1976134532,84.9649270736,37.7236,-80.1976134532,0.0671094,0.002,6.21886,500,-70.4252,1416.98768381,1.95783e-05,100,-70.4252,1,12867.8,0.0669337,1416.98768381,0.0388567907175,0.000119073,59.8974
1.0,-75.6236799166,1.0,468.78,-75.6236799166,100.0,1.0,-75.6236799166,1.0,0.01,,500,-75.6237,1330.41892054,3.50449e-18,100,-75.6237,2,1.0,0.01,1330.41892054,500.0,0.01,36.2921
1.0,-75.8601820557,1.0,465.97,-75.8601820557,200.000000102,1.0,-75.8601820557,1.0,0.005,,500,-75.7419,1037.38949683,2.1793e-19,100,-75.7419,2,1.0,0.005,1037.38949683,500.0,0.005,34.2356
1.0,-76.0710414588,1.0,476.58,-76.0710414588,299.999969474,1.0,-76.0710414588,1.0,0.00333333,,500,-75.8516,838.632831148,5.43914e-20,100,-75.8516,2,1.0,0.00333333,838.632831148,500.0,0.00333333,32.5294
1.0,-72.3483832307,1.0,468.43,-72.3483832307,400.0,1.0,-72.3483832307,1.0,0.0025,,500,-74.9758,1456.32769132,5.4346e-20,100,-74.9758,2,1.0,0.0025,1456.32769132,500.0,0.0025,34.0053
1.0,-79.7027099422,0.981983,472.23,-79.7027099422,96.45358726,38.0923,-79.7027099422,0.0789935,0.002,4.04252,500,-66.3309,1084.68734117,1.67689e-05,100,-66.3309,1,inf,0.0775823,1084.68734117,,0.000160886,107.007
1.0,-80.8747108579,1.0,464.3,-80.8747108579,100.0,1.0,-80.8747108579,1.0,0.01,,500,-80.8747,1634.66837576,3.50449e-18,100,-80.8747,2,1.0,0.01,1634.66837576,500.0,0.01,40.2284
1.0,-74.9231765965,1.0,469.05,-74.9231765965,200.000000102,1.0,-74.9231765965,1.0,0.005,,500,-77.8989,1079.40207426,2.1793e-19,100,-77.8989,2,1.0,0.005,1079.40207426,500.0,0.005,36.7739
