AvgNormIw,Bound,VarRet,VarNormIw,AvgRet,MinNormIw,VarJ,VarVanillaIw,MaxNormIw,AvgEpLen,J,MinVanillaIw,VanillaAvgRet,BatchSize,VarDiscRet,AvgVanillaIw,AvgDiscRet,eRenyi2,ESSRenyi,ESSClassic,MaxVanillaIw
0.010000002,-8.811459,39.85573918824668,6.122594e-05,-7.238781526299673,5.456023e-05,7.1702194,0.5615209,0.023463482,200.0,-6.457433,0.0052250614,-7.238781526299673,100,39.85573918824668,0.95766854,-7.238781526299673,1.5544143,64.33291419249332,62.26119001999396,2.2470238
0.01,-8.948819,52.164719453399115,2.1322155e-06,-7.061018931234473,0.008920439,7.1279855,0.02152862,0.018943895,200.0,-6.994129,0.8963523,-7.061018931234473,100,52.164719453399115,1.0048299,-7.061018931234473,1.0313381,96.9614139343149,97.9327476527196,1.9035392
0.01,-9.801579,53.41465092029639,7.612271e-05,-8.184572190897372,0.0074118813,9.155707,0.81972104,0.09212021,200.0,-7.5411673,0.7691382,-8.184572190897372,100,53.41465092029639,1.0377098,-8.184572190897372,1.3492225,74.11675759330255,57.0250641505231,9.559404
0.01,-8.249225,44.60434179979304,0.0007066098,-7.582336410135002,,16.291147,2.2776375,0.1125689,200.0,-4.3272777,,-7.582336410135002,100,44.60434179979304,0.5677439,-7.582336410135002,4.5440154,22.006967633423443,12.507134174419424,6.391031
0.01,-9.905427,44.34013804569964,1.2199716e-07,-7.961490376503499,0.009752879,6.6138883,0.0012299201,0.0120765865,200.0,-7.95918,0.9792564,-7.961490376503499,100,44.34013804569964,1.0040691,-7.961490376503499,1.0009179,99.90829302593474,99.87937325860379,1.2125727
0.01,-10.1483,51.67908080788594,7.3843403e-06,-8.399261631690651,0.008194183,7.2627344,0.07513886,0.026575295,200.0,-8.085208,0.8265747,-8.399261631690651,100,51.67908080788594,1.0087335,-8.399261631690651,1.1191024,89.35733108954888,93.1875374113888,2.6807392
0.009999998,-8.894857,39.99165609295204,2.50834e-06,-6.9483613765511,0.006245807,6.5785213,0.024271088,0.0121226935,200.0,-6.9136753,0.6143841,-6.9483613765511,100,39.99165609295204,0.9836745,-6.9483613765511,1.0193605,98.10071692065598,97.57692486614533,1.1924785
0.01,-10.434994,57.17013991796099,2.9463048e-05,-8.590832026560749,0.00773328,8.013633,0.2927068,0.05788671,200.0,-8.317122,0.7707992,-8.590832026560749,100,57.17013991796099,0.99673,-8.590832026560749,1.1816802,84.62526476264878,77.41831433256749,5.769742
0.01,-8.749757,44.89340082876599,2.135305e-05,-7.005911543659267,0.0006231534,7.054792,0.23926993,0.015179281,200.0,-6.5529895,0.06596432,-7.005911543659267,100,44.89340082876599,1.0585567,-7.005911543659267,1.2562426,79.60245686923302,82.54945145138669,1.606813
0.01,-8.948181,48.148763455442484,1.3078418e-05,-7.1363089861377516,0.007956394,6.8974013,0.14469895,0.031589773,200.0,-6.967317,0.83689576,-7.1363089861377516,100,48.148763455442484,1.0518531,-7.1363089861377516,1.0905894,91.69353711258654,88.53660810839706,3.3227801
0.009999998,-9.692766,54.501638052087905,0.0005992583,-8.560235946369403,,16.383179,4.43161,0.08868042,200.0,-5.185436,,-8.560235946369403,100,54.501638052087905,0.8599511,-8.560235946369403,5.4570956,18.324765939271916,14.424484284560897,7.6260824
0.009999999,-10.157784,47.313812000663766,3.6474914e-05,-8.569716249937494,3.477245e-05,7.9553905,0.3781492,0.0165422,200.0,-7.9104524,0.0035405417,-8.569716249937494,100,47.313812000663766,1.0182031,-8.569716249937494,1.3122357,76.205821110444,73.46991309794544,1.6843319
0.010000003,-10.080481,54.07884485084284,2.6068483e-05,-8.472515083647531,0.0077475067,7.8960094,0.273643,0.037065875,200.0,-7.915085,0.7937728,-8.472515083647531,100,54.07884485084284,1.0245526,-8.472515083647531,1.2353158,80.95096008908978,79.4862932056639,3.797594
0.01,-10.136454,56.03800790130425,4.5725155e-06,-8.280452439716093,0.003959767,7.465661,0.04690439,0.011710348,200.0,-8.135179,0.4010502,-8.280452439716093,100,56.03800790130425,1.0128126,-8.280452439716093,1.0446063,95.72984321323122,95.66923638133143,1.1860389
0.01,-10.087209,43.69423648628887,1.120034e-06,-8.178217104345332,0.009275698,6.5806866,0.011170654,0.0157929,200.0,-8.142038,0.92633975,-8.178217104345332,100,43.69423648628887,0.99867386,-8.178217104345332,1.0139552,98.62368327585601,98.9033279095882,1.5771958
0.009999998,-10.815375,53.246667493181654,5.4108153e-07,-8.870104724237958,0.00722958,7.3191175,0.005430825,0.010551631,200.0,-8.860042,0.7242936,-8.870104724237958,100,53.246667493181654,1.0018474,-8.870104724237958,1.0055735,99.44573807265178,99.46722264676796,1.0571125
0.01,-9.63818,47.991938322978335,3.6757257e-05,-7.816789089795565,1.880018e-07,8.045156,0.35779086,0.015704045,200.0,-7.5035725,1.8548342e-05,-7.816789089795565,100,47.991938322978335,0.98660445,-7.816789089795565,1.2312745,81.21665897449229,73.3193237606434,1.549368
0.01,-9.60708,37.991574042620044,2.0647869e-05,-7.791145570045309,9.299298e-05,7.0128284,0.18559289,0.0132342735,200.0,-7.641382,0.008816439,-7.791145570045309,100,37.991574042620044,0.9480757,-7.791145570045309,1.0740104,93.10897044570524,83.02794095712494,1.2547094
