MinNormIw,J,VarRet,eRenyi2,MaxVanillaIw,AvgVanillaIw,AvgRet,BatchSize,ESSRenyi,VarNormIw,VarDiscRet,MaxNormIw,MinVanillaIw,Bound,AvgNormIw,VarVanillaIw,AvgEpLen,AvgDiscRet,VarJ,ESSClassic
0.01,5.9604645e-08,50.72641627277381,1.0,1.0,1.0,-7.112236133713518,100,100.0,3.5044917e-18,50.72641627277382,0.01,1.0,-1.4236729,0.009999998,,200.0,1.6342482922482305e-15,7.0865474,100.0
0.01,2.9802322e-08,46.79853454630431,1.0,1.0,1.0,-7.191275731323913,100,100.0,3.5044917e-18,46.798534546304325,0.01,1.0,-1.384479,0.009999998,,200.0,1.1368683772161603e-15,6.8066545,100.0
0.01,1.4901161e-08,48.07532942839558,1.0,1.0,1.0,-7.7537706523721655,100,100.0,3.5044917e-18,48.07532942839557,0.01,1.0,-1.3317894,0.009999998,,200.0,-1.1013412404281553e-15,6.8988824,100.0
0.01,-8.195639e-08,66.33137089126673,1.0,1.0,1.0,-8.939583379259272,100,100.0,3.5044917e-18,66.33137089126673,0.01,1.0,-1.260675,0.009999998,,200.0,-6.927791673660977e-16,8.103583,100.0
0.01,,42.54857639723651,1.0,1.0,1.0,-8.115538424494078,100,100.0,3.5044917e-18,42.54857639723651,0.01,1.0,-1.2322786,0.009999998,,200.0,3.552713678800501e-16,6.4902306,100.0
0.01,-1.4901161e-08,55.85732681998374,1.0,1.0,1.0,-8.402190989777939,100,100.0,3.5044917e-18,55.85732681998375,0.01,1.0,-1.2936041,0.009999998,,200.0,1.305622276959184e-15,7.436313,100.0
0.01,1.0430813e-07,52.62787123495006,1.0,1.0,1.0,-9.013412183262876,100,100.0,3.5044917e-18,52.62787123495006,0.01,1.0,-1.2721832,0.009999998,,200.0,3.1974423109204507e-16,7.2181435,100.0
0.01,,53.8810510556815,1.0,1.0,1.0,-8.237043658863202,100,100.0,3.5044917e-18,53.8810510556815,0.01,1.0,-1.2857574,0.009999998,,200.0,-4.4408920985006264e-17,7.303577,100.0
0.01,,52.77242400784649,1.0,1.0,1.0,-7.368530730166616,100,100.0,3.5044917e-18,52.772424007846496,0.01,1.0,-1.408239,0.009999998,,200.0,-1.270095140171179e-15,7.2280493,100.0
0.01,-2.9802322e-08,55.63729134659924,1.0,1.0,1.0,-8.098175843236387,100,100.0,3.5044917e-18,55.63729134659924,0.01,1.0,-1.3288077,0.009999998,,200.0,-7.993605777301127e-16,7.4216523,100.0
0.01,1.4901161e-08,53.78336170930592,1.0,1.0,1.0,-8.244260582825277,100,100.0,3.5044917e-18,53.78336170930592,0.01,1.0,-1.3243333,0.009999998,,200.0,-1.438849039914203e-15,7.2969527,100.0
0.01,5.5879354e-08,49.96722933068335,1.0,1.0,1.0,-7.718916302669486,100,100.0,3.5044917e-18,49.96722933068335,0.01,1.0,-1.3269329,0.009999998,,200.0,3.641531520770513e-16,7.0333176,100.0
0.01,2.6077032e-08,54.73791856106392,1.0,1.0,1.0,-7.721595757528669,100,100.0,3.5044917e-18,54.73791856106392,0.01,1.0,-1.379206,0.009999998,,200.0,-7.460698725481052e-16,7.361423,100.0
0.01,1.8626451e-08,43.28830879730384,1.0,1.0,1.0,-7.653189725545487,100,100.0,3.5044917e-18,43.28830879730385,0.01,1.0,-1.299299,0.009999998,,200.0,1.0480505352461477e-15,6.5464053,100.0
