EpRewMean,Bound,TimestepsSoFar,ReturnStepMaxmin,MeanIW,MeanEntropy,InitialReturnStd,EpisodesSoFar,StdIW,MeanD2w0t,TimeElapsed,InitialReturnMax,StdD2w0t,InitialReturnMin,MinD2w0t,MinIW,MaxD2w0t,EmpiricalD2,InitialReturnMean,Weights,ReturnStepMax,EpThisIter,EpLenMean,Iteration,MaxIW,ReturnMeanIW,InitialBound,J_sample_variance
4625.391647231392,-322.7104,183234,9.988754,0.9960629,0.41159645,216.1281,1320,0.11952233,0.94273967,406.478919506073,51.493774,0.26799864,-941.8244,,0.5667393,1.1324112,1.0508516,-4.272461e-05,[-0.026  0.607 -1.987 -2.524 -1.007],10.0,20,462.8,66,1.5204439,-50.407192,-323.10846,49071.83
4829.480516985233,-273.8345,192897,9.991659,0.9581536,0.41210932,11.282885,1340,0.1922796,1.0123569,424.3893795013428,3.5064697,0.1994151,-46.532715,,0.33054733,1.3883407,1.1690722,8.850098e-05,[-0.022  0.603 -1.99  -2.518 -1.007],10.0,20,483.15,67,1.483843,-1.1347492,-275.22998,17.726355
4926.8624822196125,-272.71268,202755,9.991356,0.98758143,0.41077372,3.6129806,1360,0.033778112,0.9872062,442.8432765007019,1.036377,0.11848689,-15.678528,,0.90407914,1.004348,1.0029614,-2.746582e-05,[-0.015  0.602 -1.999 -2.519 -1.007],10.0,20,492.9,68,1.0940127,-0.61470246,-272.7517,11.406223
4696.419899868,-321.32773,212153,9.989037,0.9857074,0.41085625,214.16841,1380,0.050949957,0.944393,459.6722078323364,49.864014,0.23906155,-933.4999,,0.7892254,1.0249699,1.0113966,9.155274e-06,[-0.015  0.603 -1.999 -2.518 -1.008],10.0,20,469.9,69,1.1621628,-49.17677,-321.46686,48047.258
4716.186375305049,-283.98514,221593,9.983854,0.9036117,0.40362743,73.5586,1400,0.36031684,1.1501842,477.0465512275696,17.934753,0.4077824,-320.50513,,0.26434004,3.3342233,1.6194398,8.850098e-05,[-0.013  0.6   -1.999 -2.513 -1.008],10.0,20,472.0,70,3.1631742,-8.723733,-289.28616,1487.0956
4512.534354246662,-306.66104,230625,9.984676,0.9521414,0.39437824,155.98303,1420,0.309828,1.0112971,494.03417468070984,40.19452,0.34005785,-678.35114,,0.38864705,1.45751,1.2593038,-3.967285e-05,[-0.024  0.599 -2.008 -2.515 -1.015],10.0,20,451.6,71,2.8401752,-31.551456,-311.58322,17881.174
4652.552613723094,-289.13992,239935,9.989513,0.8849518,0.38479653,111.18149,1440,0.33228394,1.1189413,511.25885009765625,29.310913,0.33209923,-479.5846,,0.28998062,1.6692958,1.4299824,2.1362304e-05,[-0.019  0.599 -2.021 -2.496 -1.025],10.0,20,465.5,72,2.8323326,-12.139065,-300.92383,2173.961
4922.193552696052,-272.7843,249782,9.994719,1.0152866,0.3843627,5.2988834,1460,0.13714518,1.0008863,529.5180983543396,1.3435059,0.12685743,-23.091614,,0.5056143,1.1388557,1.0515668,6.1035157e-06,[-0.023  0.585 -2.033 -2.459 -1.034],10.0,20,492.35,73,1.5622563,-0.54686874,-273.20776,7.565147
4902.583755806794,-272.83563,259591,9.99221,1.0093057,0.38433227,4.2104053,1480,0.12222795,0.9952623,547.6820924282074,1.300354,0.13994832,-17.625854,,0.56115705,1.1016735,1.0445566,-4.272461e-05,[-0.018  0.583 -2.047 -2.456 -1.035],10.0,20,490.45,74,1.501322,-0.5707552,-273.0735,7.4156036
4595.598696048289,-296.017,268787,9.98958,1.117126,0.379022,141.06728,1500,0.42953798,1.1255037,564.1521978378296,35.70233,0.38317472,-613.5377,,0.07971541,2.0433583,1.5108162,5.1879884e-05,[-0.014  0.583 -2.048 -2.458 -1.035],10.0,20,459.8,75,2.9877582,-18.424091,-307.3413,5458.6606
