MinIW,Weights,Bound,MaxD2w0t,InitialReturnMean,ReturnMeanIW,EpRewMean,TimestepsSoFar,MeanEntropy,InitialBound,EmpiricalD2,TimeElapsed,StdIW,J_sample_variance,ReturnStepMax,InitialReturnMax,EpisodesSoFar,MeanD2w0t,StdD2w0t,InitialReturnMin,InitialReturnStd,ReturnStepMaxmin,MinD2w0t,Iteration,MeanIW,EpThisIter,MaxIW,EpLenMean
0.0339272,[-1.044e-03  5.200e-01 -2.632e+00 -2.609e+00 -8.754e-01],-141.12193,4.434856,2.1362304e-05,-16.331179,4711.052301458307,707768,0.5245998,-148.49176,1.9122223,773.6083931922913,0.5439774,11244.302,9.99563,27.238586,4200,1.2855368,0.4713727,-946.2521,139.23427,9.991261,,42,0.99223375,100,5.0509386,471.32
1.0,[ 0.011  0.52  -2.646 -2.601 -0.894],-121.65405,1.0,-6.8969726e-05,-0.010671684,4997.208665594297,757752,0.5245998,-121.65405,1.0,846.2017388343811,,0.021243291,9.99783,0.152771,4300,0.99968,0.017885996,-0.8074951,0.14501196,9.995661,,43,1.0,100,1.0,499.84
0.430121,[ 0.011  0.52  -2.646 -2.601 -0.894],-141.11667,1.1042956,-7.93457e-06,-18.931862,4878.790574908157,806552,0.5151986,-141.7085,1.092037,917.7874088287354,0.19683391,17291.525,9.997724,20.21637,4400,1.0211154,0.16236764,-963.15735,137.66058,9.995447,,44,0.99448335,100,2.0410945,488.0
0.3144901,[ 0.013  0.521 -2.646 -2.6   -0.904],-145.30316,1.3144841,-8.056641e-05,-22.869911,4852.909435694818,855093,0.5118885,-148.21584,1.138229,978.575777053833,0.24335466,19697.342,9.997739,26.722412,4500,1.0369132,0.18787086,-966.6314,153.26225,9.995478,,45,0.9840364,100,2.102976,485.41
0.46406117,[ 0.008  0.532 -2.704 -2.612 -0.907],-127.53418,1.1967537,-4.8217775e-05,-5.4370275,4929.773742716127,904401,0.51588464,-128.91347,1.0727025,1030.3413228988647,0.21957716,2131.1726,9.998125,7.381653,4600,1.0219023,0.12399183,-655.2328,66.14687,9.99625,,46,0.9735236,100,2.7636235,493.08
0.30578414,[ 0.004  0.523 -2.725 -2.603 -0.903],-127.84638,1.2834889,1.0986329e-05,-5.8569536,4929.9933472348475,953714,0.51594275,-128.50285,1.0742007,1094.8001959323883,0.17212217,2929.9297,9.997564,7.0321655,4700,1.0201502,0.124694094,-642.20856,64.65377,9.995129,,47,0.97905123,100,2.1305912,493.13
0.10852198,[-1.294e-03  5.314e-01 -2.744e+00 -2.607e+00 -9.030e-01],-123.525696,2.724658,-3.2958986e-05,-1.2587649,4913.700914864814,1002866,0.516597,-125.12509,1.2746506,1167.104952096939,0.2653525,134.942,9.997169,3.69281,4800,1.081051,0.20965245,-289.37164,29.30894,9.994337,,48,0.98287296,100,2.0882287,491.52
0.4941346,[ 0.009  0.532 -2.745 -2.607 -0.902],-141.052,1.0815971,8.117676e-05,-18.987328,4885.5004648337845,1051734,0.5087881,-141.48419,1.0719398,1224.4249629974365,0.16145451,17749.49,9.997545,20.014648,4900,1.0126915,0.15555403,-973.3413,138.34071,9.9950905,,49,0.9882611,100,1.6367424,488.68
0.5117223,[ 0.008  0.532 -2.749 -2.614 -0.91 ],-141.85388,1.0975811,-6.408691e-05,-20.124947,4876.559616096452,1100510,0.50762767,-141.9934,1.0249494,1272.0648987293243,0.09050652,19303.115,9.998083,20.464355,5000,0.98611623,0.15672208,-972.8922,138.39519,9.996166,,50,0.9885554,100,1.267666,487.76
0.19574666,[ 0.011  0.531 -2.749 -2.615 -0.911],-146.27707,1.283089,1.2817382e-05,-23.587002,4846.320422155466,1148985,0.49925223,-148.383,1.1587844,1321.0327038764954,0.26115027,20745.549,9.997781,26.888428,5100,1.0496271,0.19332772,-966.4688,153.8757,9.995562,,51,0.9689881,100,2.1761835,484.75
0.25850308,[ 0.008  0.546 -2.764 -2.631 -0.92 ],-142.61282,1.3435056,6.7749024e-05,-20.638147,4846.4262301029485,1197461,0.49714953,-143.50801,1.0967596,1371.8875098228455,0.18276927,19477.145,9.997781,22.020264,5200,1.0112408,0.18632826,-971.34375,139.69914,9.995562,,52,1.0018746,100,1.8337315,484.76
0.53736794,[ 0.017  0.542 -2.769 -2.625 -0.922],-140.4226,1.0558306,1.6479493e-05,-18.465977,4893.443879227763,1246406,0.4905435,-141.15869,1.0487124,1421.9242417812347,0.14478339,16869.217,9.998055,19.636353,5300,1.0032879,0.14798032,-963.7426,136.28058,9.996111,,53,0.99018335,100,1.7128469,489.45
0.6907122,[ 0.017  0.543 -2.797 -2.625 -0.928],-131.18454,1.0201764,0.00011047363,-9.439097,4949.557828815252,1295910,0.4899251,-131.32196,1.0154052,1473.2128682136536,0.0767763,8846.385,9.99852,9.748047,5400,0.99775493,0.09997466,-953.96643,95.87729,9.99704,,54,0.99475443,100,1.3350619,495.04
0.3487387,[ 0.016  0.543 -2.798 -2.618 -0.929],-145.99384,1.8045182,-2.6855469e-05,-23.180246,4852.9214941591335,1344450,0.4875681,-148.33926,1.1869464,1522.2860267162323,0.2597788,20055.664,9.99799,26.827698,5500,1.06206,0.20486796,-966.5359,153.88914,9.995979,,55,0.9388475,100,4.3874507,485.4
0.6910354,[ 0.005  0.532 -2.811 -2.608 -0.931],-131.8515,1.0243928,2.4414062e-06,-10.187134,4932.9768969235,1393789,0.48754472,-131.87453,1.0048547,1570.8279371261597,0.04191536,9865.828,9.998363,10.329041,5600,0.9887712,0.11447404,-983.0422,98.836655,9.996725,,56,1.0047203,100,1.1840137,493.39
