MaxIWNorm,StdIW,J_sample_variance,MeanIW,EpLenMean,TimestepsSoFar,TimeElapsed,Bound,InitialReturnMean,ReturnStepMax,MinIW,ReturnStepMaxmin,MaxIW,StdIWNorm,ESSRenyi,InitialBound,EpThisIter,MeanEntropy,MinIWNorm,EpRewMean,ReturnMeanIW,MeanIWNorm,Iteration,EpisodesSoFar,InitialReturnStd,InitialReturnMin,Weights,EmpiricalD2,InitialReturnMax,ESSClassic,EntropyCoefficient
0.12970114,0.5933389,14065.055,0.91976535,119.05,57251,144.47941708564758,-52.97248,1.5258789e-05,9.999999,0.27896297,9.829192,2.5940228,0.029666945,14.611894,-60.060898,20,0.30414075,0.013948149,1180.332441544998,17.95531,0.04598827,37,740,87.4861,-120.82184,[-0.501  0.872 -2.455 -2.356 -1.103],1.368748,230.86523,14.122781,10.0
33.314888,145.1232,554546900.0,33.73092,111.55,59482,149.4538059234619,3955.831,-2.746582e-05,9.999998,1.2395811e-05,9.817833,666.2977,7.2561593,0.022045474,-40.240955,20,0.24199453,6.1979057e-07,1105.3395145230554,5257.076,1.6865461,38,760,79.76354,-145.8797,[-0.506  0.851 -2.441 -2.337 -1.115],907.21564,158.04474,1.025091,10.0
0.17246298,1.0214674,19203.572,1.2727411,115.4,61790,154.97096252441406,-7.2624216,2.746582e-05,9.999999,0.049675353,9.824,3.4492598,0.051073372,9.963914,-42.16989,20,0.21278526,0.0024837677,1143.8446575516566,53.783405,0.063637055,39,780,76.96817,-125.52594,[-0.443  0.83  -2.462 -2.544 -1.177],2.0072434,162.81915,12.164537,10.0
56.03528,244.20801,1094932600.0,56.230774,132.05,64431,160.77975606918335,4766.9,3.0517578e-05,9.999999,7.8420027e-07,9.84637,1120.7056,12.210399,0.0069127926,-46.72714,20,0.10448612,3.9210015e-08,1310.3560858012956,7393.686,2.811539,40,800,90.93353,-136.77386,[-0.43   0.846 -2.464 -2.561 -1.206],2893.1868,178.39331,1.0069836,10.0
0.10789968,0.32671055,51916.277,1.0311018,145.45,67340,167.4376540184021,-182.92574,-1.5258789e-05,10.0,0.63068455,9.860407,2.1579936,0.016335528,18.318233,-190.13097,20,0.09577371,0.03153423,1444.3478258241403,15.875431,0.05155509,41,820,189.83858,-698.0753,[-0.398  0.914 -2.449 -2.55  -1.314],1.0918083,273.5877,18.17525,10.0
0.19914512,1.0652852,16077.918,0.98534507,149.3,70326,173.63491868972778,-20.4249,3.6621095e-05,10.0,0.03831002,9.864244,3.9829025,0.053264264,10.592853,-40.81025,20,0.08313796,0.0019155011,1482.8655732185518,36.135868,0.049267255,42,840,80.62749,-152.51526,[-0.391  0.894 -2.444 -2.553 -1.323],1.8880656,141.17493,9.221519,10.0
0.16483627,0.89708984,6527.1787,0.9877268,156.0,73446,180.11305451393127,-10.012801,-2.1362304e-05,10.0,0.1090228,9.870337,3.2967253,0.044854496,11.307692,-31.775734,20,0.044101786,0.0054511405,1549.8855978052775,32.91126,0.04938634,43,860,65.76987,-116.63379,[-0.382  0.91  -2.448 -2.53  -1.336],1.7687076,119.06427,10.959538,10.0
0.06128041,0.12213636,35083.54,0.9883636,138.9,76224,185.81308794021606,-194.37106,2.4414063e-05,9.999999,0.7589023,9.854325,1.2256082,0.0061068176,19.748346,-195.65114,20,0.046237953,0.037945118,1378.8826164050843,2.5041628,0.049418177,44,880,181.12799,-716.02734,[-0.393  0.932 -2.451 -2.517 -1.375],1.012743,162.75995,19.699184,10.0
0.18148582,0.90830094,26267.309,1.1718304,153.9,79302,192.05371356010437,-44.273857,-7.6293945e-05,10.0,0.23577717,9.868216,3.6297164,0.04541505,13.558079,-52.680946,20,0.06262514,0.011788859,1528.8589629324517,19.645105,0.058591522,45,900,63.609093,-90.31238,[-0.392  0.936 -2.461 -2.514 -1.373],1.4751352,194.0517,12.493754,10.0
0.21072963,0.960586,25185.59,1.2530361,168.5,82672,198.90727281570435,-11.827484,3.967285e-05,10.0,0.06718867,9.879736,4.2145925,0.048029296,10.22311,-37.80418,20,0.04239007,0.0033594337,1674.8674392676046,41.501183,0.062651806,46,920,80.25623,-140.32825,[-0.398  0.967 -2.466 -2.505 -1.356],1.9563519,137.41577,12.59695,10.0
0.092305,0.26863292,5996.5464,0.9052104,149.35,85659,205.14044213294983,-31.365332,6.1035157e-06,10.0,0.5599489,9.864365,1.8460999,0.013431647,17.476387,-37.634922,20,0.052997895,0.027997447,1483.3713328500153,8.818766,0.045260526,47,940,63.097725,-116.53174,[-0.428  1.006 -2.481 -2.531 -1.377],1.1444013,138.97119,18.3812,10.0
0.14176099,0.82383734,11901.768,1.0491788,158.3,88825,211.8144872188568,-29.27969,-4.5776367e-05,10.0,0.30413374,9.871983,2.8352199,0.04119186,13.698183,-42.597805,20,0.06920905,0.015206687,1572.866906726725,22.140512,0.052458942,48,960,71.301414,-99.490234,[-0.417  0.994 -2.482 -2.522 -1.366],1.4600476,157.48022,12.3718605,10.0
0.8543936,3.7533937,491205.6,1.8509815,151.85,91862,218.0192093849182,93.11058,-1.2207031e-05,10.0,0.018935401,9.8665905,17.087872,0.1876697,4.380797,-53.75203,20,0.022819528,0.0009467701,1508.3707890057917,209.21173,0.09254907,49,980,84.16627,-112.11243,[-0.406  0.995 -2.494 -2.509 -1.35 ],4.5653796,198.80176,3.9124286,10.0
0.91445684,3.9207323,58089.785,1.8746847,175.4,95370,225.25777554512024,-23.61935,-3.0517579e-06,10.0,0.05502736,9.884483,18.289137,0.19603659,5.3665414,-45.75212,20,0.010591507,0.0027513679,1743.8685563300182,65.03931,0.093734235,50,1000,63.43525,-90.45941,[-0.42   1.047 -2.492 -2.469 -1.396],3.7267952,167.89636,3.721629,10.0
0.06850162,0.13497552,4024.3486,0.99830073,157.8,98526,231.63998746871948,-33.903088,2.746582e-05,9.999999,0.7266116,9.871745,1.3700324,0.0067487764,19.663439,-34.49534,20,0.012095688,0.03633058,1567.8800662895244,0.8720966,0.049915038,51,1020,60.894566,-101.21478,[-0.442  1.043 -2.494 -2.456 -1.408],1.0171161,126.34601,19.640953,10.0
0.18330231,0.9786431,14378.142,1.2946905,167.75,101881,238.55307698249817,-28.026924,1.5258789e-05,10.0,0.26110983,9.879156,3.6660461,0.04893216,13.054807,-42.87622,20,-0.005571228,0.013055491,1667.3637900589274,25.24817,0.064734526,52,1040,73.09888,-140.59033,[-0.447  1.051 -2.498 -2.462 -1.407],1.5320028,157.00354,12.727755,10.0
0.20088653,0.8270191,20444.95,0.93214333,165.25,105186,245.0694785118103,-27.54979,1.2207031e-05,10.0,0.28145242,9.877335,4.0177307,0.041350953,11.518026,-46.33151,20,-0.040198073,0.014072621,1642.3642584896638,33.83114,0.046607167,53,1060,69.575836,-111.8504,[-0.437  1.051 -2.499 -2.486 -1.425],1.7364086,168.97534,11.190908,10.0
0.222626,0.93119514,15886.926,1.1575003,177.2,108730,252.32944416999817,-20.69702,3.0517579e-06,10.0,0.439226,9.8858185,4.45252,0.046559762,15.642798,-39.444595,20,-0.03390086,0.0219613,1761.882941631739,23.78853,0.057875015,54,1080,73.59932,-120.857056,[-0.459  1.108 -2.546 -2.556 -1.459],1.2785436,142.56348,12.141808,10.0
0.11318256,0.3759431,7880.286,0.99516124,164.35,112017,258.9886808395386,-30.813673,1.5258789e-05,10.0,0.5266185,9.876728,2.2636511,0.018797157,16.90255,-36.5061,20,-0.012370048,0.026330924,1633.3699289666988,8.651689,0.049758065,55,1100,67.0617,-85.944824,[-0.454  1.094 -2.549 -2.586 -1.453],1.1832534,132.0636,17.50224,10.0
9.557113,41.473183,121475210.0,10.56783,144.2,114901,264.98917412757874,1273.4358,1.2207031e-05,10.0,0.0018943583,9.8594475,191.14224,2.0736592,0.54910564,-194.33153,20,-0.09668018,9.4717914e-05,1431.8657373903918,2446.4731,0.5283915,56,1120,177.10022,-709.1467,[-0.452  1.086 -2.546 -2.578 -1.431],36.422863,257.76062,1.2194004,10.0
0.14396082,0.6906042,13196.993,1.0349554,159.4,118089,271.9488124847412,-24.768578,-5.7983398e-05,10.0,0.28690118,9.873079,2.8792162,0.03453021,12.248685,-39.910255,20,-0.08596081,0.014345059,1583.8837723063953,25.853745,0.051747777,57,1140,81.857605,-118.791504,[-0.469  1.071 -2.548 -2.603 -1.516],1.6328284,142.20117,13.838325,10.0
0.34618908,1.6886516,6052.612,1.3435053,148.9,121067,278.0944097042084,-21.237673,-6.1035157e-06,10.0,0.20584394,9.864218,6.9237814,0.08443259,13.529356,-32.45285,20,-0.09681129,0.010292198,1478.890623406513,18.142756,0.06717528,58,1160,47.787262,-83.06079,[-0.46   1.079 -2.548 -2.602 -1.505],1.478267,115.36218,7.7525473,10.0
0.13394769,0.50429213,17621.111,0.9683048,164.75,124362,284.93936014175415,-44.49909,3.0517579e-06,10.0,0.2580838,9.876921,2.6789536,0.025214607,15.3256855,-51.850464,20,-0.12500903,0.0129041895,1637.3609664563478,14.877246,0.04841524,59,1180,88.93082,-112.38678,[-0.457  1.092 -2.545 -2.572 -1.516],1.3049988,185.79608,15.732775,10.0
0.27780923,1.5175352,30122.158,1.3407234,166.85,127699,291.5553719997406,-16.886757,2.1362304e-05,10.0,0.2806533,9.878666,5.556185,0.075876765,8.282037,-47.890934,20,-0.09648285,0.014032665,1658.3772125106982,56.557205,0.067036174,60,1200,84.145584,-119.95801,[-0.459  1.091 -2.545 -2.574 -1.544],2.414865,170.30835,8.767516,10.0
0.060430534,0.10227611,5269.835,1.0026345,172.75,131154,298.602810382843,-36.69936,7.6293945e-05,10.0,0.82912046,9.882847,1.2086107,0.0051138056,19.842396,-38.324318,20,-0.09685528,0.041456025,1717.3798122639687,1.7768364,0.050131727,61,1220,68.23669,-107.1814,[-0.448  1.097 -2.544 -2.565 -1.515],1.0079428,136.41785,19.794031,10.0
0.3487774,1.4810511,24704.148,1.3141049,176.6,134686,305.5274851322174,-22.70449,4.272461e-05,9.999999,0.14304787,9.885474,6.9755483,0.07405256,10.171058,-43.636646,20,-0.056079518,0.0071523935,1755.8866343455861,37.68859,0.065705255,62,1240,64.3758,-112.13281,[-0.446  1.091 -2.542 -2.553 -1.516],1.9663639,155.802,8.809709,10.0
2.2290208,9.748252,702313.06,3.2981372,178.1,138248,312.7949552536011,28.086351,3.967285e-05,10.0,0.0528042,9.88645,44.580414,0.4874126,1.4668417,-43.088802,20,-0.13092181,0.00264021,1770.8876453525427,186.43143,0.16490689,63,1260,67.230125,-95.500305,[-0.445  1.095 -2.546 -2.559 -1.475],13.634737,155.29047,2.0542176,10.0
0.118386604,0.5412388,4153.861,0.92223036,152.4,141296,319.0377185344696,-22.072613,6.1035157e-06,10.0,0.20314886,9.867229,2.367732,0.027061941,14.432461,-35.644756,20,-0.1358586,0.010157443,1513.8825729530508,19.705265,0.04611152,64,1280,59.405045,-84.23016,[-0.433  1.082 -2.57  -2.613 -1.55 ],1.3857651,125.37567,14.876209,10.0
4.805923,20.911556,11333223.0,5.6257024,185.9,145014,326.51139855384827,449.85635,5.7983398e-05,10.0,0.00014324623,9.891199,96.118454,1.045578,0.44081327,-44.21611,20,-0.2150877,7.1623117e-06,1848.88590630126,740.68634,0.2812851,65,1300,80.93235,-102.34601,[-0.425  1.086 -2.569 -2.614 -1.555],45.370686,156.49377,1.3497849,10.0
0.32510033,1.4643607,13528.152,1.0834043,177.65,148567,333.8785629272461,-11.141405,2.1362304e-05,10.0,0.1326517,9.886269,6.5020065,0.07321804,9.405306,-30.642776,20,-0.18947168,0.006632585,1766.3969408018907,32.301323,0.05417022,66,1320,70.34661,-104.03778,[-0.451  1.109 -2.572 -2.573 -1.634],2.1264594,96.6568,7.074883,10.0
0.12534712,0.53429335,8663.671,1.0656196,169.9,151965,340.7775957584381,-21.451927,-1.5258789e-05,10.0,0.41583666,9.880945,2.5069423,0.02671467,15.699487,-33.04174,20,-0.16491337,0.020791834,1688.8855979137647,15.352327,0.053280987,67,1340,71.03742,-104.42346,[-0.47   1.151 -2.575 -2.562 -1.608],1.273927,113.73279,15.982173,10.0
3.718074,16.153822,4580002.0,4.010502,177.15,155508,347.8016195297241,293.6636,-3.6621095e-05,10.0,0.0011690799,9.886082,74.36148,0.80769104,0.7544367,-36.89245,20,-0.23127922,5.8453996e-05,1761.4092783397457,477.43597,0.20052509,68,1360,59.17427,-127.30432,[-0.475  1.158 -2.575 -2.569 -1.584],26.509846,128.69025,1.1611828,10.0
0.09311414,0.3914123,6553.892,1.0053082,192.55,159359,355.67309308052063,-36.80251,-3.3569337e-05,10.0,0.46284872,9.89497,1.8622828,0.019570615,16.63304,-42.2994,20,-0.2207982,0.023142437,1915.387251328309,9.252825,0.05026541,69,1380,62.974525,-87.29773,[-0.466  1.179 -2.571 -2.493 -1.65 ],1.2024261,146.01031,17.367292,10.0
0.08394088,0.2250728,6969.864,1.0294676,188.05,163120,363.14901328086853,-45.53569,2.746582e-05,10.0,0.72041893,9.892336,1.6788175,0.01125364,19.344252,-48.31878,20,-0.22970662,0.036020946,1870.375817359233,3.6472359,0.05147338,70,1400,79.35671,-121.41058,[-0.476  1.196 -2.57  -2.487 -1.64 ],1.0338988,168.37292,19.087627,10.0
