J,VarRet,delta,EpsThisIter,renyi2,MaxVanillaIw,VarNormIw,ESSClassic,BatchSize,MinVanillaIw,VanillaAvgRet,AvgEpLen,AvgNormIw,AvgRet,VarDiscRet,SamplesThisIter,ESSRenyi,IterType,MinNormIw,Bound,VarVanillaIw,AvgDiscRet,MaxNormIw,AvgVanillaIw,VarJ
-9780.98,76.4662905213,0.5,578,nan,40.6083,2.27154e-10,11.2660069913,100,4.95549e-33,-58.8682534348,86.5051903114,9.61169e-06,-58.8682534348,76.4662905213,50000,nan,1,3.16142e-38,-55.8937,5.58122,-58.8682534348,0.000259066,1.50662,144.557
-10055.9,65.981087001,0.5,557,nan,38.5632,3.24371e-10,3.86528035249,100,6.61357e-07,-60.9628154859,89.7666068223,9.97407e-06,-60.9628154859,65.981087001,50000,nan,1,4.6244e-12,-59.5951,6.63443,-60.9628154859,0.000269645,1.42644,264.639
-10205.8,139.817909306,0.5,566,inf,9.22295,3.73959e-11,4.44272144795,100,0.00292153,-59.7834954599,88.3392226148,9.81547e-06,-59.7834954599,139.817909306,50000,,1,2.71132e-08,-64.7587,0.434194,-59.7834954599,8.55933e-05,1.05765,155.653
-6682.95,125.848740562,0.5,568,nan,2.71095e+23,6.15422e-07,9.33238329894,100,,-59.8225630148,88.0281690141,9.78091e-06,-59.8225630148,125.848740562,50000,nan,1,,-43.8176,inf,-59.8225630148,0.0766346,3.46e+19,240.337
-10314.6,525.392631573,0.5,542,nan,8.8055,4.77407e-11,4.10237628789,100,0.0129884,-63.1617287928,92.2509225092,1.02501e-05,-63.1617287928,525.392631573,50000,nan,1,1.24245e-07,-71.6337,0.521725,-63.1617287928,8.42321e-05,1.07153,427.05
-10725.9,2340.20882629,0.5,527,nan,4.3697,2.29629e-11,5.40250979553,100,3.71582e-06,-65.9693310304,94.8766603416,1.05419e-05,-65.9693310304,2340.20882629,50000,nan,1,3.93179e-11,-75.3384,0.205096,-65.9693310304,4.62366e-05,0.996281,318.214
-10188.2,273.664487149,0.5,573,nan,5.58262,1.99475e-11,4.11901997769,100,0.0207486,-59.5480768859,87.260034904,9.69556e-06,-59.5480768859,273.664487149,50000,nan,1,1.94498e-07,-71.746,0.227006,-59.5480768859,5.23315e-05,1.0343,263.254
-7718.05,102.224569068,0.5,567,nan,2.59968e+12,7.91506e-07,9.90571639347,100,,-60.2301148862,88.1834215168,9.79816e-06,-60.2301148862,102.224569068,50000,nan,1,,-52.2099,6.68441e+20,-60.2301148862,0.0894573,2.8474e+08,226.261
-6020.21,177.260720102,0.5,577,nan,5.16536e+20,4.65372e-07,5.91980015343,100,,-59.0908734896,86.6551126516,9.62835e-06,-59.0908734896,177.260720102,50000,nan,1,,-36.4018,inf,-59.0908734896,0.0534957,9.29678e+16,292.038
-9830.78,69.5927996538,0.5,569,nan,91.0494,4.27355e-10,3.7209785453,100,1.64528e-19,-59.970557038,87.8734622144,9.76372e-06,-59.970557038,69.5927996538,50000,nan,1,1.00559e-24,-56.4084,11.4401,-59.970557038,0.000556488,1.59748,228.976
-10127.4,80.3836048523,0.5,548,nan,49.8801,4.62619e-10,4.86868290782,100,4.77431e-20,-61.8462088052,91.2408759124,1.01379e-05,-61.8462088052,80.3836048523,50000,nan,1,2.57686e-25,-57.842,15.8804,-61.8462088052,0.00026922,1.87831,151.869
-10585.2,2395.93763081,0.5,529,nan,4.91274,2.61186e-11,4.31270087208,100,0.000119897,-65.4367803039,94.5179584121,1.0502e-05,-65.4367803039,2395.93763081,50000,nan,1,1.23551e-09,-73.8578,0.245962,-65.4367803039,5.06249e-05,1.01913,400.045
-10526.6,253.320767521,0.5,562,nan,5.18226,1.06309e-11,4.06918709723,100,0.00624747,-60.4310903946,88.9679715302,9.88533e-06,-60.4310903946,253.320767521,50000,nan,1,6.11225e-08,-73.4553,0.111065,-60.4310903946,5.07009e-05,1.0104,177.937
-10394.7,162.808614455,0.5,573,nan,3.14573,1.01215e-11,4.12205160362,100,0.0160112,-59.258767461,87.260034904,9.69556e-06,-59.258767461,162.808614455,50000,nan,1,1.54058e-07,-70.7671,0.109327,-59.258767461,3.02678e-05,1.00766,139.281
-10399.0,2355.78960394,0.5,538,nan,5.47659,2.844e-11,5.82304013308,100,1.03373e-06,-64.6431430189,92.936802974,1.03263e-05,-64.6431430189,2355.78960394,50000,nan,1,1.02977e-11,-72.798,0.28659,-64.6431430189,5.45563e-05,1.0366,430.847
