BatchSize,MaxVanillaIw,ESSRenyi,VarNormIw,VarJ,VanillaAvgRet,AvgRet,MinVanillaIw,J,AvgEpLen,AvgNormIw,MaxNormIw,ESSClassic,VarRet,VarVanillaIw,Bound,eRenyi2,MinNormIw,VarDiscRet,AvgVanillaIw,AvgDiscRet
100,1.0,100.0,3.5044917e-18,0.057578113,4999.943204975101,4999.943204975101,1.0,4999.944,500.0,0.009999998,0.01,100.0,0.0033504592742476373,,4579.1333,1.0,0.01,0.0033504592742476373,1.0,4999.943204975101
100,1.0,100.0,3.5044917e-18,0.04897025,4999.951079118536,4999.951079118536,1.0,4999.951,500.0,0.009999998,0.01,100.0,0.0024216670587440857,,4579.1406,1.0,0.01,0.0024216670587440857,1.0,4999.951079118536
100,1.0,100.0,3.5044917e-18,0.05473546,4999.941719397243,4999.941719397243,1.0,4999.942,500.0,0.009999998,0.01,100.0,0.0030259065748486262,,4579.1313,1.0,0.01,0.0030259065748486262,1.0,4999.941719397243
100,1.0,100.0,3.5044917e-18,0.0622666,4999.941778154802,4999.941778154802,1.0,4999.942,500.0,0.009999998,0.01,100.0,0.00391701766215827,,4579.1313,1.0,0.01,0.00391701766215827,1.0,4999.941778154802
100,1.1278777,98.24483818650457,3.3927884e-06,42.06683,4981.9484779694285,4981.9484779694285,0.22883701,4995.7524,498.21,0.01,0.011486097,96.75027966911313,32400.547892336424,0.032714162,4571.1997,1.0178652,0.0023304336,32400.547892336424,0.9819504,4981.9484779694285
100,1.0,100.0,3.5044917e-18,0.057278074,4999.939335470618,4999.939335470618,1.0,4999.9395,500.0,0.009999998,0.01,100.0,0.0033141743781404357,,4579.129,1.0,0.01,0.0033141743781404357,1.0,4999.939335470618
100,1.0,100.0,3.5044917e-18,0.065829776,4999.940483990624,4999.940483990624,1.0,4999.9404,500.0,0.009999998,0.01,100.0,0.004378583550814204,,4579.13,1.0,0.01,0.004378583550814204,1.0,4999.940483990624
100,1.0,100.0,3.5044917e-18,0.06905726,4999.933091891222,4999.933091891222,1.0,4999.933,500.0,0.009999998,0.01,100.0,0.0048175784300009475,,4579.1226,1.0,0.01,0.0048175784300009475,1.0,4999.933091891222
100,1.0,100.0,3.5044917e-18,0.05776442,4999.943922431694,4999.943922431694,1.0,4999.9443,500.0,0.009999998,0.01,100.0,0.0033726052303714228,,4579.134,1.0,0.01,0.0033726052303714228,1.0,4999.943922431694
100,1.0019821,99.99995231630692,7.765047e-11,0.050290775,4999.945324826322,4999.945324826322,0.9979998,4999.9463,500.0,0.01,0.010020852,99.99991988315989,0.002553979258657401,7.7635036e-07,4579.1357,1.0000005,0.009981025,0.002553979258657401,0.99989706,4999.945324826322
100,1.0014136,99.99995231630692,8.1902055e-11,0.07369282,4999.934978297314,4999.934978297314,0.99631536,4999.9355,500.0,0.010000002,0.010015329,99.99991225156356,0.005492339804184033,8.1882314e-07,4579.125,1.0000005,0.009964341,0.005492339804184033,0.99988085,4999.934978297314
