AvgEpLen,AvgDiscRet,VanillaAvgRet,renyi2,AvgRet,Bound,MinNormIw,MaxNormIw,IterType,VarJ,SamplesThisIter,AvgVanillaIw,ESSClassic,MinVanillaIw,VarDiscRet,VarVanillaIw,VarNormIw,AvgNormIw,ESSRenyi,J,BatchSize,VarRet,EpsThisIter,delta,MaxVanillaIw
287.356321839,2867.03391631,2867.03391631,nan,2867.03391631,4637.13,,0.00661582,1,16714.5,50000,15.6698,10.3914072764,,2666915.01979,7588.5,3.15054e-08,3.19285e-05,nan,755576.0,100,2666915.01979,174,0.8,3246.9
409.836065574,4095.87470833,4095.87470833,nan,4095.87470833,4715.6,,0.0734573,1,9401.17,50000,8.51216,10.0057046589,,1701004.73912,85806.3,2.4557e-06,4.55373e-05,nan,851111.0,100,1701004.73912,122,0.8,13731.1
316.455696203,3159.61098744,3159.61098744,nan,3159.61098744,4668.73,,0.09851,1,15601.8,50000,274.692,10.0000002472,,2954425.8776,2.08186e+08,3.41113e-06,3.51617e-05,nan,773592.0,100,2954425.8776,158,0.8,769584.0
284.090909091,2834.85886644,2834.85886644,nan,2834.85886644,4651.17,,0.0356195,1,18062.7,50000,8.84316,12.0023008299,,3498205.38968,39774.7,5.06783e-07,3.15657e-05,nan,744637.0,100,3498205.38968,176,0.8,9978.85
257.731958763,2570.28195207,2570.28195207,nan,2570.28195207,4620.43,,0.0944434,1,18572.0,50000,218.891,10.0000344227,,3273177.89335,1.49194e+08,2.55356e-06,2.86369e-05,nan,731752.0,100,3273177.89335,194,0.8,721895.0
373.134328358,3728.18654702,3728.18654702,nan,3728.18654702,4715.52,,0.00398385,1,12731.7,50000,3.1263,8.56719046401,,2870080.43937,75.9542,1.33578e-08,4.14594e-05,nan,828835.0,100,2870080.43937,134,0.8,300.408
373.134328358,3728.24833286,3728.24833286,nan,3728.24833286,4715.55,,0.00132378,1,12215.0,50000,2.97654,3.84437859143,,2864347.6603,25.6627,4.9788e-09,4.14594e-05,nan,834463.0,100,2864347.6603,134,0.8,95.0397
284.090909091,2833.63609618,2833.63609618,nan,2833.63609618,4567.45,,0.0113353,1,14087.6,50000,24.7171,16.7083483426,,2493322.70414,54501.5,8.88882e-08,3.15657e-05,nan,753436.0,100,2493322.70414,176,0.8,8875.97
297.619047619,2968.98620207,2968.98620207,nan,2968.98620207,4617.0,,0.0812762,1,15405.8,50000,425.131,10.000005158,,3110494.94526,3.7642e+08,2.27753e-06,3.30688e-05,nan,766608.0,100,3110494.94526,168,0.8,1.04488e+06
324.675324675,3242.69288952,3242.69288952,nan,3242.69288952,4723.74,,0.0709179,1,16257.4,50000,52.9141,12.0013825516,,5395231.74534,4.74874e+06,2.20724e-06,3.6075e-05,nan,815852.0,100,5395231.74534,154,0.8,104021.0
284.090909091,2834.83670172,2834.83670172,nan,2834.83670172,4664.14,,0.0552917,1,16725.6,50000,42.3403,11.9964989536,,3287457.43303,2.13741e+06,1.18798e-06,3.15657e-05,nan,765168.0,100,3287457.43303,176,0.8,74164.9
446.428571429,4462.50186169,4462.50186169,nan,4462.50186169,4732.19,5.25992e-20,0.00030776,1,7965.21,50000,1.41796,3.33106267468,1.50361e-15,1134642.92324,1.40129,1.71481e-09,4.96032e-05,nan,867623.0,100,1134642.92324,112,0.8,8.79768
373.134328358,3728.12488279,3728.12488279,nan,3728.12488279,4730.19,,0.000706148,1,14287.4,50000,2.12974,2.82675852588,,4254937.31526,7.73728,2.93211e-09,4.14594e-05,nan,835286.0,100,4254937.31526,134,0.8,36.2743
328.947368421,3285.42775706,3285.42775706,nan,3285.42775706,4732.17,,0.0963145,1,17341.5,50000,72.9496,10.0002497513,,4568559.97563,1.35018e+07,3.38932e-06,3.65497e-05,nan,800176.0,100,4568559.97563,152,0.8,192234.0
301.204819277,3007.55058911,3007.55058911,nan,3007.55058911,4715.05,,0.00212157,1,17305.5,50000,4.97456,15.6284909105,,4114963.28181,166.392,7.53117e-09,3.34672e-05,nan,778849.0,100,4114963.28181,166,0.8,315.35
373.134328358,3726.26564343,3726.26564343,nan,3726.26564343,4672.15,,0.00961543,1,9331.77,50000,4.284,11.8468788811,,1568332.82876,536.103,5.02104e-08,4.14594e-05,nan,839758.0,100,1568332.82876,134,0.8,993.564
373.134328358,3728.14668322,3728.14668322,nan,3728.14668322,4724.97,,0.0888325,1,13290.5,50000,57.3253,10.0005127478,,3597207.39798,6.2876e+06,3.2888e-06,4.14594e-05,nan,836809.0,100,3597207.39798,134,0.8,122828.0
301.204819277,3007.53612991,3007.53612991,nan,3007.53612991,4715.42,,0.0998138,1,17454.8,50000,2361.74,9.99999714915,,3993348.71974,1.65995e+10,3.33326e-06,3.34672e-05,nan,771786.0,100,3993348.71974,166,0.8,7.04375e+06
409.836065574,4094.8914084,4094.8914084,nan,4094.8914084,4722.7,,0.0759381,1,11082.0,50000,19.8183,12.0039698467,,2685497.14275,596498.0,3.14928e-06,4.55373e-05,nan,854766.0,100,2685497.14275,122,0.8,33049.1
235.849056604,2351.5949464,2351.5949464,nan,2351.5949464,4657.37,,0.0204669,1,19561.0,50000,14.644,11.8963077271,,4013068.97997,42544.7,1.36241e-07,2.62055e-05,nan,722590.0,100,4013068.97997,212,0.8,11437.3
277.777777778,2771.7349753,2771.7349753,nan,2771.7349753,4669.56,,0.00178175,1,18611.2,50000,8.24541,4.77434093693,,4563233.81354,513.584,7.19611e-09,3.08642e-05,nan,762274.0,100,4563233.81354,180,0.8,475.998
384.615384615,3843.13996395,3843.13996395,nan,3843.13996395,4735.16,,0.00220756,1,13659.4,50000,2.2278,5.04205828465,,3289855.71863,13.1763,4.84852e-09,4.2735e-05,nan,833459.0,100,3289855.71863,130,0.8,115.081
409.836065574,4095.76893748,4095.76893748,nan,4095.76893748,4715.34,,0.0619888,1,10856.3,50000,8.7374,12.0086096255,,2068821.84724,77244.7,2.09816e-06,4.55373e-05,nan,845689.0,100,2068821.84724,122,0.8,11894.0
373.134328358,3727.21418567,3727.21418567,nan,3727.21418567,4708.74,,0.0829372,1,12641.0,50000,577.75,11.9999996428,,2671174.64016,6.64258e+08,3.4206e-06,4.14594e-05,nan,824668.0,100,2671174.64016,134,0.8,1.15576e+06
409.836065574,4094.70456987,4094.70456987,nan,4094.70456987,4690.66,,0.0570974,1,7676.89,50000,16524.9,10.0000004701,,1115864.85584,3.05523e+11,2.32007e-06,4.55373e-05,nan,857608.0,100,1115864.85584,122,0.8,2.07199e+07
342.465753425,3419.22784504,3419.22784504,nan,3419.22784504,4658.15,,0.00128632,1,13351.4,50000,5.58628,4.08072065292,,2683780.87897,168.262,7.80711e-09,3.80518e-05,nan,798214.0,100,2683780.87897,146,0.8,188.842
373.134328358,3727.24630163,3727.24630163,nan,3727.24630163,4710.28,,0.0832486,1,14384.7,50000,2482.79,12.0000013408,,3522828.45834,1.23593e+10,3.44635e-06,4.14594e-05,nan,822009.0,100,3522828.45834,134,0.8,4.98534e+06
320.512820513,3200.16769171,3200.16769171,nan,3200.16769171,4690.34,,0.0999879,1,16214.2,50000,38726.6,10.0000001637,,3531049.88522,4.20893e+12,3.55925e-06,3.56125e-05,nan,789812.0,100,3531049.88522,156,0.8,1.08731e+08
324.675324675,3241.23018952,3241.23018952,nan,3241.23018952,4664.95,,0.00572548,1,14523.7,50000,6.50924,7.22559513281,,3160281.28975,863.809,2.6532e-08,3.6075e-05,nan,798085.0,100,3160281.28975,154,0.8,1033.08
