ReturnStepMax,MaxIWNorm,InitialReturnStd,Weights,ReturnMeanIW,ESSRenyi,ESSClassic,TimeElapsed,OptimizationReturnMin,MaxIW,EpRewMean,TimestepsSoFar,Iteration,Bound,StdIWNorm,StdIW,EpisodesSoFar,InitialReturnMean,EmpiricalD2,OptimizationReturnMean,EpThisIter,OptimizationReturnMax,InitialReturnMax,ReturnStepMaxmin,MeanEntropy,MeanIW,InitialReturnMin,MinIWNorm,VarianceInit,EpLenMean,InitialBound,LearnableVariance,MinIW,MeanIWNorm,J_sample_variance
9.359744,0.025517292,59.448578,[-0.023  0.209  0.089  0.002 -0.022 -0.257  0.596 -0.209  0.     0.  0.    -0.516],339.10077,84.462746,84.383156,71.1520128250122,,2.5517292,311.381209927508,95429,36,160.164,0.0046162615,0.46162617,3600,311.38123,1.1839539,81.76166,100,318.54498,548.16455,9.359744,0.9186795,1.0730542,229.61955,0.0020088225,-1,33.69,146.93184,True,0.20088226,0.010730542,70207.914
9.359372,0.119919114,84.08591,[-0.021  0.209  0.088 -0.012 -0.034 -0.258  0.606 -0.222  0.     0.  0.    -0.5  ],381.92383,71.4367,45.089024,74.34328818321228,,11.991912,320.4475507051633,98895,37,137.74089,0.012023123,1.2023124,3700,320.44754,1.3998407,101.05757,100,468.55667,687.94666,9.359372,0.89294565,1.0894897,219.38998,0.0011475795,-1,34.66,114.06355,True,0.114757955,0.0108948955,238660.4
9.359915,0.26581696,59.863792,[ 0.018  0.204  0.087 -0.02  -0.037 -0.218  0.611 -0.214  0.     0.  0.    -0.526],491.20786,45.274162,21.223785,77.81961727142334,,26.581697,308.86444493804413,102235,38,244.06248,0.027104475,2.710447,3800,308.86444,2.2087653,96.45892,100,341.90924,554.31476,9.359915,0.96063226,1.406873,212.40552,0.0014004981,-1,33.4,142.56999,True,0.14004982,0.014068731,910094.7
9.359463,0.041461125,74.67384,[ 0.031  0.227  0.089 -0.022 -0.062 -0.17   0.662 -0.192  0.     0.  0.    -0.458],362.13467,76.50016,76.096886,82.05978488922119,,4.1461124,315.8653059773341,105650,39,164.21515,0.0064913975,0.6491398,3900,315.86533,1.3071868,115.09517,100,376.26007,577.0302,9.359463,0.95593154,1.1582286,200.77014,0.0011948515,-1,34.15,142.75624,True,0.11948515,0.011582285,70308.51
9.359906,16.5979,82.57411,[ 0.03   0.228  0.092 -0.044 -0.089 -0.189  0.685 -0.202  0.     0.  0.    -0.463],6006.2812,0.37956938,1.0607904,86.02191019058228,,1659.79,312.0711000235081,109026,40,2878.284,1.6509897,165.09897,4000,312.0711,263.45645,111.01968,100,441.32663,642.37805,9.359906,0.8518122,17.095228,201.05142,2.1800552e-06,-1,33.76,119.3577,True,0.00021800552,0.17095228,639078340.0
9.35986,0.023612391,69.61594,[ 0.038  0.245  0.096  0.044  0.014 -0.123  0.684 -0.213  0.     0.  0.    -0.567],332.23688,95.02603,93.8417,90.54416584968567,,2.3612392,320.14185251219124,112486,41,126.61218,0.0026232929,0.2623293,4100,320.14185,1.0523432,99.62248,100,447.63275,668.1521,9.35986,0.8576891,1.0240331,220.51936,0.00476762,-1,34.6,119.6962,True,0.47676203,0.01024033,59988.73
9.359811,1.594771,73.54373,[ 0.033  0.252  0.095  0.04   0.008 -0.103  0.687 -0.206  0.     0.  0.    -0.561],736.6648,14.356369,2.7535582,94.22885417938232,,159.47711,324.6920721845787,115997,42,275.72473,0.15855528,15.855528,4200,324.69208,6.9655495,103.132744,100,360.60486,582.1642,9.359811,0.878191,2.6680312,221.55933,0.00020437561,-1,35.11,150.04283,True,0.020437561,0.026680313,547228.3
9.359968,0.019117018,61.36611,[ 0.037  0.236  0.104 -0.014 -0.046 -0.095  0.659 -0.179  0.     0.  0.    -0.541],344.87177,89.4215,91.90815,98.46256399154663,,1.9117019,323.5663400565786,119493,43,189.0621,0.00311353,0.311353,4300,323.56635,1.1182992,85.04299,100,252.604,491.12735,9.359968,0.8617943,1.0493146,238.52335,0.003269231,-1,34.96,176.22815,True,0.3269231,0.010493147,69485.46
9.359645,0.03707258,78.38255,[ 0.029  0.234  0.098 -0.008 -0.038 -0.1    0.644 -0.194  0.     0.  0.    -0.557],376.43704,78.484924,75.88554,102.43660879135132,,3.7072582,329.3890833937053,123052,44,165.01414,0.0062729595,0.627296,4400,329.3891,1.27413,97.90196,100,392.8568,624.34393,9.359645,0.839662,1.1127894,231.48712,0.0016280388,-1,35.59,142.08594,True,0.16280389,0.011127893,91967.8
9.35995,0.85323364,76.70382,[ 0.017  0.238  0.093 -0.019 -0.048 -0.089  0.61  -0.204  0.     0.  0.    -0.579],1089.9554,8.985729,5.3529444,106.74396061897278,,85.323364,331.3683825755932,126633,45,559.8716,0.111616924,11.161694,4500,331.3684,11.128757,121.00501,100,319.30008,529.66345,9.35995,0.9106848,2.65444,210.36337,0.000326266,-1,35.81,172.46935,True,0.0326266,0.026544401,8931121.0
