LearnableVariance,Iteration,OptimizationReturnMax,InitialReturnStd,MinIW,ESSClassic,ESSRenyi,J_sample_variance,MeanEntropy,MaxIWNorm,VarianceInit,InitialReturnMax,Bound,ReturnStepMaxmin,TimestepsSoFar,MeanIWNorm,ReturnMeanIW,MeanIW,OptimizationReturnMin,ReturnStepMax,InitialReturnMean,EmpiricalD2,MinIWNorm,InitialReturnMin,EpLenMean,StdIWNorm,MaxIW,TimeElapsed,EpRewMean,OptimizationReturnMean,EpThisIter,StdIW,EpisodesSoFar,InitialBound,Weights
,38,346.05038,67.38324,0.2573288,83.21153,79.513336,41804.4,0.4189424,0.027543519,-1.0,491.036,154.49214,9.359902,97685,0.0110168755,319.69388,1.1016876,,9.359902,279.2507,1.2576506,0.002573288,144.98563,30.21,0.0049484847,2.7543519,169.69205570220947,279.2506986414299,134.26508,100,0.4948485,3800,131.93991,[ 0.046  0.116 -0.015 -0.017 -0.024  0.076  0.08  -0.114  0.     0.  0.   ]
,39,559.4047,100.36018,0.020162331,15.385847,30.796177,3759342.0,0.4189424,0.34473485,-1.0,741.16925,216.90329,9.359686,101077,0.014652174,617.5764,1.4652172,,9.359686,313.8905,3.2471564,0.0002016233,181.76454,33.92,0.03436077,34.473484,174.41490077972412,313.8905128510833,132.12598,100,3.4360766,3900,91.5397,[ 0.049  0.115 -0.017 -0.011 -0.018  0.073  0.092 -0.123  0.     0.  0.   ]
,40,468.61707,86.04751,0.3374458,89.177216,91.48866,46918.434,0.4189424,0.022983145,-1.0,641.2462,150.13957,9.359779,104639,0.010597289,351.26288,1.059729,,9.359779,329.81198,1.0930316,0.0033744578,172.62914,35.62,0.0036917934,2.2983146,178.65030694007874,329.8119821758371,157.18285,100,0.36917937,4000,137.4381,[ 0.054  0.108 -0.016 -0.008 -0.007  0.067  0.105 -0.155  0.     0.  0.   ]
,41,403.47852,91.867615,0.10821537,75.89352,71.20307,100986.375,0.4189424,0.04481685,-1.0,585.94543,207.07689,9.359938,108264,0.011595155,415.39597,1.1595156,,9.359938,335.7547,1.4044338,0.0010821536,182.46692,36.25,0.0065349345,4.481685,183.0166187286377,335.75468134024544,153.28778,100,0.65349346,4100,159.97102,[ 7.146e-02  1.024e-01 -1.074e-02 -1.220e-04 -3.938e-03  6.933e-02  1.199e-01 -1.527e-01  0.000e+00  0.000e+00  0.000e+00]
,42,482.8493,102.26261,0.00032940932,3.6023078,20.30119,12312948.0,0.4189424,1.1160643,-1.0,684.3638,484.64923,9.359867,112092,0.021321993,940.31616,2.1321995,,9.359867,354.8025,4.92582,3.2940932e-06,201.51448,38.28,0.1102988,111.60643,188.9210286140442,354.8025180343539,153.28802,100,11.029878,4200,149.49338,[ 0.089  0.094 -0.007 -0.008 -0.01   0.078  0.131 -0.176  0.     0.  0.   ]
,43,613.14984,111.49433,0.47244197,91.29152,90.6603,80301.2,0.4189424,0.020759067,-1.0,835.456,133.39511,9.359944,116016,0.010462352,396.6256,1.0462352,,9.359944,363.93417,1.1030186,0.0047244197,222.30615,39.24,0.0032313585,2.0759068,194.9441888332367,363.93418654497464,141.62802,100,0.32313588,4300,113.29739,[ 0.051  0.115 -0.015 -0.009 -0.01   0.109  0.131 -0.205  0.     0.  0.   ]
,44,388.92996,83.301285,0.5624392,90.29088,92.88993,69617.445,0.4189424,0.02898536,-1.0,619.6933,166.84097,9.359977,119718,0.010468219,359.73276,1.046822,,9.359977,343.05093,1.076543,0.005624392,230.76334,37.02,0.0034327407,2.8985362,199.6239709854126,343.05090618881184,112.287575,100,0.3432741,4400,157.14293,[ 0.058  0.115 -0.016 -0.005 -0.006  0.116  0.143 -0.214  0.     0.  0.   ]
,45,631.6653,106.534065,0.13777351,89.42086,87.5729,85746.98,0.4189424,0.02243095,-1.0,860.7224,132.98154,9.359733,123694,0.010821661,408.9119,1.0821662,,9.359733,368.60104,1.1419058,0.001377735,229.05713,39.76,0.003722198,2.2430952,204.12536644935608,368.6010371498113,139.5439,100,0.37221983,4500,110.38434,[ 0.076  0.108 -0.009 -0.009 -0.009  0.121  0.154 -0.209  0.     0.  0.   ]
,46,423.0214,94.20707,0.3461892,59.366653,83.01526,209968.98,0.4189424,0.09135607,-1.0,654.3667,181.11462,9.359926,127556,0.010636367,396.57306,1.0636367,,9.359926,357.82227,1.2045978,0.003461892,231.3453,38.62,0.008799606,9.135607,208.79069137573242,357.82225633338277,126.476944,100,0.8799606,4600,161.51224,[ 0.079  0.107 -0.01  -0.007 -0.006  0.11   0.156 -0.217  0.     0.  0.   ]
,47,392.80933,89.102066,0.004765319,27.15842,30.285337,532792.75,0.4189424,0.15991347,-1.0,613.54614,271.57748,9.359964,131319,0.016384978,606.0437,1.6384978,,9.359964,348.8424,3.3019278,4.765319e-05,220.73682,37.63,0.02683387,15.991347,213.58110117912292,348.84244135795865,128.10562,100,2.6833868,4700,164.77861,[ 0.057  0.108 -0.014 -0.014 -0.011  0.102  0.148 -0.22   0.     0.  0.   ]
,48,418.0584,86.87848,0.18250002,34.76104,64.64672,284613.56,0.4189424,0.15021566,-1.0,639.2405,185.31993,9.359816,135181,0.011123546,423.83304,1.1123548,,9.359816,358.01007,1.5468689,0.0018250002,221.18208,38.62,0.015238789,15.021566,219.058846950531,358.01006148540284,136.82797,100,1.5238792,4800,166.23795,[ 0.071  0.115 -0.015 -0.023 -0.021  0.117  0.185 -0.259  0.     0.  0.   ]
,49,892.2288,143.88165,0.4133964,74.657005,84.526245,199290.06,0.4189424,0.050142467,-1.0,1104.2539,98.578094,9.35998,139541,0.010610429,458.9031,1.061043,,9.35998,404.3802,1.1830645,0.004133964,212.0251,43.6,0.0061819693,5.014247,224.0041959285736,404.3801861991908,192.3551,100,0.61819696,4900,73.104034,[ 0.086  0.119 -0.009 -0.019 -0.008  0.133  0.185 -0.247  0.     0.  0.   ]
,50,505.11713,102.89881,0.5285713,95.4676,96.09186,75053.18,0.4189424,0.02305145,-1.0,744.90295,157.27266,9.359757,143583,0.010194954,385.24265,1.0194955,,9.359757,374.8895,1.0406709,0.005285713,239.78581,40.42,0.0022213722,2.305145,228.40800189971924,374.88951232607326,135.1037,100,0.22213726,5000,151.41862,[ 0.063  0.125 -0.015 -0.008  0.001  0.128  0.178 -0.244  0.     0.  0.   ]
