InitialReturnMean,MinIWNorm,EpisodesSoFar,StdIW,MeanEntropy,OptimizationReturnMin,J_sample_variance,OptimizationReturnMean,StdIWNorm,MaxIW,InitialReturnStd,ReturnMeanIW,EpThisIter,ReturnStepMaxmin,ESSClassic,MeanIW,EmpiricalD2,ReturnStepMax,EpLenMean,OptimizationReturnMax,Iteration,InitialReturnMax,LearnableVariance,MinIW,ESSRenyi,VarianceInit,MeanIWNorm,InitialReturnMin,Bound,TimeElapsed,Weights,InitialBound,EpRewMean,MaxIWNorm,TimestepsSoFar
248.00204,0.00027236374,3500,1.1472836,0.4189424,,87904.836,102.82795,0.011472835,11.000879,67.10279,315.35117,100,9.359974,51.392586,1.1796949,1.6443814,9.359974,26.89,318.05338,35,463.22748,,0.027236376,60.81314,-1.0,0.0117969485,145.1741,137.14742,136.40141344070435,[ 0.045  0.154  0.084 -0.007 -0.007  0.133  0.184 -0.004  0.     0.  0.   ],109.03383,248.00204713350192,0.11000879,82563
271.2315,0.0035246036,3600,0.40580732,0.4189424,,40271.9,125.86976,0.0040580733,2.7543979,68.73067,305.90387,100,9.359886,87.63597,1.0803906,1.1969709,9.359886,29.36,337.0301,36,482.39185,,0.35246035,83.54422,-1.0,0.010803904,145.36176,147.57394,139.5900695323944,[ 0.054  0.153  0.09   0.    -0.003  0.115  0.188 -0.021  0.     0.  0.   ],126.51396,271.2315112545804,0.027543979,85499
269.59512,3.7932266e-05,3700,2.4438581,0.4189424,,859122.2,113.799736,0.02443858,21.37785,72.87054,439.88257,100,9.359477,23.123037,1.3402948,2.754611,9.359477,29.18,411.32773,37,567.1231,,0.0037932268,36.302765,-1.0,0.01340295,155.79538,157.50592,142.8198425769806,[ 0.048  0.154  0.087 -0.008 -0.008  0.11   0.19  -0.031  0.     0.  0.   ],99.458176,269.5951094598345,0.2137785,88417
281.28497,0.0052758665,3800,0.19481188,0.4189424,,41143.41,106.286514,0.0019481189,1.7606162,72.3265,293.51227,100,9.359913,96.55887,1.0319531,1.0513148,9.359913,30.43,419.2176,38,594.21606,,0.52758664,95.11899,-1.0,0.01031953,174.99847,110.730865,146.29828119277954,[ 0.042  0.157  0.091 -0.007 -0.01   0.096  0.215 -0.053  0.     0.  0.   ],103.02016,281.28499218704843,0.017606162,91460
289.44492,0.0025119141,3900,1.1196051,0.4189424,,55485.188,125.63587,0.01119605,7.213927,71.639984,342.34494,100,9.359942,54.976456,1.2371814,1.3753674,9.359942,31.3,393.63382,39,557.4429,,0.2511914,72.70785,-1.0,0.012371813,163.80905,146.22084,149.83823204040527,[ 0.049  0.155  0.09  -0.002 -0.006  0.098  0.215 -0.058  0.     0.  0.   ],122.21207,289.44492437424645,0.07213926,94590
290.1579,0.005728001,4000,0.22447127,0.4189424,,36361.285,126.42356,0.0022447126,1.7746791,74.88644,302.06757,100,9.359953,95.44078,1.0270307,1.052604,9.359953,31.36,357.79352,40,521.52783,,0.5728001,95.002495,-1.0,0.010270307,163.73431,141.5468,153.2938768863678,[ 0.077  0.136  0.101 -0.021 -0.01   0.105  0.236 -0.043  0.     0.  0.   ],133.69952,290.15788334020124,0.01774679,97726
285.27786,0.0052345805,4100,0.28659004,0.4189424,,35933.145,121.14119,0.0028659003,1.9616916,63.554585,298.75406,100,9.359572,92.94167,1.0399572,1.0794377,9.359572,30.85,341.7865,41,505.9232,,0.52345806,92.64082,-1.0,0.010399571,164.13669,141.06389,156.74398136138916,[ 0.068  0.145  0.095 -0.017 -0.004  0.103  0.229 -0.048  0.     0.  0.   ],133.50095,285.27787818378573,0.019616915,100811
299.75415,0.0018098035,4200,0.4994344,0.4189424,,58924.633,117.4675,0.004994344,2.684053,85.78311,341.3449,100,9.359963,83.17509,1.1104492,1.2378887,9.359963,32.4,421.83823,42,604.1249,,0.18098035,80.78271,-1.0,0.011104491,182.28665,139.69931,160.1615948677063,[ 0.067  0.141  0.088 -0.015  0.004  0.101  0.22  -0.055  0.     0.  0.   ],118.51669,299.75415497308074,0.026840528,104051
279.7785,0.007517476,4300,0.1856256,0.4189424,,43782.066,87.85998,0.001856256,1.5888468,65.61202,285.5864,100,9.359947,96.834465,1.0266643,1.0300828,9.359947,30.25,310.48376,43,502.40228,,0.7517476,97.079575,-1.0,0.010266641,191.91852,132.61546,163.55281352996826,[ 0.074  0.134  0.088 -0.011  0.014  0.11   0.22  -0.064  0.     0.  0.   ],129.05783,279.77850049599795,0.015888467,107076
292.4316,0.0034075745,4400,0.26620692,0.4189424,,41437.863,128.81548,0.0026620692,1.8154511,74.980965,312.4301,100,9.3598385,93.82988,1.0381088,1.0839792,9.3598385,31.62,404.62363,44,568.23975,,0.34075746,92.252686,-1.0,0.010381089,163.61612,134.94443,166.89561700820923,[ 0.073  0.139  0.088 -0.015  0.008  0.117  0.229 -0.058  0.     0.  0.   ],121.95967,292.43160023254654,0.018154511,110238
293.04538,0.0037734578,4500,0.29097164,0.4189424,,49728.383,120.27728,0.0029097162,2.383754,83.97709,320.0416,100,9.359711,93.011795,1.0615408,1.0975318,9.359711,31.69,544.4925,45,717.26056,,0.3773458,91.11353,-1.0,0.0106154075,172.76807,94.61417,170.3652172088623,[ 0.073  0.153  0.092 -0.018  0.017  0.132  0.252 -0.059  0.     0.  0.   ],77.86719,293.04535607854507,0.02383754,113407
300.6624,0.0040906137,4600,0.29637796,0.4189424,,45714.504,118.2283,0.0029637793,2.1968744,72.94539,319.21463,100,9.359934,92.77191,1.0617986,1.0866693,9.359934,32.48,394.74902,46,577.18317,,0.40906137,92.024315,-1.0,0.010617987,182.43414,138.71198,173.8827977180481,[ 0.073  0.15   0.092 -0.025  0.01   0.123  0.256 -0.063  0.     0.  0.   ],127.50751,300.66244156058764,0.021968743,116655
295.64203,0.0018247479,4700,0.3634634,0.4189424,,51939.45,112.75524,0.0036346337,1.9854157,67.5639,333.90826,100,9.359934,90.15554,1.0999197,1.1796473,9.359934,31.96,329.63724,47,512.52405,,0.18247479,84.771095,-1.0,0.010999195,182.88681,166.91016,177.35520029067993,[ 0.071  0.159  0.091 -0.025  0.013  0.139  0.258 -0.063  0.     0.  0.   ],141.88483,295.6420433047362,0.019854156,119851
301.6955,0.00095250097,4800,0.6328186,0.4189424,,74357.02,110.04251,0.006328185,4.2619944,81.44749,334.9841,100,9.359951,74.30861,1.0762295,1.2252365,9.359951,32.6,441.4516,48,633.1046,,0.0952501,81.61689,-1.0,0.010762295,191.65302,124.748276,180.95688033103943,[ 0.076  0.159  0.092 -0.024  0.01   0.126  0.264 -0.074  0.     0.  0.   ],111.76416,301.6955236014262,0.042619944,123111
307.98056,0.001615887,4900,0.6012349,0.4189424,,82749.57,113.931244,0.0060123494,4.85562,85.0283,354.1997,100,9.359966,76.05455,1.0715073,1.2591976,9.359966,33.27,430.07147,49,624.1208,,0.16158871,79.41566,-1.0,0.010715072,194.04932,144.0945,184.61736226081848,[ 0.057  0.17   0.087 -0.031  0.003  0.114  0.27  -0.079  0.     0.  0.   ],120.74431,307.9805555297215,0.048556197,126438
317.41348,0.0017913484,5000,0.82708865,0.4189424,,146365.73,115.02029,0.008270887,8.004915,87.94414,355.0185,100,9.35998,63.21868,1.0843289,1.2776694,9.35998,34.29,389.04358,50,591.43677,,0.17913485,78.26751,-1.0,0.010843288,202.39319,154.46104,188.34344291687012,[ 1.124e-01  1.510e-01  9.366e-02 -2.097e-02  1.062e-04  1.105e-01  2.813e-01 -9.384e-02  0.000e+00  0.000e+00  0.000e+00],139.98244,317.4134723777572,0.08004915,129867
313.8438,2.2918173e-05,5100,5.7381363,0.4189424,,4047720.8,110.62128,0.05738136,57.59168,75.118095,656.2011,100,9.35987,7.5175304,1.6359829,5.1792393,9.35987,33.88,354.83728,51,558.0598,,0.0022918175,19.307856,-1.0,0.016359828,203.22252,275.19232,192.08949995040894,[ 0.123  0.145  0.089 -0.017  0.001  0.114  0.262 -0.087  0.     0.  0.   ],146.42584,313.8437953405471,0.57591677,133255
320.01273,0.007089592,5200,0.1441462,0.4189424,,53310.55,108.21375,0.001441462,1.3738613,73.65364,326.44327,100,9.359972,98.05496,1.0234698,1.0254518,9.359972,34.54,384.34488,52,596.14386,,0.7089592,97.51799,-1.0,0.0102347,211.79898,145.33849,196.14063811302185,[ 0.147  0.148  0.104 -0.013  0.01   0.116  0.334 -0.104  0.     0.  0.   ],141.1696,320.0127310248973,0.013738613,136709
349.32996,0.0036815396,5300,0.3016146,0.4189424,,82326.234,137.15097,0.0030161457,3.2162068,93.83831,369.94653,100,9.359848,92.15599,1.0338216,1.0590767,9.359848,37.69,569.4618,53,781.64075,,0.36815396,94.42187,-1.0,0.010338217,212.17899,128.62718,200.09239864349365,[ 0.143  0.142  0.102 -0.015  0.013  0.108  0.332 -0.107  0.     0.  0.   ],114.83772,349.3299471875994,0.032162067,140478
345.82397,0.0038706884,5400,0.27513826,0.4189424,,72508.766,115.72519,0.0027513828,2.1602008,93.18394,363.72763,100,9.359903,93.48349,1.0421042,1.0786082,9.359903,37.3,487.58112,54,717.67993,,0.38706884,92.712074,-1.0,0.010421043,230.0988,140.12141,203.94619798660278,[ 0.124  0.147  0.099 -0.016  0.02   0.114  0.334 -0.113  0.     0.  0.   ],130.52,345.82399285212216,0.021602008,144208
329.07675,0.00058882963,5500,2.1415372,0.4189424,,348960.72,117.30913,0.021415373,21.3886,85.82243,438.74393,100,9.359938,25.18473,1.2425078,1.7740375,9.359938,35.51,513.0439,55,724.8115,,0.058882967,56.368595,-1.0,0.012425078,211.76762,149.12448,207.66459369659424,[ 0.127  0.151  0.098 -0.02   0.013  0.12   0.344 -0.119  0.     0.  0.   ],111.63327,329.07675388101336,0.213886,147759
355.38376,0.0043885633,5600,0.3539741,0.4189424,,76268.69,125.13575,0.003539741,1.8608996,82.37764,392.32602,100,9.359857,90.53784,1.0949423,1.1415727,9.359857,38.33,400.69183,56,630.9398,,0.43885633,87.59845,-1.0,0.010949422,230.24799,190.08885,211.85960292816162,[ 0.095  0.176  0.1   -0.027  0.01   0.11   0.372 -0.123  0.     0.  0.   ],166.10179,355.38372659229907,0.018608995,151592
342.07657,0.00021396967,5700,3.285069,0.4189424,,612877.3,111.048676,0.032850694,32.101128,71.04554,479.9489,100,9.359949,14.383919,1.346497,2.694956,9.359949,36.9,298.18738,57,529.2153,,0.021396969,37.106358,-1.0,0.01346497,231.02788,219.31589,215.74849939346313,[ 0.107  0.174  0.102 -0.017  0.017  0.112  0.391 -0.126  0.     0.  0.   ],183.31197,342.07655213570337,0.32101128,155282
329.31763,0.0051976168,5800,0.2822902,0.4189424,,53737.1,126.80291,0.002822902,2.1704795,75.07903,345.19385,100,9.359475,93.18634,1.0439546,1.0663142,9.359475,35.56,363.31384,58,565.82855,,0.5197617,93.78099,-1.0,0.010439545,202.5147,169.90726,219.66675996780396,[ 0.11   0.169  0.105 -0.003  0.018  0.128  0.374 -0.092  0.     0.  0.   ],159.56905,329.3176139912937,0.021704795,158838
336.93137,0.0003616072,5900,4.302278,0.4189424,,5105817.0,124.34521,0.04302278,42.837376,97.01748,679.3958,100,9.35991,9.982424,1.432692,2.503431,9.35991,36.37,518.1905,59,730.7767,,0.036160722,39.94518,-1.0,0.014326921,212.58618,332.52023,223.46519565582275,[ 0.1    0.179  0.106 -0.012  0.015  0.131  0.387 -0.09   0.     0.  0.   ],117.69835,336.9313733082796,0.42837375,162475
