EpLenMean,VarianceInit,J_sample_variance,InitialBound,StdIW,ReturnMeanIW,MaxIWNorm,OptimizationReturnMean,EpRewMean,ReturnStepMax,Iteration,EmpiricalD2,InitialReturnMin,TimestepsSoFar,Weights,MeanIWNorm,ESSRenyi,Bound,TimeElapsed,MeanIW,ReturnStepMaxmin,MinIWNorm,ESSClassic,MaxIW,MeanEntropy,InitialReturnStd,InitialReturnMax,LearnableVariance,EpThisIter,StdIWNorm,OptimizationReturnMax,InitialReturnMean,MinIW,OptimizationReturnMin,EpisodesSoFar
32.58,-1,55414.26,128.16284,0.35565904,327.39996,0.028304849,107.600685,301.45564907491496,9.359355,40,1.1186978,193.85497,97890,[-0.028  0.09   0.069  0.006 -0.037 -0.176  0.117 -0.294  0.     0.  0.    -0.448],0.010713323,89.38965,144.11076,435.2534794807434,1.0713325,9.359355,0.0046782177,90.0731,2.8304849,0.955995,73.04632,577.64264,True,100,0.0035565903,383.78766,301.45566,0.46782178,,4000
31.65,-1,54158.72,142.62775,0.42308193,316.16757,0.020868164,90.89937,292.79812803959436,9.359943,41,1.1553954,201.89876,101055,[-0.028  0.097  0.065  0.005 -0.034 -0.153  0.117 -0.294  0.     0.  0.    -0.463],0.010607927,86.55046,154.75044,449.71320939064026,1.0607928,9.359943,0.0031083345,86.2761,2.0868163,0.917193,65.03342,500.56796,True,100,0.004230819,298.6692,292.79813,0.31083345,,4100
34.47,-1,63272.707,96.00531,0.6349634,358.13556,0.03203839,127.11211,318.8760319763428,9.359975,42,1.2220676,191.76392,104502,[-0.036  0.098  0.058 -0.006 -0.04  -0.151  0.105 -0.301  0.     0.  0.    -0.502],0.011046973,81.82854,111.758316,464.60326409339905,1.1046975,9.359975,0.0028527447,75.16663,3.203839,0.89251155,79.015,742.90234,True,100,0.0063496344,551.1384,318.876,0.28527448,,4200
33.86,-1,56623.434,157.35794,0.2746309,332.16403,0.0191615,101.05269,313.36659254278635,9.359752,43,1.0906209,212.3139,107888,[-0.028  0.104  0.052  0.006 -0.035 -0.135  0.097 -0.303  0.     0.  0.    -0.526],0.010542512,91.69089,169.23985,478.9056193828583,1.0542512,9.359752,0.0045285467,93.64528,1.9161501,0.870794,69.38526,520.0288,True,100,0.002746309,307.7149,313.3666,0.45285466,,4300
33.78,-1,52953.0,114.5912,0.09656347,316.7248,0.014357085,101.72472,312.5173783055012,9.359539,44,1.0090419,210.79266,111266,[-0.022  0.103  0.047 -0.001 -0.023 -0.149  0.102 -0.315  0.     0.  0.    -0.548],0.010105038,99.10391,117.90584,492.066121339798,1.0105038,9.359539,0.008655471,99.0951,1.4357085,0.8708449,78.48905,659.7539,True,100,0.0009656348,448.96124,312.51736,0.86554706,,4400
32.21,-1,110226.49,127.430984,1.6443111,355.2558,0.16093576,96.194275,297.94153097706743,9.359899,45,1.4814457,201.74725,114487,[-0.025  0.115  0.049  0.002 -0.026 -0.139  0.112 -0.307  0.     0.  0.    -0.548],0.011840881,67.50163,147.71948,504.6574664115906,1.1840882,9.359899,0.001783656,34.148205,16.093576,0.9270414,63.371223,568.3685,True,100,0.01644311,366.62128,297.9415,0.1783656,,4500
33.37,-1,87316.34,121.58263,0.79707223,372.66614,0.051387534,107.141174,308.85947118824697,9.359829,46,1.4033421,201.71829,117824,[-0.015  0.1    0.045  0.017 -0.014 -0.142  0.097 -0.318  0.     0.  0.    -0.492],0.011403679,71.25846,150.81285,518.3066852092743,1.1403676,9.359829,0.00087074976,67.17964,5.1387534,0.8667372,73.27528,624.25616,True,100,0.007970721,422.53787,308.85947,0.08707498,,4600
34.96,-1,57158.242,139.23125,0.31552154,335.79572,0.020008301,110.76337,323.6069824031193,9.359881,47,1.0761464,212.84361,121320,[-0.022  0.108  0.038  0.022 -0.003 -0.151  0.106 -0.338  0.     0.  0.    -0.552],0.010490082,92.924164,144.52899,533.0797576904297,1.0490083,9.359881,0.003505018,91.70367,2.0008302,0.8897927,76.6438,614.58575,True,100,0.0031552154,401.74213,323.60696,0.3505018,,4700
33.96,-1,75843.76,139.68922,0.690211,371.99173,0.04185748,111.13803,314.182425026628,9.359938,48,1.3621174,203.0444,124716,[-0.031  0.118  0.036  0.027 -0.002 -0.157  0.112 -0.34   0.     0.  0.    -0.529],0.011728194,73.41511,168.34106,546.7348625659943,1.1728195,9.359938,0.0012030095,74.27549,4.185748,0.86449623,70.335625,581.64404,True,100,0.00690211,378.59964,314.18243,0.12030095,,4800
34.25,-1,596042.6,160.57452,11.614933,673.442,1.1083896,113.856735,316.91532042203494,9.359641,49,5.0128703,203.0586,128141,[-0.043  0.121  0.034  0.022 -0.011 -0.179  0.121 -0.335  0.     0.  0.    -0.554],0.025540149,19.94865,323.40375,560.3747773170471,2.554015,9.359641,0.00046099728,4.6121817,110.83897,0.9098915,67.54265,521.136,True,100,0.11614933,318.0774,316.91534,0.04609973,,4900
