renyi2,J,MinNormIw,ESSClassic,BatchSize,ESSRenyi,SamplesThisIter,delta,MaxNormIw,AvgDiscRet,VarNormIw,IterType,MinVanillaIw,AvgEpLen,AvgNormIw,EpsThisIter,MaxVanillaIw,VarJ,VarDiscRet,Bound,VarRet,AvgVanillaIw,VanillaAvgRet,VarVanillaIw,AvgRet
nan,-8149.04,,8.83731874574,100,nan,50000,0.8,0.0514606,-58.0233907638,2.93802e-07,1,,85.0340136054,9.44822e-06,588,2.67101e+06,241.997,80.4360177646,-44.8934,80.4360177646,490.4,-58.0233907638,7.91507e+08,-58.0233907638
nan,-6432.18,,5.87575133608,100,nan,50000,0.8,0.0544125,-58.9272922953,4.84233e-07,1,,86.5051903114,9.61169e-06,578,5.07579e+24,338.826,158.699159811,-29.82,158.699159811,8.96612e+20,-58.9272922953,inf,-58.9272922953
nan,-8571.72,,7.31083029827,100,nan,50000,0.8,0.0195615,-57.1701570468,5.08967e-08,1,,83.0564784053,9.2285e-06,602,56913.3,173.227,75.8359839645,-46.1728,75.8359839645,26.8499,-57.1701570468,430837.0,-57.1701570468
nan,-6720.78,,9.86223163115,100,nan,50000,0.8,0.0853599,-58.3932203535,6.97962e-07,1,,85.0340136054,9.44822e-06,588,5.23959e+16,303.964,102.038193571,-32.6279,102.038193571,5.79954e+12,-58.3932203535,2.62977e+29,-58.3932203535
nan,-7804.5,,9.99965596907,100,nan,50000,0.8,0.0994162,-57.9826579849,9.29034e-07,1,,84.6023688663,9.40026e-06,591,5.59548e+23,197.744,73.2695492861,-41.2804,73.2695492861,5.29078e+19,-57.9826579849,inf,-57.9826579849
nan,-6869.41,,9.99492119271,100,nan,50000,0.8,0.0966351,-56.0690061119,8.50844e-07,1,,81.9672131148,9.10747e-06,610,1.10624e+15,319.586,60.565817797,-31.1882,60.565817797,1.04258e+11,-56.0690061119,1.115e+26,-56.0690061119
nan,-10724.8,,13.917573358,100,nan,50000,0.8,0.000115149,-72.8055396822,1.40985e-10,1,,105.708245243,1.17454e-05,473,11.7155,410.821,3813.44140921,-63.7238,3813.44140921,1.195,-72.8055396822,1.4594,-72.8055396822
nan,-10318.5,5.09005e-24,8.2452385443,100,nan,50000,0.8,0.000102909,-66.7741419257,9.70909e-11,1,5.47068e-19,95.785440613,1.06428e-05,522,11.0604,372.501,2516.38338558,-63.681,2516.38338558,1.14387,-66.7741419257,1.12155,-66.7741419257
nan,-10915.0,1.33061e-14,5.54087900432,100,nan,50000,0.8,8.7317e-05,-68.7879028902,6.56769e-11,1,1.19959e-09,100.200400802,1.11334e-05,499,7.87197,330.207,2092.61184246,-66.7626,2092.61184246,1.00372,-68.7879028902,0.533805,-68.7879028902
inf,-9952.14,6.82588e-09,4.51123761687,100,,50000,0.8,0.000238837,-58.8277390711,5.61733e-11,1,0.000784348,85.3242320819,9.48047e-06,586,27.4443,259.055,233.149867414,-61.7677,233.149867414,1.08938,-58.8277390711,0.741703,-58.8277390711
nan,-10182.9,1.77103e-16,4.93355225755,100,nan,50000,0.8,0.000119685,-64.2204769602,7.25647e-11,1,1.88193e-11,92.7643784787,1.03072e-05,539,12.718,301.932,2072.53881765,-62.8464,2072.53881765,1.09526,-64.2204769602,0.819377,-64.2204769602
nan,-10069.2,1.79778e-37,7.59790622643,100,nan,50000,0.8,0.000158159,-67.1099786378,1.53554e-10,1,1.99372e-32,96.5250965251,1.0725e-05,518,17.5396,336.948,2282.91058727,-61.4393,2282.91058727,1.18939,-67.1099786378,1.88849,-67.1099786378
nan,-10182.9,3.53359e-21,7.65756307711,100,nan,50000,0.8,0.000102771,-64.1695784477,9.1716e-11,1,3.92308e-16,93.1098696462,1.03455e-05,537,11.41,323.122,1689.75812849,-62.1283,1689.75812849,1.14859,-64.1695784477,1.1305,-64.1695784477
nan,-8124.15,,1.74416265135,100,nan,50000,0.8,0.000903693,-57.4132280838,9.01918e-10,1,,83.8926174497,9.3214e-06,596,155.284,734.723,339.246081157,-53.9275,339.246081157,1.60173,-57.4132280838,26.6306,-57.4132280838
nan,-10003.3,,6.83975773661,100,nan,50000,0.8,0.000280067,-60.286487108,2.68786e-10,1,,87.8734622144,9.76372e-06,569,44.1051,122.67,183.165777742,-56.5026,183.165777742,1.53759,-60.286487108,6.66592,-60.286487108
nan,-8736.03,,7.69489936325,100,nan,50000,0.8,0.058144,-60.510131225,4.35766e-07,1,,89.2857142857,9.92063e-06,560,1.49883e+11,212.453,82.017390678,-46.595,82.017390678,2.55733e+07,-60.510131225,2.89565e+18,-60.510131225
