VarRet,MaxNormIw,VarNormIw,ESSClassic,Bound,AvgRet,MaxVanillaIw,MinNormIw,AvgDiscRet,EpsThisIter,eRenyi2,ESSRenyi,VarDiscRet,AvgVanillaIw,IterType,MinVanillaIw,VarVanillaIw,Delta,AvgNormIw,AvgEpLen,VarJ,VanillaAvgRet,BatchSize,J
2594.3139044,0.005,2.1793e-19,200.000000102,-62.1712,-65.7295586614,1.0,0.005,-65.7295586614,100,1.0,500.0,2594.3139044,1.0,2,1.0,,1.0,0.005,94.34,36.3809,-65.7295586614,500,-62.1712
45.6460309801,0.00333333,5.43914e-20,299.999969474,-61.1889,-59.224268373,1.0,0.00333333,-59.224268373,100,1.0,500.0,45.6460309801,1.0,2,1.0,,1.0,0.00333333,87.27,29.9895,-59.224268373,500,-61.1889
2581.88650276,0.0025,5.4346e-20,400.0,-62.618,-66.9053854246,1.0,0.0025,-66.9053854246,100,1.0,500.0,2581.88650276,1.0,2,1.0,,1.0,0.0025,96.15,36.3273,-66.9053854246,500,-62.618
50.9585182017,0.131455,0.000121106,16.0174587612,-60.7185,-59.1647001098,706.464,7.66533e-05,-59.1647001098,100,1.00001,499.995112467,50.9585182017,10.7484,1,0.411949,3497.77,1.0,0.002,86.82,33.4203,-59.1647001098,500,-60.7185
33.9585940673,0.01,3.50449e-18,100.0,-58.5496,-58.5496124034,1.0,0.01,-58.5496124034,100,1.0,500.0,33.9585940673,1.0,2,1.0,,1.0,0.01,86.18,5.79819,-58.5496124034,500,-58.5496
2566.03647235,0.005,2.1793e-19,200.000000102,-62.4578,-66.3660046645,1.0,0.005,-66.3660046645,100,1.0,500.0,2566.03647235,1.0,2,1.0,,1.0,0.005,95.23,36.087,-66.3660046645,500,-62.4578
1335.48818292,0.00333333,5.43914e-20,299.999969474,-62.3571,-62.1555210361,1.0,0.00333333,-62.1555210361,100,1.0,500.0,1335.48818292,1.0,2,1.0,,1.0,0.00333333,90.0,36.1789,-62.1555210361,500,-62.3571
48.1126967257,0.0025,5.4346e-20,400.0,-61.7113,-59.7742569968,1.0,0.0025,-59.7742569968,100,1.0,500.0,48.1126967257,1.0,2,1.0,,1.0,0.0025,87.91,31.5411,-59.7742569968,500,-61.7113
2565.12067462,0.0211741,3.6123e-06,262.982279099,-61.5722,-67.6966615939,13.0986,1.11647e-05,-67.6966615939,100,inf,,2565.12067462,1.23723,1,0.00690666,1.38237,1.0,0.002,97.44,29.3211,-67.6966615939,500,-61.5722
1329.73250171,0.01,3.50449e-18,100.0,-62.911,-62.9109561647,1.0,0.01,-62.9109561647,100,1.0,500.0,1329.73250171,1.0,2,1.0,,1.0,0.01,91.3,36.2827,-62.9109561647,500,-62.911
40.8314612572,0.005,2.1793e-19,200.000000102,-60.9039,-58.8968773377,1.0,0.005,-58.8968773377,100,1.0,500.0,40.8314612572,1.0,2,1.0,,1.0,0.005,86.79,26.1239,-58.8968773377,500,-60.9039
54.367717389,0.00333333,5.43914e-20,299.999969474,-60.3694,-59.3002474865,1.0,0.00333333,-59.3002474865,100,1.0,500.0,54.367717389,1.0,2,1.0,,1.0,0.00333333,87.55,21.7597,-59.3002474865,500,-60.3694
41.2251232877,0.0025,5.4346e-20,400.0,-60.1299,-59.4114423364,1.0,0.0025,-59.4114423364,100,1.0,500.0,41.2251232877,1.0,2,1.0,,1.0,0.0025,87.43,19.1178,-59.4114423364,500,-60.1299
60.2988727814,1.0,0.002,1.0,-52.1212,-59.6081322122,4092.83,,-59.6081322122,100,16956.6,0.0294870033153,60.2988727814,8.18565,1,,33502.4,1.0,0.002,88.0,,-59.6081322122,500,-52.1212
54.0089366319,0.01,3.50449e-18,100.0,-59.6249,-59.6249088247,1.0,0.01,-59.6249088247,100,1.0,500.0,54.0089366319,1.0,2,1.0,,1.0,0.01,88.24,7.31224,-59.6249088247,500,-59.6249
56.4232338304,0.005,2.1793e-19,200.000000102,-59.412,-59.1990441491,1.0,0.005,-59.1990441491,100,1.0,500.0,56.4232338304,1.0,2,1.0,,1.0,0.005,87.46,7.39657,-59.1990441491,500,-59.412
43.8919008594,0.00333333,5.43914e-20,299.999969474,-59.4398,-59.4952976935,1.0,0.00333333,-59.4952976935,100,1.0,500.0,43.8919008594,1.0,2,1.0,,1.0,0.00333333,87.89,7.13854,-59.4952976935,500,-59.4398
48.7827563325,0.0025,5.4346e-20,400.0,-59.4472,-59.4695461099,1.0,0.0025,-59.4695461099,100,1.0,500.0,48.7827563325,1.0,2,1.0,,1.0,0.0025,87.19,7.09175,-59.4695461099,500,-59.4472
40.2227109403,0.0640584,1.63287e-05,98.541645998,-58.6532,-59.2863104585,38.8483,0.00116599,-59.2863104585,100,417.721,1.19697212225,40.2227109403,1.2129,1,0.707113,6.00541,1.0,0.002,87.45,14.0813,-59.2863104585,500,-58.6532
2578.79853005,0.01,3.50449e-18,100.0,-66.8593,-66.8592498201,1.0,0.01,-66.8592498201,100,1.0,500.0,2578.79853005,1.0,2,1.0,,1.0,0.01,95.9,50.5273,-66.8592498201,500,-66.8593
1339.07252836,0.005,2.1793e-19,200.000000102,-64.4311,-62.0029036425,1.0,0.005,-62.0029036425,100,1.0,500.0,1339.07252836,1.0,2,1.0,,1.0,0.005,90.43,44.1049,-62.0029036425,500,-64.4311
41.8917110317,0.00333333,5.43914e-20,299.999969474,-62.2409,-57.8603802256,1.0,0.00333333,-57.8603802256,100,1.0,500.0,41.8917110317,1.0,2,1.0,,1.0,0.00333333,85.04,36.3352,-57.8603802256,500,-62.2409
1318.14106076,0.0025,5.4346e-20,400.0,-62.2916,-62.4437222539,1.0,0.0025,-62.4437222539,100,1.0,500.0,1318.14106076,1.0,2,1.0,,1.0,0.0025,90.64,36.2827,-62.4437222539,500,-62.2916
1321.32899077,0.588683,0.00069611,2.86239010639,-56.071,-63.2281199008,823.328,7.39623e-05,-63.2281199008,100,inf,,1321.32899077,2.79718,1,0.103443,1361.63,1.0,0.002,91.88,37.1319,-63.2281199008,500,-56.071
2582.79690554,0.01,3.50449e-18,100.0,-66.0444,-66.0443740372,1.0,0.01,-66.0443740372,100,1.0,500.0,2582.79690554,1.0,2,1.0,,1.0,0.01,95.07,50.5665,-66.0443740372,500,-66.0444
2583.68506024,0.005,2.1793e-19,200.000000102,-66.0239,-66.0033818579,1.0,0.005,-66.0033818579,100,1.0,500.0,2583.68506024,1.0,2,1.0,,1.0,0.005,94.92,50.5708,-66.0033818579,500,-66.0239
50.8345494878,0.00333333,5.43914e-20,299.999969474,-63.5615,-58.6367164277,1.0,0.00333333,-58.6367164277,100,1.0,500.0,50.8345494878,1.0,2,1.0,,1.0,0.00333333,86.23,41.6394,-58.6367164277,500,-63.5615
43.7172153537,0.0025,5.4346e-20,400.0,-62.5293,-59.4328648284,1.0,0.0025,-59.4328648284,100,1.0,500.0,43.7172153537,1.0,2,1.0,,1.0,0.0025,87.44,36.2546,-59.4328648284,500,-62.5293
53.3844065738,0.562255,0.000645917,3.08343954808,-58.9833,-59.1266010389,109.508,6.88364e-12,-59.1266010389,100,1251.33,0.399574281698,53.3844065738,0.389531,1,1.3407e-09,24.502,1.0,0.002,87.08,20.771,-59.1266010389,500,-58.9833
1329.24897705,0.01,3.50449e-18,100.0,-61.8098,-61.8098264927,1.0,0.01,-61.8098264927,100,1.0,500.0,1329.24897705,1.0,2,1.0,,1.0,0.01,89.92,36.2761,-61.8098264927,500,-61.8098
42.6587684301,0.005,2.1793e-19,200.000000102,-60.3897,-58.9695751572,1.0,0.005,-58.9695751572,100,1.0,500.0,42.6587684301,1.0,2,1.0,,1.0,0.005,86.69,26.0981,-58.9695751572,500,-60.3897
2583.09458984,0.00333333,5.43914e-20,299.999969474,-62.2505,-65.9721186417,1.0,0.00333333,-65.9721186417,100,1.0,500.0,2583.09458984,1.0,2,1.0,,1.0,0.00333333,94.49,36.2411,-65.9721186417,500,-62.2505
46.343787008,0.0025,5.4346e-20,400.0,-61.236,-58.1924408056,1.0,0.0025,-58.1924408056,100,1.0,500.0,46.343787008,1.0,2,1.0,,1.0,0.0025,85.1,31.6168,-58.1924408056,500,-61.236
1327.60802766,0.0300446,5.65392e-06,207.41361981,-61.2499,-62.8233517718,16.3352,0.00130076,-62.8233517718,100,27.7083,18.0451421799,1327.60802766,1.0874,1,0.707221,1.67134,1.0,0.002,91.42,29.0724,-62.8233517718,500,-61.2499
43.6680904322,0.01,3.50449e-18,100.0,-59.1877,-59.1877013925,1.0,0.01,-59.1877013925,100,1.0,500.0,43.6680904322,1.0,2,1.0,,1.0,0.01,87.02,6.57506,-59.1877013925,500,-59.1877
45.7996864399,0.005,2.1793e-19,200.000000102,-59.5633,-59.9389171897,1.0,0.005,-59.9389171897,100,1.0,500.0,45.7996864399,1.0,2,1.0,,1.0,0.005,88.82,6.66541,-59.9389171897,500,-59.5633
1330.45321017,0.00333333,5.43914e-20,299.999969474,-60.8189,-63.3299569732,1.0,0.00333333,-63.3299569732,100,1.0,500.0,1330.45321017,1.0,2,1.0,,1.0,0.00333333,92.19,21.7214,-63.3299569732,500,-60.8189
1320.3297878,0.0025,5.4346e-20,400.0,-61.7079,-64.375198137,1.0,0.0025,-64.375198137,100,1.0,500.0,1320.3297878,1.0,2,1.0,,1.0,0.0025,94.18,26.1346,-64.375198137,500,-61.7079
42.2925028191,0.0093458,1.4721e-05,107.000093101,-59.003,-58.9781056294,33.5149,,-58.9781056294,100,23.718,21.0810605637,42.2925028191,7.17218,1,,189.313,1.0,0.002,86.89,14.5094,-58.9781056294,500,-59.003
2561.31748073,0.01,3.50449e-18,100.0,-66.9979,-66.9978893277,1.0,0.01,-66.9978893277,100,1.0,500.0,2561.31748073,1.0,2,1.0,,1.0,0.01,96.4,50.3558,-66.9978893277,500,-66.9979
1317.57885795,0.005,2.1793e-19,200.000000102,-64.9715,-62.945175295,1.0,0.005,-62.945175295,100,1.0,500.0,1317.57885795,1.0,2,1.0,,1.0,0.005,91.48,43.8652,-62.945175295,500,-64.9715
2573.45002616,0.00333333,5.43914e-20,299.999969474,-65.3984,-66.2521943635,1.0,0.00333333,-66.2521943635,100,1.0,500.0,2573.45002616,1.0,2,1.0,,1.0,0.00333333,94.9,46.1777,-66.2521943635,500,-65.3984
1314.84906493,0.0025,5.4346e-20,400.0,-64.8269,-63.1123734717,1.0,0.0025,-63.1123734717,100,1.0,500.0,1314.84906493,1.0,2,1.0,,1.0,0.0025,92.25,43.8827,-63.1123734717,500,-64.8269
1315.60106025,0.002,5.43187e-20,500.000006643,-64.4706,-63.0455643564,1.0,0.002,-63.0455643564,100,1.0,500.0,1315.60106025,1.0,1,1.0,,1.0,0.002,91.75,42.4446,-63.0455643564,500,-64.4706
1317.50281137,0.01,3.50449e-18,100.0,-64.1837,-64.1837186576,1.0,0.01,-64.1837186576,100,1.0,500.0,1317.50281137,1.0,2,1.0,,1.0,0.01,93.96,36.1155,-64.1837186576,500,-64.1837
46.8168442684,0.005,2.1793e-19,200.000000102,-61.9155,-59.647377622,1.0,0.005,-59.647377622,100,1.0,500.0,46.8168442684,1.0,2,1.0,,1.0,0.005,87.76,26.0861,-59.647377622,500,-61.9155
43.2842509391,0.00333333,5.43914e-20,299.999969474,-60.6621,-58.1552004263,1.0,0.00333333,-58.1552004263,100,1.0,500.0,43.2842509391,1.0,2,1.0,,1.0,0.00333333,85.33,21.7044,-58.1552004263,500,-60.6621
1323.8740185,0.0025,5.4346e-20,400.0,-61.4219,-63.7014178234,1.0,0.0025,-63.7014178234,100,1.0,500.0,1323.8740185,1.0,2,1.0,,1.0,0.0025,92.92,26.1286,-63.7014178234,500,-61.4219
1338.5636432,0.002,5.43187e-20,500.000006643,-61.7575,-63.0999076328,1.0,0.002,-63.0999076328,100,1.0,500.0,1338.5636432,1.0,1,1.0,,1.0,0.002,91.42,28.4894,-63.0999076328,500,-61.7575
1314.99849088,0.01,3.50449e-18,100.0,-63.4835,-63.4834821603,1.0,0.01,-63.4834821603,100,1.0,500.0,1314.99849088,1.0,2,1.0,,1.0,0.01,92.22,36.0811,-63.4834821603,500,-63.4835
1320.66508912,0.005,2.1793e-19,200.000000102,-63.3933,-63.303126273,1.0,0.005,-63.303126273,100,1.0,500.0,1320.66508912,1.0,2,1.0,,1.0,0.005,91.78,36.1201,-63.303126273,500,-63.3933
2580.8425627,0.00333333,5.43914e-20,299.999969474,-64.379,-66.350511356,1.0,0.00333333,-66.350511356,100,1.0,500.0,2580.8425627,1.0,2,1.0,,1.0,0.00333333,95.6,41.5138,-66.350511356,500,-64.379
1329.05112769,0.0025,5.4346e-20,400.0,-63.6298,-61.3822469519,1.0,0.0025,-61.3822469519,100,1.0,500.0,1329.05112769,1.0,2,1.0,,1.0,0.0025,88.89,40.2886,-61.3822469519,500,-63.6298
1332.97473421,0.002,5.43187e-20,500.000006643,-63.5767,-63.3641291225,1.0,0.002,-63.3641291225,100,1.0,500.0,1332.97473421,1.0,1,1.0,,1.0,0.002,91.79,39.5282,-63.3641291225,500,-63.5767
2592.4760305,0.01,3.50449e-18,100.0,-65.4323,-65.4322611727,1.0,0.01,-65.4322611727,100,1.0,500.0,2592.4760305,1.0,2,1.0,,1.0,0.01,93.46,50.6611,-65.4322611727,500,-65.4323
48.6854924337,0.005,2.1793e-19,200.000000102,-62.1047,-58.7772400455,1.0,0.005,-58.7772400455,100,1.0,500.0,48.6854924337,1.0,2,1.0,,1.0,0.005,86.35,36.3104,-58.7772400455,500,-62.1047
5016.91213869,0.00333333,5.43914e-20,299.999969474,-65.7992,-73.1880324964,1.0,0.00333333,-73.1880324964,100,1.0,500.0,5016.91213869,1.0,2,1.0,,1.0,0.00333333,103.12,50.6147,-73.1880324964,500,-65.7992
1325.84381237,0.0025,5.4346e-20,400.0,-64.9945,-62.5803457825,1.0,0.0025,-62.5803457825,100,1.0,500.0,1325.84381237,1.0,2,1.0,,1.0,0.0025,91.05,47.4497,-62.5803457825,500,-64.9945
1328.93281235,0.002,5.43187e-20,500.000006643,-64.5378,-62.7110215046,1.0,0.002,-62.7110215046,100,1.0,500.0,1328.93281235,1.0,1,1.0,,1.0,0.002,91.03,45.4438,-62.7110215046,500,-64.5378
2612.69521864,0.01,3.50449e-18,100.0,-64.7673,-64.7673259613,1.0,0.01,-64.7673259613,100,1.0,500.0,2612.69521864,1.0,2,1.0,,1.0,0.01,92.55,50.8583,-64.7673259613,500,-64.7673
38.3846392897,0.005,2.1793e-19,200.000000102,-62.4082,-60.0491697718,1.0,0.005,-60.0491697718,100,1.0,500.0,38.3846392897,1.0,2,1.0,,1.0,0.005,88.9,36.3022,-60.0491697718,500,-62.4082
1317.9003707,0.00333333,5.43914e-20,299.999969474,-62.2624,-61.9705662124,1.0,0.00333333,-61.9705662124,100,1.0,500.0,1317.9003707,1.0,2,1.0,,1.0,0.00333333,89.65,36.2425,-61.9705662124,500,-62.2624
55.7867742666,0.0025,5.4346e-20,400.0,-61.4784,-59.126377238,1.0,0.0025,-59.126377238,100,1.0,500.0,55.7867742666,1.0,2,1.0,,1.0,0.0025,86.81,31.6352,-59.126377238,500,-61.4784
1336.56527284,0.002,5.43187e-20,500.000006643,-61.6844,-62.5086005576,1.0,0.002,-62.5086005576,100,1.0,500.0,1336.56527284,1.0,1,1.0,,1.0,0.002,90.99,32.6411,-62.5086005576,500,-61.6844
43.011527193,0.01,3.50449e-18,100.0,-59.4097,-59.4097315145,1.0,0.01,-59.4097315145,100,1.0,500.0,43.011527193,1.0,2,1.0,,1.0,0.01,87.57,6.52544,-59.4097315145,500,-59.4097
53.2065501026,0.005,2.1793e-19,200.000000102,-59.233,-59.0562206192,1.0,0.005,-59.0562206192,100,1.0,500.0,53.2065501026,1.0,2,1.0,,1.0,0.005,87.03,6.90356,-59.0562206192,500,-59.233
46.5801183019,0.00333333,5.43914e-20,299.999969474,-59.5287,-60.1201979959,1.0,0.00333333,-60.1201979959,100,1.0,500.0,46.5801183019,1.0,2,1.0,,1.0,0.00333333,88.78,6.87889,-60.1201979959,500,-59.5287
46.8861797082,0.0025,5.4346e-20,400.0,-59.3975,-59.003915633,1.0,0.0025,-59.003915633,100,1.0,500.0,46.8861797082,1.0,2,1.0,,1.0,0.0025,86.48,6.86625,-59.003915633,500,-59.3975
54.642457135,0.002,5.43187e-20,500.000006643,-59.5563,-60.1914736377,1.0,0.002,-60.1914736377,100,1.0,500.0,54.642457135,1.0,1,1.0,,1.0,0.002,88.66,6.97398,-60.1914736377,500,-59.5563
1325.39700045,0.01,3.50449e-18,100.0,-63.0247,-63.0246855736,1.0,0.01,-63.0246855736,100,1.0,500.0,1325.39700045,1.0,2,1.0,,1.0,0.01,91.74,36.2235,-63.0246855736,500,-63.0247
48.9953124936,0.005,2.1793e-19,200.000000102,-61.0207,-59.0167022376,1.0,0.005,-59.0167022376,100,1.0,500.0,48.9953124936,1.0,2,1.0,,1.0,0.005,86.66,26.1599,-59.0167022376,500,-61.0207
59.3408328625,0.00333333,5.43914e-20,299.999969474,-60.1856,-58.5153968716,1.0,0.00333333,-58.5153968716,100,1.0,500.0,59.3408328625,1.0,2,1.0,,1.0,0.00333333,85.73,21.845,-58.5153968716,500,-60.1856
43.4026724264,0.0025,5.4346e-20,400.0,-59.6785,-58.1574004209,1.0,0.0025,-58.1574004209,100,1.0,500.0,43.4026724264,1.0,2,1.0,,1.0,0.0025,85.63,19.2202,-58.1574004209,500,-59.6785
45.2868336737,0.00200401,8.03209e-09,498.999296948,-59.7011,-59.8319604546,238.091,,-59.8319604546,100,168.349,2.97002547471,45.2868336737,237.615,1,,113.375,1.0,0.002,88.28,17.4841,-59.8319604546,500,-59.7011
47.2213684016,0.01,3.50449e-18,100.0,-60.0367,-60.0367260014,1.0,0.01,-60.0367260014,100,1.0,500.0,47.2213684016,1.0,2,1.0,,1.0,0.01,88.22,6.83734,-60.0367260014,500,-60.0367
42.0426378983,0.005,2.1793e-19,200.000000102,-59.9197,-59.8026796104,1.0,0.005,-59.8026796104,100,1.0,500.0,42.0426378983,1.0,2,1.0,,1.0,0.005,88.29,6.64826,-59.8026796104,500,-59.9197
1322.26730814,0.00333333,5.43914e-20,299.999969474,-61.3055,-64.0771506162,1.0,0.00333333,-64.0771506162,100,1.0,500.0,1322.26730814,1.0,2,1.0,,1.0,0.00333333,93.22,21.6715,-64.0771506162,500,-61.3055
1308.98288513,0.0025,5.4346e-20,400.0,-61.821,-63.3675759725,1.0,0.0025,-63.3675759725,100,1.0,500.0,1308.98288513,1.0,2,1.0,,1.0,0.0025,92.05,26.0195,-63.3675759725,500,-61.821
49.3521161183,0.002,5.43187e-20,500.000006643,-61.4011,-59.7213691689,1.0,0.002,-59.7213691689,100,1.0,500.0,49.3521161183,1.0,1,1.0,,1.0,0.002,87.82,23.4965,-59.7213691689,500,-61.4011
2578.86004722,0.01,3.50449e-18,100.0,-66.4296,-66.429624473,1.0,0.01,-66.429624473,100,1.0,500.0,2578.86004722,1.0,2,1.0,,1.0,0.01,95.69,50.5279,-66.429624473,500,-66.4296
35.3193863781,0.005,2.1793e-19,200.000000102,-62.8915,-59.3533789468,1.0,0.005,-59.3533789468,100,1.0,500.0,35.3193863781,1.0,2,1.0,,1.0,0.005,87.36,36.1461,-59.3533789468,500,-62.8915
48.5041978118,0.00333333,5.43914e-20,299.999969474,-61.902,-59.9229627195,1.0,0.00333333,-59.9229627195,100,1.0,500.0,48.5041978118,1.0,2,1.0,,1.0,0.00333333,88.17,29.8159,-59.9229627195,500,-61.902
1333.97094121,0.0025,5.4346e-20,400.0,-61.9348,-62.0331531662,1.0,0.0025,-62.0331531662,100,1.0,500.0,1333.97094121,1.0,2,1.0,,1.0,0.0025,90.0,31.5738,-62.0331531662,500,-61.9348
1314.84959108,0.002,5.43187e-20,500.000006643,-62.3046,-63.7837156974,1.0,0.002,-63.7837156974,100,1.0,500.0,1314.84959108,1.0,1,1.0,,1.0,0.002,92.9,32.5332,-63.7837156974,500,-62.3046
1329.01889655,0.01,3.50449e-18,100.0,-62.7697,-62.7696527703,1.0,0.01,-62.7696527703,100,1.0,500.0,1329.01889655,1.0,2,1.0,,1.0,0.01,90.92,36.273,-62.7696527703,500,-62.7697
42.1951243608,0.005,2.1793e-19,200.000000102,-61.2358,-59.7019996297,1.0,0.005,-59.7019996297,100,1.0,500.0,42.1951243608,1.0,2,1.0,,1.0,0.005,88.25,26.098,-59.7019996297,500,-61.2358
49.214611644,0.00333333,5.43914e-20,299.999969474,-60.2942,-58.4110810581,1.0,0.00333333,-58.4110810581,100,1.0,500.0,49.214611644,1.0,2,1.0,,1.0,0.00333333,85.54,21.7275,-58.4110810581,500,-60.2942
40.3561944447,0.0025,5.4346e-20,400.0,-59.8685,-58.5914360189,1.0,0.0025,-58.5914360189,100,1.0,500.0,40.3561944447,1.0,2,1.0,,1.0,0.0025,85.99,19.0943,-58.5914360189,500,-59.8685
1317.81684011,0.002,5.43187e-20,500.000006643,-60.5518,-63.2846547391,1.0,0.002,-63.2846547391,100,1.0,500.0,1317.81684011,1.0,1,1.0,,1.0,0.002,91.63,23.5472,-63.2846547391,500,-60.5518
2568.7224713,0.01,3.50449e-18,100.0,-66.706,-66.7060424614,1.0,0.01,-66.7060424614,100,1.0,500.0,2568.7224713,1.0,2,1.0,,1.0,0.01,95.9,50.4285,-66.7060424614,500,-66.706
51.3507589383,0.005,2.1793e-19,200.000000102,-62.5269,-58.3477859618,1.0,0.005,-58.3477859618,100,1.0,500.0,51.3507589383,1.0,2,1.0,,1.0,0.005,85.76,36.2547,-58.3477859618,500,-62.5269
1328.92762026,0.00333333,5.43914e-20,299.999969474,-62.6253,-62.8219521251,1.0,0.00333333,-62.8219521251,100,1.0,500.0,1328.92762026,1.0,2,1.0,,1.0,0.00333333,91.09,36.2606,-62.8219521251,500,-62.6253
37.5280804823,0.0025,5.4346e-20,400.0,-61.4097,-57.7630586247,1.0,0.0025,-57.7630586247,100,1.0,500.0,37.5280804823,1.0,2,1.0,,1.0,0.0025,84.7,31.6203,-57.7630586247,500,-61.4097
44.3574410032,0.002,5.43187e-20,500.000006643,-60.9225,-58.973871576,1.0,0.002,-58.973871576,100,1.0,500.0,44.3574410032,1.0,1,1.0,,1.0,0.002,86.94,28.4536,-58.973871576,500,-60.9225
45.248780346,0.01,3.50449e-18,100.0,-59.0716,-59.0716228232,1.0,0.01,-59.0716228232,100,1.0,500.0,45.248780346,1.0,2,1.0,,1.0,0.01,87.04,6.693,-59.0716228232,500,-59.0716
2564.73757987,0.005,2.1793e-19,200.000000102,-63.0914,-67.1111269556,1.0,0.005,-67.1111269556,100,1.0,500.0,2564.73757987,1.0,2,1.0,,1.0,0.005,96.85,36.1677,-67.1111269556,500,-63.0914
60.6938878121,0.00333333,5.43914e-20,299.999969474,-62.2766,-60.6471489604,1.0,0.00333333,-60.6471489604,100,1.0,500.0,60.6938878121,1.0,2,1.0,,1.0,0.00333333,89.78,29.8902,-60.6471489604,500,-62.2766
1309.00689349,0.0025,5.4346e-20,400.0,-62.5947,-63.5487387668,1.0,0.0025,-63.5487387668,100,1.0,500.0,1309.00689349,1.0,2,1.0,,1.0,0.0025,92.5,31.5333,-63.5487387668,500,-62.5947
1338.43375704,0.002,5.43187e-20,500.000006643,-62.4862,-62.0523386283,1.0,0.002,-62.0523386283,100,1.0,500.0,1338.43375704,1.0,1,1.0,,1.0,0.002,90.28,32.5659,-62.0523386283,500,-62.4862
58.6245370146,0.01,3.50449e-18,100.0,-58.2314,-58.231388827,1.0,0.01,-58.231388827,100,1.0,500.0,58.6245370146,1.0,2,1.0,,1.0,0.01,85.45,7.61829,-58.231388827,500,-58.2314
1322.54119612,0.005,2.1793e-19,200.000000102,-60.2774,-62.3234504597,1.0,0.005,-62.3234504597,100,1.0,500.0,1322.54119612,1.0,2,1.0,,1.0,0.005,90.17,26.2271,-62.3234504597,500,-60.2774
56.9993295495,0.00333333,5.43914e-20,299.999969474,-59.866,-59.0432236603,1.0,0.00333333,-59.0432236603,100,1.0,500.0,56.9993295495,1.0,2,1.0,,1.0,0.00333333,86.66,21.8569,-59.0432236603,500,-59.866
48.7590748049,0.0025,5.4346e-20,400.0,-59.6746,-59.1004717843,1.0,0.0025,-59.1004717843,100,1.0,500.0,48.7590748049,1.0,2,1.0,,1.0,0.0025,87.14,19.2476,-59.1004717843,500,-59.6746
55.8543935414,0.002,5.43187e-20,500.000006643,-59.7506,-60.0547077553,1.0,0.002,-60.0547077553,100,1.0,500.0,55.8543935414,1.0,1,1.0,,1.0,0.002,88.56,17.5345,-60.0547077553,500,-59.7506
1329.14418801,0.01,3.50449e-18,100.0,-63.7814,-63.7814137134,1.0,0.01,-63.7814137134,100,1.0,500.0,1329.14418801,1.0,2,1.0,,1.0,0.01,93.02,36.2747,-63.7814137134,500,-63.7814
5007.37523311,0.005,2.1793e-19,200.000000102,-68.9272,-74.0729988703,1.0,0.005,-74.0729988703,100,1.0,500.0,5007.37523311,1.0,2,1.0,,1.0,0.005,104.51,56.2411,-74.0729988703,500,-68.9272
64.170074991,0.00333333,5.43914e-20,299.999969474,-66.2894,-61.0138082221,1.0,0.00333333,-61.0138082221,100,1.0,500.0,64.170074991,1.0,2,1.0,,1.0,0.00333333,89.93,46.3011,-61.0138082221,500,-66.2894
55.1431681395,0.0025,5.4346e-20,400.0,-64.5799,-59.4515488042,1.0,0.0025,-59.4515488042,100,1.0,500.0,55.1431681395,1.0,2,1.0,,1.0,0.0025,87.49,40.3765,-59.4515488042,500,-64.5799
1321.69934734,0.002,5.43187e-20,500.000006643,-64.1547,-62.4535279264,1.0,0.002,-62.4535279264,100,1.0,500.0,1321.69934734,1.0,1,1.0,,1.0,0.002,90.49,39.5807,-62.4535279264,500,-64.1547
2588.219348,0.01,3.50449e-18,100.0,-66.3755,-66.3755215506,1.0,0.01,-66.3755215506,100,1.0,500.0,2588.219348,1.0,2,1.0,,1.0,0.01,95.38,50.6195,-66.3755215506,500,-66.3755
46.261465955,0.005,2.1793e-19,200.000000102,-62.4487,-58.5218551305,1.0,0.005,-58.5218551305,100,1.0,500.0,46.261465955,1.0,2,1.0,,1.0,0.005,85.79,36.3248,-58.5218551305,500,-62.4487
2585.22968805,0.00333333,5.43914e-20,299.999969474,-63.5185,-65.6580632275,1.0,0.00333333,-65.6580632275,100,1.0,500.0,2585.22968805,1.0,2,1.0,,1.0,0.00333333,94.33,41.6542,-65.6580632275,500,-63.5185
45.6110895778,0.0025,5.4346e-20,400.0,-62.5142,-59.5014627716,1.0,0.0025,-59.5014627716,100,1.0,500.0,45.6110895778,1.0,2,1.0,,1.0,0.0025,87.59,36.2715,-59.5014627716,500,-62.5142
1327.14732913,0.002,5.43187e-20,500.000006643,-62.2367,-61.1264227295,1.0,0.002,-61.1264227295,100,1.0,500.0,1327.14732913,1.0,1,1.0,,1.0,0.002,88.4,36.2709,-61.1264227295,500,-62.2367
42.8725395842,0.01,3.50449e-18,100.0,-58.8807,-58.880746564,1.0,0.01,-58.880746564,100,1.0,500.0,42.8725395842,1.0,2,1.0,,1.0,0.01,86.32,6.51489,-58.880746564,500,-58.8807
45.6588854734,0.005,2.1793e-19,200.000000102,-59.8215,-60.76224951,1.0,0.005,-60.76224951,100,1.0,500.0,45.6588854734,1.0,2,1.0,,1.0,0.005,89.64,6.68641,-60.76224951,500,-59.8215
40.1783110617,0.00333333,5.43914e-20,299.999969474,-59.8482,-59.9015652812,1.0,0.00333333,-59.9015652812,100,1.0,500.0,40.1783110617,1.0,2,1.0,,1.0,0.00333333,88.04,6.56244,-59.9015652812,500,-59.8482
1308.80571463,0.0025,5.4346e-20,400.0,-60.6241,-62.9518553632,1.0,0.0025,-62.9518553632,100,1.0,500.0,1308.80571463,1.0,2,1.0,,1.0,0.0025,91.36,18.9218,-62.9518553632,500,-60.6241
