LearnableVariance,MaxIWNorm,ReturnStepMaxmin,InitialReturnStd,ESSRenyi,StdIWNorm,MeanIW,MeanIWNorm,J_sample_variance,MaxIW,Bound,Weights,InitialBound,EpThisIter,InitialReturnMean,EmpiricalD2,TimestepsSoFar,EpLenMean,Iteration,OptimizationReturnMean,TimeElapsed,VarianceInit,MeanEntropy,StdIW,ESSClassic,OptimizationReturnMax,ReturnStepMax,EpRewMean,MinIWNorm,MinIW,OptimizationReturnMin,ReturnMeanIW,InitialReturnMax,EpisodesSoFar,InitialReturnMin
True,0.070103504,0.8590345,26.26424,10.928913,0.0103012845,0.6690657,0.006690657,25420.86,7.01035,-97.371086,[ 0.147  1.026 -0.249],-127.825035,100,-121.296394,9.150041,1238635,170.86,36,74.56248,1668.8056240081787,-1,1.20186,1.0301286,29.668928,134.86842,0.8590345,-121.29640188261867,0.0001210524,0.0121052405,,-77.62261,-60.99046,3600,-195.85889
True,0.11264225,0.8678763,24.519463,7.6920815,0.015008464,0.6837948,0.0068379473,34266.1,11.264225,-90.98634,[ 0.261  1.079 -0.217],-123.20479,100,-117.25649,13.000382,1255160,165.25,37,61.191803,1694.0452194213867,-1,1.119446,1.5008465,17.189537,104.63685,0.8678763,-117.25649847790599,1.4841915e-05,0.0014841915,,-69.53921,-73.811455,3700,-178.4483
True,0.049290333,0.8542818,19.83983,7.091266,0.009836324,0.7029849,0.0070298486,16448.361,4.9290333,-93.70772,[ 0.105  1.084 -0.299],-108.18536,100,-102.8683,14.101854,1269650,144.9,38,56.64377,1718.5034205913544,-1,1.1939541,0.9836323,33.80864,98.51743,0.8542818,-102.86829798951744,0.00026712002,0.026712002,,-73.74083,-60.994637,3800,-159.51207
True,0.03655159,0.8686917,24.167084,5.7189903,0.0070346976,0.5617237,0.005617237,12112.867,3.655159,-98.21419,[ 0.07   1.048 -0.225],-127.16294,100,-121.055664,17.485603,1286719,170.69,39,62.16269,1745.772511959076,-1,1.2473747,0.7034698,38.93537,111.68198,0.8686917,-121.0556630526483,6.533283e-05,0.0065332833,,-72.676125,-71.53638,3900,-183.21835
True,0.053267077,0.85752296,31.985218,5.627154,0.011916518,0.7834916,0.007834915,38623.305,5.326708,-122.527985,[ 0.103  0.985 -0.172],-140.42654,100,-133.53233,17.770973,1305529,188.1,40,73.29378,1766.8651540279388,-1,1.1593465,1.1916518,30.181484,123.70944,0.85752296,-133.53233871772886,4.24612e-06,0.00042461202,,-93.46503,-83.11667,4000,-206.82611
True,0.08379755,0.8629005,27.640284,8.740984,0.013716514,0.8169501,0.008169501,46722.547,8.379755,-108.14515,[ 0.139  1.007 -0.26 ],-129.47679,100,-122.92505,11.44036,1322826,172.97,41,73.62756,1785.754818201065,-1,1.0783647,1.3716515,26.184801,134.28351,0.8629005,-122.9250445370376,2.6737837e-06,0.00026737837,,-85.98476,-62.269104,4100,-196.55261
True,0.051231403,0.85741436,23.075909,8.274716,0.009471475,0.62254846,0.006225484,13227.125,5.1231403,-95.402084,[ 0.149  1.038 -0.341],-114.5071,100,-108.77418,12.085006,1338109,152.83,42,63.213776,1807.5289506912231,-1,1.1303535,0.94714755,30.168919,109.73775,0.85741436,-108.77417141258717,0.00022462163,0.022462163,,-75.47241,-62.250202,4200,-171.98795
True,0.056633085,0.8590592,24.519201,8.787357,0.009643243,0.67184377,0.006718438,29068.945,5.6633086,-100.2845,[ 0.087  0.987 -0.289],-129.1435,100,-122.27615,11.379986,1355327,172.18,43,83.74459,1834.5308320522308,-1,1.1683971,0.9643243,32.67759,123.7451,0.8590592,-122.27614697247743,0.00031841084,0.031841084,,-77.118,-82.275635,4300,-206.02074
True,0.076560065,0.8609764,24.086903,13.167856,0.012244486,0.70709425,0.0070709423,39429.703,7.656007,-104.50341,[ 0.067  1.05  -0.251],-124.650375,100,-117.41714,7.5942507,1371904,165.77,44,99.58028,1859.477368593216,-1,1.1748666,1.2244487,25.008408,146.1919,0.8609764,-117.41713550537824,0.00034207612,0.034207612,,-84.57027,-70.80551,4400,-216.9974
True,0.07374756,0.8660198,33.855682,13.696939,0.010389442,0.7391104,0.0073911035,47784.21,7.3747563,-110.12565,[-0.033  0.988 -0.244],-138.2956,100,-130.46796,7.300901,1390379,184.75,45,104.361305,1886.7965714931488,-1,1.213746,1.0389441,33.603237,161.92278,0.8660198,-130.46796353057027,0.00017779242,0.017779242,,-88.97522,-72.906494,4500,-234.82927
True,0.026474228,0.86354774,26.743845,72.990616,0.0055782776,0.98000306,0.009800031,34238.203,2.6474228,-123.25899,[-0.074  1.04  -0.205],-128.66275,100,-122.61582,1.3700391,1407700,173.21,46,58.79239,1911.442717075348,-1,1.2034335,0.5578278,75.52869,110.419876,0.86354774,-122.6158208425343,0.0014387754,0.14387755,,-116.18112,-70.98833,4600,-181.4082
True,0.063031055,0.86075294,27.33721,7.650662,0.011423862,0.68944514,0.0068944506,40328.68,6.3031054,-105.72314,[ 0.014  1.052 -0.215],-132.80269,100,-125.523994,13.070765,1425372,176.72,47,92.83709,1938.946191072464,-1,1.1450641,1.1423862,26.698479,146.3946,0.86075294,-125.52398795664311,4.1688023e-07,4.1688025e-05,,-79.40807,-71.96648,4700,-218.36108
True,0.12302421,0.85864824,23.36562,12.683758,0.01473679,0.7743124,0.007743123,47239.52,12.302422,-92.77896,[ 0.084  1.11  -0.274],-111.05541,100,-104.56057,7.884099,1440070,146.98,48,90.28499,1962.7476723194122,-1,1.1098667,1.473679,21.634682,132.68124,0.85864824,-104.56056102409958,3.73429e-05,0.0037342901,,-74.542305,-62.1643,4800,-194.84555
True,0.046947837,0.8628139,19.35618,4.4073515,0.0075726626,0.43571094,0.0043571093,6174.2324,4.6947837,-66.80318,[ 0.076  1.182 -0.309],-104.15356,100,-99.104324,22.689363,1454161,140.91,49,52.37256,1979.8748960494995,-1,1.0139921,0.7572663,24.871605,88.78739,0.8628139,-99.10432104066014,1.076229e-06,0.0001076229,,-42.752003,-62.68949,4900,-151.47688
True,0.055932406,0.8587735,17.727144,7.874164,0.0107058585,0.7522945,0.007522945,13816.305,5.5932407,-93.59284,[ 0.025  1.136 -0.405],-104.042,100,-99.2404,12.69976,1468182,140.21,50,44.807602,1998.671490430832,-1,1.0969892,1.0705858,33.0557,83.160706,0.8587735,-99.24040431141853,0.00028375283,0.028375285,,-76.481514,-60.887302,5000,-144.048
True,0.076132946,0.8687227,22.646296,9.745313,0.011480312,0.6540274,0.0065402742,23781.795,7.6132946,-79.836716,[ 0.083  1.135 -0.322],-109.791794,100,-103.99344,10.261343,1482789,146.07,51,69.95686,2018.2466113567352,-1,1.0680075,1.1480314,24.502783,113.54416,0.8687227,-103.99344483628869,0.00013607554,0.013607555,,-61.262684,-60.40616,5100,-173.95032
